## 1
## 이과대학에 속했던 컴퓨터과학부가 공대로 이전해 컴퓨터과학전공(60명), 소프트웨어융합전공(30명)과 같은 세부전공을 두는 소프트웨어학부로 확대 개편된다.
## 이과대학에 속했던 컴퓨터과학부가 공대로 이전해 컴퓨터과학전공(<60명:NOH>), 소프트웨어융합전공(<30명:NOH>)과 같은 세부전공을 두는 소프트웨어학부로 확대 개편된다.
이과	이과	NNG	O
안달루시아	안달루시아	NNP	I-ORG
_	_	_	I-ORG
조직	조직	NNG	I-ORG
위원회	위원회	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
인턴	인턴	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 10
## 중간단 외부에 장착된 가속모터 역시 6개로 은하 3호와 똑같았다.
## 중간단 외부에 장착된 가속모터 역시 <6개:NOH>로 은하 <3호:NOH>와 똑같았다.
중간	중간	NNG	O
단	단	MAG	O
_	_	_	O
외부	외부	NNG	O
에	에	JKB	O
_	_	_	O
장착된	장착되+ㄴ	VV+ETM	O
_	_	_	O
가속	가속	NNG	O
모터	모터	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
6	6	SN	B-NOH
개	개	NNB	I-NOH
로	로	JKB	O
_	_	_	O
은하	은하	NNG	O
_	_	_	O
3	3	SN	B-NOH
호	호	NNB	I-NOH
와	와	JKB	O
_	_	_	O
똑같	똑같	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

