## 1
## 반도체 종목은 지난해 초 이후 거의 3배 올랐다.
## 반도체 종목은 지난해 초 이후 거의 <3배:PNT> 올랐다.
반도체	반도체	NNG	O
‘	‘	SS	O
니나	니나	NNP	B-POH
노송	노송	NNG	I-POH
’	’	SS	O
_	_	_	O
광고	광고	NNG	O
로	로	JKB	O
_	_	_	O
브랜드	브랜드	NNG	O
를	를	JKO	O
_	_	_	O
각인	각인	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 한국에서 던지지 않았던 포크볼은 시속 141km까지 나왔다.
## <한국:LOC>에서 던지지 않았던 포크볼은 <시속 141km:NOH>까지 나왔다.
한국	한국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
던지	던지	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
포크볼	포크볼	NNG	O
은	은	JX	O
_	_	_	O
시속	시속	NNG	B-NOH
_	_	_	I-NOH
141	141	SN	I-NOH
km	km	SL	I-NOH
까지	까지	JX	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 210만원을 다 받은 대구의 한 50대는 맞벌이로 재산이 1억원 이하에 연봉이 1300만원 이하였다.
## <210만원:MNY>을 다 받은 <대구:LOC>의 한 <50대:NOH>는 맞벌이로 재산이 <1억원:MNY> 이하에 연봉이 <1300만원:MNY> 이하였다.
210	210	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
다	다	MAG	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
대구	대구	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
50	50	SN	B-NOH
대	대	NNB	I-NOH
는	는	JX	O
_	_	_	O
맞벌이	맞벌이	NNG	O
로	로	JKB	O
_	_	_	O
재산	재산	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이하	이하	NNG	O
에	에	JKB	O
_	_	_	O
연봉	연봉	NNG	O
이	이	JKS	O
_	_	_	O
1300	1300	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이하	이하+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 남북한 남녀 평균 수명 11년 차이, 2060년까지 유지
## <남북한:ORG> 남녀 평균 수명 <11년:NOH> 차이, <2060년:DAT>까지 유지
남	남	NNP	B-ORG
북한	북한	NNP	I-ORG
_	_	_	O
남녀	남녀	NNG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
수명	수명	NNG	O
_	_	_	O
11	11	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
차이	차이	NNG	O
,	,	SP	O
_	_	_	O
2060	2060	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
유지	유지	NNG	O

## 7
## 10월 진행한 ‘넥슨 아티스트’ 공모전을 통해 선발된 67개 팀 유저들이 참여해 메이플스토리, ‘메이플스토리2’, ‘마비노기’ ‘마비노기 영웅전’, ‘던전앤파이터’, ‘사이퍼즈’ 등 넥슨의 인기게임 IP를 활용한 독특하고 개성 넘치는 유저 제작 굿즈와 팬아트를 만날 수 있다.
## <10월:DAT> 진행한 ‘<넥슨 아티스트:POH>’ 공모전을 통해 선발된 <67개:NOH> 팀 유저들이 참여해 <메이플스토리:POH>, ‘<메이플스토리2:POH>’, ‘<마비노기:POH>’ ‘<마비노기 영웅전:POH>’, ‘<던전앤파이터:POH>’, ‘<사이퍼즈:POH>’ 등 <넥슨:ORG>의 인기게임 IP를 활용한 독특하고 개성 넘치는 유저 제작 굿즈와 팬아트를 만날 수 있다.
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
진행한	진행하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
넥슨	넥슨	NNP	B-POH
_	_	_	I-POH
아티스트	아티스트	NNG	I-POH
’	’	SS	O
_	_	_	O
공모전	공모전	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
선발된	선발되+ㄴ	VV+ETM	O
_	_	_	O
67	67	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
팀	팀	NNG	O
_	_	_	O
유저	유저	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
참여해	참여하+여	VV+EC	O
_	_	_	O
메이플	메이플	NNG	B-POH
스토리	스토리	NNG	I-POH
,	,	SP	O
_	_	_	O
‘	‘	SS	O
메이플	메이플	NNG	B-POH
스토리	스토리	NNG	I-POH
2	2	SN	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
마비	마비	NNG	B-POH
노기	노기	NNG	I-POH
’	’	SS	O
_	_	_	O
‘	‘	SS	O
마비	마비	NNG	B-POH
노기	노기	NNG	I-POH
_	_	_	I-POH
영웅전	영웅전	NNG	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
던전	던전	NNP	B-POH
앤	앤	NNP	I-POH
파이터	파이터	NNP	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
사이퍼즈	사이퍼즈	NNG	B-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
넥슨	넥슨	NNP	B-ORG
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
게임	게임	NNG	O
_	_	_	O
IP	IP	SL	O
를	를	JKO	O
_	_	_	O
활용한	활용하+ㄴ	VV+ETM	O
_	_	_	O
독특하	독특하	VA	O
고	고	EC	O
_	_	_	O
개성	개성	NNG	O
_	_	_	O
넘치	넘치	VV	O
는	는	ETM	O
_	_	_	O
유저	유저	NNG	O
_	_	_	O
제작	제작	NNG	O
_	_	_	O
굿즈	굿즈	NNG	O
와	와	JC	O
_	_	_	O
팬	팬	NNG	O
아트	아트	NNG	O
를	를	JKO	O
_	_	_	O
만날	만나+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

