## 1
## 반면 한국을 이긴 일본은 2승1패를 기록했다 .
## 반면 <한국:ORG>을 이긴 <일본:ORG>은 <2승:NOH><1패:NOH>를 기록했다 .
반면	반면	NNG	O
있	있	VA	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 16
## 이번에는 특히 27개 대회 동안 이어졌던 지긋지긋한 '우승 가뭄'을 해소한 이선화(22 ㆍ CJ)가 '선봉장'이다 .
## 이번에는 특히 <27개:NOH> 대회 동안 이어졌던 지긋지긋한 '우승 가뭄'을 해소한 <이선화:PER>(22 ㆍ <CJ:ORG>)가 '선봉장'이다 .
이번	이번	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
27	27	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
대회	대회	NNG	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
던	던	ETM	O
_	_	_	O
지긋지긋한	지긋지긋하+ㄴ	VA+ETM	O
_	_	_	O
'	'	SS	O
우승	우승	NNG	O
_	_	_	O
가뭄	가뭄	NNG	O
'	'	SS	O
을	을	JKO	O
_	_	_	O
해소한	해소하+ㄴ	VV+ETM	O
_	_	_	O
이선화	이선화	NNP	B-PER
(	(	SS	O
22	22	SN	O
_	_	_	O
ㆍ	ㆍ	SP	O
_	_	_	O
CJ	CJ	SL	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
'	'	SS	O
선봉장	선봉장	NNG	O
'	'	SS	O
이	이	VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 17
## 다음 주 US오픈을 앞두고 있어 '넘버 2' 필 미켈슨(미국) 등 웬만한 상위랭커들은 모두 휴식에 들어가 '하위권 선수들만의 리그'로 치러지는 대회다 .
## 다음 주 <US오픈:POH>을 앞두고 있어 '<넘버 2:NOH>' <필 미켈슨:PER>(<미국:ORG>) 등 웬만한 상위랭커들은 모두 휴식에 들어가 '하위권 선수들만의 리그'로 치러지는 대회다 .
다음	다음	NNG	O
_	_	_	O
주	주	NNG	O
_	_	_	O
US	US	SL	B-POH
오픈	오픈	NNG	I-POH
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
'	'	SS	O
넘버	넘버	NNG	B-NOH
_	_	_	I-NOH
2	2	SN	I-NOH
'	'	SS	O
_	_	_	O
필	필	NNP	B-PER
_	_	_	I-PER
미켈슨	미켈슨	NNP	I-PER
(	(	SS	O
미국	미국	NNP	B-ORG
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
웬만한	웬만하+ㄴ	VA+ETM	O
_	_	_	O
상위	상위	NNG	O
랭커	랭커	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
휴식	휴식	NNG	O
에	에	JKB	O
_	_	_	O
들어가	들어가+아	VV+EC	O
_	_	_	O
'	'	SS	O
하위권	하위권	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
만	만	JX	O
의	의	JKG	O
_	_	_	O
리그	리그	NNG	O
'	'	SS	O
로	로	JKB	O
_	_	_	O
치	치르	VV	O
러	어	EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
대회	대회+이	NNG+VCP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 18
## 싱은 2주 전 유러피언(EPGA)투어 BMW챔피언십 출전차 '영국 원정길'에 나섰다가 근육부상을 입어 이 대회를 통해 US오픈을 대비한 샷 감각 조율에 나선다 .
## 싱은 <2주:DUR> 전 유러피언(EPGA)투어 BMW챔피언십 출전차 '영국 원정길'에 나섰다가 근육부상을 입어 이 대회를 통해 <US오픈:POH>을 대비한 샷 감각 조율에 나선다 .
싱	싱	NNP	O
은	은	JX	O
_	_	_	O
2	2	SN	B-DUR
주	주	NNB	I-DUR
_	_	_	O
전	전	NNG	O
_	_	_	O
유러	유러	NNG	O
피언	피언	NNG	O
(	(	SS	O
EPGA	EPGA	SL	O
)	)	SS	O
투어	투어	NNG	O
_	_	_	O
BMW	BMW	SL	O
챔피언십	챔피언십	NNG	O
_	_	_	O
출전	출전	NNG	O
차	차	NNG	O
_	_	_	O
'	'	SS	O
영국	영국	NNP	O
_	_	_	O
원정	원정	NNG	O
길	길	NNG	O
'	'	SS	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
다가	다가	EC	O
_	_	_	O
근육	근육	NNG	O
부상	부상	NNG	O
을	을	JKO	O
_	_	_	O
입	입	VV	O
어	어	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
대회	대회	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
US	US	SL	B-POH
오픈	오픈	NNG	I-POH
을	을	JKO	O
_	_	_	O
대비한	대비하+ㄴ	VV+ETM	O
_	_	_	O
샷	샷	NNG	O
_	_	_	O
감각	감각	NNG	O
_	_	_	O
조율	조율	NNG	O
에	에	JKB	O
_	_	_	O
나선다	나서+ㄴ다	VV+EC	O
_	_	_	O
.	.	SF	O

## 19
## 두번째 매치인 폴라 크리머(3위)와 장정(5위)간 대결에서는 전체 참가자의 68.99%가 폴라 크리머의 승리를 예상했다 .
## 두번째 매치인 <폴라 크리머:PER>(<3위:NOH>)와 <장정:PER>(<5위:NOH>)간 대결에서는 전체 참가자의 <68.99%:PNT>가 <폴라 크리머:PER>의 승리를 예상했다 .
두	두	MM	O
번째	번째	NNB	O
_	_	_	O
매치	매치	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
폴라	폴라	NNP	B-PER
_	_	_	I-PER
크리머	크리머	NNP	I-PER
(	(	SS	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
)	)	SS	O
와	와	JKB	O
_	_	_	O
장정	장정	NNG	B-PER
(	(	SS	O
5	5	SN	B-NOH
위	위	NNB	I-NOH
)	)	SS	O
간	간	NNG	O
_	_	_	O
대결	대결	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
참가자	참가자	NNG	O
의	의	JKG	O
_	_	_	O
68.99	68.99	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
폴라	폴라	NNP	B-PER
_	_	_	I-PER
크리머	크리머	NNP	I-PER
의	의	JKG	O
_	_	_	O
승리	승리	NNG	O
를	를	JKO	O
_	_	_	O
예상	예상하	VV	O
했	였	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 20
## 44년만에 남녀동반탈락 위기 한국배구, 일본과 다른 점은
## <44년만:DUR>에 남녀동반탈락 위기 <한국:ORG>배구, <일본:ORG>과 다른 점은
44	44	SN	B-DUR
년	년	NNB	I-DUR
만	만	NNB	I-DUR
에	에	JKB	O
_	_	_	O
남녀	남녀	NNG	O
동반	동반	NNG	O
탈락	탈락	NNG	O
_	_	_	O
위기	위기	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
배구	배구	NNG	O
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-ORG
과	과	JC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
점	점	NNG	O
은	은	JX	O

## 21
## 아시아 1위로 티켓을 딴 여자부에 이어 남자까지 출전권을 거머쥔 일본은 1992 바르셀로나올림픽 이후 16년 만에 남녀 동반 올림픽행을 이뤘다 .
## <아시아:LOC> <1위:NOH>로 티켓을 딴 여자부에 이어 남자까지 출전권을 거머쥔 <일본:ORG>은 <1992:DAT> <바르셀로나올림픽:POH> 이후 <16년:NOH> 만에 남녀 동반 올림픽행을 이뤘다 .
아시아	아시아	NNP	B-LOC
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
로	로	JKB	O
_	_	_	O
티켓	티켓	NNG	O
을	을	JKO	O
_	_	_	O
딴	딴	MM	O
_	_	_	O
여자	여자	NNG	O
부	부	XSN	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
남자	남자	NNG	O
까지	까지	JX	O
_	_	_	O
출전권	출전권	NNG	O
을	을	JKO	O
_	_	_	O
거머쥔	거머쥐+ㄴ	VV+ETM	O
_	_	_	O
일본	일본	NNP	B-ORG
은	은	JX	O
_	_	_	O
1992	1992	SN	B-DAT
_	_	_	O
바르셀로나	바르셀로나	NNP	B-POH
올림픽	올림픽	NNG	I-POH
_	_	_	O
이후	이후	NNG	O
_	_	_	O
16	16	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
남녀	남녀	NNG	O
_	_	_	O
동반	동반	NNG	O
_	_	_	O
올림픽	올림픽	NNG	O
행	행	XSN	O
을	을	JKO	O
_	_	_	O
이	이루	VV	O
뤘	었	EP	O
다	다	EC	O
_	_	_	O
.	.	SF	O

## 22
## 2007 아시아선수권과 월드컵에서 2연패 .
## <2007:DAT> 아시아선수권과 월드컵에서 <2연패:NOH> .
2007	2007	SN	B-DAT
_	_	_	O
아시아	아시아	NNP	O
선수권	선수권	NNG	O
과	과	JC	O
_	_	_	O
월드컵	월드컵	NNG	O
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
연패	연패	NNG	I-NOH
_	_	_	O
.	.	SF	O

## 23
## 올림픽 예선전은 물론 주요 국제대회를 거의 독점하다시피 유치해온 일본은 대규모 스폰서로 아코스타 회장 뒤에서 막강한 영향력을 행사해왔다 .
## 올림픽 예선전은 물론 주요 국제대회를 거의 독점하다시피 유치해온 <일본:ORG>은 대규모 스폰서로 <아코스타:PER> 회장 뒤에서 막강한 영향력을 행사해왔다 .
올림픽	올림픽	NNG	O
_	_	_	O
예선전	예선전	NNG	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
국제	국제	NNG	O
대회	대회	NNG	O
를	를	JKO	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
독점하	독점하	VV	O
다시피	다시피	EC	O
_	_	_	O
유치해	유치하+여	VA+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
일본	일본	NNP	B-ORG
은	은	JX	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
스폰서	스폰서	NNG	O
로	로	JKB	O
_	_	_	O
아코스타	아코스타	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
_	_	_	O
뒤	뒤	NNG	O
에서	에서	JKB	O
