## 1
## 노트 한 권만으로 시험 대비가 가능하게 말이다.
## 노트 <한 권:NOH>만으로 시험 대비가 가능하게 말이다.
노트	노트	NNG	O
_	_	_	O
30	30	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
기탁	기탁	NNG	O

## 7
## 1년이 채 지나지 않았지만 규제개혁의 효과는 신상품 개발, 그림자 규제 축소, 소비자 보호 강화로 나타나 긍정적이다.
## <1년:NOH>이 채 지나지 않았지만 규제개혁의 효과는 신상품 개발, 그림자 규제 축소, 소비자 보호 강화로 나타나 긍정적이다.
1	1	SN	B-NOH
년	년	NNB	I-NOH
이	이	JKS	O
_	_	_	O
채	채	MAG	O
_	_	_	O
지나	지나	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
지만	지만	EC	O
_	_	_	O
규제	규제	NNG	O
개혁	개혁	NNG	O
의	의	JKG	O
_	_	_	O
효과	효과	NNG	O
는	는	JX	O
_	_	_	O
신상품	신상품	NNG	O
_	_	_	O
개발	개발	NNG	O
,	,	SP	O
_	_	_	O
그림자	그림자	NNG	O
_	_	_	O
규제	규제	NNG	O
_	_	_	O
축소	축소	NNG	O
,	,	SP	O
_	_	_	O
소비자	소비자	NNG	O
_	_	_	O
보호	보호	NNG	O
_	_	_	O
강화	강화	NNG	O
로	로	JKB	O
_	_	_	O
나타나	나타나+아	VV+EC	O
_	_	_	O
긍정적	긍정적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 그때는 부산이냐, 진주냐로 충돌했다.
## 그때는 <부산:LOC>이냐, <진주:LOC>냐로 충돌했다.
그때	그때	NNG	O
는	는	JX	O
_	_	_	O
부산	부산	NNP	B-LOC
이	이	VCP	O
냐	냐	EC	O
,	,	SP	O
_	_	_	O
진주	진주+이	NNP+VCP	B-LOC
냐	냐	EC	O
로	로	JKB	O
_	_	_	O
충돌	충돌하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 김현중 전 여친 측 "출산 후, 친자확인 준비 중"
## <김현중:PER> 전 여친 측 "출산 후, 친자확인 준비 중"
김현중	김현중	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
여	여	NNG	O
친	친	NNG	O
_	_	_	O
측	측	NNB	O
_	_	_	O
"	"	SS	O
출산	출산	NNG	O
_	_	_	O
후	후	NNG	O
,	,	SP	O
_	_	_	O
친자	친자	NNG	O
확인	확인	NNG	O
_	_	_	O
준비	준비	NNG	O
_	_	_	O
중	중	NNP	O
"	"	SS	O

## 10
## 관람료는 경복궁 3000원, 창경궁 1000원으로 일반관람과 같다.
## 관람료는 <경복궁:LOC> <3000원:MNY>, <창경궁:LOC> <1000원:MNY>으로 일반관람과 같다.
관람료	관람료	NNG	O
는	는	JX	O
_	_	_	O
경복궁	경복궁	NNP	B-LOC
_	_	_	O
3000	3000	SN	B-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
창경궁	창경궁	NNG	B-LOC
_	_	_	O
1000	1000	SN	B-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
일반	일반	NNG	O
관람	관람	NNG	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
.	.	SF	O

## 11
## “대우조선, 前임원 대주주인 회사에 6년간 일감 2300억원어치 몰아줘”
## “<대우조선:ORG>, 前임원 대주주인 회사에 <6년간:DUR> 일감 <2300억원:MNY>어치 몰아줘”
“	“	SS	O
대우조선	대우조선	NNP	B-ORG
,	,	SP	O
_	_	_	O
前	前	SH	O
임원	임원	NNG	O
_	_	_	O
대주주	대주주	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
회사	회사	NNG	O
에	에	JKB	O
_	_	_	O
6	6	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
일감	일감	NNG	O
_	_	_	O
2300	2300	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
어치	어치	XSN	O
_	_	_	O
몰아줘	몰아주	VV	O
”	”	SS	O

## 12
## 미국 CNN은 당국이 사망자가 73명에 이른다고 현지 언론에 전했다고 보도했다.
## <미국:ORG> <CNN:ORG>은 당국이 사망자가 <73명:NOH>에 이른다고 현지 언론에 전했다고 보도했다.
미국	미국	NNP	B-ORG
_	_	_	O
CNN	CNN	SL	B-ORG
은	은	JX	O
_	_	_	O
당국	당국	NNG	O
이	이	JKS	O
_	_	_	O
사망자	사망자	NNG	O
가	가	JKS	O
_	_	_	O
73	73	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이른다고	이르+ㄴ다고	VV+EC	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
언론	언론	NNG	O
에	에	JKB	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 제2회 한국영화제작가협회상은 kth, k쇼핑, 명필름, 명필름 아트센터의 후원으로 치러졌다.
## <제2회:NOH> <한국영화제작가협회:ORG>상은 <kth:ORG>, <k쇼핑:ORG>, <명필름:ORG>, <명필름 아트센터:ORG>의 후원으로 치러졌다.
제	제	XPN	B-NOH
2	2	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
한국영화제작가협회	한국영화제작가협회	NNP	B-ORG
상	상	NNG	O
은	은	JX	O
_	_	_	O
kth	kth	SL	B-ORG
,	,	SP	O
_	_	_	O
k	k	SL	B-ORG
쇼핑	쇼핑	NNG	I-ORG
,	,	SP	O
_	_	_	O
명필름	명필름	NNP	B-ORG
,	,	SP	O
_	_	_	O
명필름	명필름	NNP	B-ORG
_	_	_	I-ORG
아트센터	아트센터	NNP	I-ORG
의	의	JKG	O
_	_	_	O
후원	후원	NNG	O
으로	으로	JKB	O
_	_	_	O
치	치르	VV	O
러	어+지	EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

