## 1
## 상선에서 일본을 제쳤듯이 특화시킬 만한 것을 찾아야 한다는 것이다.
## 상선에서 <일본:ORG>을 제쳤듯이 특화시킬 만한 것을 찾아야 한다는 것이다.
상선	상선	NNG	O
유죄	유죄	NNG	O
로	로	JKB	O
_	_	_	O
인정하	인정하	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
국가	국가	NNG	O
보안법	보안법	NNG	O
_	_	_	O
위반	위반	NNG	O
_	_	_	O
혐의	혐의	NNG	O
는	는	JX	O
_	_	_	O
무죄	무죄	NNG	O
로	로	JKB	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 현역 시절 레알에서 뛰는 동안(2001∼2006년) 루이스 피구, 데이비드 베컴, 호나우두 등과 함께 ‘갈락티코 레알’의 중심을 이뤘던 지단이 레알을 바꿔 놓을 수 있을지에 관심이 쏠린다.
## 현역 시절 레알에서 뛰는 동안(<2001∼2006년:DUR>) <루이스 피구:PER>, <데이비드 베컴:PER>, <호나우두:PER> 등과 함께 ‘갈락티코 레알’의 중심을 이뤘던 <지단:PER>이 <레알:ORG>을 바꿔 놓을 수 있을지에 관심이 쏠린다.
현역	현역	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
레알	레알	NNP	O
에서	에서	JKB	O
_	_	_	O
뛰	뛰	VV	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
(	(	SS	O
2001	2001	SN	B-DUR
∼	∼	SO	I-DUR
2006	2006	SN	I-DUR
년	년	NNB	I-DUR
)	)	SS	O
_	_	_	O
루이스	루이스	NNP	B-PER
_	_	_	I-PER
피구	피구	NNP	I-PER
,	,	SP	O
_	_	_	O
데이비드	데이비드	NNP	B-PER
_	_	_	I-PER
베컴	베컴	NNP	I-PER
,	,	SP	O
_	_	_	O
호나우두	호나우두	NNP	B-PER
_	_	_	O
등	등	NNB	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
‘	‘	SS	O
갈락티코	갈락티코	NNG	O
_	_	_	O
레알	레알	NNP	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
중심	중심	NNG	O
을	을	JKO	O
_	_	_	O
이	이루	VV	O
뤘	었	EP	O
던	던	ETM	O
_	_	_	O
지단	지단	NNP	B-PER
이	이	JKS	O
_	_	_	O
레알	레알	NNP	B-ORG
을	을	JKO	O
_	_	_	O
바꿔	바꾸+어	VV+EC	O
_	_	_	O
놓	놓	VX	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을지	을지	EC	O
에	에	JKB	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
쏠린다	쏠리+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 국민안전처는 지난해 11월부터 1년간 ‘석촌호수 주변 안전관리 전담팀’을 운영한 결과 지반 침하나 도로 침몰 등 지반 안전에 이상이 없는 것으로 조사됐다고 3일 밝혔다.
## <국민안전처:ORG>는 지난해 <11월:DAT>부터 <1년간:DUR> ‘석촌호수 주변 안전관리 전담팀’을 운영한 결과 지반 침하나 도로 침몰 등 지반 안전에 이상이 없는 것으로 조사됐다고 <3일:DAT> 밝혔다.
국민안전처	국민안전처	NNP	B-ORG
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
‘	‘	SS	O
석촌	석촌	NNP	O
호수	호수	NNG	O
_	_	_	O
주변	주변	NNG	O
_	_	_	O
안전	안전	NNG	O
관리	관리	NNG	O
_	_	_	O
전담	전담	NNG	O
팀	팀	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
운영한	운영하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
지반	지반	NNG	O
_	_	_	O
침	침	NNG	O
하나	하나	NNG	O
_	_	_	O
도로	도로	NNG	O
_	_	_	O
침몰	침몰	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
지반	지반	NNG	O
_	_	_	O
안전	안전	NNG	O
에	에	JKB	O
_	_	_	O
이상	이상	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
조사	조사되	VV	O
됐	었	EP	O
다고	다고	EC	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 현경 교수는 스스로를 ‘살림이스트’라 부른다.
## <현경:PER> 교수는 스스로를 ‘살림이스트’라 부른다.
현경	현경	NNG	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
스스로	스스로	NNG	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
살림	살림	NNG	O
이스트	이스트	NNG	O
’	’	SS	O
라	라	JKQ	O
_	_	_	O
부른다	부르+ㄴ다	VV+EF	O
.	.	SF	O

