## 1
## [단독]집값 부담에 서울 등지는 3040… 인구 1000만 유지 비상
## [단독]집값 부담에 <서울:LOC> 등지는 <3040:NOH>… 인구 <1000만:NOH> 유지 비상
[	[	SS	O
토론회	토론회	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
대선	대선	NNG	O
_	_	_	O
후보	후보	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
이미지	이미지	NNG	O
가	가	JKS	O
_	_	_	O
전	전	NNG	O
보다	보다	JKB	O
_	_	_	O
좋	좋	VA	O
아	아	EC	O
졌	지+었	VX+EP	O
는지	는지	EC	O
_	_	_	O
여부	여부	NNG	O
도	도	JX	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘전보다 좋아졌다’는 응답은 심 후보가 52%로 가장 많았고 유 후보가 33%로 그 뒤를 이었다.
## ‘전보다 좋아졌다’는 응답은 <심:PER> 후보가 <52%:PNT>로 가장 많았고 <유:PER> 후보가 <33%:PNT>로 그 뒤를 이었다.
‘	‘	SS	O
전	전	NNG	O
보다	보다	JKB	O
_	_	_	O
좋	좋	VA	O
아	아	EC	O
졌	지+었	VX+EP	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
응답	응답	NNG	O
은	은	JX	O
_	_	_	O
심	심	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
가	가	JKS	O
_	_	_	O
52	52	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
고	고	EC	O
_	_	_	O
유	유	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
가	가	JKS	O
_	_	_	O
33	33	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
그	그	MM	O
_	_	_	O
뒤	뒤	NNG	O
를	를	JKO	O
_	_	_	O
이	잇	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 마세라티 공식 수입사 FMK 관계자는 “’마세라티를 탄다는 건 곧 신뢰를 타는 것’이라는 의미를 전달하고자 마련한 이번 프로모션을 통해 많은 고객들이 중고차 감가율에 대한 고민 없이 마세라티를 마음껏 즐길 수 있길 바란다”고 밝혔다.
## <마세라티:ORG> 공식 수입사 <FMK:ORG> 관계자는 “’<마세라티:POH>를 탄다는 건 곧 신뢰를 타는 것’이라는 의미를 전달하고자 마련한 이번 프로모션을 통해 많은 고객들이 중고차 감가율에 대한 고민 없이 <마세라티:POH>를 마음껏 즐길 수 있길 바란다”고 밝혔다.
마세라티	마세라티	NNP	B-ORG
_	_	_	O
공식	공식	NNG	O
_	_	_	O
수입	수입	NNG	O
사	사	XSN	O
_	_	_	O
FMK	FMK	SL	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
’	’	SS	O
마세라티	마세라티	NNP	B-POH
를	를	JKO	O
_	_	_	O
탄다는	타+ㄴ다는	VV+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
곧	곧	MAG	O
_	_	_	O
신뢰	신뢰	NNG	O
를	를	JKO	O
_	_	_	O
타	타	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
의미	의미	NNG	O
를	를	JKO	O
_	_	_	O
전달하	전달하	VV	O
고자	고자	EC	O
_	_	_	O
마련한	마련하+ㄴ	VV+ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
프로모션	프로모션	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
중고차	중고차	NNG	O
_	_	_	O
감가	감가	NNG	O
율	율	XSN	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
고민	고민	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
마세라티	마세라티	NNP	B-POH
를	를	JKO	O
_	_	_	O
마음껏	마음껏	MAG	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
길	기+ㄹ	ETN+JKO	O
_	_	_	O
바란다	바라+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 한편 이번 프로모션은 기블리 및 콰트로포르테 전 모델을 대상으로 한정적으로 진행되며, 자세한 내용은 전국 총 8개의 마세라티 전시장 및 고객센터를 통해 상담 받을 수 있다.
## 한편 이번 프로모션은 <기블리:POH> 및 <콰트로포르테:POH> 전 모델을 대상으로 한정적으로 진행되며, 자세한 내용은 전국 총 <8개:NOH>의 <마세라티:ORG> 전시장 및 고객센터를 통해 상담 받을 수 있다.
한편	한편	MAG	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
프로모션	프로모션	NNG	O
은	은	JX	O
_	_	_	O
기블리	기블리	NNP	B-POH
_	_	_	O
및	및	MAG	O
_	_	_	O
콰트로	콰트로	NNG	B-POH
포르테	포르테	NNG	I-POH
_	_	_	O
전	전	NNG	O
_	_	_	O
모델	모델	NNG	O
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
한정적	한정적	NNG	O
으로	으로	JKB	O
_	_	_	O
진행되	진행되	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
자세한	자세하+ㄴ	VA+ETM	O
_	_	_	O
내용	내용	NNG	O
은	은	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
총	총	MM	O
_	_	_	O
8	8	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
마세라티	마세라티	NNP	B-ORG
_	_	_	O
전시장	전시장	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
고객	고객	NNG	O
센터	센터	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
상담	상담	NNG	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 심혜진은 자신과 동갑인 백종원을 소개해 준 에피소드를 전했다.
## <심혜진:PER>은 자신과 동갑인 <백종원:PER>을 소개해 준 에피소드를 전했다.
심혜진	심혜진	NNP	B-PER
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
과	과	JC	O
_	_	_	O
동갑	동갑	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
백종원	백종원	NNP	B-PER
을	을	JKO	O
_	_	_	O
소개해	소개하+여	VV+EC	O
_	_	_	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
에피소드	에피소드	NNG	O
를	를	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 관련기사 국회 “꼬리인 시행령이 머리 흔들어” vs 청와대 “정부 입법 권한 침해” 정부 시행령에 대한 국회의 수정 요구권한을 강화한 국회법 개정안은 위헌(違憲)일까.
## 관련기사 국회 “꼬리인 시행령이 머리 흔들어” vs <청와대:ORG> “정부 입법 권한 침해” 정부 시행령에 대한 국회의 수정 요구권한을 강화한 국회법 개정안은 위헌(違憲)일까.
관련	관련	NNG	O
기사	기사	NNG	O
_	_	_	O
국회	국회	NNG	O
_	_	_	O
“	“	SS	O
꼬리	꼬리	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
시행령	시행령	NNG	O
이	이	JKS	O
_	_	_	O
머리	머리	NNG	O
_	_	_	O
흔들	흔들	VV	O
어	어	EF	O
”	”	SS	O
_	_	_	O
vs	vs	SL	O
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
“	“	SS	O
정부	정부	NNG	O
_	_	_	O
입법	입법	NNG	O
_	_	_	O
권한	권한	NNG	O
_	_	_	O
침해	침해	NNG	O
”	”	SS	O
_	_	_	O
정부	정부	NNG	O
_	_	_	O
시행령	시행령	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
국회	국회	NNG	O
의	의	JKG	O
_	_	_	O
수정	수정	NNG	O
_	_	_	O
요구	요구	NNG	O
권한	권한	NNG	O
을	을	JKO	O
_	_	_	O
강화한	강화하+ㄴ	VV+ETM	O
_	_	_	O
국회법	국회법	NNG	O
_	_	_	O
개정안	개정안	NNG	O
은	은	JX	O
_	_	_	O
위헌	위헌	NNG	O
(	(	SS	O
違憲	違憲	SH	O
)	)	SS	O
일까	이+ㄹ까	VCP+EF	O
.	.	SF	O

## 9
## 이를 트레드 패턴(tread pattern)이라고 하는데, 트레드 패턴의 가장 중요한 기능 중 하나가 바로 빗길에서의 배수기능이다.
## 이를 <트레드 패턴:POH>(<tread pattern:POH>)이라고 하는데, <트레드 패턴:POH>의 가장 중요한 기능 중 <하나:NOH>가 바로 빗길에서의 배수기능이다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
트레드	트레드	NNG	B-POH
_	_	_	I-POH
패턴	패턴	NNG	I-POH
(	(	SS	O
tread	tread	SL	B-POH
_	_	_	I-POH
pattern	pattern	SL	I-POH
)	)	SS	O
이라고	이라고	JKQ	O
_	_	_	O
하	하	VV	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
트레드	트레드	NNG	B-POH
_	_	_	I-POH
패턴	패턴	NNG	I-POH
의	의	JKG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
기능	기능	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
가	가	JKS	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
빗길	빗길	NNG	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
배수	배수	NNG	O
기능	기능	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 메르켈은 이후 이를 만회하려는 듯 적극적으로 친난민 정책을 펼쳤고 림과 그의 가족도 당국으로부터 거주허가증을 발급받아 독일에 계속 체류할 수 있게 됐다.
## <메르켈:PER>은 이후 이를 만회하려는 듯 적극적으로 친난민 정책을 펼쳤고 림과 그의 가족도 당국으로부터 거주허가증을 발급받아 <독일:LOC>에 계속 체류할 수 있게 됐다.
메르켈	메르켈	NNP	B-PER
은	은	JX	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
만회하	만회하	VV	O
려는	려는	ETM	O
_	_	_	O
듯	듯	NNB	O
_	_	_	O
적극적	적극적	NNG	O
으로	으로	JKB	O
_	_	_	O
친	친	XPN	O
난민	난민	NNG	O
_	_	_	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
펼	펼치	VV	O
쳤	었	EP	O
고	고	EC	O
_	_	_	O
림	림	NNP	O
과	과	JC	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
가족	가족	NNG	O
도	도	JX	O
_	_	_	O
당국	당국	NNG	O
으로부터	으로부터	JKB	O
_	_	_	O
거주	거주	NNG	O
허가증	허가증	NNG	O
을	을	JKO	O
_	_	_	O
발급	발급	NNG	O
받	받	VV	O
아	아	EC	O
_	_	_	O
독일	독일	NNP	B-LOC
에	에	JKB	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
체류할	체류하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 주촌면의 경우 전체 주민 5614명 중 2006명이 외국인 근로자다.
## <주촌면:LOC>의 경우 전체 주민 <5614명:NOH> 중 <2006명:NOH>이 외국인 근로자다.
주촌면	주촌면	NNP	B-LOC
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
주민	주민	NNG	O
_	_	_	O
5614	5614	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNP	O
_	_	_	O
2006	2006	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
근로자	근로자	NNG	O
다	다	NNG	O
.	.	SF	O

## 12
## 대표팀은 11일(한국시간) 테헤란 아자디 스타디움에서 벌어진 2018러시아월드컵 아시아 최종예선 A조 4차전 원정경기에서 숙적 이란에 0-1로 패했다.
## 대표팀은 <11일:DAT>(<한국:LOC>시간) <테헤란 아자디 스타디움:LOC>에서 벌어진 <2018러시아월드컵:POH> <아시아:LOC> 최종예선 A조 <4차:NOH>전 원정경기에서 숙적 <이란:ORG>에 <0-1:NOH>로 패했다.
대표	대표	NNG	O
팀	팀	NNG	O
은	은	JX	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
테헤란	테헤란	NNP	B-LOC
_	_	_	I-LOC
아자디	아자디	NNP	I-LOC
_	_	_	I-LOC
스타디움	스타디움	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
벌어진	벌어지+ㄴ	VV+ETM	O
_	_	_	O
2018	2018	SN	B-POH
러시아	러시아	NNP	I-POH
월드컵	월드컵	NNG	I-POH
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
최종	최종	NNG	O
예선	예선	NNG	O
_	_	_	O
A	A	SL	O
조	조	NNG	O
_	_	_	O
4	4	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	O
_	_	_	O
원정	원정	NNG	O
경기	경기	NNG	O
에서	에서	JKB	O
_	_	_	O
숙적	숙적	NNG	O
_	_	_	O
이란	이란	NNP	B-ORG
에	에	JKB	O
_	_	_	O
0	0	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
로	로	JKB	O
_	_	_	O
패	패하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

