## 1
## 김광열 베세토국제학교 이사장
## <김광열:PER> <베세토국제학교:ORG> 이사장
김광열	김광열	NNP	B-PER
가	가	JKS	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
스마트폰	스마트폰	NNG	O
과	과	JKB	O
_	_	_	O
연동해	연동하+여	VV+EC	O
_	_	_	O
사용하	사용하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
스파이더	스파이더	NNG	B-POH
_	_	_	I-POH
랩톱	랩톱	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
선보인	선보이+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
처음	처음	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 그래도 등교하지 않는다면 관할 교육청에 보고하도록 돼 있다.
## 그래도 등교하지 않는다면 관할 <교육청:ORG>에 보고하도록 돼 있다.
그래도	그리하+여도	VV+EC	O
_	_	_	O
등교하	등교하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다면	는다면	EC	O
_	_	_	O
관할	관할	NNG	O
_	_	_	O
교육청	교육청	NNG	B-ORG
에	에	JKB	O
_	_	_	O
보고하	보고하	VV	O
도록	도록	EC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 그러나 해당 학교는 부천교육지원청에 이런 내용을 보고하지 않았다.
## 그러나 해당 학교는 <부천교육지원청:ORG>에 이런 내용을 보고하지 않았다.
그러나	그러나	MAJ	O
_	_	_	O
해당	해당	NNG	O
_	_	_	O
학교	학교	NNG	O
는	는	JX	O
_	_	_	O
부천	부천	NNP	B-ORG
교육	교육	NNG	I-ORG
지원	지원	NNG	I-ORG
청	청	NNG	I-ORG
에	에	JKB	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
내용	내용	NNG	O
을	을	JKO	O
_	_	_	O
보고하	보고하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 한국에서는 41개 직종에 45명의 선수가 출전해 금 12개, 은 7개, 동 5개로 19번째이자 5회 연속 대회 종합 우승을 달성했다.
## <한국:ORG>에서는 <41개:NOH> 직종에 <45명:NOH>의 선수가 출전해 금 <12개:NOH>, 은 <7개:NOH>, 동 <5개:NOH>로 <19번째:NOH>이자 <5회:NOH> 연속 대회 종합 우승을 달성했다.
한국	한국	NNP	B-ORG
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
41	41	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
직종	직종	NNG	O
에	에	JKB	O
_	_	_	O
45	45	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
선수	선수	NNG	O
가	가	JKS	O
_	_	_	O
출전해	출전하+여	VV+EC	O
_	_	_	O
금	금	NNG	O
_	_	_	O
12	12	SN	B-NOH
개	개	NNB	I-NOH
,	,	SP	O
_	_	_	O
은	은	JX	O
_	_	_	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
,	,	SP	O
_	_	_	O
동	동	NNG	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
로	로	JKB	O
_	_	_	O
19	19	SN	B-NOH
번째	번째	NNB	I-NOH
이	이	VCP	O
자	자	EC	O
_	_	_	O
5	5	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
연속	연속	NNG	O
_	_	_	O
대회	대회	NNG	O
_	_	_	O
종합	종합	NNG	O
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
달성	달성하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## YMS를 바탕으로 고객 이용 추이 등을 분석해 시간대, 좌석, 노선에 따라 철도요금체계를 다양화해 탑승률을 최대로 끌어올렸다.
## <YMS:ORG>를 바탕으로 고객 이용 추이 등을 분석해 시간대, 좌석, 노선에 따라 철도요금체계를 다양화해 탑승률을 최대로 끌어올렸다.
YMS	YMS	SL	B-ORG
를	를	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
이용	이용	NNG	O
_	_	_	O
추이	추이	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
분석해	분석하+여	VV+EC	O
_	_	_	O
시간대	시간대	NNG	O
,	,	SP	O
_	_	_	O
좌석	좌석	NNG	O
,	,	SP	O
_	_	_	O
노선	노선	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
철도	철도	NNG	O
요금	요금	NNG	O
체계	체계	NNG	O
를	를	JKO	O
_	_	_	O
다양화해	다양화하+여	VV+EC	O
_	_	_	O
탑승	탑승	NNG	O
률	률	XSN	O
을	을	JKO	O
_	_	_	O
최대	최대	NNG	O
로	로	JKB	O
_	_	_	O
끌어올	끌어올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 한국 증시도 중국의 경기 회복에 대한 기대감으로 소비주를 중심으로 상승세를 탈 것으로 기대된다.
## <한국:LOC> 증시도 <중국:ORG>의 <경기:LOC> 회복에 대한 기대감으로 소비주를 중심으로 상승세를 탈 것으로 기대된다.
한국	한국	NNP	B-LOC
_	_	_	O
증시	증시	NNG	O
도	도	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
경기	경기	NNG	B-LOC
_	_	_	O
회복	회복	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
기대감	기대감	NNG	O
으로	으로	JKB	O
_	_	_	O
소비	소비	NNG	O
주	주	NNG	O
를	를	JKO	O
_	_	_	O
중심	중심	NNG	O
으로	으로	JKB	O
_	_	_	O
상승세	상승세	NNG	O
를	를	JKO	O
_	_	_	O
탈	타+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
기대된다	기대되+ㄴ다	VV+EF	O
.	.	SF	O

## 13
## 한 입주기업 관계자는 “투자액의 90%까지 지원한다는 내용은 남북경협 보험 약관에도 다 나와 있는 것이어서 특별히 새로운 방안이 없는 원론적인 수준이었다”고 평가했다.
## 한 입주기업 관계자는 “투자액의 <90%:PNT>까지 지원한다는 내용은 남북경협 보험 약관에도 다 나와 있는 것이어서 특별히 새로운 방안이 없는 원론적인 수준이었다”고 평가했다.
한	한	NNP	O
_	_	_	O
입주	입주	NNG	O
기업	기업	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
투자액	투자액	NNG	O
의	의	JKG	O
_	_	_	O
90	90	SN	B-PNT
%	%	SW	I-PNT
까지	까지	JX	O
_	_	_	O
지원한다는	지원하+ㄴ다는	VV+ETM	O
_	_	_	O
내용	내용	NNG	O
은	은	JX	O
_	_	_	O
남북	남북	NNP	O
경협	경협	NNG	O
_	_	_	O
보험	보험	NNG	O
_	_	_	O
약관	약관	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
다	다	MAG	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
어서	어서	EC	O
_	_	_	O
특별히	특별히	MAG	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
방안	방안	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
원론적	원론적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
수준	수준	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
평가	평가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 6일 오후 4시 반경 경북 한 어린이집에서 잠자던 이모 양(2)이 숨을 쉬지 않는 것을 보육교사가 발견해 119에 신고했다.
## <6일:DAT> <오후 4시:TIM> 반경 <경북:LOC> 한 어린이집에서 잠자던 <이모:PER> 양(<2:NOH>)이 숨을 쉬지 않는 것을 보육교사가 발견해 <119:ORG>에 신고했다.
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
4	4	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
반	반	NNG	O
경	경	XSN	O
_	_	_	O
경북	경북	NNP	B-LOC
_	_	_	O
한	한	MM	O
_	_	_	O
어린이	어린이	NNG	O
집	집	NNG	O
에서	에서	JKB	O
_	_	_	O
잠자	잠자	VV	O
던	던	ETM	O
_	_	_	O
이모	이모	NNG	B-PER
_	_	_	O
양	양	MM	O
(	(	SS	O
2	2	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
숨	숨	NNG	O
을	을	JKO	O
_	_	_	O
쉬	쉬	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
보육	보육	NNG	O
교사	교사	NNG	O
가	가	JKS	O
_	_	_	O
발견해	발견하+여	VV+EC	O
_	_	_	O
119	119	SN	B-ORG
에	에	JKB	O
_	_	_	O
신고	신고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 이날 김 원장 외에도 최순실 씨 자매와 박 대통령을 진료한 ‘제3의 의사’가 있다는 방송 보도가 논란이 됐다.
## 이날 <김:PER> 원장 외에도 <최순실:PER> 씨 자매와 <박:PER> 대통령을 진료한 ‘<제3:NOH>의 의사’가 있다는 방송 보도가 논란이 됐다.
이날	이날	NNG	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
원장	원장	NNG	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
최순실	최순실	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
자매	자매	NNG	O
와	와	JC	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
을	을	JKO	O
_	_	_	O
진료	진료	NNG	O
한	하+ㄴ	XSV+ETM	O
_	_	_	O
‘	‘	SS	O
제	제	XPN	B-NOH
3	3	SN	I-NOH
의	의	JKG	O
_	_	_	O
의사	의사	NNG	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
보도	보도	NNG	O
가	가	JKS	O
_	_	_	O
논란	논란	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

