## 1
## 신임 김재원 충남지방경찰청장은 29일 “어린 시절 자랐고 성장하는 동안 항상 응원해준 고향의 치안 책임을 맡는다는 것이 무엇보다 큰 기쁨이면서도 큰 부담”이라며 이같이 밝혔다.
## 신임 <김재원:PER> <충남지방경찰청:ORG>장은 <29일:DAT> “어린 시절 자랐고 성장하는 동안 항상 응원해준 고향의 치안 책임을 맡는다는 것이 무엇보다 큰 기쁨이면서도 큰 부담”이라며 이같이 밝혔다.
신임	신임	NNG	O
## 상대는 중국의 린허친. 산타 베이스로 하는 선수로 종합격투기 경력이 김해인보다 월등했다.
## 상대는 <중국:ORG>의 <린허친:PER>. 산타 베이스로 하는 선수로 종합격투기 경력이 <김해인:PER>보다 월등했다.
상대	상대	NNG	O
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
린	린	NNP	B-PER
허	허	NNG	I-PER
친	친	XPN	I-PER
.	.	SF	O
_	_	_	O
산타	산타	NNP	O
_	_	_	O
베이스	베이스	NNG	O
로	로	JKB	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
선수	선수	NNG	O
로	로	JKB	O
_	_	_	O
종합	종합	NNG	O
격투기	격투기	NNG	O
_	_	_	O
경력	경력	NNG	O
이	이	JKS	O
_	_	_	O
김해인	김해인	NNP	B-PER
보다	보다	JKB	O
_	_	_	O
월등	월등하	VA	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 한국 안중근의사 기념사업회와 회원 등 40여 명은 26일 오전 중국 헤이룽장(黑龍江)성 하얼빈(哈爾濱)역에 있는 ‘안중근 의사 기념관’에서 안 의사의 이토 히로부미(伊藤博文) 저격 106주년 기념식을 열었다.
## <한국 안중근의사 기념사업회:ORG>와 회원 등 <40여 명:NOH>은 <26일:DAT> 오전 <중국:LOC> <헤이룽장(黑龍江)성:LOC> <하얼빈:LOC>(<哈爾濱:LOC>)역에 있는 ‘<안중근 의사 기념관:LOC>’에서 <안:PER> 의사의 <이토 히로부미:PER>(<伊藤博文:PER>) 저격 <106주년:NOH> 기념식을 열었다.
한국	한국	NNP	B-ORG
_	_	_	I-ORG
안중근	안중근	NNP	I-ORG
의사	의사	NNG	I-ORG
_	_	_	I-ORG
기념	기념	NNG	I-ORG
사업	사업	NNG	I-ORG
회	회	XSN	I-ORG
와	와	JC	O
_	_	_	O
회원	회원	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
40	40	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
헤이룽장	헤이룽장	NNP	B-LOC
(	(	SS	I-LOC
黑龍江	黑龍江	SH	I-LOC
)	)	SS	I-LOC
성	성	NNG	I-LOC
_	_	_	O
하얼빈	하얼빈	NNP	B-LOC
(	(	SS	O
哈爾濱	哈爾濱	SH	B-LOC
)	)	SS	O
역	역	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
안중근	안중근	NNP	B-LOC
_	_	_	I-LOC
의사	의사	NNG	I-LOC
_	_	_	I-LOC
기념관	기념관	NNG	I-LOC
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
안	안	NNP	B-PER
_	_	_	O
의사	의사	NNG	O
의	의	JKG	O
_	_	_	O
이토	이토	NNP	B-PER
_	_	_	I-PER
히로부미	히로부미	NNP	I-PER
(	(	SS	O
伊藤博文	伊藤博文	SH	B-PER
)	)	SS	O
_	_	_	O
저격	저격	NNG	O
_	_	_	O
106	106	SN	B-NOH
주년	주년	NNB	I-NOH
_	_	_	O
기념식	기념식	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이 위원장은 “내일 하루 일과 중 이보다 더 중요한 일을 없을 것”이라며 이와 같이 강조했다.
## <이:PER> 위원장은 “내일 하루 일과 중 이보다 더 중요한 일을 없을 것”이라며 이와 같이 강조했다.
이	이	MM	B-PER
_	_	_	O
위원장	위원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
내일	내일	NNG	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
일과	일과	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
이	이	NP	O
보다	보다	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
없	없	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
이	이	NP	O
와	와	JKB	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 남구는 재단법인을 설립해 로컬푸드 직매장을 운영할 방침이다.
## <남구:ORG>는 재단법인을 설립해 로컬푸드 직매장을 운영할 방침이다.
남	남	NNG	B-ORG
구	구	NNG	I-ORG
는	는	JX	O
_	_	_	O
재단	재단	NNG	O
법인	법인	NNG	O
을	을	JKO	O
_	_	_	O
설립해	설립하+여	VV+EC	O
_	_	_	O
로컬	로컬	NNG	O
푸드	푸드	NNG	O
_	_	_	O
직매장	직매장	NNG	O
을	을	JKO	O
_	_	_	O
운영할	운영하+ㄹ	VV+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 언프리티랩스타 시즌2 전지윤 랩에 수아 '듣는 순간 이게 뭐지 싶었다'라고 평가…‘언프리티랩스타 시즌2’ 전지윤이 아이돌 래퍼에 대한 편견에 일침을 가했다.
## <언프리티랩스타 시즌2:POH> <전지윤:PER> 랩에 <수아:PER> '듣는 순간 이게 뭐지 싶었다'라고 평가…‘<언프리티랩스타 시즌2:POH>’ <전지윤:PER>이 아이돌 래퍼에 대한 편견에 일침을 가했다.
언	언	NNG	B-POH
프리티	프리티	NNG	I-POH
랩	랩	NNG	I-POH
스타	스타	NNG	I-POH
_	_	_	I-POH
시즌	시즌	NNG	I-POH
2	2	SN	I-POH
_	_	_	O
전지윤	전지윤	NNP	B-PER
_	_	_	O
랩	랩	NNG	O
에	에	JKB	O
_	_	_	O
수아	수아	NNP	B-PER
_	_	_	O
'	'	SS	O
듣	듣	VV	O
는	는	ETM	O
_	_	_	O
순간	순간	NNG	O
_	_	_	O
이게	이것+이	NP+JKS	O
_	_	_	O
뭐	뭐+이	NP+VCP	O
지	지	EC	O
_	_	_	O
싶	싶	VX	O
었	었	EP	O
다	다	EF	O
'	'	SS	O
라고	라고	JKQ	O
_	_	_	O
평가	평가	NNG	O
…	…	SE	O
‘	‘	SS	O
언	언	NNG	B-POH
프리티	프리티	NNG	I-POH
랩	랩	NNG	I-POH
스타	스타	NNG	I-POH
_	_	_	I-POH
시즌	시즌	NNG	I-POH
2	2	SN	I-POH
’	’	SS	O
_	_	_	O
전지윤	전지윤	NNP	B-PER
이	이	JKS	O
_	_	_	O
아이돌	아이돌	NNG	O
_	_	_	O
래퍼	래퍼	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
편견	편견	NNG	O
에	에	JKB	O
_	_	_	O
일침	일침	NNG	O
을	을	JKO	O
_	_	_	O
가	가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 하지만 그는 22와3분의2이닝을 던져 7개를 맞았다.
## 하지만 그는 <22와3분의2이닝:NOH>을 던져 <7개:NOH>를 맞았다.
하지만	하지만	MAJ	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
22	22	SN	B-NOH
와	와	JC	I-NOH
3	3	SN	I-NOH
분	분	XSN	I-NOH
의	의	JKG	I-NOH
2	2	SN	I-NOH
이닝	이닝	NNG	I-NOH
을	을	JKO	O
_	_	_	O
던져	던지+어	VV+EC	O
_	_	_	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 공정위는 롯데 해외 계열사 논란을 계기로 공정거래법을 개정하기로 했다.
## <공정위:ORG>는 <롯데:ORG> 해외 계열사 논란을 계기로 공정거래법을 개정하기로 했다.
공정	공정	NNG	B-ORG
위	위	NNG	I-ORG
는	는	JX	O
_	_	_	O
롯데	롯데	NNP	B-ORG
_	_	_	O
해외	해외	NNG	O
_	_	_	O
계열사	계열사	NNG	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
계기	계기	NNG	O
로	로	JKB	O
_	_	_	O
공정	공정	NNG	O
거래법	거래법	NNG	O
을	을	JKO	O
_	_	_	O
개정하	개정하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

