## 1
## 우리나라의 바다와 국민의 생명 및 재산을 지키는 것에는 한 치의 틈도 있어서는 안 된다”며 경비 강화를 지시했다.
## 우리나라의 바다와 국민의 생명 및 재산을 지키는 것에는 <한 치:NOH>의 틈도 있어서는 안 된다”며 경비 강화를 지시했다.
우리나라	우리나라	NNG	O
(	(	SS	O
약	약	MM	O
_	_	_	O
45	45	SN	B-NOH
km	km	SL	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
고속	고속	NNG	O
선	선	XSN	O
_	_	_	O
건설	건설	NNG	O
이	이	JKS	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
경	경	XSN	O
_	_	_	O
마무리되	마무리되	VV	O
면	면	EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
달	달	NNG	O
부터	부터	JX	O
_	_	_	O
요금	요금	NNG	O
이	이	JKS	O
_	_	_	O
현행	현행	NNG	O
보다	보다	JKB	O
_	_	_	O
2100	2100	SN	B-MNY
원	원	NNB	I-MNY
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-MNY
만	만	NR	I-MNY
4600	4600	SN	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
조정된다	조정되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 방구석에 틀어박힌 그의 외톨이 생활은 14년째 이어지고 있다.
## 방구석에 틀어박힌 그의 외톨이 생활은 <14년째:DUR> 이어지고 있다.
방구석	방구석	NNG	O
에	에	JKB	O
_	_	_	O
틀어박힌	틀어박히+ㄴ	VV+ETM	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
외톨이	외톨이	NNG	O
_	_	_	O
생활	생활	NNG	O
은	은	JX	O
_	_	_	O
14	14	SN	B-DUR
년	년	NNB	I-DUR
째	째	XSN	I-DUR
_	_	_	O
이어지	이어지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## ‘노출’로 뜬 20대 여모델, 팔로 가슴 가린 채…‘아슬아슬’
## ‘노출’로 뜬 <20대:NOH> 여모델, 팔로 가슴 가린 채…‘아슬아슬’
‘	‘	SS	O
노출	노출	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
뜬	뜨+ㄴ	VV+ETM	O
_	_	_	O
20	20	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
여	여	NNG	O
모델	모델	NNG	O
,	,	SP	O
_	_	_	O
팔	팔	NNG	O
로	로	JKB	O
_	_	_	O
가슴	가슴	NNG	O
_	_	_	O
가린	가리+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
…	…	SE	O
‘	‘	SS	O
아슬아슬	아슬아슬	MAG	O
’	’	SS	O

## 7
## 앞서 대만은 1998년 동물보호법을 제정, 공공장소 동물 도살 금지, 상업적 목적 위한 특정 동물 사용 금지 등을 금지했다.
## 앞서 <대만:ORG>은 <1998년:DAT> 동물보호법을 제정, 공공장소 동물 도살 금지, 상업적 목적 위한 특정 동물 사용 금지 등을 금지했다.
앞서	앞서	MAG	O
_	_	_	O
대만	대만	NNP	B-ORG
은	은	JX	O
_	_	_	O
1998	1998	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
동물	동물	NNG	O
보호	보호	NNG	O
법	법	NNG	O
을	을	JKO	O
_	_	_	O
제정	제정	NNG	O
,	,	SP	O
_	_	_	O
공공장소	공공장소	NNG	O
_	_	_	O
동물	동물	NNG	O
_	_	_	O
도살	도살	NNG	O
_	_	_	O
금지	금지	NNG	O
,	,	SP	O
_	_	_	O
상업적	상업적	NNG	O
_	_	_	O
목적	목적	NNG	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
특정	특정	NNG	O
_	_	_	O
동물	동물	NNG	O
_	_	_	O
사용	사용	NNG	O
_	_	_	O
금지	금지	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
금지	금지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 지난달 20일 나온 ‘삼성페이’는 기존의 페이와는 달라서 궁금한 내용이 많을 것 같네요.
## 지난달 <20일:DAT> 나온 ‘<삼성페이:ORG>’는 기존의 페이와는 달라서 궁금한 내용이 많을 것 같네요.
지난달	지난달	NNG	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
삼성	삼성	NNP	B-ORG
페이	페이	NNG	I-ORG
’	’	SS	O
는	는	JX	O
_	_	_	O
기존	기존	NNG	O
의	의	JKG	O
_	_	_	O
페이	페이	NNG	O
와	와	JKB	O
는	는	JX	O
_	_	_	O
달	다르	VA	O
라서	아서	EC	O
_	_	_	O
궁금한	궁금하+ㄴ	VA+ETM	O
_	_	_	O
내용	내용	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
네요	네요	EF	O
.	.	SF	O

## 9
## 수문장으로는 마누엘 노이어(바이에른 뮌헨)가 복귀했고, 공격진은 뮐러를 비롯해 마리오 괴체(바이에른 뮈헨)와 율리안 드락슬러(볼프스부르크)로 꾸렸다.
## 수문장으로는 <마누엘 노이어:PER>(<바이에른 뮌헨:ORG>)가 복귀했고, 공격진은 <뮐러:PER>를 비롯해 <마리오 괴체:PER>(<바이에른 뮈헨:ORG>)와 <율리안 드락슬러:PER>(<볼프스부르크:ORG>)로 꾸렸다.
수문장	수문장	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
마누엘	마누엘	NNP	B-PER
_	_	_	I-PER
노이	노이	VV	I-PER
어	어	EF	I-PER
(	(	SS	O
바이에른	바이에른	NNP	B-ORG
_	_	_	I-ORG
뮌헨	뮌헨	NNP	I-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
복귀	복귀하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
공격진	공격진	NNG	O
은	은	JX	O
_	_	_	O
뮐러	뮐러	NNP	B-PER
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
마리오	마리오	NNP	B-PER
_	_	_	I-PER
괴체	괴체	NNP	I-PER
(	(	SS	O
바이에른	바이에른	NNP	B-ORG
_	_	_	I-ORG
뮈헨	뮈헨	NNG	I-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
율리안	율리안	NNP	B-PER
_	_	_	I-PER
드락슬러	드락슬러	NNG	I-PER
(	(	SS	O
볼프스부르크	볼프스부르크	NNP	B-ORG
)	)	SS	O
로	로	JKB	O
_	_	_	O
꾸	꾸리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 재판부는 “연기자는 전문성 때문에 일정한 재량이 인정되지만 연출감독이나 현장진행자의 개별적이고 직접적인 지시를 받아 연기한다”며 “연출감독이 대본연습 때부터 연기에 관여하는 점 등을 고려할 때 방송사 측의 구체적이고 개별적인 지휘감독을 받는 것으로 볼 수 있다”고 밝혔다.
## <재판부:ORG>는 “연기자는 전문성 때문에 일정한 재량이 인정되지만 연출감독이나 현장진행자의 개별적이고 직접적인 지시를 받아 연기한다”며 “연출감독이 대본연습 때부터 연기에 관여하는 점 등을 고려할 때 방송사 측의 구체적이고 개별적인 지휘감독을 받는 것으로 볼 수 있다”고 밝혔다.
재판부	재판부	NNG	B-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
연기자	연기자	NNG	O
는	는	JX	O
_	_	_	O
전문	전문	NNG	O
성	성	XSN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
일정한	일정하+ㄴ	VA+ETM	O
_	_	_	O
재량	재량	NNG	O
이	이	JKS	O
_	_	_	O
인정되	인정되	VV	O
지만	지만	EC	O
_	_	_	O
연출	연출	NNG	O
감독	감독	NNG	O
이나	이나	JC	O
_	_	_	O
현장	현장	NNG	O
진행자	진행자	NNG	O
의	의	JKG	O
_	_	_	O
개별적	개별적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
직접적	직접적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지시	지시	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
연기한다	연기하+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
연출	연출	NNG	O
감독	감독	NNG	O
이	이	JKS	O
_	_	_	O
대본	대본	NNG	O
연습	연습	NNG	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
연기	연기	NNG	O
에	에	JKB	O
_	_	_	O
관여하	관여하	VV	O
는	는	ETM	O
_	_	_	O
점	점	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
고려할	고려하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
방송	방송	NNG	O
사	사	XSN	O
_	_	_	O
측	측	NNB	O
의	의	JKG	O
_	_	_	O
구체적	구체적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
개별적	개별적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지휘	지휘	NNG	O
감독	감독	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

