## 1
## 마지막 7km를 남긴 지점이 승부처가 될 것으로 예상된다.
## 마지막 <7km:NOH>를 남긴 지점이 승부처가 될 것으로 예상된다.
마지막	마지막	NNG	O
## <벌칸 API:POH>의 경우 <안드로이드:POH> 기기가 성능이 우수함에도 <3D:NOH> 게임 등에서 조금은 아쉬운 모습을 보여준 것을 대폭 개선할 수 있는 기술인 만큼 콘솔급의 게임을 모바일 기기에서 즐기는 시대의 막을 열어줄 기술로 기대를 모으고 있다.
벌칸	벌칸	NNG	B-POH
_	_	_	I-POH
API	API	SL	I-POH
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
안드로이드	안드로이드	NNG	B-POH
_	_	_	O
기기	기기	NNG	O
가	가	JKS	O
_	_	_	O
성능	성능	NNG	O
이	이	JKS	O
_	_	_	O
우수함에도	우수하+ㅁ에도	VA+EC	O
_	_	_	O
3	3	SN	B-NOH
D	D	SL	I-NOH
_	_	_	O
게임	게임	NNG	O
_	_	_	O
등	등	NNB	O
에서	에서	JKB	O
_	_	_	O
조금	조금	NNG	O
은	은	JX	O
_	_	_	O
아쉬	아쉽	VA	O
운	ㄴ	ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
개선할	개선하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
기술	기술	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
콘솔	콘솔	NNG	O
급	급	NNG	O
의	의	JKG	O
_	_	_	O
게임	게임	NNG	O
을	을	JKO	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
기기	기기	NNG	O
에서	에서	JKB	O
_	_	_	O
즐기	즐기	VV	O
는	는	ETM	O
_	_	_	O
시대	시대	NNG	O
의	의	JKG	O
_	_	_	O
막	막	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
줄	주+ㄹ	VX+ETM	O
_	_	_	O
기술	기술	NNG	O
로	로	JKB	O
_	_	_	O
기대	기대	NNG	O
를	를	JKO	O
_	_	_	O
모으	모으	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 아래는 현장에서 진행된 일문일답.Q. 약 4년 정도 지난 것 같다.
## 아래는 현장에서 진행된 일문일답.Q. 약 <4년:NOH> 정도 지난 것 같다.
아래	아래	NNG	O
는	는	JX	O
_	_	_	O
현장	현장	NNG	O
에서	에서	JKB	O
_	_	_	O
진행된	진행되+ㄴ	VV+ETM	O
_	_	_	O
일문일답	일문일답	NNG	O
.	.	SF	O
Q	Q	SL	O
.	.	SF	O
_	_	_	O
약	약	MM	O
_	_	_	O
4	4	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
정도	정도	NNG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 하지만 리우 올림픽 자유형 400m 예선에서는 8명이 겨루는 결승에 간신히 턱걸이한 조단 포테인(프랑스)의 기록이 3분45초25였다.
## 하지만 <리우 올림픽:POH> 자유형 <400m:NOH> 예선에서는 <8명:NOH>이 겨루는 결승에 간신히 턱걸이한 <조단 포테인:PER>(<프랑스:ORG>)의 기록이 <3분45초25:NOH>였다.
하지만	하지만	MAJ	O
_	_	_	O
리우	리우	NNP	B-POH
_	_	_	I-POH
올림픽	올림픽	NNG	I-POH
_	_	_	O
자유	자유	NNG	O
형	형	XSN	O
_	_	_	O
400	400	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
예선	예선	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
8	8	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
겨루	겨루	VV	O
는	는	ETM	O
_	_	_	O
결승	결승	NNG	O
에	에	JKB	O
_	_	_	O
간신히	간신히	MAG	O
_	_	_	O
턱걸이한	턱걸이하+ㄴ	VV+ETM	O
_	_	_	O
조단	조단	NNP	B-PER
_	_	_	I-PER
포테	포테	NNG	I-PER
인	이+ㄴ	VCP+ETM	I-PER
(	(	SS	O
프랑스	프랑스	NNP	B-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
기록	기록	NNG	O
이	이	JKS	O
_	_	_	O
3	3	SN	B-NOH
분	분	NNB	I-NOH
45	45	SN	I-NOH
초	초	NNB	I-NOH
25	25+이	SN+VCP	I-NOH
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 무실점 한국 vs 다득점 호주 한국과 호주의 결승전은 ‘창과 방패’의 대결이다.
## 무실점 <한국:ORG> vs 다득점 <호주:ORG> <한국:ORG>과 <호주:ORG>의 결승전은 ‘창과 방패’의 대결이다.
무실점	무실점	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
vs	vs	SL	O
_	_	_	O
다	다	XPN	O
득점	득점	NNG	O
_	_	_	O
호주	호주	NNP	B-ORG
_	_	_	O
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
호주	호주	NNP	B-ORG
의	의	JKG	O
_	_	_	O
결승전	결승전	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
창	창	NNG	O
과	과	JC	O
_	_	_	O
방패	방패	NNG	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
대결	대결	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 조씨는 “전자출판 분야 참가자들은 대부분 20~30대고 청각장애인 친구들이 많아 내게 불리한 면이 없지 않다”며 “수상을 위해 3개월째 1주일에 한 번씩 전담 선생님의 교육을 받고 있다”고 전했다.
## <조:PER>씨는 “전자출판 분야 참가자들은 대부분 <20:NOH>~<30대:NOH>고 청각장애인 친구들이 많아 내게 불리한 면이 없지 않다”며 “수상을 위해 <3개월째:DUR> <1주일:NOH>에 <한 번:NOH>씩 전담 선생님의 교육을 받고 있다”고 전했다.
조	조	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
전자	전자	NNG	O
출판	출판	NNG	O
_	_	_	O
분야	분야	NNG	O
_	_	_	O
참가자	참가자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
20	20	SN	B-NOH
~	~	SO	O
30	30	SN	B-NOH
대	대	VV	I-NOH
고	고	EC	O
_	_	_	O
청각	청각	NNG	O
장애인	장애인	NNG	O
_	_	_	O
친구	친구	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
아	아	EC	O
_	_	_	O
내게	나+에게	NP+JKB	O
_	_	_	O
불리한	불리하+ㄴ	VA+ETM	O
_	_	_	O
면	면	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
수상	수상	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
3	3	SN	B-DUR
개월	개월	NNB	I-DUR
째	째	XSN	I-DUR
_	_	_	O
1	1	SN	B-NOH
주일	주일	NNB	I-NOH
에	에	JKB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
전담	전담	NNG	O
_	_	_	O
선생님	선생님	NNG	O
의	의	JKG	O
_	_	_	O
교육	교육	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 「한글윈도」를 실행하면 프로그램관리자가 나타난다.
## 「<한글윈도:POH>」를 실행하면 프로그램관리자가 나타난다.
「	「	SS	O
한글	한글	NNG	B-POH
윈도	윈도	NNG	I-POH
」	」	SS	O
를	를	JKO	O
_	_	_	O
실행하	실행하	VV	O
면	면	EC	O
_	_	_	O
프로그램	프로그램	NNG	O
관리자	관리자	NNG	O
가	가	JKS	O
_	_	_	O
나타난다	나타나+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 이에 따라 아파트 분양가가 최고 1.43%까지 오를 것으로 전망된다.
## 이에 따라 아파트 분양가가 최고 <1.43%:PNT>까지 오를 것으로 전망된다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
분양	분양	NNG	O
가	가	XSN	O
가	가	JKS	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
1.43	1.43	SN	B-PNT
%	%	SW	I-PNT
까지	까지	JX	O
_	_	_	O
오를	오르+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전망된다	전망되+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 정 전 비서관은 검찰 조사 과정에서 최씨에게 태블릿PC에 담긴 대통령 연설문 등 주요 청와대 자료와 서류 형태의 자료를 넘긴 사실을 처음으로 시인하기 시작했다.
## <정:PER> 전 비서관은 검찰 조사 과정에서 <최:PER>씨에게 태블릿PC에 담긴 대통령 연설문 등 주요 <청와대:ORG> 자료와 서류 형태의 자료를 넘긴 사실을 처음으로 시인하기 시작했다.
정	정	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
비서관	비서관	NNG	O
은	은	JX	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
최	최	NNP	B-PER
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
태블릿	태블릿	NNG	O
PC	PC	SL	O
에	에	JKB	O
_	_	_	O
담긴	담기+ㄴ	VV+ETM	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
연설문	연설문	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
자료	자료	NNG	O
와	와	JC	O
_	_	_	O
서류	서류	NNG	O
_	_	_	O
형태	형태	NNG	O
의	의	JKG	O
_	_	_	O
자료	자료	NNG	O
를	를	JKO	O
_	_	_	O
넘긴	넘기+ㄴ	VV+ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
시인하	시인하	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## ◆검찰, 송성각 체포=검찰은 7일 밤 송성각(58) 전 한국콘텐츠진흥원장을 뇌물·공동강요 혐의로 체포했다.
## ◆검찰, <송성각:PER> 체포=검찰은 <7일:DAT> 밤 <송성각:PER>(<58:NOH>) 전 <한국콘텐츠진흥원:ORG>장을 뇌물·공동강요 혐의로 체포했다.
◆	◆	SW	O
검찰	검찰	NNG	O
,	,	SP	O
_	_	_	O
송성각	송성각	NNP	B-PER
_	_	_	O
체포	체포	NNG	O
=	=	SW	O
검찰	검찰	NNG	O
은	은	JX	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밤	밤	NNG	O
_	_	_	O
송성각	송성각	NNP	B-PER
(	(	SS	O
58	58	SN	B-NOH
)	)	SS	O
_	_	_	O
전	전	NNG	O
_	_	_	O
한국콘텐츠진흥원	한국콘텐츠진흥원	NNP	B-ORG
장	장	XSN	O
을	을	JKO	O
_	_	_	O
뇌물	뇌물	NNG	O
·	·	SP	O
공동	공동	NNG	O
강요	강요	NNG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
체포	체포하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

