## 1
## 최근 3년간 블로그, 소셜네트워크서비스(SNS) 글을 분석해보니 스테이크 요리법 언급이 높았기 때문이다.
## 최근 <3년간:DUR> 블로그, 소셜네트워크서비스(SNS) 글을 분석해보니 스테이크 요리법 언급이 높았기 때문이다.
최근	최근	NNG	O
## <알왈리드:PER> 회장의 아버지인 <탈랄 빈 압둘아지즈 알사우드:PER>(<84:NOH>)는 <압둘아지즈:PER>의 아들들 중 가장 진보적인 성향으로 ‘붉은 왕자’라는 별명이 있다.
알왈리드	알왈리드	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
아버지	아버지	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
탈랄	탈랄	NNP	B-PER
_	_	_	I-PER
빈	빈	NNP	I-PER
_	_	_	I-PER
압둘아지즈	압둘아지즈	NNP	I-PER
_	_	_	I-PER
알	알	NNP	I-PER
사우드	사우드	NNP	I-PER
(	(	SS	O
84	84	SN	B-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
압둘아지즈	압둘아지즈	NNP	B-PER
의	의	JKG	O
_	_	_	O
아들	아들	NNG	O
들	들	XSN	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
진보적	진보적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
성향	성향	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
붉	붉	VA	O
은	은	ETM	O
_	_	_	O
왕자	왕자	NNG	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
별명	별명	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 유가족들은 우울 및 절망(53.5%), 불면증(45.2%), 분노(45.2%), 불안(32.9%)을 호소하고 있는 것으로 나타났다.
## 유가족들은 우울 및 절망(<53.5%:PNT>), 불면증(<45.2%:PNT>), 분노(<45.2%:PNT>), 불안(<32.9%:PNT>)을 호소하고 있는 것으로 나타났다.
유가족	유가족	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
우울	우울	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
절망	절망	NNG	O
(	(	SS	O
53.5	53.5	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
불면증	불면증	NNG	O
(	(	SS	O
45.2	45.2	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
분노	분노	NNG	O
(	(	SS	O
45.2	45.2	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
불안	불안	NNG	O
(	(	SS	O
32.9	32.9	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
을	을	JKO	O
_	_	_	O
호소하	호소하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## '에콰도르 코토팍시 화산 분출' 에콰도르의 코토팍시 화산 분출 시작에 지난 15일(현지시간) 대피령이 내려졌다.
## '<에콰도르:LOC> <코토팍시:LOC> 화산 분출' <에콰도르:LOC>의 <코토팍시:LOC> 화산 분출 시작에 지난 <15일:DAT>(현지시간) 대피령이 내려졌다.
'	'	SS	O
에콰도르	에콰도르	NNP	B-LOC
_	_	_	O
코토팍시	코토팍시	NNG	B-LOC
_	_	_	O
화산	화산	NNG	O
_	_	_	O
분출	분출	NNG	O
'	'	SS	O
_	_	_	O
에콰도르	에콰도르	NNP	B-LOC
의	의	JKG	O
_	_	_	O
코토팍시	코토팍시	NNG	B-LOC
_	_	_	O
화산	화산	NNG	O
_	_	_	O
분출	분출	NNG	O
_	_	_	O
시작	시작	NNG	O
에	에	JKB	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
대피령	대피령	NNG	O
이	이	JKS	O
_	_	_	O
내려	내려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

