## 1
## 메시는 바르셀로나에서 524경기에 출전해 450골을 터뜨렸고, 아르헨티나 대표팀 멤버로 A매치 107경기에 출전해 50골을 넣었다.
## <메시:PER>는 <바르셀로나:ORG>에서 <524경기:NOH>에 출전해 <450골:NOH>을 터뜨렸고, <아르헨티나:ORG> 대표팀 멤버로 A매치 <107경기:NOH>에 출전해 <50골:NOH>을 넣었다.
메시	메시	NNP	B-PER
은	은	JX	O
_	_	_	O
6000	6000	SN	B-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
주	주	NNG	O
중	중	NNB	O
_	_	_	O
일반	일반	NNG	O
은	은	JX	O
_	_	_	O
9000	9000	SN	B-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
주말	주말	NNG	O
_	_	_	O
일반	일반	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## A조에 속한 한국은 태국(13일), 바레인(17일), 사우디(20일) 순으로 조별리그를 펼친다.
## A조에 속한 <한국:ORG>은 <태국:ORG>(<13일:DAT>), <바레인:ORG>(<17일:DAT>), <사우디:ORG>(<20일:DAT>) 순으로 조별리그를 펼친다.
A	A	SL	O
조	조	NNG	O
에	에	JKB	O
_	_	_	O
속한	속하+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
태국	태국	NNP	B-ORG
(	(	SS	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
,	,	SP	O
_	_	_	O
바레인	바레인	NNP	B-ORG
(	(	SS	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
,	,	SP	O
_	_	_	O
사우디	사우디	NNP	B-ORG
(	(	SS	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
_	_	_	O
순	순	NNG	O
으로	으로	JKB	O
_	_	_	O
조별	조별	NNG	O
리그	리그	NNG	O
를	를	JKO	O
_	_	_	O
펼친다	펼치+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 관련 법 조항이 헌법재판소의 헌법 불합치 및 한정위헌 결정을 받은 데다
## 관련 법 조항이 <헌법재판소:ORG>의 헌법 불합치 및 한정위헌 결정을 받은 데다
관련	관련	NNG	O
_	_	_	O
법	법	NNG	O
_	_	_	O
조항	조항	NNG	O
이	이	JKS	O
_	_	_	O
헌법	헌법	NNG	B-ORG
재판소	재판소	NNG	I-ORG
의	의	JKG	O
_	_	_	O
헌법	헌법	NNG	O
_	_	_	O
불	불	XPN	O
합치	합치	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
한정	한정	NNG	O
위헌	위헌	NNG	O
_	_	_	O
결정	결정	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
데	데	NNB	O
다	다	JX	O

## 7
## BK는 ‘두뇌한국(Brain Korea)’의 약자로 BK21은 정부가 세계적 수준의 대학원 육성과 지방대의 교육연구역량 강화를 목표로 만든 프로그램이고, BK21플러스(2013~2019년)는 창조경제 실현을 위한 석·박사급 창의인재양성을 위해 예산을 지원하는 사업이다.
## <BK:POH>는 ‘<두뇌한국(Brain Korea):POH>’의 약자로 <BK21:POH>은 정부가 세계적 수준의 대학원 육성과 지방대의 교육연구역량 강화를 목표로 만든 프로그램이고, <BK21플러스:POH>(<2013~2019년:DUR>)는 창조경제 실현을 위한 석·박사급 창의인재양성을 위해 예산을 지원하는 사업이다.
BK	BK	SL	B-POH
는	는	JX	O
_	_	_	O
‘	‘	SS	O
두뇌	두뇌	NNG	B-POH
한국	한국	NNP	I-POH
(	(	SS	I-POH
Brain	Brain	SL	I-POH
_	_	_	I-POH
Korea	Korea	SL	I-POH
)	)	SS	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
약자	약자	NNG	O
로	로	JKB	O
_	_	_	O
BK	BK	SL	B-POH
21	21	SN	I-POH
은	은	JX	O
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
세계적	세계적	NNG	O
_	_	_	O
수준	수준	NNG	O
의	의	JKG	O
_	_	_	O
대학	대학	NNG	O
원	원	NNG	O
_	_	_	O
육성	육성	NNG	O
과	과	JC	O
_	_	_	O
지방	지방	NNG	O
대	대	NNG	O
의	의	JKG	O
_	_	_	O
교육	교육	NNG	O
연구	연구	NNG	O
역량	역량	NNG	O
_	_	_	O
강화	강화	NNG	O
를	를	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
프로그램	프로그램	NNG	O
이	이	VCP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
BK	BK	SL	B-POH
21	21	SN	I-POH
플러스	플러스	NNG	I-POH
(	(	SS	O
2013	2013	SN	B-DUR
~	~	SO	I-DUR
2019	2019	SN	I-DUR
년	년	NNB	I-DUR
)	)	SS	O
는	는	JX	O
_	_	_	O
창조	창조	NNG	O
경제	경제	NNG	O
_	_	_	O
실현	실현	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
석	석	NNG	O
·	·	SP	O
박사	박사	NNG	O
급	급	NNG	O
_	_	_	O
창의	창의	NNG	O
인재	인재	NNG	O
양성	양성	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
예산	예산	NNG	O
을	을	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
사업	사업	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 100세 시대를 맞아 아름다운 삶을 오래 살기 위한 ‘건강 도시 부산’ 만들기 행사가 마련된다.
## <100세:NOH> 시대를 맞아 아름다운 삶을 오래 살기 위한 ‘건강 도시 <부산:LOC>’ 만들기 행사가 마련된다.
100	100	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
시대	시대	NNG	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
아름다	아름답	VA	O
운	ㄴ	ETM	O
_	_	_	O
삶	삶	NNG	O
을	을	JKO	O
_	_	_	O
오래	오래	MAG	O
_	_	_	O
살	살	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
건강	건강	NNG	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
부산	부산	NNP	B-LOC
’	’	SS	O
_	_	_	O
만들	만들	VV	O
기	기	ETN	O
_	_	_	O
행사	행사	NNG	O
가	가	JKS	O
_	_	_	O
마련된다	마련되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 그룹 ‘하이라이트’ 멤버 양요섭이 “내 자식에게는 아이돌 말고 가수를 시킬 것”이라고 포부를 밝혔다.
## 그룹 ‘<하이라이트:ORG>’ 멤버 <양요섭:PER>이 “내 자식에게는 아이돌 말고 가수를 시킬 것”이라고 포부를 밝혔다.
그룹	그룹	NNG	O
_	_	_	O
‘	‘	SS	O
하이라이트	하이라이트	NNG	B-ORG
’	’	SS	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
양요섭	양요섭	NNP	B-PER
이	이	JKS	O
_	_	_	O
“	“	SS	O
내	나+의	NP+JKG	O
_	_	_	O
자식	자식	NNG	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
아이	아이	NNG	O
돌	돌	NNG	O
_	_	_	O
말	말	VV	O
고	고	EC	O
_	_	_	O
가수	가수	NNG	O
를	를	JKO	O
_	_	_	O
시킬	시키+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
포부	포부	NNG	O
를	를	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 보행데크 연결이 완료되면 청계천을 지나는 유동인구를 흡수할 수 있다.
## 보행데크 연결이 완료되면 <청계천:LOC>을 지나는 유동인구를 흡수할 수 있다.
보행	보행	NNG	O
데크	데크	NNG	O
_	_	_	O
연결	연결	NNG	O
이	이	JKC	O
_	_	_	O
완료되	완료되	VV	O
면	면	EC	O
_	_	_	O
청계천	청계천	NNP	B-LOC
을	을	JKO	O
_	_	_	O
지나	지나	VV	O
는	는	ETM	O
_	_	_	O
유동	유동	NNG	O
인구	인구	NNG	O
를	를	JKO	O
_	_	_	O
흡수할	흡수하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 지난 21일 방송된 '해피투게더3' 에서는 그룹 빅뱅 멤버 지드래곤, 탑, 승리, 태양, 대성이 출연해 유쾌한 입담을 뽐냈다.
## 지난 <21일:DAT> 방송된 '<해피투게더3:POH>' 에서는 그룹 <빅뱅:ORG> 멤버 <지드래곤:PER>, <탑:PER>, <승리:PER>, <태양:PER>, <대성:PER>이 출연해 유쾌한 입담을 뽐냈다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
'	'	SS	O
해피투게더	해피투게더	NNP	B-POH
3	3	SN	I-POH
'	'	SS	O
_	_	_	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
빅뱅	빅뱅	NNP	B-ORG
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
지드래곤	지드래곤	NNP	B-PER
,	,	SP	O
_	_	_	O
탑	탑	NNG	B-PER
,	,	SP	O
_	_	_	O
승리	승리	NNG	B-PER
,	,	SP	O
_	_	_	O
태양	태양	NNG	B-PER
,	,	SP	O
_	_	_	O
대성이	대성이	NNP	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
유쾌한	유쾌하+ㄴ	VA+ETM	O
_	_	_	O
입담	입담	NNG	O
을	을	JKO	O
_	_	_	O
뽐냈	뽐내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 23일 금융권에 따르면 5개 금융기관의 필기시험에서 객관식, 단답형, 약술형, 논술형 등 다양한 유형의 문제가 출제됐다.
## <23일:DAT> 금융권에 따르면 <5개:NOH> 금융기관의 필기시험에서 객관식, 단답형, 약술형, 논술형 등 다양한 유형의 문제가 출제됐다.
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
금융	금융	NNG	O
권	권	XSN	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
금융	금융	NNG	O
기관	기관	NNG	O
의	의	JKG	O
_	_	_	O
필기시험	필기시험	NNG	O
에서	에서	JKB	O
_	_	_	O
객관식	객관식	NNG	O
,	,	SP	O
_	_	_	O
단	단	NNG	O
답	답	NNG	O
형	형	XSN	O
,	,	SP	O
_	_	_	O
약술	약술	NNG	O
형	형	XSN	O
,	,	SP	O
_	_	_	O
논술	논술	NNG	O
형	형	XSN	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
유형	유형	NNG	O
의	의	JKG	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
출제	출제되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 백은 하변 6점을 흑에게 내줘 실리로는 큰 손해를 봤지만 중앙에서 주도권을 잡고 88까지 죽죽 밀어붙이고 있다.
## 백은 하변 <6점:NOH>을 흑에게 내줘 실리로는 큰 손해를 봤지만 중앙에서 주도권을 잡고 <88:NOH>까지 죽죽 밀어붙이고 있다.
백	백	NNG	O
은	은	JX	O
_	_	_	O
하변	하변	NNG	O
_	_	_	O
6	6	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
흑	흑	NNG	O
에게	에게	JKB	O
_	_	_	O
내줘	내주+어	VV+EC	O
_	_	_	O
실리	실리	NNG	O
로	로	JKB	O
는	는	JX	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
손해	손해	NNG	O
를	를	JKO	O
_	_	_	O
봤	+았	+EP	O
지만	지만	EC	O
_	_	_	O
중앙	중앙	NNG	O
에서	에서	JKB	O
_	_	_	O
주도권	주도권	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
고	고	EC	O
_	_	_	O
88	88	SN	B-NOH
까지	까지	JX	O
_	_	_	O
죽죽	죽죽	MAG	O
_	_	_	O
밀어붙이	밀어붙이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 14
## 황영철 의원은 라디오에 나와 “반 총장이 어느 정치 지형에서 (정치를) 할 것인가 하는 선택이 매우 큰 변수가 될 것”이라고 말했다.
## <황영철:PER> 의원은 라디오에 나와 “<반:PER> 총장이 어느 정치 지형에서 (정치를) 할 것인가 하는 선택이 매우 큰 변수가 될 것”이라고 말했다.
황영철	황영철	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
라디오	라디오	NNG	O
에	에	JKB	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
“	“	SS	O
반	반	XPN	B-PER
_	_	_	O
총장	총장	NNG	O
이	이	JKS	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
정치	정치	NNG	O
_	_	_	O
지형	지형	NNG	O
에서	에서	JKB	O
_	_	_	O
(	(	SS	O
정치	정치	NNG	O
를	를	JKO	O
)	)	SS	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
인가	이+ㄴ가	VCP+EC	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
선택	선택	NNG	O
이	이	JKS	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
변수	변수	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 1년간 행방이 묘연했던 교민은 알고 보니 한국에 있었다.
## <1년간:DUR> 행방이 묘연했던 교민은 알고 보니 <한국:LOC>에 있었다.
1	1	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
행방	행방	NNG	O
이	이	JKS	O
_	_	_	O
묘연	묘연하	VA	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
교민	교민	NNG	O
은	은	JX	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
보	보	VX	O
니	니	EC	O
_	_	_	O
한국	한국	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 파리바게뜨는 79점을, 뚜레쥬르는 71점을 기록했다.
## <파리바게뜨:ORG>는 <79점:NOH>을, <뚜레쥬르:ORG>는 <71점:NOH>을 기록했다.
파리바게뜨	파리바게뜨	NNP	B-ORG
는	는	JX	O
_	_	_	O
79	79	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
,	,	SP	O
_	_	_	O
뚜레쥬르	뚜레쥬르	NNP	B-ORG
는	는	JX	O
_	_	_	O
71	71	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

