## 1
## 서울 동대문에서 꽃집을 운영하는 김성철(가명·35)씨는 “궂은일에 현금도 아니고 꽃을 보내 주는 미풍양속까지 청탁이라며 법으로 다루는 건 난센스”라고 목소리를 높였다.
## <서울 동대문:LOC>에서 꽃집을 운영하는 <김성철:PER>(가명·<35:NOH>)씨는 “궂은일에 현금도 아니고 꽃을 보내 주는 미풍양속까지 청탁이라며 법으로 다루는 건 난센스”라고 목소리를 높였다.
서울	서울	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
몸	몸	NNG	O
을	을	JKO	O
_	_	_	O
틀	틀	VV	O
고	고	EC	O
_	_	_	O
나서	나+아서	VX+EC	O
_	_	_	O
술잔	술잔	NNG	O
을	을	JKO	O
_	_	_	O
마저	마저	MAG	O
_	_	_	O
비	비우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 올해 개교 160주년, 통합 20주년을 맞은 가톨릭대학교는 교육 수혜자인 학생과 학부모의 목소리에 귀 기울이며 소통과 화합을 주도하는 윤리적 인재 양성을 목표로 성장하고 있다.
## 올해 개교 <160주년:NOH>, 통합 <20주년:NOH>을 맞은 <가톨릭대학교:ORG>는 교육 수혜자인 학생과 학부모의 목소리에 귀 기울이며 소통과 화합을 주도하는 윤리적 인재 양성을 목표로 성장하고 있다.
올해	올해	NNG	O
_	_	_	O
개	개	NNB	O
교	교	NNG	O
_	_	_	O
160	160	SN	B-NOH
주년	주년	NNB	I-NOH
,	,	SP	O
_	_	_	O
통합	통합	NNG	O
_	_	_	O
20	20	SN	B-NOH
주년	주년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
은	은	ETM	O
_	_	_	O
가톨릭대학교	가톨릭대학교	NNP	B-ORG
는	는	JX	O
_	_	_	O
교육	교육	NNG	O
_	_	_	O
수혜자	수혜자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
학생	학생	NNG	O
과	과	JC	O
_	_	_	O
학부모	학부모	NNG	O
의	의	JKG	O
_	_	_	O
목소리	목소리	NNG	O
에	에	JKB	O
_	_	_	O
귀	귀	NNG	O
_	_	_	O
기울이	기울이	VV	O
며	며	EC	O
_	_	_	O
소통	소통	NNG	O
과	과	JKB	O
_	_	_	O
화합	화합	NNG	O
을	을	JKO	O
_	_	_	O
주도하	주도하	VV	O
는	는	ETM	O
_	_	_	O
윤리적	윤리적	NNG	O
_	_	_	O
인재	인재	NNG	O
_	_	_	O
양성	양성	NNG	O
을	을	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
성장하	성장하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 김 교수는 또 “쿡방 덕분에 누구든 쉽게 요리를 해보고자 하는 심리가 생겼다”며 “집에서 쉽고 빠르게 만들 수 있는 콘텐트인 만큼 집밥과 인스타그릇은 앞으로도 계속 인기를 끌 것”이라고 전망했다.
## <김:PER> 교수는 또 “쿡방 덕분에 누구든 쉽게 요리를 해보고자 하는 심리가 생겼다”며 “집에서 쉽고 빠르게 만들 수 있는 콘텐트인 만큼 집밥과 인스타그릇은 앞으로도 계속 인기를 끌 것”이라고 전망했다.
김	김	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
쿡방	쿡방	NNG	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
누구	누구	NP	O
든	든	JX	O
_	_	_	O
쉽	쉽	VA	O
게	게	EC	O
_	_	_	O
요리	요리	NNG	O
를	를	JKO	O
_	_	_	O
해	하+여	VV+EC	O
보	보	VX	O
고자	고자	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
심리	심리	NNG	O
가	가	JKS	O
_	_	_	O
생	생기	VV	O
겼	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
집	집	NNG	O
에서	에서	JKB	O
_	_	_	O
쉽	쉽	VA	O
고	고	EC	O
_	_	_	O
빠르	빠르	VA	O
게	게	EC	O
_	_	_	O
만들	만들+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
콘텐트	콘텐트	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
집	집	NNG	O
밥	밥	NNG	O
과	과	JC	O
_	_	_	O
인스타	인스타	NNP	O
그릇	그릇	NNG	O
은	은	JX	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
끌	끌+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
전망	전망하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이동진 도봉구청장은 “가인 김병로길 명예도로명 부여로 도봉구가 역사와 현대가 공존하는 역사문화도시로 자리매김할 것으로 기대한다”며 “앞으로 관내 문화사업과 연계한 명예도로명을 추가로 부여해 지역 문화 발전에 힘쓰겠다”고 말했다.
## <이동진:PER> <도봉구청:ORG>장은 “<가인 김병로길:LOC> 명예도로명 부여로 <도봉구:ORG>가 역사와 현대가 공존하는 역사문화도시로 자리매김할 것으로 기대한다”며 “앞으로 관내 문화사업과 연계한 명예도로명을 추가로 부여해 지역 문화 발전에 힘쓰겠다”고 말했다.
이동진	이동진	NNP	B-PER
_	_	_	O
도봉구	도봉구	NNP	B-ORG
청장	청장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
가인	가인	NNP	B-LOC
_	_	_	I-LOC
김병로	김병로	NNP	I-LOC
길	길	NNG	I-LOC
_	_	_	O
명예	명예	NNG	O
도로	도로	NNG	O
명	명	NNG	O
_	_	_	O
부여	부여	NNP	O
로	로	JKB	O
_	_	_	O
도봉구	도봉구	NNP	B-ORG
가	가	JKS	O
_	_	_	O
역사	역사	NNG	O
와	와	JC	O
_	_	_	O
현대	현대	NNG	O
가	가	JKS	O
_	_	_	O
공존하	공존하	VV	O
는	는	ETM	O
_	_	_	O
역사	역사	NNG	O
문화	문화	NNG	O
도시	도시	NNG	O
로	로	JKB	O
_	_	_	O
자리	자리	NNG	O
매김	매기+ㅁ	VV+ETN	O
할	하+ㄹ	XSV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
기대한다	기대하+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
관내	관내	NNG	O
_	_	_	O
문화	문화	NNG	O
사업	사업	NNG	O
과	과	JKB	O
_	_	_	O
연계한	연계하+ㄴ	VV+ETM	O
_	_	_	O
명예	명예	NNG	O
도로	도로	NNG	O
명	명	NNG	O
을	을	JKO	O
_	_	_	O
추가	추가	NNG	O
로	로	JKB	O
_	_	_	O
부여해	부여하+여	VV+EC	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
문화	문화	NNG	O
_	_	_	O
발전	발전	NNG	O
에	에	JKB	O
_	_	_	O
힘쓰	힘쓰	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## '풍문으로 들었소' 乙들의 반란, 甲에게 영향 줬을까? '동화같은 해피엔딩'
## '<풍문으로 들었소:POH>' 乙들의 반란, 甲에게 영향 줬을까? '동화같은 해피엔딩'
'	'	SS	O
풍문	풍문	NNG	B-POH
으로	으로	JKB	I-POH
_	_	_	I-POH
들	듣	VV	I-POH
었	었	EP	I-POH
소	소	EF	I-POH
'	'	SS	O
_	_	_	O
乙	乙	SH	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
반란	반란	NNG	O
,	,	SP	O
_	_	_	O
甲	甲	SH	O
에게	에게	JKB	O
_	_	_	O
영향	영향	NNG	O
_	_	_	O
줬	+었	+EP	O
을까	을까	EF	O
?	?	SF	O
_	_	_	O
'	'	SS	O
동화	동화	NNG	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
해피	해피	NNG	O
엔딩	엔딩	NNG	O
'	'	SS	O

## 9
## 신동빈 회장은 日 머물며 사태 수습
## <신동빈:PER> 회장은 <日:ORG> 머물며 사태 수습
신동빈	신동빈	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
日	日	SH	B-ORG
_	_	_	O
머물	머물	VV	O
며	며	EC	O
_	_	_	O
사태	사태	NNG	O
_	_	_	O
수습	수습	NNG	O

