## 1
## NHK 등 일 언론은 27일 심야에 이 소식이 전해지자마자 긴급 속보를 전하며 충격에 빠졌다.
## <NHK:POH> 등 <일:ORG> 언론은 <27일:DAT> 심야에 이 소식이 전해지자마자 긴급 속보를 전하며 충격에 빠졌다.
NHK	NHK	SL	B-POH
다	다	EF	O
.	.	SF	O

## 7
## #실적부진으로 비상 경영 중인 포스코그룹은 20일 자사주매입 프로그램을 도입했다.
## #실적부진으로 비상 경영 중인 <포스코그룹:ORG>은 <20일:DAT> 자사주매입 프로그램을 도입했다.
#	#	SW	O
실적	실적	NNG	O
부진	부진	NNG	O
으로	으로	JKB	O
_	_	_	O
비상	비상	NNG	O
_	_	_	O
경영	경영	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
포스코	포스코	NNP	B-ORG
그룹	그룹	NNG	I-ORG
은	은	JX	O
_	_	_	O
20	20	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
자사	자사	NNG	O
주	주	NNG	O
매입	매입	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
도입	도입하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 전진수 GKL노동조합 위원장은 “우리 단체는 노조의 사회적 책무에 관심이 많아 오래 전부터 저소득층에 쌀을 지원하는 등 각종 기부활동에 활발하게 참여하고 있다”면서 “이곳이 어린이들의 꿈을 키우는 공간으로 잘 활용됐으면 좋겠다”고 말했다.
## <전진수:PER> <GKL노동조합:ORG> 위원장은 “우리 단체는 노조의 사회적 책무에 관심이 많아 오래 전부터 저소득층에 쌀을 지원하는 등 각종 기부활동에 활발하게 참여하고 있다”면서 “이곳이 어린이들의 꿈을 키우는 공간으로 잘 활용됐으면 좋겠다”고 말했다.
전	전	NNG	B-PER
진수	진수	NNP	I-PER
_	_	_	O
GKL	GKL	SL	B-ORG
노동조합	노동조합	NNG	I-ORG
_	_	_	O
위원장	위원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
우리	우리	NP	O
_	_	_	O
단체	단체	NNG	O
는	는	JX	O
_	_	_	O
노조	노조	NNG	O
의	의	JKG	O
_	_	_	O
사회적	사회적	NNG	O
_	_	_	O
책무	책무	NNG	O
에	에	JKB	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
아	아	EC	O
_	_	_	O
오래	오래	MAG	O
_	_	_	O
전	전	NNG	O
부터	부터	JX	O
_	_	_	O
저소득층	저소득층	NNG	O
에	에	JKB	O
_	_	_	O
쌀	쌀	NNG	O
을	을	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
기부	기부	NNG	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
활발하	활발하	VA	O
게	게	EC	O
_	_	_	O
참여하	참여하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
이곳	이곳	NP	O
이	이	JKS	O
_	_	_	O
어린이	어린이	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
꿈	꿈	NNG	O
을	을	JKO	O
_	_	_	O
키우	키우	VV	O
는	는	ETM	O
_	_	_	O
공간	공간	NNG	O
으로	으로	JKB	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
활용	활용되	VV	O
됐	었	EP	O
으면	으면	EC	O
_	_	_	O
좋	좋	VA	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 연간 음주운전차량 동승 경험률 역시 2013년 8.1%에서 지난해 11.3%로 늘었다.
## 연간 음주운전차량 동승 경험률 역시 <2013년:DAT> <8.1%:PNT>에서 지난해 <11.3:PNT>%로 늘었다.
연간	연간	NNG	O
_	_	_	O
음주	음주	NNG	O
운전	운전	NNG	O
차량	차량	NNG	O
_	_	_	O
동승	동승	NNP	O
_	_	_	O
경험	경험	NNG	O
률	률	XSN	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
8.1	8.1	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
11.3	11.3	SN	B-PNT
%	%	SW	O
로	로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 연령 관련 황반변성은 크게 건성과 습성으로 나뉘는데, 습성은 전체에서 10~20%로 적지만, 황반변성 실명의 80% 이상을 차지하니 주의해야 합니다.
## 연령 관련 황반변성은 크게 건성과 습성으로 나뉘는데, 습성은 전체에서 <10:PNT>~<20%:PNT>로 적지만, 황반변성 실명의 <80%:PNT> 이상을 차지하니 주의해야 합니다.
연령	연령	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
황반	황반	NNG	O
변성	변성	NNG	O
은	은	JX	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
건성	건성	NNG	O
과	과	JC	O
_	_	_	O
습성	습성	NNG	O
으로	으로	JKB	O
_	_	_	O
나뉘	나뉘	VV	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
습성	습성	NNG	O
은	은	JX	O
_	_	_	O
전체	전체	NNG	O
에서	에서	JKB	O
_	_	_	O
10	10	SN	B-PNT
~	~	SO	O
20	20	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
적	적	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
황반	황반	NNG	O
변성	변성	NNG	O
_	_	_	O
실명	실명	NNG	O
의	의	JKG	O
_	_	_	O
80	80	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
차지하	차지하	VV	O
니	니	EC	O
_	_	_	O
주의해야	주의하+여야	VV+EC	O
_	_	_	O
합니다	하+ㅂ니다	VX+EF	O
.	.	SF	O

## 11
## 지역별로 보면 남자 현재흡연율은 14개 시·도에서 감소하였고(2개 시·도 증가), 특히 울산이 가장 높은 감소폭을 보였다.
## 지역별로 보면 남자 현재흡연율은 <14개:NOH> 시·도에서 감소하였고(<2개:NOH> 시·도 증가), 특히 <울산:LOC>이 가장 높은 감소폭을 보였다.
지역	지역	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
남자	남자	NNG	O
_	_	_	O
현재	현재	NNG	O
흡연	흡연	NNG	O
율	율	XSN	O
은	은	JX	O
_	_	_	O
14	14	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
시	시	NNG	O
·	·	SP	O
도	도	NNG	O
에서	에서	JKB	O
_	_	_	O
감소하	감소하	VV	O
였	였	EP	O
고	고	EF	O
(	(	SS	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
시	시	NNG	O
·	·	SP	O
도	도	NNG	O
_	_	_	O
증가	증가	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
울산	울산	NNP	B-LOC
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
감소	감소	NNG	O
폭	폭	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## (’08년 51.9% → ’14년 42.6%, ‘08년 대비 9.3%p감소) 고위험음주율은 8개 시·도에서 감소(7개 시·도 증가)했고, 특히 강원이 가장 높은 감소폭을 보였다.
## (’<08년:DAT> <51.9%:PNT> → ’<14년:DAT> <42.6%:PNT>, ‘<08년:DAT> 대비 <9.3%p:PNT>감소) 고위험음주율은 <8개:NOH> 시·도에서 감소(<7개:NOH> 시·도 증가)했고, 특히 <강원:LOC>이 가장 높은 감소폭을 보였다.
(	(	SS	O
’	’	SS	O
08	08	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
51.9	51.9	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
→	→	SW	O
_	_	_	O
’	’	SS	O
14	14	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
42.6	42.6	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
‘	‘	SS	O
08	08	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대비	대비	NNG	O
_	_	_	O
9.3	9.3	SN	B-PNT
%	%	SW	I-PNT
p	p	SL	I-PNT
감소	감소	NNG	O
)	)	SS	O
_	_	_	O
고	고	XPN	O
위험	위험	NNG	O
음주	음주	NNG	O
율	율	XSN	O
은	은	JX	O
_	_	_	O
8	8	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
시	시	NNG	O
·	·	SP	O
도	도	NNG	O
에서	에서	JKB	O
_	_	_	O
감소	감소	NNG	O
(	(	SS	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
시	시	NNG	O
·	·	SP	O
도	도	NNG	O
_	_	_	O
증가	증가	NNG	O
)	)	SS	O
했	하+였	XSV+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
강원이	강원이	NNP	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
감소	감소	NNG	O
폭	폭	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## (’08년 24.1% → ’14년 21.1%, ‘08년 대비 3.0%p감소) 또 걷기 실천율은 3개 시·도에서 증가하였고(13개 시·도 감소), 특히 대전이 가장 높은 증가폭을 보였다.
## (’<08년:DAT> <24.1%:PNT> → ’<14년:DAT> <21.1%:PNT>, ‘<08년:DAT> 대비 <3.0%p:PNT>감소) 또 걷기 실천율은 <3개:NOH> 시·도에서 증가하였고(<13개:NOH> 시·도 감소), 특히 <대전:LOC>이 가장 높은 증가폭을 보였다.
(	(	SS	O
’	’	SS	O
08	08	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
24.1	24.1	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
→	→	SW	O
_	_	_	O
’	’	SS	O
14	14	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
21.1	21.1	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
‘	‘	SS	O
08	08	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대비	대비	NNG	O
_	_	_	O
3.0	3.0	SN	B-PNT
%	%	SW	I-PNT
p	p	SL	I-PNT
감소	감소	NNG	O
)	)	SS	O
_	_	_	O
또	또	MAG	O
_	_	_	O
걷	걷	VV	O
기	기	ETN	O
_	_	_	O
실천	실천	NNG	O
율	율	XSN	O
은	은	JX	O
_	_	_	O
3	3	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
시	시	NNG	O
·	·	SP	O
도	도	NNG	O
에서	에서	JKB	O
_	_	_	O
증가하	증가하	VV	O
였	였	EP	O
고	고	EF	O
(	(	SS	O
13	13	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
시	시	NNG	O
·	·	SP	O
도	도	NNG	O
_	_	_	O
감소	감소	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
대전	대전	NNP	B-LOC
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
증가	증가	NNG	O
폭	폭	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

