## 1
## 김영삼 전 대통령의 영결식 뒤 고인의 시신은 운구 행렬과 함께 서울 상도동의 사저를 거쳐 국립서울현충원으로 향한다.
## <김영삼:PER> 전 대통령의 영결식 뒤 고인의 시신은 운구 행렬과 함께 <서울:LOC> <상도동:LOC>의 사저를 거쳐 <국립서울현충원:LOC>으로 향한다.
김영삼	김영삼	NNP	B-PER
사회	사회	NNG	O
개혁	개혁	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
제시	제시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 한편 에릭남은 오는 5일 Mnet '엠카운트다운'을 통해 신곡 '괜찮아 괜찮아'로 컴백한다.
## 한편 <에릭남:PER>은 오는 <5일:DAT> <Mnet:POH> '<엠카운트다운:POH>'을 통해 신곡 '<괜찮아 괜찮아:POH>'로 컴백한다.
한편	한편	MAG	O
_	_	_	O
에릭	에릭	NNP	B-PER
남	남	VV	I-PER
은	은	ETM	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
Mnet	Mnet	SL	B-POH
_	_	_	O
'	'	SS	O
엠	엠	NNG	B-POH
카운트다운	카운트다운	NNG	I-POH
'	'	SS	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
신곡	신곡	NNP	O
_	_	_	O
'	'	SS	O
괜찮	괜찮	VA	B-POH
아	아	EC	I-POH
_	_	_	I-POH
괜찮	괜찮	VA	I-POH
아	아	EF	I-POH
'	'	SS	O
로	로	JKB	O
_	_	_	O
컴백한다	컴백하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 박근혜 정부 출범 전에 증세 없는 복지, 구조개혁 등 현 정부의 정책 기조를 고스란히 담았다.
## <박근혜:PER> 정부 출범 전에 증세 없는 복지, 구조개혁 등 현 정부의 정책 기조를 고스란히 담았다.
박근혜	박근혜	NNP	B-PER
_	_	_	O
정부	정부	NNG	O
_	_	_	O
출범	출범	NNG	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
증세	증세	NNG	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
복지	복지	NNG	O
,	,	SP	O
_	_	_	O
구조	구조	NNG	O
개혁	개혁	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
현	현	MM	O
_	_	_	O
정부	정부	NNG	O
의	의	JKG	O
_	_	_	O
정책	정책	NNG	O
_	_	_	O
기조	기조	NNG	O
를	를	JKO	O
_	_	_	O
고스란히	고스란히	MAG	O
_	_	_	O
담	담	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 유 후보자는 18대 국회 기획재정위에서 박 대통령 옆자리에 앉으면서 친분을 쌓았다.
## <유:PER> 후보자는 <18대:NOH> <국회 기획재정위:ORG>에서 <박:PER> 대통령 옆자리에 앉으면서 친분을 쌓았다.
유	유	NNP	B-PER
_	_	_	O
후보자	후보자	NNG	O
는	는	JX	O
_	_	_	O
18	18	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
국회	국회	NNG	B-ORG
_	_	_	I-ORG
기획	기획	NNG	I-ORG
재정	재정	NNG	I-ORG
위	위	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
옆	옆	NNG	O
자리	자리	NNG	O
에	에	JKB	O
_	_	_	O
앉	앉	VV	O
으면서	으면서	EC	O
_	_	_	O
친분	친분	NNG	O
을	을	JKO	O
_	_	_	O
쌓	쌓	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 어쩌다 이진영이 갈비뼈를 다쳤는지는 확인되지 않았다.
## 어쩌다 <이진영:PER>이 갈비뼈를 다쳤는지는 확인되지 않았다.
어쩌다	어쩌다	MAG	O
_	_	_	O
이진영	이진영	NNP	B-PER
이	이	JKS	O
_	_	_	O
갈비뼈	갈비뼈	NNG	O
를	를	JKO	O
_	_	_	O
다	다치	VV	O
쳤	었	EP	O
는지	는지	EC	O
는	는	JX	O
_	_	_	O
확인되	확인되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이예림 사진, 얼마나 벗었길래… 父 이경규, '화들짝'
## <이예림:PER> 사진, 얼마나 벗었길래… 父 <이경규:PER>, '화들짝'
이예림	이예림	NNP	B-PER
_	_	_	O
사진	사진	NNG	O
,	,	SP	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
벗	벗	VV	O
었	었	EP	O
길래	길래	EC	O
…	…	SE	O
_	_	_	O
父	父	SH	O
_	_	_	O
이경규	이경규	NNP	B-PER
,	,	SP	O
_	_	_	O
'	'	SS	O
화들짝	화들짝	MAG	O
'	'	SS	O

## 8
## 게이머들은 원작 '리니지'에 등장하는 다양한 캐릭터와 몬스터들을 수집하고 육성하는 것은 물론, '리니지'하면 떠오르는 아이템 강화의 재미까지 만끽할 수 있다.
## 게이머들은 원작 '<리니지:POH>'에 등장하는 다양한 캐릭터와 몬스터들을 수집하고 육성하는 것은 물론, '<리니지:POH>'하면 떠오르는 아이템 강화의 재미까지 만끽할 수 있다.
게이머	게이머	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
원작	원작	NNG	O
_	_	_	O
'	'	SS	O
리니지	리니지	NNP	B-POH
'	'	SS	O
에	에	JKB	O
_	_	_	O
등장하	등장하	VV	O
는	는	ETM	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
캐릭터	캐릭터	NNG	O
와	와	JC	O
_	_	_	O
몬스터	몬스터	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
수집하	수집하	VV	O
고	고	EC	O
_	_	_	O
육성하	육성하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
,	,	SP	O
_	_	_	O
'	'	SS	O
리니지	리니지	NNP	B-POH
'	'	SS	O
하	하	XSV	O
면	면	EC	O
_	_	_	O
떠오르	떠오르	VV	O
는	는	ETM	O
_	_	_	O
아이템	아이템	NNG	O
_	_	_	O
강화	강화	NNG	O
의	의	JKG	O
_	_	_	O
재미	재미	NNG	O
까지	까지	JX	O
_	_	_	O
만끽할	만끽하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 아울러 온라인게임의 명가 엔씨소프트답게 모바일게임을 국내 시장에서 처음 출시하면서 캐릭터들의 목소리 연기에 국내 정상급의 성우를 기용하는 등 게임의 세세한 부분까지 완성도를 높인 모습이 엿보였다.
## 아울러 온라인게임의 명가 <엔씨소프트:POH>답게 모바일게임을 국내 시장에서 처음 출시하면서 캐릭터들의 목소리 연기에 국내 정상급의 성우를 기용하는 등 게임의 세세한 부분까지 완성도를 높인 모습이 엿보였다.
아울러	아울러	MAG	O
_	_	_	O
온라인	온라인	NNG	O
게임	게임	NNG	O
의	의	JKG	O
_	_	_	O
명가	명가	NNG	O
_	_	_	O
엔씨소프트	엔씨소프트	NNP	B-POH
답	답	XSA	O
게	게	EC	O
_	_	_	O
모바일	모바일	NNG	O
게임	게임	NNG	O
을	을	JKO	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
출시하	출시하	VV	O
면서	면서	EC	O
_	_	_	O
캐릭터	캐릭터	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
목소리	목소리	NNG	O
_	_	_	O
연기	연기	NNG	O
에	에	JKB	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
정상급	정상급	NNG	O
의	의	JKG	O
_	_	_	O
성우	성우	NNG	O
를	를	JKO	O
_	_	_	O
기용하	기용하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
게임	게임	NNG	O
의	의	JKG	O
_	_	_	O
세세한	세세하+ㄴ	VA+ETM	O
_	_	_	O
부분	부분	NNG	O
까지	까지	JX	O
_	_	_	O
완성도	완성도	NNG	O
를	를	JKO	O
_	_	_	O
높인	높이+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
엿보	엿보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 또 애스톤대의 네일 앤더슨 박사는 모의면접 실험에서 처음 4분 사이에 채용 여부가 결정된다고 했습니다.
## 또 <애스톤대:ORG>의 <네일 앤더슨:PER> 박사는 모의면접 실험에서 처음 <4분:NOH> 사이에 채용 여부가 결정된다고 했습니다.
또	또	MAG	O
_	_	_	O
애스톤	애스톤	NNP	B-ORG
대	대	NNB	I-ORG
의	의	JKG	O
_	_	_	O
네일	네일	NNG	B-PER
_	_	_	I-PER
앤더슨	앤더슨	NNP	I-PER
_	_	_	O
박사	박사	NNG	O
는	는	JX	O
_	_	_	O
모의	모의	NNG	O
면접	면접	NNG	O
_	_	_	O
실험	실험	NNG	O
에서	에서	JKB	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
4	4	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
사이	사이	NNG	O
에	에	JKB	O
_	_	_	O
채용	채용	NNG	O
_	_	_	O
여부	여부	NNG	O
가	가	JKS	O
_	_	_	O
결정된다고	결정되+ㄴ다고	VV+EC	O
_	_	_	O
했	+였	+EP	O
습니다	습니다	EF	O
.	.	SF	O

## 11
## (서울=뉴스1) [전문] 黃대행 3·1절 기념사…“사회갈등 확대…조화·균형 필요”황교안 대통령 권한대행 국무총리는 1일 헌법재판소의 탄핵소추 심판 결정을 앞두고 여론이 양극화되고 있는 상황에서 “이제는 헌법의 정신과 가치를 존중하는 바탕 위에서 서로의 다양성을 인정하고 조화와 균형을 이뤄나가는 노력이 필요하다”며 국론, 사회 통합을 강조했다.
## (<서울:LOC>=<뉴스1:ORG>) [전문] <黃:PER>대행 <3·1절:DAT> 기념사…“사회갈등 확대…조화·균형 필요”<황교안:PER> 대통령 권한대행 국무총리는 <1일:DAT> <헌법재판소:ORG>의 탄핵소추 심판 결정을 앞두고 여론이 양극화되고 있는 상황에서 “이제는 헌법의 정신과 가치를 존중하는 바탕 위에서 서로의 다양성을 인정하고 조화와 균형을 이뤄나가는 노력이 필요하다”며 국론, 사회 통합을 강조했다.
(	(	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴스	뉴스	NNG	B-ORG
1	1	SN	I-ORG
)	)	SS	O
_	_	_	O
[	[	SS	O
전문	전문	NNG	O
]	]	SS	O
_	_	_	O
黃	黃	SH	B-PER
대행	대행	NNG	O
_	_	_	O
3	3	SN	B-DAT
·	·	SP	I-DAT
1	1	SN	I-DAT
절	절	NNG	I-DAT
_	_	_	O
기념사	기념사	NNG	O
…	…	SE	O
“	“	SS	O
사회	사회	NNG	O
갈등	갈등	NNG	O
_	_	_	O
확대	확대	NNG	O
…	…	SE	O
조화	조화	NNG	O
·	·	SP	O
균형	균형	NNG	O
_	_	_	O
필요	필요	NNG	O
”	”	SS	O
황교안	황교안	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
권한	권한	NNG	O
대행	대행	NNG	O
_	_	_	O
국무총리	국무총리	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
헌법	헌법	NNG	B-ORG
재판소	재판소	NNG	I-ORG
의	의	JKG	O
_	_	_	O
탄핵	탄핵	NNG	O
소추	소추	NNG	O
_	_	_	O
심판	심판	NNG	O
_	_	_	O
결정	결정	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
여론	여론	NNG	O
이	이	JKS	O
_	_	_	O
양극화	양극화	NNG	O
되	되	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
이제	이제	NNG	O
는	는	JX	O
_	_	_	O
헌법	헌법	NNG	O
의	의	JKG	O
_	_	_	O
정신	정신	NNG	O
과	과	JC	O
_	_	_	O
가치	가치	NNG	O
를	를	JKO	O
_	_	_	O
존중하	존중하	VV	O
는	는	ETM	O
_	_	_	O
바탕	바탕	NNG	O
_	_	_	O
위	위	NNG	O
에서	에서	JKB	O
_	_	_	O
서로	서로	NNG	O
의	의	JKG	O
_	_	_	O
다양성	다양성	NNG	O
을	을	JKO	O
_	_	_	O
인정하	인정하	VV	O
고	고	EC	O
_	_	_	O
조화	조화	NNG	O
와	와	JC	O
_	_	_	O
균형	균형	NNG	O
을	을	JKO	O
_	_	_	O
이뤄	이루+어	VV+EC	O
나가	나가	VX	O
는	는	ETM	O
_	_	_	O
노력	노력	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
국론	국론	NNG	O
,	,	SP	O
_	_	_	O
사회	사회	NNG	O
_	_	_	O
통합	통합	NNG	O
을	을	JKO	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 황 권한대행은 이날 오전 서울 종로구 세종문화회관에서 열린 제78주년 3·1절 기념식에 참석해 “우리 사회는 최근의 일련의 사태로 국론이 분열되고 사회 갈등이 확대되고 있으며 서로를 반목·질시하는 현상까지 일어나고 있다”며 이같이 말했다.
## <황:PER> 권한대행은 이날 오전 <서울:LOC> <종로구 세종문화회관:LOC>에서 열린 <제78주년:NOH> <3·1절:DAT> 기념식에 참석해 “우리 사회는 최근의 일련의 사태로 국론이 분열되고 사회 갈등이 확대되고 있으며 서로를 반목·질시하는 현상까지 일어나고 있다”며 이같이 말했다.
황	황	NNP	B-PER
_	_	_	O
권한	권한	NNG	O
대행	대행	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
종로구	종로구	NNP	B-LOC
_	_	_	I-LOC
세종문화회관	세종문화회관	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
제	제	XPN	B-NOH
78	78	SN	I-NOH
주년	주년	NNB	I-NOH
_	_	_	O
3	3	SN	B-DAT
·	·	SP	I-DAT
1	1	SN	I-DAT
절	절	NNG	I-DAT
_	_	_	O
기념식	기념식	NNG	O
에	에	JKB	O
_	_	_	O
참석해	참석하+여	VV+EC	O
_	_	_	O
“	“	SS	O
우리	우리	NP	O
_	_	_	O
사회	사회	NNG	O
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
의	의	JKG	O
_	_	_	O
일련	일련	NNG	O
의	의	JKG	O
_	_	_	O
사태	사태	NNG	O
로	로	JKB	O
_	_	_	O
국론	국론	NNG	O
이	이	JKS	O
_	_	_	O
분열되	분열되	VV	O
고	고	EC	O
_	_	_	O
사회	사회	NNG	O
_	_	_	O
갈등	갈등	NNG	O
이	이	JKS	O
_	_	_	O
확대되	확대되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
_	_	_	O
서로	서로	NNG	O
를	를	JKO	O
_	_	_	O
반목	반목	NNG	O
·	·	SP	O
질시하	질시하	VV	O
는	는	ETM	O
_	_	_	O
현상	현상	NNG	O
까지	까지	JX	O
_	_	_	O
일어나	일어나	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

