## 1
## 메이저리그 텍사스 추신수의 타율이 연일 곤두박질치고 있다.
## <메이저리그:POH> <텍사스:ORG> <추신수:PER>의 타율이 연일 곤두박질치고 있다.
메이저리그	메이저리그	NNG	B-POH
청포도	청포도	NNG	O
_	_	_	O
가격	가격	NNG	O
도	도	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
미국	미국	NNP	B-ORG
(	(	SS	O
4069	4069	SN	B-MNY
원	원	NNB	I-MNY
)	)	SS	O
의	의	JKG	O
_	_	_	O
약	약	MM	O
_	_	_	O
2	2	SN	B-PNT
배	배	NNG	I-PNT
인	이+ㄴ	VCP+ETM	O
_	_	_	O
7009	7009	SN	B-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
1	1	SN	B-NOH
위	위+이	NNB+VCP	I-NOH
다	다	EF	O
.	.	SF	O

## 5
## 수입품은 아니지만 자국 삼겹살 가격 역시 한국이 1kg에 2만7930원으로 가장 비쌌다.
## 수입품은 아니지만 자국 삼겹살 가격 역시 <한국:LOC>이 <1kg:NOH>에 <2만7930원:MNY>으로 가장 비쌌다.
수입품	수입품	NNG	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
지만	지만	EC	O
_	_	_	O
자국	자국	NNG	O
_	_	_	O
삼겹살	삼겹살	NNG	O
_	_	_	O
가격	가격	NNG	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
한국	한국	NNP	B-LOC
이	이	JKS	O
_	_	_	O
1	1	SN	B-NOH
kg	kg	SL	I-NOH
에	에	JKB	O
_	_	_	O
2	2	SN	B-MNY
만	만	NR	I-MNY
7930	7930	SN	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
비쌌	비싸+았	VA+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 2인 1조로 다니는 심사위원이 신분을 숨기고 주문한 뒤 식탁에서 포크를 일부러 떨어뜨리는 등의 행위로 맛뿐 아니라 레스토랑의 서비스 수준까지 평가한다는 것이다.
## <2인:NOH> <1조:NOH>로 다니는 심사위원이 신분을 숨기고 주문한 뒤 식탁에서 포크를 일부러 떨어뜨리는 등의 행위로 맛뿐 아니라 레스토랑의 서비스 수준까지 평가한다는 것이다.
2	2	SN	B-NOH
인	인	NNG	I-NOH
_	_	_	O
1	1	SN	B-NOH
조	조	NNB	I-NOH
로	로	JKB	O
_	_	_	O
다니	다니	VV	O
는	는	ETM	O
_	_	_	O
심사	심사	NNG	O
위원	위원	NNG	O
이	이	JKS	O
_	_	_	O
신분	신분	NNG	O
을	을	JKO	O
_	_	_	O
숨기	숨기	VV	O
고	고	EC	O
_	_	_	O
주문한	주문하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
식탁	식탁	NNG	O
에서	에서	JKB	O
_	_	_	O
포크	포크	NNG	O
를	를	JKO	O
_	_	_	O
일부러	일부러	MAG	O
_	_	_	O
떨어뜨리	떨어뜨리	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
행위	행위	NNG	O
로	로	JKB	O
_	_	_	O
맛	맛	NNG	O
뿐	뿐	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
레스토랑	레스토랑	NNG	O
의	의	JKG	O
_	_	_	O
서비스	서비스	NNG	O
_	_	_	O
수준	수준	NNG	O
까지	까지	JX	O
_	_	_	O
평가한다는	평가하+ㄴ다는	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 2016년 12월 27일 중국 국가항천국이 발표한 ‘2016년 중국 우주 백서’에도 달과 화성 탐사를 위한 중·대형 로켓 개발 계획까지 밝힌 상황이다.
## <2016년 12월 27일:DAT> <중국 국가항천국:ORG>이 발표한 ‘<2016년:DAT> <중국 우주 백서:POH>’에도 <달:LOC>과 <화성:LOC> 탐사를 위한 중·대형 로켓 개발 계획까지 밝힌 상황이다.
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
27	27	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
국가	국가	NNG	I-ORG
항	항	NNG	I-ORG
천국	천국	NNG	I-ORG
이	이	JKS	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-POH
_	_	_	I-POH
우주	우주	NNG	I-POH
_	_	_	I-POH
백서	백서	NNG	I-POH
’	’	SS	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
달	달	NNG	B-LOC
과	과	JC	O
_	_	_	O
화성	화성	NNG	B-LOC
_	_	_	O
탐사	탐사	NNG	O
를	를	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
중	중	NNG	O
·	·	SP	O
대형	대형	NNG	O
_	_	_	O
로켓	로켓	NNG	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
계획	계획	NNG	O
까지	까지	JX	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 《 도널드 트럼프 미국 행정부가 1일(현지 시간) 취임 후 처음 발표한 무역정책 어젠다는 ‘세계 무역은 미국을 중심으로 돌아가야 한다’는 선언으로 해석된다.
## 《 <도널드 트럼프:PER> <미국 행정부:ORG>가 <1일:DAT>(현지 시간) 취임 후 처음 발표한 무역정책 어젠다는 ‘세계 무역은 <미국:ORG>을 중심으로 돌아가야 한다’는 선언으로 해석된다.
《	《	SS	O
_	_	_	O
도널드	도널드	NNP	B-PER
_	_	_	I-PER
트럼프	트럼프	NNP	I-PER
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
행정부	행정부	NNG	I-ORG
가	가	JKS	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
_	_	_	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
취임	취임	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
무역	무역	NNG	O
정책	정책	NNG	O
_	_	_	O
어젠다	어젠다	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
세계	세계	NNG	O
_	_	_	O
무역	무역	NNG	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
을	을	JKO	O
_	_	_	O
중심	중심	NNG	O
으로	으로	JKB	O
_	_	_	O
돌아가야	돌아가+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
선언	선언	NNG	O
으로	으로	JKB	O
_	_	_	O
해석된다	해석되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 한국 축구대표팀이 이란 원정에서 또 다시 무너졌다.
## <한국 축구대표팀:ORG>이 <이란:ORG> 원정에서 또 다시 무너졌다.
한국	한국	NNP	B-ORG
_	_	_	I-ORG
축구	축구	NNG	I-ORG
대표	대표	NNG	I-ORG
팀	팀	NNG	I-ORG
이	이	JKS	O
_	_	_	O
이	이	VCP	B-ORG
란	란	ETM	I-ORG
_	_	_	O
원정	원정	NNG	O
에서	에서	JKB	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
무너	무너지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 슈틸리케호는 11일(한국시간) 이란 테헤란 아자디 스타디움에서 열린 이란과의 2018 러시아월드컵 아시아지역 최종예선 4차전에서 0-1로 패배했다.
## <슈틸리케호:ORG>는 <11일:DAT>(<한국:LOC>시간) <이란 테헤란 아자디 스타디움:LOC>에서 열린 <이란:ORG>과의 <2018:DAT> <러시아월드컵:POH> <아시아:LOC>지역 최종예선 <4차:NOH>전에서 <0-1:NOH>로 패배했다.
슈틸리케	슈틸리케	NNP	B-ORG
호	호	XSN	I-ORG
는	는	JX	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
이란	이란	NNP	B-LOC
_	_	_	I-LOC
테헤란	테헤란	NNP	I-LOC
_	_	_	I-LOC
아자디	아자디	NNP	I-LOC
_	_	_	I-LOC
스타디움	스타디움	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
이란	이란	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
2018	2018	SN	B-DAT
_	_	_	O
러시아	러시아	NNP	B-POH
월드컵	월드컵	NNG	I-POH
_	_	_	O
아시아	아시아	NNP	B-LOC
지역	지역	NNG	O
_	_	_	O
최종	최종	NNG	O
예선	예선	NNG	O
_	_	_	O
4	4	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
0	0	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
로	로	JKB	O
_	_	_	O
패배	패배하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이슬람 극단주의자(생각이나 행동이 극단적으로 치우친 사람)들로 구성된 무장단체 ‘이슬람국가(IS)’는 요르단 공군 조종사를 불태워 숨지게 하는 동영상을 최근 트위터에 공개했다.
## <이슬람:ORG> 극단주의자(생각이나 행동이 극단적으로 치우친 사람)들로 구성된 무장단체 ‘<이슬람국가:ORG>(<IS:ORG>)’는 <요르단:ORG> 공군 조종사를 불태워 숨지게 하는 동영상을 최근 <트위터:POH>에 공개했다.
이슬람	이슬람	NNG	B-ORG
_	_	_	O
극단주의	극단주의	NNG	O
자	자	XSN	O
(	(	SS	O
생각	생각	NNG	O
이나	이나	JC	O
_	_	_	O
행동	행동	NNG	O
이	이	JKS	O
_	_	_	O
극단적	극단적	NNG	O
으로	으로	JKB	O
_	_	_	O
치우친	치우치+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
)	)	SS	O
들	들	XSN	O
로	로	JKB	O
_	_	_	O
구성된	구성되+ㄴ	VV+ETM	O
_	_	_	O
무장	무장	NNG	O
단체	단체	NNG	O
_	_	_	O
‘	‘	SS	O
이슬람	이슬람	NNG	B-ORG
국가	국가	NNG	I-ORG
(	(	SS	O
IS	IS	SL	B-ORG
)	)	SS	O
’	’	SS	O
는	는	JX	O
_	_	_	O
요르단	요르단	NNP	B-ORG
_	_	_	O
공군	공군	NNG	O
_	_	_	O
조종사	조종사	NNG	O
를	를	JKO	O
_	_	_	O
불태	불태우	VV	O
워	어	EC	O
_	_	_	O
숨지	숨지	VV	O
게	게	EC	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
동영상	동영상	NNG	O
을	을	JKO	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
트위터	트위터	NNP	B-POH
에	에	JKB	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 박근혜 ‘전투복 패션’ 눈길… 결백 주장 대외적 메시지?
## <박근혜:PER> ‘전투복 패션’ 눈길… 결백 주장 대외적 메시지?
박근혜	박근혜	NNP	B-PER
_	_	_	O
‘	‘	SS	O
전투복	전투복	NNG	O
_	_	_	O
패션	패션	NNG	O
’	’	SS	O
_	_	_	O
눈길	눈길	NNG	O
…	…	SE	O
_	_	_	O
결백	결백	NNG	O
_	_	_	O
주장	주장	NNG	O
_	_	_	O
대외적	대외적	NNG	O
_	_	_	O
메시지	메시지	NNG	O
?	?	SF	O

## 13
## 과학·교육 ● 그림자 형제를 위하여(채인선 지음, 한권의책, 111쪽, 1만2천원)=동물을 대하는 인간의 태도를 돌아본다.
## 과학·교육 ● <그림자 형제를 위하여:POH>(<채인선:PER> 지음, <한권의책:ORG>, <111쪽:NOH>, <1만2천원:MNY>)=동물을 대하는 인간의 태도를 돌아본다.
과학	과학	NNG	O
·	·	SP	O
교육	교육	NNG	O
_	_	_	O
●	●	SW	O
_	_	_	O
그림자	그림자	NNG	B-POH
_	_	_	I-POH
형제	형제	NNG	I-POH
를	를	JKO	I-POH
_	_	_	I-POH
위하	위하	VV	I-POH
여	여	EF	I-POH
(	(	SS	O
채인선	채인선	NNP	B-PER
_	_	_	O
지	짓	VV	O
음	음	ETN	O
,	,	SP	O
_	_	_	O
한	한	MM	B-ORG
권	권	NNB	I-ORG
의	의	NNG	I-ORG
책	책	NNG	I-ORG
,	,	SP	O
_	_	_	O
111	111	SN	B-NOH
쪽	쪽	NNG	I-NOH
,	,	SP	O
_	_	_	O
1	1	SN	B-MNY
만	만	NR	I-MNY
2	2	SN	I-MNY
천	천	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
=	=	SW	O
동물	동물	NNG	O
을	을	JKO	O
_	_	_	O
대하	대하	VV	O
는	는	ETM	O
_	_	_	O
인간	인간	NNG	O
의	의	JKG	O
_	_	_	O
태도	태도	NNG	O
를	를	JKO	O
_	_	_	O
돌아본다	돌아보+ㄴ다	VV+EF	O
.	.	SF	O

