## 1
## 인천시는 최근 김정은 북한 국방위원회 제1위원장이 신년사에서 남북 관계 개선을 강조한 만큼 친선경기 성사 가능성을 높게 보고 있다.
## <인천시:ORG>는 최근 <김정은:PER> <북한 국방위원회:ORG> <제1:NOH>위원장이 신년사에서 <남북:ORG> 관계 개선을 강조한 만큼 친선경기 성사 가능성을 높게 보고 있다.
인천시	인천시	NNP	B-ORG
며	며	EC	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
는	는	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
_	_	_	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
7	7	SN	B-NOH
,	,	SP	O
_	_	_	O
8	8	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
한복	한복	NNG	O
_	_	_	O
차림	차림	NNG	O
.	.	SF	O
_	_	_	O
갓	갓	NNG	O
이나	이나	JC	O
_	_	_	O
댕기	댕기	NNG	O
까지	까지	JX	O
_	_	_	O
갖춰	갖추+어	VV+EC	O
_	_	_	O
전통	전통	NNG	O
한복	한복	NNG	O
을	을	JKO	O
_	_	_	O
차려	차리+어	VV+EC	O
_	_	_	O
입	입	VV	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
도	도	JX	O
_	_	_	O
많	많	VA	O
았	았	EP	O
지만	지만	EC	O
_	_	_	O
짧	짧	VA	O
은	은	ETM	O
_	_	_	O
치마	치마	NNG	O
나	나	JC	O
_	_	_	O
긴	길+ㄴ	VA+ETM	O
_	_	_	O
저고리	저고리	NNG	O
,	,	SP	O
_	_	_	O
레이스	레이스	NNG	O
를	를	JKO	O
_	_	_	O
활용한	활용하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
등	등	NNB	O
_	_	_	O
독특한	독특하+ㄴ	VA+ETM	O
_	_	_	O
한복	한복	NNG	O
을	을	JKO	O
_	_	_	O
입	입	VV	O
은	은	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
눈	눈	NNG	O
에	에	JKB	O
_	_	_	O
띄	띄	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 평상시 그는 3300m²(1000평) 남짓한 밭에 콩을 키우며 살고 있다.
## 평상시 그는 <3300m²:NOH>(<1000평:NOH>) 남짓한 밭에 콩을 키우며 살고 있다.
평상시	평상시	NNG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
3300	3300	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
(	(	SS	O
1000	1000	SN	B-NOH
평	평	NNB	I-NOH
)	)	SS	O
_	_	_	O
남짓한	남짓하+ㄴ	VA+ETM	O
_	_	_	O
밭	밭	NNG	O
에	에	JKB	O
_	_	_	O
콩	콩	NNG	O
을	을	JKO	O
_	_	_	O
키우	키우	VV	O
며	며	EC	O
_	_	_	O
살	살	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 이번 대국 전의 한국은 인터넷에서 AI를 검색하면 조류독감(Avian influenza)이 먼저 뜨는 촌동네였다.
## 이번 대국 전의 <한국:LOC>은 인터넷에서 AI를 검색하면 조류독감(Avian influenza)이 먼저 뜨는 촌동네였다.
이번	이번	NNG	O
_	_	_	O
대국	대국	NNG	O
_	_	_	O
전	전	NNG	O
의	의	JKG	O
_	_	_	O
한국	한국	NNP	B-LOC
은	은	JX	O
_	_	_	O
인터넷	인터넷	NNG	O
에서	에서	JKB	O
_	_	_	O
AI	AI	SL	O
를	를	JKO	O
_	_	_	O
검색하	검색하	VV	O
면	면	EC	O
_	_	_	O
조류	조류	NNG	O
독감	독감	NNG	O
(	(	SS	O
Avian	Avian	SL	O
_	_	_	O
influenza	influenza	SL	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
뜨	뜨	VV	O
는	는	ETM	O
_	_	_	O
촌	촌	NNG	O
동네	동네+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 한편 지난 15일 첼시전에서 1골 1도움을 기록한 리야드 마레즈(레스터 시티)가 전체 랭킹 1위를, 이어 제이미 바디(레스터 시티)와 로멜루 루카쿠(에버튼)가 이름을 올렸다.
## 한편 지난 <15일:DAT> <첼시전:POH>에서 <1골:NOH> <1도움:NOH>을 기록한 <리야드 마레즈:PER>(<레스터 시티:ORG>)가 전체 랭킹 <1위:NOH>를, 이어 <제이미 바디:PER>(<레스터 시티:ORG>)와 <로멜루 루카쿠:PER>(<에버튼:ORG>)가 이름을 올렸다.
한편	한편	MAG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
첼시	첼시	NNP	B-POH
전	전	XSN	I-POH
에서	에서	JKB	O
_	_	_	O
1	1	SN	B-NOH
골	골	NNG	I-NOH
_	_	_	O
1	1	SN	B-NOH
도움	도움	NNG	I-NOH
을	을	JKO	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
리야드	리야드	NNP	B-PER
_	_	_	I-PER
마	마	NNG	I-PER
레즈	레즈	NNP	I-PER
(	(	SS	O
레스터	레스터	NNP	B-ORG
_	_	_	I-ORG
시티	시티	NNG	I-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
랭킹	랭킹	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
,	,	SP	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
제이미	제이미	NNP	B-PER
_	_	_	I-PER
바디	바디	NNG	I-PER
(	(	SS	O
레스터	레스터	NNP	B-ORG
_	_	_	I-ORG
시티	시티	NNG	I-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
로멜	로멜	NNP	B-PER
루	루	JKB	I-PER
_	_	_	I-PER
루	루	NNG	I-PER
카쿠	카쿠	NNG	I-PER
(	(	SS	O
에버튼	에버튼	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 서씨는 “회사 근처 오피스텔을 알아보니 월세가 60~70만원이상해 그냥 집에서 계속 살기로 했다.
## <서:PER>씨는 “회사 근처 오피스텔을 알아보니 월세가 <60:MNY>~<70만원:MNY>이상해 그냥 집에서 계속 살기로 했다.
서	서	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
회사	회사	NNG	O
_	_	_	O
근처	근처	NNG	O
_	_	_	O
오피스텔	오피스텔	NNG	O
을	을	JKO	O
_	_	_	O
알아보	알아보	VV	O
니	니	EC	O
_	_	_	O
월세	월세	NNG	O
가	가	JKS	O
_	_	_	O
60	60	SN	B-MNY
~	~	SO	O
70	70	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
이상	이상	NNG	O
해	해	NNG	O
_	_	_	O
그냥	그냥	MAG	O
_	_	_	O
집	집	NNG	O
에서	에서	JKB	O
_	_	_	O
계속	계속	MAG	O
_	_	_	O
살	살	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 일동제약은 1941년 창립 이래 76년간 업력을 이어온 국내 유명 제약회사이다.
## <일동제약:ORG>은 <1941년:DAT> 창립 이래 <76년간:DUR> 업력을 이어온 국내 유명 제약회사이다.
일동제약	일동제약	NNP	B-ORG
은	은	JX	O
_	_	_	O
1941	1941	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
창립	창립	NNG	O
_	_	_	O
이래	이래	NNB	O
_	_	_	O
76	76	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
업력	업력	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
유명	유명	NNG	O
_	_	_	O
제약	제약	NNG	O
회사	회사	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 1974년 축산학과를 졸업한 ㈜현대자동차 백효흠 고문은 1000만 원을 약정하고 5000만 원의 발전기금을 별도로 출연했다.
## <1974년:DAT> <축산학과:ORG>를 졸업한 <㈜현대자동차:ORG> <백효흠:PER> 고문은 <1000만 원:MNY>을 약정하고 <5000만 원:MNY>의 발전기금을 별도로 출연했다.
1974	1974	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
축산	축산	NNG	B-ORG
학과	학과	NNG	I-ORG
를	를	JKO	O
_	_	_	O
졸업한	졸업하+ㄴ	VV+ETM	O
_	_	_	O
㈜	㈜	SW	B-ORG
현대자동차	현대자동차	NNP	I-ORG
_	_	_	O
백효흠	백효흠	NNP	B-PER
_	_	_	O
고문	고문	NNG	O
은	은	JX	O
_	_	_	O
1000	1000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
약정하	약정하	VV	O
고	고	EC	O
_	_	_	O
5000	5000	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
발전	발전	NNG	O
기금	기금	NNG	O
을	을	JKO	O
_	_	_	O
별도	별도	NNG	O
로	로	JKB	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지난 시즌 잉글랜드 프리미어리그 레스터시티 우승을 이끈 라니에리 감독(25억원)보다 많다.
## 지난 시즌 <잉글랜드 프리미어리그 레스터시티:ORG> 우승을 이끈 <라니에리:PER> 감독(<25억원:MNY>)보다 많다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
잉글랜드	잉글랜드	NNP	B-ORG
_	_	_	I-ORG
프리미어	프리미어	NNG	I-ORG
리그	리그	NNG	I-ORG
_	_	_	I-ORG
레스터	레스터	NNP	I-ORG
시티	시티	NNG	I-ORG
_	_	_	O
우승	우승	NNG	O
을	을	JKO	O
_	_	_	O
이끈	이끌+ㄴ	VV+ETM	O
_	_	_	O
라	+라	+EC	B-PER
니에리	니에리	NNP	I-PER
_	_	_	O
감독	감독	NNG	O
(	(	SS	O
25	25	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
많	많	VA	O
다	다	EF	O
.	.	SF	O

