## 1
## 동원그룹이 1969년 창립 이후 처음으로 지속가능경영보고서를 펴냈다.
## <동원그룹:ORG>이 <1969년:DAT> 창립 이후 처음으로 지속가능경영보고서를 펴냈다.
동원	동원	NNG	B-ORG
에서	에서	JKB	O
_	_	_	O
벗어나	벗어나+아	VV+EC	O
_	_	_	O
질	질	XSN	O
_	_	_	O
위주	위주	NNG	O
로	로	JKB	O
_	_	_	O
철저히	철저히	MAG	O
_	_	_	O
변해야	변하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
내용	내용	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
삼성	삼성	NNP	B-POH
_	_	_	I-POH
신	신	XPN	I-POH
경영	경영	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
선언	선언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 차유람은 또 “처음부터 말이 잘 통해서 마음이 통한다는 느낌이 들었다.
## <차유람:PER>은 또 “처음부터 말이 잘 통해서 마음이 통한다는 느낌이 들었다.
차유람	차유람	NNG	B-PER
은	은	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
처음	처음	NNG	O
부터	부터	JX	O
_	_	_	O
말	말	NNG	O
이	이	JKS	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
통해서	통하+여서	VV+EC	O
_	_	_	O
마음	마음	NNG	O
이	이	JKS	O
_	_	_	O
통한다는	통하+ㄴ다는	VV+ETM	O
_	_	_	O
느낌	느낌	NNG	O
이	이	JKS	O
_	_	_	O
들	들	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 현대카드가 전북은행과 맞손을 잡고 현대카드 우수회원 전용 신용대출 상품 ‘JB뱅크론’을 개발한다.
## <현대카드:ORG>가 <전북은행:ORG>과 맞손을 잡고 <현대카드:ORG> 우수회원 전용 신용대출 상품 ‘<JB뱅크론:POH>’을 개발한다.
현대카드	현대카드	NNP	B-ORG
가	가	JKS	O
_	_	_	O
전북은행	전북은행	NNP	B-ORG
과	과	JC	O
_	_	_	O
맞손	맞손	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
고	고	EC	O
_	_	_	O
현대카드	현대카드	NNP	B-ORG
_	_	_	O
우수	우수	NNG	O
회원	회원	NNG	O
_	_	_	O
전용	전용	NNG	O
_	_	_	O
신용	신용	NNG	O
대출	대출	NNG	O
_	_	_	O
상품	상품	NNG	O
_	_	_	O
‘	‘	SS	O
JB	JB	SL	B-POH
뱅크론	뱅크론	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
개발한다	개발하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 모두투어는 ‘다낭’편에 이어 ‘제주’ 편을 출간할 예정이다.
## <모두투어:ORG>는 ‘<다낭:LOC>’편에 이어 ‘<제주:LOC>’ 편을 출간할 예정이다.
모두투어	모두투어	NNP	B-ORG
는	는	JX	O
_	_	_	O
‘	‘	SS	O
다낭	다낭	NNP	B-LOC
’	’	SS	O
편	편	NNB	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
‘	‘	SS	O
제주	제주	NNP	B-LOC
’	’	SS	O
_	_	_	O
편	편	NNG	O
을	을	JKO	O
_	_	_	O
출간할	출간하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 서울시는 1일부터 횡단보도·교차로 등 보행자 이동이 많은 곳에 차를 세우면 운전자가 타고 있어도 불법 주·정차로 단속한다고 밝혔다.
## <서울시:ORG>는 <1일:DAT>부터 횡단보도·교차로 등 보행자 이동이 많은 곳에 차를 세우면 운전자가 타고 있어도 불법 주·정차로 단속한다고 밝혔다.
서울시	서울시	NNP	B-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
횡단보도	횡단보도	NNG	O
·	·	SP	O
교차	교차	NNG	O
로	로	JKB	O
_	_	_	O
등	등	NNB	O
_	_	_	O
보행자	보행자	NNG	O
_	_	_	O
이동	이동	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
곳	곳	NNG	O
에	에	JKB	O
_	_	_	O
차	차	NNG	O
를	를	JKO	O
_	_	_	O
세우	세우	VV	O
면	면	EC	O
_	_	_	O
운전자	운전자	NNG	O
가	가	JKS	O
_	_	_	O
타	타	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어도	어도	EC	O
_	_	_	O
불법	불법	NNG	O
_	_	_	O
주	주	XPN	O
·	·	SP	O
정차로	정차로	NNP	O
_	_	_	O
단속한다고	단속하+ㄴ다고	VV+EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 옹벽 붕괴사고 이후 아파트 입주민 165가구 436명은 친인척이나 지인의 집, 찜질방에서 머물고 있다.
## 옹벽 붕괴사고 이후 아파트 입주민 <165가구:NOH> <436명:NOH>은 친인척이나 지인의 집, 찜질방에서 머물고 있다.
옹벽	옹벽	NNG	O
_	_	_	O
붕괴	붕괴	NNG	O
사고	사고	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
입주민	입주민	NNG	O
_	_	_	O
165	165	SN	B-NOH
가구	가구	NNG	I-NOH
_	_	_	O
436	436	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
친인척	친인척	NNG	O
이나	이나	JC	O
_	_	_	O
지인	지인	NNG	O
의	의	JKG	O
_	_	_	O
집	집	NNG	O
,	,	SP	O
_	_	_	O
찜질	찜질	NNG	O
방	방	NNG	O
에서	에서	JKB	O
_	_	_	O
머물	머물	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 세계 최대의 ‘공장’으로 불릴 정도로 폭스콘은 주문자상표부착생산(OEM) 방식에선 업계 최고 위치에 올라 있다.
## 세계 최대의 ‘공장’으로 불릴 정도로 <폭스콘:ORG>은 주문자상표부착생산(OEM) 방식에선 업계 최고 위치에 올라 있다.
세계	세계	NNG	O
_	_	_	O
최대	최대	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
공장	공장	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
불릴	불리+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
폭스콘	폭스콘	NNP	B-ORG
은	은	JX	O
_	_	_	O
주문자	주문자	NNG	O
상표	상표	NNG	O
부착	부착	NNG	O
생산	생산	NNG	O
(	(	SS	O
OEM	OEM	SL	O
)	)	SS	O
_	_	_	O
방식	방식	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
업계	업계	NNG	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
위치	위치	NNG	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 와인은 750여 종을 갖췄다.
## 와인은 <750여 종:NOH>을 갖췄다.
와인	와인	NNG	O
은	은	JX	O
_	_	_	O
750	750	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
종	종	NNG	I-NOH
을	을	JKO	O
_	_	_	O
갖	갖추	VV	O
췄	었	EP	O
다	다	EF	O
.	.	SF	O

