## 1
## 그는 ‘캠프 내에서 상황인식을 어떻게 하고 있냐’는 기자의 질문에는 “지금 세월호 추모식에 다녀왔기 때문에 캠프 상황을 많이 모른다”면서도 “당협위원장들이 이 사실 듣고 부글부글하고 있다고 들었다”고 강조했다.
## 그는 ‘캠프 내에서 상황인식을 어떻게 하고 있냐’는 기자의 질문에는 “지금 <세월호:POH> 추모식에 다녀왔기 때문에 캠프 상황을 많이 모른다”면서도 “당협위원장들이 이 사실 듣고 부글부글하고 있다고 들었다”고 강조했다.
그	그	NP	O
몽드	몽드	NNG	I-PER
는	는	JX	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
개발	개발	NNG	O
도상	도상	NNG	O
국가	국가	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
하나	하나	NNG	B-NOH
의	의	JKG	O
_	_	_	O
모델	모델	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 메르스 현황, 환자 3명 추가돼 총 175명…사흘 연속 확진자, 환자 발생 계속
## <메르스:POH> 현황, 환자 <3명:NOH> 추가돼 총 <175명:NOH>…사흘 연속 확진자, 환자 발생 계속
메르스	메르스	NNG	B-POH
_	_	_	O
현황	현황	NNG	O
,	,	SP	O
_	_	_	O
환자	환자	NNG	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
추가돼	추가되+어	VV+EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
175	175	SN	B-NOH
명	명	NNB	I-NOH
…	…	SE	O
사흘	사흘	NNG	O
_	_	_	O
연속	연속	NNG	O
_	_	_	O
확진	확진	NNG	O
자	자	XSN	O
,	,	SP	O
_	_	_	O
환자	환자	NNG	O
_	_	_	O
발생	발생	NNG	O
_	_	_	O
계속	계속	MAG	O

## 4
## 한국여행업협회의 이병기국장은 『한국은 미국의 10대 주요 교역국중의 하나이고, 증가하는 인적 유통량을 감당하기 위해서는 비자 발급창구를 늘려야 함에도 반대로 줄여버린 것은 납득하기 어렵다』고 지적했다.
## <한국여행업협회:ORG>의 <이병기:PER>국장은 『한국은 미국의 <10대:NOH> 주요 교역국중의 <하나:NOH>이고, 증가하는 인적 유통량을 감당하기 위해서는 비자 발급창구를 늘려야 함에도 반대로 줄여버린 것은 납득하기 어렵다』고 지적했다.
한국	한국	NNP	B-ORG
여행	여행	NNG	I-ORG
업	업	XSN	I-ORG
협회	협회	NNG	I-ORG
의	의	JKG	O
_	_	_	O
이병기	이병기	NNP	B-PER
국장	국장	NNG	O
은	은	JX	O
_	_	_	O
『	『	SS	O
한국	한국	NNP	O
은	은	JX	O
_	_	_	O
미국	미국	NNP	O
의	의	JKG	O
_	_	_	O
10	10	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
주요	주요	NNG	O
_	_	_	O
교역	교역	NNG	O
국	국	XSN	O
중	중	NNB	O
의	의	JKG	O
_	_	_	O
하나	하나	NNG	B-NOH
이	이	VCP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
증가하	증가하	VV	O
는	는	ETM	O
_	_	_	O
인적	인적	NNG	O
_	_	_	O
유통량	유통량	NNG	O
을	을	JKO	O
_	_	_	O
감당하	감당하	VV	O
기	기	ETN	O
_	_	_	O
위해서	위하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
비자	비자	NNG	O
_	_	_	O
발급	발급	NNG	O
창구	창구	NNG	O
를	를	JKO	O
_	_	_	O
늘려야	늘리+어야	VV+EC	O
_	_	_	O
함	하+ㅁ	VX+ETN	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
반대	반대	NNG	O
로	로	JKB	O
_	_	_	O
줄	줄이	VV	O
여	어	EC	O
버린	버리+ㄴ	VX+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
납득하	납득하	VV	O
기	기	ETN	O
_	_	_	O
어렵	어렵	VA	O
다	다	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## DNA 인터넷, 초강력 광합성 등 MIT가 제시한 2015년 10대 혁신 기술
## DNA 인터넷, 초강력 광합성 등 <MIT:ORG>가 제시한 <2015년:DAT> <10대:NOH> 혁신 기술
DNA	DNA	SL	O
_	_	_	O
인터넷	인터넷	NNG	O
,	,	SP	O
_	_	_	O
초	초	XPN	O
강력	강력	NNG	O
_	_	_	O
광합성	광합성	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
MIT	MIT	SL	B-ORG
가	가	JKS	O
_	_	_	O
제시한	제시하+ㄴ	VV+ETM	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
10	10	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
혁신	혁신	NNG	O
_	_	_	O
기술	기술	NNG	O

## 6
## 이와 함께 천안시의 추모공원 화장시설과 아산시의 공설봉안당(납골당) 시설의 이용료를 할인하고 천안·아산 시내버스 단일요금제 도입도 적극 검토하기로 했다.
## 이와 함께 <천안시:LOC>의 추모공원 화장시설과 <아산시:LOC>의 공설봉안당(납골당) 시설의 이용료를 할인하고 <천안:LOC>·<아산:LOC> 시내버스 단일요금제 도입도 적극 검토하기로 했다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
천안시	천안시	NNP	B-LOC
의	의	JKG	O
_	_	_	O
추모	추모	NNG	O
공원	공원	NNG	O
_	_	_	O
화장	화장	NNG	O
시설	시설	NNG	O
과	과	JC	O
_	_	_	O
아산시	아산시	NNP	B-LOC
의	의	JKG	O
_	_	_	O
공	공	NNG	O
설봉안	설봉안	NNP	O
당	당	XSN	O
(	(	SS	O
납골당	납골당	NNG	O
)	)	SS	O
_	_	_	O
시설	시설	NNG	O
의	의	JKG	O
_	_	_	O
이용료	이용료	NNG	O
를	를	JKO	O
_	_	_	O
할인하	할인하	VV	O
고	고	EC	O
_	_	_	O
천안	천안	NNP	B-LOC
·	·	SP	O
아산	아산	NNP	B-LOC
_	_	_	O
시내버스	시내버스	NNG	O
_	_	_	O
단일	단일	NNG	O
요금	요금	NNG	O
제	제	XSN	O
_	_	_	O
도입	도입	NNG	O
도	도	JX	O
_	_	_	O
적극	적극	NNG	O
_	_	_	O
검토하	검토하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이병기 대통령비서실장의 부임과 함께 NSC 상임위원회 의장인 김 실장의 ‘존재감’이 흔들리는 것 아니냐는 분석이 나오는 이유다.
## <이병기:PER> 대통령비서실장의 부임과 함께 <NSC 상임위원회:ORG> 의장인 <김:PER> 실장의 ‘존재감’이 흔들리는 것 아니냐는 분석이 나오는 이유다.
이병기	이병기	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
비서실	비서실	NNG	O
장	장	XSN	O
의	의	JKG	O
_	_	_	O
부임	부임	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
NSC	NSC	SL	B-ORG
_	_	_	I-ORG
상임	상임	NNG	I-ORG
위원회	위원회	NNG	I-ORG
_	_	_	O
의장	의장	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
실장	실장	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
존재감	존재감	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
흔들리	흔들리	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
아니	아니	VCN	O
냐는	냐는	ETM	O
_	_	_	O
분석	분석	NNG	O
이	이	JKS	O
_	_	_	O
나오	나오	VV	O
는	는	ETM	O
_	_	_	O
이유	이유+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 총리는 어쩔 수 없다고 치고 이미 물러난다고 밝힌 경제부총리를 유임시킨다는 게 말이 되는가.정철근 Jpressbiz 대표
## 총리는 어쩔 수 없다고 치고 이미 물러난다고 밝힌 경제부총리를 유임시킨다는 게 말이 되는가.<정철근:PER> <Jpressbiz:ORG> 대표
총리	총리	NNG	O
는	는	JX	O
_	_	_	O
어쩔	어쩌+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다고	다고	EC	O
_	_	_	O
치	치	VV	O
고	고	EC	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
물러난다고	물러나+ㄴ다고	VV+EC	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
경제	경제	NNG	O
부총리	부총리	NNG	O
를	를	JKO	O
_	_	_	O
유임	유임	NNG	O
시킨다는	시키+ㄴ다는	XSV+ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
말	말	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
는가	는가	EF	O
.	.	SF	O
정철근	정철근	NNP	B-PER
_	_	_	O
Jpressbiz	Jpressbiz	SL	B-ORG
_	_	_	O
대표	대표	NNG	O

## 9
## 2015년 12월 보건복지부와 협약한 뒤 전국 4000여 곳의 지역아동센터에서 약 7000명의 청소년을 지원하고 있다.
## <2015년 12월:DAT> <보건복지부:ORG>와 협약한 뒤 전국 <4000여 곳:NOH>의 지역아동센터에서 약 <7000명:NOH>의 청소년을 지원하고 있다.
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
보건복지부	보건복지부	NNG	B-ORG
와	와	JC	O
_	_	_	O
협약한	협약하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
4000	4000	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
곳	곳	NNG	I-NOH
의	의	JKG	O
_	_	_	O
지역	지역	NNG	O
아동	아동	NNG	O
센터	센터	NNG	O
에서	에서	JKB	O
_	_	_	O
약	약	MM	O
_	_	_	O
7000	7000	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
청소년	청소년	NNG	O
을	을	JKO	O
_	_	_	O
지원하	지원하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 5일 국회 입법조사처가 발간한 ‘2015 국정감사 정책자료’에 따르면 국회 입법조사처는 “방송 광고총량제는 인기 프로그램으로의 방송 광고 쏠림이나 광고 단가 하락 같은 부작용이 예상된다”고 지적했다.
## <5일:DAT> <국회 입법조사처:ORG>가 발간한 ‘<2015:DAT> 국정감사 정책자료’에 따르면 <국회 입법조사처:ORG>는 “방송 광고총량제는 인기 프로그램으로의 방송 광고 쏠림이나 광고 단가 하락 같은 부작용이 예상된다”고 지적했다.
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	B-ORG
_	_	_	I-ORG
입법	입법	NNG	I-ORG
조사	조사	NNG	I-ORG
처	처	NNG	I-ORG
가	가	JKS	O
_	_	_	O
발간한	발간하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-DAT
_	_	_	O
국정감사	국정감사	NNG	O
_	_	_	O
정책	정책	NNG	O
자료	자료	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
국회	국회	NNG	B-ORG
_	_	_	I-ORG
입법	입법	NNG	I-ORG
조사	조사	NNG	I-ORG
처	처	XSN	I-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
방송	방송	NNG	O
_	_	_	O
광고	광고	NNG	O
총량	총량	NNG	O
제	제	XSN	O
는	는	JX	O
_	_	_	O
인기	인기	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
으로	으로	JKB	O
의	의	JKG	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
광고	광고	NNG	O
_	_	_	O
쏠림	쏠림	NNG	O
이나	이나	JC	O
_	_	_	O
광고	광고	NNG	O
_	_	_	O
단가	단가	NNG	O
_	_	_	O
하락	하락	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
부작용	부작용	NNG	O
이	이	JKS	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 매주 일요일에는 비누·바람개비 등을 만들어 보는 체험학습 프로그램이 운영된다.
## 매주 <일요일:DAT>에는 비누·바람개비 등을 만들어 보는 체험학습 프로그램이 운영된다.
매주	매주	MAG	O
_	_	_	O
일요일	일요일	NNG	B-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
비누	비누	NNG	O
·	·	SP	O
바람개비	바람개비	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
보	보	VX	O
는	는	ETM	O
_	_	_	O
체험	체험	NNG	O
학습	학습	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
이	이	JKS	O
_	_	_	O
운영된다	운영되+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## “잠깐!” 쥬디가 벌떡 몸을 일으켰다.
## “잠깐!” <쥬디:PER>가 벌떡 몸을 일으켰다.
“	“	SS	O
잠깐	잠깐	MAG	O
!	!	SF	O
”	”	SS	O
_	_	_	O
쥬디	쥬디	NNP	B-PER
가	가	JKS	O
_	_	_	O
벌떡	벌떡	MAG	O
_	_	_	O
몸	몸	NNG	O
을	을	JKO	O
_	_	_	O
일으	일으키	VV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

