## 1
## 버크너는 보스턴이 2004년, 2007년 우승으로 밤비노의 저주를 끊은 후 보스턴 팬들과 재회할 수 있었다.
## <버크너:PER>는 <보스턴:ORG>이 <2004년:DAT>, <2007년:DAT> 우승으로 <밤비노의 저주:POH>를 끊은 후 <보스턴:ORG> 팬들과 재회할 수 있었다.
버크너	버크너	NNP	B-PER
.	.	SF	O

## 3
## 시에 따르면 해당 시간대 하루 평균 이용객 수가 버스는 6619명(3.1%), 지하철은 4868명(3.6%) 늘었다.
## 시에 따르면 해당 시간대 하루 평균 이용객 수가 버스는 <6619명:NOH>(<3.1%:PNT>), 지하철은 <4868명:NOH>(<3.6%:PNT>) 늘었다.
시	시	NNB	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
해당	해당	NNG	O
_	_	_	O
시간	시간	NNG	O
대	대	NNB	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
이용객	이용객	NNG	O
_	_	_	O
수	수	NNB	O
가	가	JKS	O
_	_	_	O
버스	버스	NNG	O
는	는	JX	O
_	_	_	O
6619	6619	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
3.1	3.1	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
지하철	지하철	NNG	O
은	은	JX	O
_	_	_	O
4868	4868	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
3.6	3.6	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 그러나 2012년 SSG푸드마켓이 문을 열며 식문화에 민감한 사람들이 모여들었고 이전부터 동네를 지키던 맛집도 입소문을 타기 시작했습니다.
## 그러나 <2012년:DAT> <SSG푸드마켓:ORG>이 문을 열며 식문화에 민감한 사람들이 모여들었고 이전부터 동네를 지키던 맛집도 입소문을 타기 시작했습니다.
그러나	그러나	MAJ	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
SSG	SSG	SL	B-ORG
푸드	푸드	NNG	I-ORG
마켓	마켓	NNG	I-ORG
이	이	JKS	O
_	_	_	O
문	문	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
며	며	EC	O
_	_	_	O
식문화	식문화	NNG	O
에	에	JKB	O
_	_	_	O
민감한	민감하+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
모여들	모여들	VV	O
었	었	EP	O
고	고	EC	O
_	_	_	O
이전	이전	NNG	O
부터	부터	JX	O
_	_	_	O
동네	동네	NNG	O
를	를	JKO	O
_	_	_	O
지키	지키	VV	O
던	던	ETM	O
_	_	_	O
맛집	맛집	NNG	O
도	도	JX	O
_	_	_	O
입	입	NNG	O
소문	소문	NNG	O
을	을	JKO	O
_	_	_	O
타	타	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 5
## 지구상의 사람들 대부분은 12개의 작물에 주로 의존하여 먹고살고 있는데, 이 중에서 밀, 벼, 옥수수와 감자가 60%를 차지하고 있다.
## 지구상의 사람들 대부분은 <12개:NOH>의 작물에 주로 의존하여 먹고살고 있는데, 이 중에서 밀, 벼, 옥수수와 감자가 <60%:PNT>를 차지하고 있다.
지구	지구	NNG	O
상	상	XSN	O
의	의	JKG	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
_	_	_	O
대부분	대부분	NNG	O
은	은	JX	O
_	_	_	O
12	12	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
작물	작물	NNG	O
에	에	JKB	O
_	_	_	O
주로	주로	MAG	O
_	_	_	O
의존하	의존하	VV	O
여	여	EC	O
_	_	_	O
먹고살	먹고살	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
이	이	MM	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
_	_	_	O
밀	밀	NNG	O
,	,	SP	O
_	_	_	O
벼	벼	NNG	O
,	,	SP	O
_	_	_	O
옥수수	옥수수	NNG	O
와	와	JC	O
_	_	_	O
감자	감자	NNG	O
가	가	JKS	O
_	_	_	O
60	60	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지하	차지하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 캠리 하이브리드의 경우, 배터리 가격이 434만원에 달한다.
## <캠리 하이브리드:POH>의 경우, 배터리 가격이 <434만원:NOH>에 달한다.
캠리	캠리	NNP	B-POH
_	_	_	I-POH
하이브리드	하이브리드	NNG	I-POH
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
,	,	SP	O
_	_	_	O
배터리	배터리	NNG	O
_	_	_	O
가격	가격	NNG	O
이	이	JKS	O
_	_	_	O
434	434	SN	B-NOH
만	만	NR	I-NOH
원	원	NNB	I-NOH
에	에	JKB	O
_	_	_	O
달한다	달하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 10일 오전 10시부터 오후 5시까지 창원컨벤션센터(CECO·세코)에서 열리는 ‘경남노인 사회활동 지원 활성화 대회’는 노인들의 사회활동 참여를 늘리고 활기찬 노년 문화를 만들어 주는 것이 목표다.
## <10일:DAT> <오전 10시부터 오후 5시:DUR>까지 <창원컨벤션센터:LOC>(<CECO:LOC>·<세코:LOC>)에서 열리는 ‘<경남노인 사회활동 지원 활성화 대회:POH>’는 노인들의 사회활동 참여를 늘리고 활기찬 노년 문화를 만들어 주는 것이 목표다.
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-DUR
_	_	_	I-DUR
10	10	SN	I-DUR
시	시	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
오후	오후	NNG	I-DUR
_	_	_	I-DUR
5	5	SN	I-DUR
시	시	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
창원	창원	NNP	B-LOC
컨벤션	컨벤션	NNG	I-LOC
센터	센터	NNG	I-LOC
(	(	SS	O
CECO	CECO	SL	B-LOC
·	·	SP	O
세코	세코	NNP	B-LOC
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
경남	경남	NNP	B-POH
노인	노인	NNG	I-POH
_	_	_	I-POH
사회	사회	NNG	I-POH
활동	활동	NNG	I-POH
_	_	_	I-POH
지원	지원	NNG	I-POH
_	_	_	I-POH
활성화	활성화	NNG	I-POH
_	_	_	I-POH
대회	대회	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
노인	노인	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
사회	사회	NNG	O
활동	활동	NNG	O
_	_	_	O
참여	참여	NNG	O
를	를	JKO	O
_	_	_	O
늘리	늘리	VV	O
고	고	EC	O
_	_	_	O
활기찬	활기차+ㄴ	VA+ETM	O
_	_	_	O
노년	노년	NNG	O
_	_	_	O
문화	문화	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
_	_	_	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
목표	목표+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 1년 후 달라질 자신의 모습을 몸통에 표현해야 하기 때문입니다.
## <1년:NOH> 후 달라질 자신의 모습을 몸통에 표현해야 하기 때문입니다.
1	1	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
후	후	NNG	O
_	_	_	O
달라질	달라지+ㄹ	VV+ETM	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
몸통	몸통	NNG	O
에	에	JKB	O
_	_	_	O
표현해야	표현하+여야	VV+EC	O
_	_	_	O
하	하	VX	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 9
## 공포확산, 혹시 나도?…메르스 증상은 고열과 기침
## 공포확산, 혹시 나도?…<메르스:POH> 증상은 고열과 기침
공포	공포	NNG	O
확산	확산	NNG	O
,	,	SP	O
_	_	_	O
혹시	혹시	MAG	O
_	_	_	O
나	나	NP	O
도	도	JX	O
?	?	SF	O
…	…	SE	O
메르스	메르스	NNG	B-POH
_	_	_	O
증상	증상	NNG	O
은	은	JX	O
_	_	_	O
고열	고열	NNG	O
과	과	JC	O
_	_	_	O
기침	기침	NNG	O

## 10
## 브리지사업(BRIDGE·Beyond Research and Innovation Development for Good Enterprises)은 대학이 보유한 창의적 아이디어와 기술, 특허 등을 실용화하기 위해 전국 20개 대학을 선정해 연간 150억 원씩, 3년간 총 450억 원을 지원하는 사업이다.
## <브리지사업:POH>(<BRIDGE:POH>·<Beyond Research and Innovation Development for Good Enterprises:POH>)은 대학이 보유한 창의적 아이디어와 기술, 특허 등을 실용화하기 위해 전국 <20개:NOH> 대학을 선정해 연간 <150억 원:MNY>씩, <3년간:DUR> 총 <450억 원:MNY>을 지원하는 사업이다.
브리지	브리지	NNG	B-POH
사업	사업	NNG	I-POH
(	(	SS	O
BRIDGE	BRIDGE	SL	B-POH
·	·	SP	O
Beyond	Beyond	SL	B-POH
_	_	_	I-POH
Research	Research	SL	I-POH
_	_	_	I-POH
and	and	SL	I-POH
_	_	_	I-POH
Innovation	Innovation	SL	I-POH
_	_	_	I-POH
Development	Development	SL	I-POH
_	_	_	I-POH
for	for	SL	I-POH
_	_	_	I-POH
Good	Good	SL	I-POH
_	_	_	I-POH
Enterprises	Enterprises	SL	I-POH
)	)	SS	O
은	은	JX	O
_	_	_	O
대학	대학	NNG	O
이	이	JKS	O
_	_	_	O
보유한	보유하+ㄴ	VV+ETM	O
_	_	_	O
창의적	창의적	NNG	O
_	_	_	O
아이디어	아이디어	NNG	O
와	와	JC	O
_	_	_	O
기술	기술	NNG	O
,	,	SP	O
_	_	_	O
특허	특허	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
실용화하	실용화하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
20	20	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
대학	대학	NNG	O
을	을	JKO	O
_	_	_	O
선정해	선정하+여	VV+EC	O
_	_	_	O
연간	연간	NNG	O
_	_	_	O
150	150	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
씩	씩	XSN	O
,	,	SP	O
_	_	_	O
3	3	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
총	총	XPN	O
_	_	_	O
450	450	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
사업	사업	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 이날 오전만 해도 1차 투표에서 수위를 차지한 이 후보의 우세가 점쳐졌다.
## 이날 오전만 해도 <1차:NOH> 투표에서 수위를 차지한 <이:PER> 후보의 우세가 점쳐졌다.
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
만	만	JX	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
투표	투표	NNG	O
에서	에서	JKB	O
_	_	_	O
수위	수위	NNG	O
를	를	JKO	O
_	_	_	O
차지한	차지하+ㄴ	VV+ETM	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
의	의	JKG	O
_	_	_	O
우세	우세	NNG	O
가	가	JKS	O
_	_	_	O
점쳐	점치+어+지	VV+EC+VX	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 그러나 오후 결선투표의 뚜껑이 열리자 김 후보의 막판 역전극으로 판가름 났다.
## 그러나 오후 결선투표의 뚜껑이 열리자 <김:PER> 후보의 막판 역전극으로 판가름 났다.
그러나	그러나	MAJ	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
결선투표	결선투표	NNG	O
의	의	JKG	O
_	_	_	O
뚜껑	뚜껑	NNG	O
이	이	JKS	O
_	_	_	O
열리	열리	VV	O
자	자	EC	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
의	의	JKG	O
_	_	_	O
막판	막판	NNG	O
_	_	_	O
역전극	역전극	NNG	O
으로	으로	JKB	O
_	_	_	O
판가름	판가름	NNG	O
_	_	_	O
났	나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

