## 1
## 구글 검색어 역시 올해 국내뉴스/사회 검색에서 지진이 1위를 차지했다.태양의 후예 vs 구르미 그린 달빛올해 방송 관련 검색어에서는 올해 초 방영한 KBS 드라마 태양의 후예와 올해 하반기 방영한 KBS 드라마 구르미 그린 달빛이 상위권에 올랐다.
## <구글:ORG> 검색어 역시 올해 국내뉴스/사회 검색에서 지진이 <1위:NOH>를 차지했다.<태양의 후예:POH> vs <구르미 그린 달빛:POH>올해 방송 관련 검색어에서는 올해 초 방영한 <KBS:ORG> 드라마 <태양의 후예:POH>와 올해 하반기 방영한 <KBS:ORG> 드라마 <구르미 그린 달빛:POH>이 상위권에 올랐다.
구글	구글	NNP	B-ORG
GS	GS	SL	B-ORG
건설	건설	NNG	I-ORG
,	,	SP	O
_	_	_	O
대림산업	대림산업	NNP	B-ORG
,	,	SP	O
_	_	_	O
롯데건설	롯데건설	NNP	B-ORG
,	,	SP	O
_	_	_	O
SK	SK	SL	B-ORG
건설	건설	NNG	I-ORG
,	,	SP	O
_	_	_	O
현대산업개발	현대산업개발	NNP	B-ORG
_	_	_	O
등	등	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 경북SW융합사업단이 주관하고 구미전자정보기술원 대구대 등이 참여한다.
## <경북SW융합사업단:ORG>이 주관하고 <구미전자정보기술원 대구대:ORG> 등이 참여한다.
경북	경북	NNP	B-ORG
SW	SW	SL	I-ORG
융합	융합	NNG	I-ORG
사업단	사업단	NNG	I-ORG
이	이	VCP	O
_	_	_	O
주관하	주관하	VV	O
고	고	EC	O
_	_	_	O
구미	구미	NNP	B-ORG
전자	전자	NNG	I-ORG
정보	정보	NNG	I-ORG
기술	기술	NNG	I-ORG
원	원	XSN	I-ORG
_	_	_	I-ORG
대구대	대구대	NNP	I-ORG
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
참여한다	참여하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 북한이 여러 발의 미사일을 동시다발적으로 한국과 일본을 향해 발사하고, 일부 미사일에 핵탄두를 탑재한다면 일본의 미사일방어 시스템으로도 완전히 막기 어려울 수 있다.
## <북한:ORG>이 여러 발의 미사일을 동시다발적으로 <한국:ORG>과 <일본:ORG>을 향해 발사하고, 일부 미사일에 핵탄두를 탑재한다면 <일본:ORG>의 미사일방어 시스템으로도 완전히 막기 어려울 수 있다.
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
발	발	NNG	O
의	의	JKG	O
_	_	_	O
미사일	미사일	NNG	O
을	을	JKO	O
_	_	_	O
동시	동시	NNG	O
다발	다발	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
일본	일본	NNP	B-ORG
을	을	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
발사하	발사하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
미사일	미사일	NNG	O
에	에	JKB	O
_	_	_	O
핵탄두	핵탄두	NNG	O
를	를	JKO	O
_	_	_	O
탑재한다면	탑재하+ㄴ다면	VV+EC	O
_	_	_	O
일본	일본	NNP	B-ORG
의	의	JKG	O
_	_	_	O
미사일	미사일	NNG	O
방어	방어	NNG	O
_	_	_	O
시스템	시스템	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
완전히	완전히	MAG	O
_	_	_	O
막	막	VV	O
기	기	ETN	O
_	_	_	O
어려	어렵	VA	O
울	ㄹ	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 6
## ‘내딸 금사월’ 유재석 1인3역 카메오 예고, 단발머리+콧수염+빵모자 화가 변신…정극 도전? 국민 MC 유재석이 MBC 주말드라마 ‘내딸 금사월’에 깜짝 출연한다.
## ‘<내딸 금사월:POH>’ <유재석:PER> <1인:NOH><3역:NOH> 카메오 예고, 단발머리+콧수염+빵모자 화가 변신…정극 도전? 국민 MC <유재석:PER>이 <MBC:ORG> 주말드라마 ‘<내딸 금사월:POH>’에 깜짝 출연한다.
‘	‘	SS	O
내	나+의	NP+JKG	B-POH
딸	딸	NNG	I-POH
_	_	_	I-POH
금	금	NNG	I-POH
사월	사월	NNG	I-POH
’	’	SS	O
_	_	_	O
유재석	유재석	NNP	B-PER
_	_	_	O
1	1	SN	B-NOH
인	인	NNG	I-NOH
3	3	SN	B-NOH
역	역	NNG	I-NOH
_	_	_	O
카메오	카메오	NNG	O
_	_	_	O
예고	예고	NNG	O
,	,	SP	O
_	_	_	O
단발머리+	단발머리++	NNG+SW	O
콧수염+	콧수염++	NNG+SW	O
빵모자	빵모자	NNG	O
_	_	_	O
화	화	NNG	O
가	가	JKS	O
_	_	_	O
변신	변신	NNG	O
…	…	SE	O
정극	정극	NNG	O
_	_	_	O
도전	도전	NNG	O
?	?	SF	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
MC	MC	SL	O
_	_	_	O
유재석	유재석	NNP	B-PER
이	이	JKS	O
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
주말	주말	NNG	O
드라마	드라마	NNG	O
_	_	_	O
‘	‘	SS	O
내	나+의	NP+JKG	B-POH
딸	딸	NNG	I-POH
_	_	_	I-POH
금	금	NNG	I-POH
사월	사월	NNG	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
출연한다	출연하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 고대 그리스가 동성애의 천국이었을지 모르지만 현대 그리스는 동성애를 죄악시, 금기시하기 때문이다.
## 고대 <그리스:LOC>가 동성애의 천국이었을지 모르지만 현대 <그리스:LOC>는 동성애를 죄악시, 금기시하기 때문이다.
고대	고대	NNG	O
_	_	_	O
그리스	그리스	NNP	B-LOC
가	가	JKS	O
_	_	_	O
동성애	동성애	NNG	O
의	의	JKG	O
_	_	_	O
천국	천국	NNG	O
이	이	VCP	O
었	었	EP	O
을지	을지	EC	O
_	_	_	O
모르	모르	VV	O
지만	지만	EC	O
_	_	_	O
현대	현대	NNG	O
_	_	_	O
그리스	그리스	NNP	B-LOC
는	는	JX	O
_	_	_	O
동성애	동성애	NNG	O
를	를	JKO	O
_	_	_	O
죄악시	죄악시	NNG	O
,	,	SP	O
_	_	_	O
금기	금기	NNG	O
시	시	XSN	O
하	하	XSV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 아직 시즌 초반이긴 하지만 최근 5시즌과 비교해 봐도 가장 낮다.
## 아직 시즌 초반이긴 하지만 최근 <5시즌:NOH>과 비교해 봐도 가장 낮다.
아직	아직	MAG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
초반	초반	NNG	O
이	이	VCP	O
긴	기+ㄴ	ETN+JX	O
_	_	_	O
하	하	VX	O
지만	지만	EC	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
5	5	SN	B-NOH
시즌	시즌	NNG	I-NOH
과	과	JKB	O
_	_	_	O
비교해	비교하+여	VV+EC	O
_	_	_	O
봐도	보+아도	VX+EC	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
낮	낮	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 결국 한병철 교수가 보기에 타자는 사르트르가 얘기하듯 ‘지옥’이 아니라 ‘구원’이다.
## 결국 <한병철:PER> 교수가 보기에 타자는 <사르트르:PER>가 얘기하듯 ‘지옥’이 아니라 ‘구원’이다.
결국	결국	NNG	O
_	_	_	O
한병철	한병철	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
가	가	JKS	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
타	타	VV	O
자는	자는	ETM	O
_	_	_	O
사르트르	사르트르	NNP	B-PER
가	가	JKS	O
_	_	_	O
얘기하	얘기하	VV	O
듯	듯	EC	O
_	_	_	O
‘	‘	SS	O
지옥	지옥	NNG	O
’	’	SS	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
‘	‘	SS	O
구원	구원	NNG	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 당초 트럼프 찬반 지지자들의 충돌과 트럼프 반대 대의원들의 반란 등으로 혼란을 겪으리라던 트럼프 대관식이 예상과 달리 지지율 상승으로 이어지며 민주당과 힐러리 클린턴 진영은 긴장하고 있다.공화당 전당대회 기간(7월 18∼21일)과 이후 조사가 시작돼 지난 24일 끝난 네 기관의 여론조사 중 세 기관의 조사에서 트럼프가 클린턴을 앞섰다.
## 당초 <트럼프:PER> 찬반 지지자들의 충돌과 <트럼프:PER> 반대 대의원들의 반란 등으로 혼란을 겪으리라던 <트럼프:PER> 대관식이 예상과 달리 지지율 상승으로 이어지며 <민주당:ORG>과 <힐러리 클린턴:PER> 진영은 긴장하고 있다.<공화당:ORG> 전당대회 기간(<7월 18∼21일:DUR>)과 이후 조사가 시작돼 지난 <24일:DAT> 끝난 <네 기관:NOH>의 여론조사 중 <세 기관:NOH>의 조사에서 <트럼프:PER>가 <클린턴:PER>을 앞섰다.
당초	당초	NNG	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
찬반	찬반	NNG	O
_	_	_	O
지지자	지지자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
충돌	충돌	NNG	O
과	과	JC	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
반대	반대	NNG	O
_	_	_	O
대의원	대의원	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
반란	반란	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
혼란	혼란	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
으리라던	으리라던	ETM	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
대관식	대관식	NNG	O
이	이	JKS	O
_	_	_	O
예상	예상	NNG	O
과	과	JKB	O
_	_	_	O
달리	달리	MAG	O
_	_	_	O
지지율	지지율	NNG	O
_	_	_	O
상승	상승	NNG	O
으로	으로	JKB	O
_	_	_	O
이어지	이어지	VV	O
며	며	EC	O
_	_	_	O
민주당	민주당	NNP	B-ORG
과	과	JC	O
_	_	_	O
힐러리	힐러리	NNP	B-PER
_	_	_	I-PER
클린턴	클린턴	NNP	I-PER
_	_	_	O
진영	진영	NNG	O
은	은	JX	O
_	_	_	O
긴장하	긴장하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O
공화당	공화당	NNP	B-ORG
_	_	_	O
전당	전당	NNG	O
대회	대회	NNG	O
_	_	_	O
기간	기간	NNG	O
(	(	SS	O
7	7	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
18	18	SN	I-DUR
∼	∼	SO	I-DUR
21	21	SN	I-DUR
일	일	NNB	I-DUR
)	)	SS	O
과	과	JKB	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
조사	조사	NNG	O
가	가	JKS	O
_	_	_	O
시작돼	시작되+어	VV+EC	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
끝난	끝나+ㄴ	VV+ETM	O
_	_	_	O
네	네	MM	B-NOH
_	_	_	I-NOH
기관	기관	NNG	I-NOH
의	의	JKG	O
_	_	_	O
여론	여론	NNG	O
조사	조사	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
기관	기관	NNG	I-NOH
의	의	JKG	O
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
가	가	JKS	O
_	_	_	O
클린턴	클린턴	NNP	B-PER
을	을	JKO	O
_	_	_	O
앞섰	앞서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 친구에게 이런 짓을 했다면 나는 그들이 초등 3학년이라도 ‘작은 악마’로 부를 수밖에 없다.
## 친구에게 이런 짓을 했다면 나는 그들이 초등 <3학년:NOH>이라도 ‘작은 악마’로 부를 수밖에 없다.
친구	친구	NNG	O
에게	에게	JKB	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
짓	짓	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다면	다면	EC	O
_	_	_	O
나	나	NP	O
는	는	JX	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
초등	초등	NNG	O
_	_	_	O
3	3	SN	B-NOH
학년	학년	NNG	I-NOH
이라도	이라도	JX	O
_	_	_	O
‘	‘	SS	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
악마	악마	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
부를	부르+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 12
## 특히 KB금융은 지주와 계열사 간 겸직과 파견 제도를 활성화해 협업을 장려하고 인력 운영의 효율성을 높일 계획이다.
## 특히 <KB금융:ORG>은 지주와 계열사 간 겸직과 파견 제도를 활성화해 협업을 장려하고 인력 운영의 효율성을 높일 계획이다.
특히	특히	MAG	O
_	_	_	O
KB	KB	SL	B-ORG
금융	금융	NNG	I-ORG
은	은	JX	O
_	_	_	O
지주	지주	NNG	O
와	와	JC	O
_	_	_	O
계열사	계열사	NNG	O
_	_	_	O
간	간	NNB	O
_	_	_	O
겸직	겸직	NNG	O
과	과	JC	O
_	_	_	O
파견	파견	NNG	O
_	_	_	O
제도	제도	NNG	O
를	를	JKO	O
_	_	_	O
활성화해	활성화하+여	VV+EC	O
_	_	_	O
협업	협업	NNG	O
을	을	JKO	O
_	_	_	O
장려하	장려하	VV	O
고	고	EC	O
_	_	_	O
인력	인력	NNG	O
_	_	_	O
운영	운영	NNG	O
의	의	JKG	O
_	_	_	O
효율	효율	NNG	O
성	성	XSN	O
을	을	JKO	O
_	_	_	O
높일	높이+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 동아일보-채널A의 교통안전 캠페인 ‘교통사고 사망자 2000명 줄이자’가 교통안전문화 개선에 기여한 공로를 인정받아 ‘2016 선진교통안전대상’ 특별상을 수상했다.
## <동아일보:ORG>-<채널A:ORG>의 교통안전 캠페인 ‘<교통사고 사망자 2000명 줄이자:POH>’가 교통안전문화 개선에 기여한 공로를 인정받아 ‘<2016:DAT> <선진교통안전대상:POH>’ 특별상을 수상했다.
동아일보	동아일보	NNP	B-ORG
-	-	SO	O
채널	채널	NNG	B-ORG
A	A	SL	I-ORG
의	의	JKG	O
_	_	_	O
교통안전	교통안전	NNG	O
_	_	_	O
캠페인	캠페인	NNG	O
_	_	_	O
‘	‘	SS	O
교통사고	교통사고	NNG	B-POH
_	_	_	I-POH
사망자	사망자	NNG	I-POH
_	_	_	I-POH
2000	2000	SN	I-POH
명	명	NNB	I-POH
_	_	_	I-POH
줄이	줄이	VV	I-POH
자	자	EF	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
교통안전	교통안전	NNG	O
문화	문화	NNG	O
_	_	_	O
개선	개선	NNG	O
에	에	JKB	O
_	_	_	O
기여한	기여하+ㄴ	VV+ETM	O
_	_	_	O
공로	공로	NNG	O
를	를	JKO	O
_	_	_	O
인정받	인정받	VV	O
아	아	EC	O
_	_	_	O
‘	‘	SS	O
2016	2016	SN	B-DAT
_	_	_	O
선진	선진	NNG	B-POH
교통	교통	NNG	I-POH
안전	안전	NNG	I-POH
대상	대상	NNG	I-POH
’	’	SS	O
_	_	_	O
특별상	특별상	NNG	O
을	을	JKO	O
_	_	_	O
수상	수상하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 전체적으로 대구 지역 경찰관이 젊다는 의미다.
## 전체적으로 <대구:LOC> 지역 경찰관이 젊다는 의미다.
전체적	전체적	NNG	O
으로	으로	JKB	O
_	_	_	O
대구	대구	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
_	_	_	O
경찰관	경찰관	NNG	O
이	이	JKS	O
_	_	_	O
젊	젊	VA	O
다는	다는	ETM	O
_	_	_	O
의미	의미+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 15
## 안철수, 대통령 되면 첫 대북 메시지 “정은아 핵을 버려라…”
## <안철수:PER>, 대통령 되면 첫 대북 메시지 “<정은:PER>아 핵을 버려라…”
안철수	안철수	NNP	B-PER
,	,	SP	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
되	되	VV	O
면	면	EC	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
대북	대북	NNG	O
_	_	_	O
메시지	메시지	NNG	O
_	_	_	O
“	“	SS	O
정은아	정은아	NNP	O
_	_	_	O
핵	핵	NNG	O
을	을	JKO	O
_	_	_	O
버려라	버리+어라	VV+EC	O
…	…	SE	O
”	”	SS	O

## 16
## 미국은 상장사 시총이 25조535억8100만달러로 GDP대비 시총 비중은 143.9%였다.
## <미국:ORG>은 상장사 시총이 <25조535억8100만달러:MNY>로 GDP대비 시총 비중은 <143.9%:PNT>였다.
미국	미국	NNP	B-ORG
은	은	JX	O
_	_	_	O
상장	상장	NNG	O
사	사	XSN	O
_	_	_	O
시총	시총	NNG	O
이	이	JKS	O
_	_	_	O
25	25	SN	B-MNY
조	조	NNG	I-MNY
535	535	SN	I-MNY
억	억	NR	I-MNY
8100	8100	SN	I-MNY
만	만	NR	I-MNY
달러	달러	NNB	I-MNY
로	로	JKB	O
_	_	_	O
GDP	GDP	SL	O
대비	대비	NNG	O
_	_	_	O
시총	시총	NNG	O
_	_	_	O
비중	비중	NNG	O
은	은	JX	O
_	_	_	O
143.9	143.9	SN	B-PNT
%	%+이	SW+VCP	I-PNT
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 17
## 메르스 환자 2명 추가, 15명으로 늘어나…“3차 감염자 없다”
## 메르스 환자 <2명:NOH> 추가, <15명:NOH>으로 늘어나…“<3차:NOH> 감염자 없다”
메르스	메르스	NNG	O
_	_	_	O
환자	환자	NNG	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
추가	추가	NNG	O
,	,	SP	O
_	_	_	O
15	15	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘어나	늘어나+아	VV+EC	O
…	…	SE	O
“	“	SS	O
3	3	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
감염자	감염자	NNG	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O

