## 1
## 또 한·일관계와 관련해서는 “두 나라 간 미래지향적 동반자 관계의 출발점이자 필요조건은 올바른 역사인식과 미래세대 교육이며 정부는 이와 같은 확고한 원칙을 가지고 과거사 문제에 대해서는 단호히 대응해 나갈 것”이라며 “일본 정부도 역사를 있는 그대로 직시하면서 미래세대 교육과 과거사의 과오를 반성하는 데 진정성 있고 일관성 있게 나아가야 할 것”이라고 지적했다.
## 또 <한·일:ORG>관계와 관련해서는 “<두 나라:NOH> 간 미래지향적 동반자 관계의 출발점이자 필요조건은 올바른 역사인식과 미래세대 교육이며 정부는 이와 같은 확고한 원칙을 가지고 과거사 문제에 대해서는 단호히 대응해 나갈 것”이라며 “<일본 정부:ORG>도 역사를 있는 그대로 직시하면서 미래세대 교육과 과거사의 과오를 반성하는 데 진정성 있고 일관성 있게 나아가야 할 것”이라고 지적했다.
또	또	MAG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
도	도	JX	O
_	_	_	O
“	“	SS	O
북한	북한	NNP	B-ORG
은	은	JX	O
_	_	_	O
민생	민생	NNG	O
을	을	JKO	O
_	_	_	O
파괴하	파괴하	VV	O
고	고	EC	O
_	_	_	O
인권	인권	NNG	O
을	을	JKO	O
_	_	_	O
유린하	유린하	VV	O
며	며	EC	O
_	_	_	O
오직	오직	MAG	O
_	_	_	O
핵	핵	NNG	O
능력	능력	NNG	O
_	_	_	O
고도화	고도화	NNG	O
에	에	JKB	O
_	_	_	O
몰두하	몰두하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
굳건한	굳건하+ㄴ	VA+ETM	O
_	_	_	O
한미	한미	NNP	B-ORG
_	_	_	I-ORG
연합	연합	NNG	I-ORG
방위	방위	NNG	I-ORG
태세	태세	NNG	O
를	를	JKO	O
_	_	_	O
토대	토대	NNG	O
로	로	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
어떠한	어떠하+ㄴ	VA+ETM	O
_	_	_	O
도발	도발	NNG	O
과	과	JC	O
_	_	_	O
위협	위협	NNG	O
도	도	JX	O
_	_	_	O
단호히	단호히	MAG	O
_	_	_	O
응징하	응징하	VV	O
고	고	EC	O
_	_	_	O
유엔	유엔	NNP	B-POH
_	_	_	I-POH
안보리	안보리	NNG	I-POH
_	_	_	I-POH
결의	결의	NNG	I-POH
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
제재	제재	NNG	O
와	와	JC	O
_	_	_	O
압박	압박	NNG	O
을	을	JKO	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
강화해	강화하+여	VV+EC	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
잘못된	잘못되+ㄴ	VV+ETM	O
_	_	_	O
셈법	셈법	NNG	O
을	을	JKO	O
_	_	_	O
바꾸	바꾸	VV	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 다음은 황 권한대행의 제98주년 3·1절 기념사 전문제98주년 3·1절 기념사존경하는 국내외 동포 여러분,독립 유공자와 유가족 여러분,그리고 내외 귀빈 여러분,오늘은 우리 민족사에 큰 분수령이 되었던 3·1운동을 기념하는 매우 뜻 깊은 날입니다.
## 다음은 <황:PER> 권한대행의 <제98주년:NOH> <3·1절:DAT> 기념사 전문<제98주년:NOH> <3·1절:DAT> 기념사존경하는 국내외 동포 여러분,독립 유공자와 유가족 여러분,그리고 내외 귀빈 여러분,오늘은 우리 민족사에 큰 분수령이 되었던 <3·1운동:POH>을 기념하는 매우 뜻 깊은 날입니다.
다음	다음	NNG	O
은	은	JX	O
_	_	_	O
황	황	NNP	B-PER
_	_	_	O
권한	권한	NNG	O
대행	대행	NNG	O
의	의	JKG	O
_	_	_	O
제	제	XPN	B-NOH
98	98	SN	I-NOH
주년	주년	NNB	I-NOH
_	_	_	O
3	3	SN	B-DAT
·	·	SP	I-DAT
1	1	SN	I-DAT
절	절	NNG	I-DAT
_	_	_	O
기념사	기념사	NNG	O
_	_	_	O
전문	전문	NNG	O
제	제	XSN	B-NOH
98	98	SN	I-NOH
주년	주년	NNB	I-NOH
_	_	_	O
3	3	SN	B-DAT
·	·	SP	I-DAT
1	1	SN	I-DAT
절	절	NNG	I-DAT
_	_	_	O
기념사	기념사	NNG	O
존경하	존경하	VV	O
는	는	ETM	O
_	_	_	O
국내외	국내외	NNG	O
_	_	_	O
동포	동포	NNG	O
_	_	_	O
여러분	여러분	NP	O
,	,	SP	O
독립	독립	NNG	O
_	_	_	O
유공자	유공자	NNG	O
와	와	JC	O
_	_	_	O
유가족	유가족	NNG	O
_	_	_	O
여러분	여러분	NP	O
,	,	SP	O
그리고	그리고	MAJ	O
_	_	_	O
내외	내외	NNG	O
_	_	_	O
귀빈	귀빈	NNG	O
_	_	_	O
여러분	여러분	NP	O
,	,	SP	O
오늘	오늘	NNG	O
은	은	JX	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
민족사	민족사	NNG	O
에	에	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
분수령	분수령	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
3	3	SN	B-POH
·	·	SP	I-POH
1	1	SN	I-POH
운동	운동	NNG	I-POH
을	을	JKO	O
_	_	_	O
기념하	기념하	VV	O
는	는	ETM	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
뜻	뜻	NNG	O
_	_	_	O
깊	깊	VA	O
은	은	ETM	O
_	_	_	O
날	날	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 4
## 거북의 배딱지와 등딱지 형성은 생물에서 흔히 나타나는 대진화 현상을 보여주는 하나의 증거이면서 초기 파충류 진화의 극적인 사건이다.
## 거북의 배딱지와 등딱지 형성은 생물에서 흔히 나타나는 대진화 현상을 보여주는 <하나:NOH>의 증거이면서 초기 파충류 진화의 극적인 사건이다.
거북	거북	NNG	O
의	의	JKG	O
_	_	_	O
배딱지	배딱지	NNG	O
와	와	JC	O
_	_	_	O
등딱지	등딱지	NNG	O
_	_	_	O
형성	형성	NNG	O
은	은	JX	O
_	_	_	O
생물	생물	NNG	O
에서	에서	JKB	O
_	_	_	O
흔히	흔히	MAG	O
_	_	_	O
나타나	나타나	VV	O
는	는	ETM	O
_	_	_	O
대진화	대진화	NNG	O
_	_	_	O
현상	현상	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
하나	하나	NNG	B-NOH
의	의	JKG	O
_	_	_	O
증거	증거	NNG	O
이	이	VCP	O
면서	면서	EC	O
_	_	_	O
초기	초기	NNG	O
_	_	_	O
파충류	파충류	NNG	O
_	_	_	O
진화	진화	NNG	O
의	의	JKG	O
_	_	_	O
극적	극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
사건	사건	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 지난해 11월 제2공항 후보지 선정 발표를 전후해 나타난 풍경이다.
## 지난해 <11월:DAT> <제2:NOH>공항 후보지 선정 발표를 전후해 나타난 풍경이다.
지난해	지난해	NNG	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
공항	공항	NNG	O
_	_	_	O
후보지	후보지	NNG	O
_	_	_	O
선정	선정	NNG	O
_	_	_	O
발표	발표	NNG	O
를	를	JKO	O
_	_	_	O
전후해	전후하+여	VV+EC	O
_	_	_	O
나타난	나타나+ㄴ	VV+ETM	O
_	_	_	O
풍경	풍경	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 지난 1월12일(2087.14) 이후 가장 높은 수치다.
## 지난 <1월12일:DAT>(<2087.14:MNY>) 이후 가장 높은 수치다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
12	12	SN	I-DAT
일	일	NNB	I-DAT
(	(	SS	O
2087.14	2087.14	SN	B-MNY
)	)	SS	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
수치	수치+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 이날 2084.16으로 상승 출발한 코스피는 장 초반 외국인과 기관투자자 매도세에 2077선까지 하락했다.
## 이날 <2084.16:MNY>으로 상승 출발한 <코스피:POH>는 장 초반 외국인과 기관투자자 매도세에 <2077:MNY>선까지 하락했다.
이날	이날	NNG	O
_	_	_	O
2084.16	2084.16	SN	B-MNY
으로	으로	JKB	O
_	_	_	O
상승	상승	NNG	O
_	_	_	O
출발	출발	NNG	O
한	한	NNG	O
_	_	_	O
코스피	코스피	NNG	B-POH
는	는	JX	O
_	_	_	O
장	장	NNG	O
_	_	_	O
초반	초반	NNG	O
_	_	_	O
외국인	외국인	NNG	O
과	과	JC	O
_	_	_	O
기관	기관	NNG	O
투자자	투자자	NNG	O
_	_	_	O
매도	매도	NNG	O
세	세	NNG	O
에	에	JKB	O
_	_	_	O
2077	2077	SN	B-MNY
선	선	NNG	O
까지	까지	JX	O
_	_	_	O
하락	하락하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 양산선의 노포~사송리 사송연못 간 2.4㎞는 지하에, 나머지는 지상에 건설된다.
## <양산선:LOC>의 <노포~사송리 사송연못:LOC> 간 <2.4㎞:NOH>는 지하에, 나머지는 지상에 건설된다.
양산	양산	NNG	B-LOC
선의	선의	NNG	O
_	_	_	O
노포	노포	NNG	B-LOC
~	~	SO	I-LOC
사송리	사송리	NNP	I-LOC
_	_	_	I-LOC
사송	사송	NNG	I-LOC
연못	연못	NNG	I-LOC
_	_	_	O
간	간	NNB	O
_	_	_	O
2.4	2.4	SN	B-NOH
㎞	㎞	SW	I-NOH
는	는	JX	O
_	_	_	O
지하	지하	NNG	O
에	에	JKB	O
,	,	SP	O
_	_	_	O
나머지	나머지	NNG	O
는	는	JX	O
_	_	_	O
지상	지상	NNG	O
에	에	JKB	O
_	_	_	O
건설된다	건설되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 재질과 크기가 다른 활자가 섞여 있으니 ‘직지심체요절’의 서체는 아름답지 못하다.
## 재질과 크기가 다른 활자가 섞여 있으니 ‘<직지심체요절:POH>’의 서체는 아름답지 못하다.
재질	재질	NNG	O
과	과	JC	O
_	_	_	O
크기	크기	NNG	O
가	가	JKS	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
활자	활자	NNG	O
가	가	JKS	O
_	_	_	O
섞	섞이	VV	O
여	어	EC	O
_	_	_	O
있	있	VX	O
으니	으니	EC	O
_	_	_	O
‘	‘	SS	O
직지심체요절	직지심체요절	NNP	B-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
서체	서체	NNG	O
는	는	JX	O
_	_	_	O
아름답	아름답	VA	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 검찰, ‘메르스 환자 늑장 신고 혐의’ 삼성서울병원 무혐의 처분
## 검찰, ‘<메르스:POH> 환자 늑장 신고 혐의’ <삼성서울병원:ORG> 무혐의 처분
검찰	검찰	NNG	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
메르스	메르스	NNG	B-POH
_	_	_	O
환자	환자	NNG	O
_	_	_	O
늑장	늑장	NNG	O
_	_	_	O
신고	신고	NNG	O
_	_	_	O
혐의	혐의	NNG	O
’	’	SS	O
_	_	_	O
삼성서울병원	삼성서울병원	NNP	B-ORG
_	_	_	O
무혐의	무혐의	NNG	O
_	_	_	O
처분	처분	NNG	O

## 11
## 현재 두 개의 학교법인을 통해 울산대, 울산과학대를 비롯해 사립형 사립고와 일반고, 중학교, 유치원 등을 운영하고 있다.
## 현재 <두 개:NOH>의 학교법인을 통해 <울산대:ORG>, <울산과학대:ORG>를 비롯해 사립형 사립고와 일반고, 중학교, 유치원 등을 운영하고 있다.
현재	현재	MAG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
학교	학교	NNG	O
법인	법인	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
울산대	울산대	NNP	B-ORG
,	,	SP	O
_	_	_	O
울산	울산	NNP	B-ORG
과학	과학	NNG	I-ORG
대	대	NNG	I-ORG
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
사립	사립	NNG	O
형	형	XSN	O
_	_	_	O
사립	사립	NNG	O
고	고	NNG	O
와	와	JC	O
_	_	_	O
일반	일반	NNG	O
고	고	NNG	O
,	,	SP	O
_	_	_	O
중학교	중학교	NNG	O
,	,	SP	O
_	_	_	O
유치원	유치원	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
운영하	운영하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 12
## 앞서 최 지사는 이날 오전 도정질문 답변 때 1시간가량 서 있었으며, 간혹 식은땀을 흘리는 등 피곤한 모습을 보였던 것으로 알려졌다.
## 앞서 <최:PER> 지사는 이날 오전 도정질문 답변 때 <1시간:NOH>가량 서 있었으며, 간혹 식은땀을 흘리는 등 피곤한 모습을 보였던 것으로 알려졌다.
앞서	앞서	MAG	O
_	_	_	O
최	최	NNP	B-PER
_	_	_	O
지사	지사	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
도정	도정	NNG	O
질문	질문	NNG	O
_	_	_	O
답변	답변	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
1	1	SN	B-NOH
시간	시간	NNB	I-NOH
가량	가량	XSN	O
_	_	_	O
서	서+어	VV+EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
간혹	간혹	MAG	O
_	_	_	O
식은땀	식은땀	NNG	O
을	을	JKO	O
_	_	_	O
흘리	흘리	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
피곤한	피곤하+ㄴ	VA+ETM	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 외부에 기부하는 금액이 자기 자본의 0.5%(약 6800억 원) 이상이거나 삼성생명공익재단 등 특수관계인에게 50억 원 이상을 증여할 때는 이사회가 직접 결정했다.
## 외부에 기부하는 금액이 자기 자본의 <0.5%:PNT>(약 <6800억 원:MNY>) 이상이거나 <삼성생명공익재단:ORG> 등 특수관계인에게 <50억 원:MNY> 이상을 증여할 때는 이사회가 직접 결정했다.
외부	외부	NNG	O
에	에	JKB	O
_	_	_	O
기부하	기부하	VV	O
는	는	ETM	O
_	_	_	O
금액	금액	NNG	O
이	이	JKS	O
_	_	_	O
자기	자기	NNG	O
_	_	_	O
자본	자본	NNG	O
의	의	JKG	O
_	_	_	O
0.5	0.5	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
약	약	MM	O
_	_	_	O
6800	6800	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
_	_	_	O
이상	이상	NNG	O
이	이	VCP	O
거나	거나	EC	O
_	_	_	O
삼성생명	삼성생명	NNP	B-ORG
공익	공익	NNG	I-ORG
재단	재단	NNG	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
특수	특수	NNG	O
관계	관계	NNG	O
인	인	XSN	O
에게	에게	JKB	O
_	_	_	O
50	50	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
증여할	증여하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
는	는	JX	O
_	_	_	O
이사회	이사회	NNG	O
가	가	JKS	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
결정	결정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 22∼29일 ‘피스 & 피아노 페스티벌’… 국내외 촉망받는 신예들 무대 올라
## <22∼29일:DUR> ‘<피스 & 피아노 페스티벌:POH>’… 국내외 촉망받는 신예들 무대 올라
22	22	SN	B-DUR
∼	∼	SO	I-DUR
29	29	SN	I-DUR
일	일	NNB	I-DUR
_	_	_	O
‘	‘	SS	O
피스	피스	NNG	B-POH
_	_	_	I-POH
&	&	SW	I-POH
_	_	_	I-POH
피아노	피아노	NNG	I-POH
_	_	_	I-POH
페스티벌	페스티벌	NNG	I-POH
’	’	SS	O
…	…	SE	O
_	_	_	O
국내외	국내외	NNG	O
_	_	_	O
촉망	촉망	NNG	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
신예	신예	NNG	O
들	들	XSN	O
_	_	_	O
무대	무대	NNG	O
_	_	_	O
올	오르	VV	O
라	아	EC	O

## 15
## 9일부터 오키나와 킨 구장에서 2차 스프링 캠프를 시작한 KIA의 김기태 감독은 훈련 첫날부터 화가 난다고 했다.
## <9일:DAT>부터 <오키나와 킨 구장:LOC>에서 <2차:NOH> 스프링 캠프를 시작한 <KIA:ORG>의 <김기태:PER> 감독은 훈련 첫날부터 화가 난다고 했다.
9	9	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
오키나와	오키나와	NNP	B-LOC
_	_	_	I-LOC
킨	킨	NNP	I-LOC
_	_	_	I-LOC
구장	구장	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
스프링	스프링	NNG	O
_	_	_	O
캠프	캠프	NNG	O
를	를	JKO	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
KIA	KIA	SL	B-ORG
의	의	JKG	O
_	_	_	O
김기태	김기태	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
훈련	훈련	NNG	O
_	_	_	O
첫날	첫날	NNG	O
부터	부터	JX	O
_	_	_	O
화	화	NNG	O
가	가	JKS	O
_	_	_	O
난다고	나+ㄴ다고	VV+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 16
## 박진영 어머님이 누구니 뮤비, 비키니녀 이현지 '끈적한 몸매'
## <박진영:PER> <어머님이 누구니:POH> 뮤비, 비키니녀 <이현지:PER> '끈적한 몸매'
박진영	박진영	NNP	B-PER
_	_	_	O
어머님	어머님	NNG	B-POH
이	이	JKS	I-POH
_	_	_	I-POH
누구	누구+이	NP+VCP	I-POH
니	니	EC	I-POH
_	_	_	O
뮤	뮤	NNG	O
비	비	XSN	O
,	,	SP	O
_	_	_	O
비키니	비키니	NNG	O
녀	녀	XSN	O
_	_	_	O
이현지	이현지	NNP	B-PER
_	_	_	O
'	'	SS	O
끈적한	끈적하+ㄴ	VV+ETM	O
_	_	_	O
몸매	몸매	NNG	O
'	'	SS	O

