## 1
## 두 전형의 가장 큰 차이는 최전방 스트라이커 바로 뒤를 받치는 2선 공격수(좌우 측면 공격수 제외)의 수다.
## <두:NOH> 전형의 가장 큰 차이는 최전방 스트라이커 바로 뒤를 받치는 <2선:NOH> 공격수(좌우 측면 공격수 제외)의 수다.
두	두	MM	B-NOH
년	년	NNB	I-DAT
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
풀	풀	NNG	O
체인지	체인지	NNG	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
쉐보	쉐보	NNP	B-ORG
레	레	NNG	I-ORG
_	_	_	O
올	올	NNG	B-POH
_	_	_	I-POH
뉴	뉴	NNG	I-POH
_	_	_	I-POH
크루즈	크루즈	NNG	I-POH
가	가	JKS	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
영등포	영등포	NNP	B-LOC
에	에	JKB	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
대선	대선	NNG	B-LOC
제분	제분	NNG	I-LOC
_	_	_	I-LOC
문래	문래	NNP	I-LOC
공장	공장	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
신차	신차	NNG	O
_	_	_	O
발표회	발표회	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
공개	공개되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 코 블록을 쌓아야 하는 사람들은 모두 이야기 주제 카드 더미에서 카드를 1장씩 뽑는다.
## 코 블록을 쌓아야 하는 사람들은 모두 이야기 주제 카드 더미에서 카드를 <1장:NOH>씩 뽑는다.
코	코	NNG	O
_	_	_	O
블록	블록	NNG	O
을	을	JKO	O
_	_	_	O
쌓	쌓	VV	O
아야	아야	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
이야기	이야기	NNG	O
_	_	_	O
주제	주제	NNG	O
_	_	_	O
카드	카드	NNG	O
_	_	_	O
더미	더미	NNG	O
에서	에서	JKB	O
_	_	_	O
카드	카드	NNG	O
를	를	JKO	O
_	_	_	O
1	1	SN	B-NOH
장	장	NNB	I-NOH
씩	씩	XSN	O
_	_	_	O
뽑	뽑	VV	O
는다	는다	EF	O
.	.	SF	O

## 10
## 오픈문고와 그룹스터디룸, 1대 1 스터디가 가능한 별도의 방, 열람실 등이 조성될 계획이다.
## 오픈문고와 그룹스터디룸, <1대 1:NOH> 스터디가 가능한 별도의 방, 열람실 등이 조성될 계획이다.
오픈	오픈	NNG	O
문고	문고	NNG	O
와	와	JC	O
_	_	_	O
그룹	그룹	NNG	O
스터디	스터디	NNG	O
룸	룸	NNG	O
,	,	SP	O
_	_	_	O
1	1	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	I-NOH
1	1	SN	I-NOH
_	_	_	O
스터디	스터디	NNG	O
가	가	JKS	O
_	_	_	O
가능한	가능하+ㄴ	VA+ETM	O
_	_	_	O
별도	별도	NNG	O
의	의	JKG	O
_	_	_	O
방	방	NNG	O
,	,	SP	O
_	_	_	O
열람실	열람실	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
조성될	조성되+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 그러나 주도권을 둘러싼 환경부와 국토부 간의 신경전 속에 논의는 중단되다시피 한 상태다.
## 그러나 주도권을 둘러싼 <환경부:ORG>와 <국토부:ORG> 간의 신경전 속에 논의는 중단되다시피 한 상태다.
그러나	그러나	MAJ	O
_	_	_	O
주도권	주도권	NNG	O
을	을	JKO	O
_	_	_	O
둘러싼	둘러싸+ㄴ	VV+ETM	O
_	_	_	O
환경부	환경부	NNG	B-ORG
와	와	JC	O
_	_	_	O
국토	국토	NNG	B-ORG
부	부	XSN	I-ORG
_	_	_	O
간	간	NNB	O
의	의	JKG	O
_	_	_	O
신경전	신경전	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
_	_	_	O
논의	논의	NNG	O
는	는	JX	O
_	_	_	O
중단되	중단되	VV	O
다시피	다시피	EC	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
상태	상태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 미래에셋 글로벌 ETF 순자산 100억 달러 돌파 ▼미래에셋자산운용은 한국, 미국, 캐나다 등 세계 6개국에 상장된 미래에셋 상장지수펀드(ETF)의 순자산 총액이 지난달 말 현재 100억 달러(약 11조5590억 원)를 넘어섰다고 23일 밝혔다.
## <미래에셋 글로벌 ETF:ORG> 순자산 <100억 달러:MNY> 돌파 ▼<미래에셋자산운용:ORG>은 <한국:ORG>, <미국:ORG>, <캐나다:ORG> 등 세계 <6개국:NOH>에 상장된 <미래에셋 상장지수펀드:ORG>(<ETF:ORG>)의 순자산 총액이 지난달 말 현재 <100억 달러:MNY>(약 <11조5590억 원:MNY>)를 넘어섰다고 <23일:DAT> 밝혔다.
미래에셋	미래에셋	NNP	B-ORG
_	_	_	I-ORG
글로벌	글로벌	NNG	I-ORG
_	_	_	I-ORG
ETF	ETF	SL	I-ORG
_	_	_	O
순	순	MM	O
자산	자산	NNG	O
_	_	_	O
100	100	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
_	_	_	O
돌파	돌파	NNG	O
_	_	_	O
▼	▼	SW	O
미래에셋자산운용	미래에셋자산운용	NNP	B-ORG
은	은	JX	O
_	_	_	O
한국	한국	NNP	B-ORG
,	,	SP	O
_	_	_	O
미국	미국	NNP	B-ORG
,	,	SP	O
_	_	_	O
캐나다	캐나다	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
6	6	SN	B-NOH
개국	개국	NNB	I-NOH
에	에	JKB	O
_	_	_	O
상장된	상장되+ㄴ	VV+ETM	O
_	_	_	O
미래에셋	미래에셋	NNP	B-ORG
_	_	_	I-ORG
상장	상장	NNG	I-ORG
지수	지수	NNG	I-ORG
펀드	펀드	NNG	I-ORG
(	(	SS	O
ETF	ETF	SL	B-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
순	순	MM	O
자산	자산	NNG	O
_	_	_	O
총액	총액	NNG	O
이	이	JKS	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
말	말	NNB	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
100	100	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
11	11	SN	B-MNY
조	조	NNG	I-MNY
5590	5590	SN	I-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
를	를	JKO	O
_	_	_	O
넘어섰	넘어서+었	VV+EP	O
다고	다고	EC	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 그것도 연 2주째 계속되는 더위다.
## 그것도 연 <2주째:DUR> 계속되는 더위다.
그것	그것	NP	O
도	도	JX	O
_	_	_	O
연	열+ㄴ	VV+ETM	O
_	_	_	O
2	2	SN	B-DUR
주	주	NNB	I-DUR
째	째	XSN	I-DUR
_	_	_	O
계속되	계속되	VV	O
는	는	ETM	O
_	_	_	O
더위	더위+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 이날 방송에서 이서진은 이동 중 최지우에게 "친한 사람 얼마 안 되지 않냐"고 물어 은근한 신경전을 펼쳤다.
## 이날 방송에서 <이서진:PER>은 이동 중 <최지우:PER>에게 "친한 사람 얼마 안 되지 않냐"고 물어 은근한 신경전을 펼쳤다.
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
이서진	이서진	NNP	B-PER
은	은	JX	O
_	_	_	O
이동	이동	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
최지우	최지우	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
"	"	SS	O
친한	친하+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
_	_	_	O
얼마	얼마	NNG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
되	되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
냐	냐	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
물	묻	VV	O
어	어	EC	O
_	_	_	O
은근한	은근하+ㄴ	VA+ETM	O
_	_	_	O
신경전	신경전	NNG	O
을	을	JKO	O
_	_	_	O
펼	펼치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

