## 1
## 이곳에서 기자들과 만난 유 후보는 “이제 새로운 시대가 시작된다”며 “좋은 일보다는 많이 힘든 일이 기다리고 있어서 앞으로 국가 리더십의 역할이 정말 중요한 때”라고 말했다.
## 이곳에서 기자들과 만난 <유:PER> 후보는 “이제 새로운 시대가 시작된다”며 “좋은 일보다는 많이 힘든 일이 기다리고 있어서 앞으로 국가 리더십의 역할이 정말 중요한 때”라고 말했다.
이곳	이곳	NP	O
## 선발 로테이션이 아닌 마무리 로테이션이라…. 농담처럼 말했지만, 김 감독의 스타일상 실제 시즌에 돌입하면 상대팀이나 상대 타자 등에 따라 마무리를 번갈아 맡길 가능성도 배제할 수 없다.
## 선발 로테이션이 아닌 마무리 로테이션이라…. 농담처럼 말했지만, <김:PER> 감독의 스타일상 실제 시즌에 돌입하면 상대팀이나 상대 타자 등에 따라 마무리를 번갈아 맡길 가능성도 배제할 수 없다.
선발	선발	NNG	O
_	_	_	O
로테이션	로테이션	NNG	O
이	이	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
마무리	마무리	NNG	O
_	_	_	O
로테이션	로테이션	NNG	O
이	이	VCP	O
라	라	EC	O
…	…	SE	O
.	.	SF	O
_	_	_	O
농담	농담	NNG	O
처럼	처럼	JKB	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
의	의	JKG	O
_	_	_	O
스타일	스타일	NNG	O
상	상	XSN	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
시즌	시즌	NNG	O
에	에	JKB	O
_	_	_	O
돌입하	돌입하	VV	O
면	면	EC	O
_	_	_	O
상대	상대	NNG	O
팀	팀	NNG	O
이나	이나	JC	O
_	_	_	O
상대	상대	NNG	O
_	_	_	O
타자	타자	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
마무리	마무리	NNG	O
를	를	JKO	O
_	_	_	O
번갈	번갈	VV	O
아	아	EC	O
_	_	_	O
맡길	맡기+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
도	도	JX	O
_	_	_	O
배제할	배제하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 코오롱제약은 2013년부터 운동과 영양의 결합을 통해 운동선수와 일반인의 건강에 도움을 주는 고기능성 영양 스포츠 뉴트리션 제품을 개발·출시하면서 신세대 건강소재 단백질, 아미노산 전문 브랜드로 성장했다.
## <코오롱제약:ORG>은 <2013년:DAT>부터 운동과 영양의 결합을 통해 운동선수와 일반인의 건강에 도움을 주는 고기능성 영양 스포츠 뉴트리션 제품을 개발·출시하면서 신세대 건강소재 단백질, 아미노산 전문 브랜드로 성장했다.
코오롱	코오롱	NNP	B-ORG
제약	제약	NNG	I-ORG
은	은	JX	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
운동	운동	NNG	O
과	과	JC	O
_	_	_	O
영양	영양	NNG	O
의	의	JKG	O
_	_	_	O
결합	결합	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
운동선수	운동선수	NNG	O
와	와	JC	O
_	_	_	O
일반인	일반인	NNG	O
의	의	JKG	O
_	_	_	O
건강	건강	NNG	O
에	에	JKB	O
_	_	_	O
도움	도움	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
고기능성	고기능성	NNG	O
_	_	_	O
영양	영양	NNG	O
_	_	_	O
스포츠	스포츠	NNG	O
_	_	_	O
뉴트리	뉴트리	NNP	O
션	션	NNP	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
개발	개발	NNG	O
·	·	SP	O
출시하	출시하	VV	O
면서	면서	EC	O
_	_	_	O
신세대	신세대	NNG	O
_	_	_	O
건강	건강	NNG	O
소재	소재	NNG	O
_	_	_	O
단백질	단백질	NNG	O
,	,	SP	O
_	_	_	O
아미노산	아미노산	NNG	O
_	_	_	O
전문	전문	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
로	로	JKB	O
_	_	_	O
성장	성장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 코오롱제약의 스포츠 뉴트리션 제품은 스포츠 발전을 통해 국민 건강에 기여한다는 브랜드 철학 아래 출시 전에 이미 약 2년 간의 아미노산 조성물 연구개발 및 한국체육과학연구원(KISS)의 인체임상실험을 성공적으로 수행해 조성물 특허를 출원했다.
## <코오롱제약:ORG>의 스포츠 뉴트리션 제품은 스포츠 발전을 통해 국민 건강에 기여한다는 브랜드 철학 아래 출시 전에 이미 약 <2년 간:DUR>의 아미노산 조성물 연구개발 및 <한국체육과학연구원:ORG>(<KISS:ORG>)의 인체임상실험을 성공적으로 수행해 조성물 특허를 출원했다.
코오롱	코오롱	NNP	B-ORG
제약	제약	NNG	I-ORG
의	의	JKG	O
_	_	_	O
스포츠	스포츠	NNG	O
_	_	_	O
뉴트리	뉴트리	NNP	O
션	션	NNP	O
_	_	_	O
제품	제품	NNG	O
은	은	JX	O
_	_	_	O
스포츠	스포츠	NNG	O
_	_	_	O
발전	발전	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
건강	건강	NNG	O
에	에	JKB	O
_	_	_	O
기여한다는	기여하+ㄴ다는	VV+ETM	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
철학	철학	NNG	O
_	_	_	O
아래	아래	NNG	O
_	_	_	O
출시	출시	NNG	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
약	약	MM	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
간	간	XSN	I-DUR
의	의	JKG	O
_	_	_	O
아미노산	아미노산	NNG	O
_	_	_	O
조성물	조성물	NNG	O
_	_	_	O
연구	연구	NNG	O
개발	개발	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
한국	한국	NNP	B-ORG
체육	체육	NNG	I-ORG
과학	과학	NNG	I-ORG
연구원	연구원	NNG	I-ORG
(	(	SS	O
KISS	KISS	SL	B-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
인체	인체	NNG	O
임상	임상	NNG	O
실험	실험	NNG	O
을	을	JKO	O
_	_	_	O
성공적	성공적	NNG	O
으로	으로	JKB	O
_	_	_	O
수행해	수행하+여	VV+EC	O
_	_	_	O
조성물	조성물	NNG	O
_	_	_	O
특허	특허	NNG	O
를	를	JKO	O
_	_	_	O
출원	출원하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 빈소는 대구전문장례식장 201호, 발인은 28일 오전 6시30분. 053-961-4444. [스포츠동아]
## 빈소는 <대구전문장례식장 201호:LOC>, 발인은 <28일:DAT> <오전 6시30분:TIM>. <053-961-4444:POH>. [<스포츠동아:ORG>]
빈소	빈소	NNG	O
는	는	JX	O
_	_	_	O
대구	대구	NNP	B-LOC
전문	전문	NNG	I-LOC
장례식장	장례식장	NNG	I-LOC
_	_	_	I-LOC
201	201	SN	I-LOC
호	호	NNB	I-LOC
,	,	SP	O
_	_	_	O
발인	발인	NNG	O
은	은	JX	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
6	6	SN	I-TIM
시	시	NNB	I-TIM
30	30	SN	I-TIM
분	분	NNB	I-TIM
.	.	SF	O
_	_	_	O
053	053	SN	B-POH
-	-	SO	I-POH
961	961	SN	I-POH
-	-	SO	I-POH
4444	4444	SN	I-POH
.	.	SF	O
_	_	_	O
[	[	SS	O
스포츠	스포츠	NNG	B-ORG
동아	동아	NNP	I-ORG
]	]	SS	O

## 8
## 6월9일 마이애미전 이후 첫 홈런을 기록한 박병호는 “자신감을 유지하려 노력해 원하는 결과를 냈다”라고 소감을 말했다.
## <6월9일:DAT> <마이애미:ORG>전 이후 첫 홈런을 기록한 <박병호:PER>는 “자신감을 유지하려 노력해 원하는 결과를 냈다”라고 소감을 말했다.
6	6	SN	B-DAT
월	월	NNB	I-DAT
9	9	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
마이애미	마이애미	NNP	B-ORG
전	전	NNP	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
홈런	홈런	NNG	O
을	을	JKO	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
박병호	박병호	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
자신감	자신감	NNG	O
을	을	JKO	O
_	_	_	O
유지하	유지하	VV	O
려	려	EC	O
_	_	_	O
노력해	노력하+여	VV+EC	O
_	_	_	O
원하	원하	VV	O
는	는	ETM	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
소감	소감	NNG	O
을	을	JKO	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이번에 출시되는 ‘삼성 노트북 오디세이‘는 15.6형(39.6cm) 모델로 나이츠 블랙, 스톰 화이트 2가지 색상으로 출시된다.
## 이번에 출시되는 ‘<삼성 노트북 오디세이:POH>‘는 <15.6형:NOH>(<39.6cm:NOH>) 모델로 나이츠 블랙, 스톰 화이트 <2가지:NOH> 색상으로 출시된다.
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
출시되	출시되	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
삼성	삼성	NNP	B-POH
_	_	_	I-POH
노트북	노트북	NNG	I-POH
_	_	_	I-POH
오디세이	오디세이	NNP	I-POH
‘	‘	SS	O
는	는	JX	O
_	_	_	O
15.6	15.6	SN	B-NOH
형	형	XSN	I-NOH
(	(	SS	O
39.6	39.6	SN	B-NOH
cm	cm	SL	I-NOH
)	)	SS	O
_	_	_	O
모델	모델	NNG	O
로	로	JKB	O
_	_	_	O
나이츠	나이츠	NNP	O
_	_	_	O
블랙	블랙	NNG	O
,	,	SP	O
_	_	_	O
스톰	스톰	NNG	O
_	_	_	O
화이트	화이트	NNG	O
_	_	_	O
2	2	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
색상	색상	NNG	O
으로	으로	JKB	O
_	_	_	O
출시된다	출시되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 한편 경찰 조사 결과 전 국가대표 J씨는 진천선수촌 사건 외에도 비슷한 범행을 추가로 저지른 것으로 밝혀졌다.
## 한편 경찰 조사 결과 전 국가대표 <J:PER>씨는 <진천선수촌 사건:POH> 외에도 비슷한 범행을 추가로 저지른 것으로 밝혀졌다.
한편	한편	MAG	O
_	_	_	O
경찰	경찰	NNG	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
전	전	MM	O
_	_	_	O
국가	국가	NNG	O
대표	대표	NNG	O
_	_	_	O
J	J	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
진천	진천	NNP	B-POH
선수촌	선수촌	NNG	I-POH
_	_	_	I-POH
사건	사건	NNG	I-POH
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
범행	범행	NNG	O
을	을	JKO	O
_	_	_	O
추가	추가	NNG	O
로	로	JKB	O
_	_	_	O
저지른	저지르+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
밝혀	밝혀지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## CBS스포츠는 “한국에서 50홈런을 친 박병호는 올 시즌 홈런 20∼25개가 예상되고, 김현수는 스트라이크 존 적응력이 좋아 팀 선두타자가 될 수도 있다”고 평가했다.
## <CBS스포츠:ORG>는 “<한국:LOC>에서 <50홈런:NOH>을 친 <박병호:PER>는 올 시즌 홈런 <20:NOH>∼<25개:NOH>가 예상되고, <김현수:PER>는 스트라이크 존 적응력이 좋아 팀 선두타자가 될 수도 있다”고 평가했다.
CBS	CBS	SL	B-ORG
스포츠	스포츠	NNG	I-ORG
는	는	JX	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
50	50	SN	B-NOH
홈런	홈런	NNG	I-NOH
을	을	JKO	O
_	_	_	O
친	치+ㄴ	VV+ETM	O
_	_	_	O
박병호	박병호	NNP	B-PER
는	는	JX	O
_	_	_	O
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
홈런	홈런	NNG	O
_	_	_	O
20	20	SN	B-NOH
∼	∼	SO	O
25	25	SN	B-NOH
개	개	NNB	I-NOH
가	가	JKS	O
_	_	_	O
예상되	예상되	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
김현수	김현수	NNP	B-PER
는	는	JX	O
_	_	_	O
스트라이크	스트라이크	NNG	O
_	_	_	O
존	존	NNG	O
_	_	_	O
적응력	적응력	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
아	아	EC	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
선두	선두	NNG	O
타자	타자	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
평가	평가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

