## 1
## 빅데이터 전문 분석업체 다음소프트에 의뢰해 2008년부터 2015년까지 소셜미디어(블로그)에 올라온 7억여 건의 문서를 분석한 결과 ‘엄마(어머니)’가 ‘무섭다’는 말의 연관 단어 순위 1위를 차지했다.
## 빅데이터 전문 분석업체 <다음소프트:ORG>에 의뢰해 <2008년부터:DUR> <2015년:DAT>까지 소셜미디어(블로그)에 올라온 <7억여 건:NOH>의 문서를 분석한 결과 ‘엄마(어머니)’가 ‘무섭다’는 말의 연관 단어 순위 <1위:NOH>를 차지했다.
빅	빅	NNG	O
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
번째	번째	NNB	I-NOH
는	는	JX	O
_	_	_	O
자격	자격	NNG	O
정지	정지	NNG	O
_	_	_	O
30	30	SN	B-NOH
일	일	NNB	I-NOH
과	과	JC	O
_	_	_	O
과태료	과태료	NNG	O
_	_	_	O
40	40	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
번째	번째	NNB	I-NOH
는	는	JX	O
_	_	_	O
‘	‘	SS	O
삼진	삼진	NNG	O
아웃	아웃	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
자격	자격	NNG	O
_	_	_	O
취소	취소	NNG	O
에	에	JKB	O
_	_	_	O
과태료	과태료	NNG	O
_	_	_	O
60	60	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
물	물	VV	O
어야	어야	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 4
## 나이젤호손이 미친 조지 3세를 연기해서 아카데미 남우주연상 후보에 올랐었다.
## <나이젤호손:PER>이 미친 <조지 3세:PER>를 연기해서 <아카데미:ORG> 남우주연상 후보에 올랐었다.
나이젤	나이젤	NNP	B-PER
호손	호손	NNP	I-PER
이	이	JKS	O
_	_	_	O
미친	미치+ㄴ	VV+ETM	O
_	_	_	O
조지	조지	NNP	B-PER
_	_	_	I-PER
3	3	SN	I-PER
세	세	NNB	I-PER
를	를	JKO	O
_	_	_	O
연기해서	연기하+여서	VV+EC	O
_	_	_	O
아카데미	아카데미	NNG	B-ORG
_	_	_	O
남우	남우	NNG	O
주연	주연	NNG	O
상	상	NNG	O
_	_	_	O
후보	후보	NNG	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐었	았었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이날 이승우는 정지원 아나운서와 멋진 댄스를 펼친 후 정 아나운서에게 볼에 뽀뽀를 요구하는 세리머니를 펼쳤다.
## 이날 <이승우:PER>는 <정지원:PER> 아나운서와 멋진 댄스를 펼친 후 <정:PER> 아나운서에게 볼에 뽀뽀를 요구하는 세리머니를 펼쳤다.
이날	이날	NNG	O
_	_	_	O
이승우	이승우	NNP	B-PER
는	는	JX	O
_	_	_	O
정지원	정지원	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
와	와	JC	O
_	_	_	O
멋진	멋지+ㄴ	VA+ETM	O
_	_	_	O
댄스	댄스	NNG	O
를	를	JKO	O
_	_	_	O
펼친	펼치+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
정	정	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
에게	에게	JKB	O
_	_	_	O
볼	볼	NNG	O
에	에	JKB	O
_	_	_	O
뽀뽀	뽀뽀	NNG	O
를	를	JKO	O
_	_	_	O
요구하	요구하	VV	O
는	는	ETM	O
_	_	_	O
세리머니	세리머니	NNG	O
를	를	JKO	O
_	_	_	O
펼	펼치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 노자는 ‘천하의 어려운 일은 반드시 쉬운 일에서 생기고, 천하의 큰 일은 언제나 사소한 일에서 시작된다(天下之難事必作於易 天下之大事必作於細)’고 했다.
## <노자:PER>는 ‘천하의 어려운 일은 반드시 쉬운 일에서 생기고, 천하의 큰 일은 언제나 사소한 일에서 시작된다(天下之難事必作於易 天下之大事必作於細)’고 했다.
노자	노자	NNP	B-PER
는	는	JX	O
_	_	_	O
‘	‘	SS	O
천하	천하	NNG	O
의	의	JKG	O
_	_	_	O
어려	어렵	VA	O
운	ㄴ	ETM	O
_	_	_	O
일	일	NNG	O
은	은	JX	O
_	_	_	O
반드시	반드시	MAG	O
_	_	_	O
쉬	쉽	VA	O
운	ㄴ	ETM	O
_	_	_	O
일	일	NNG	O
에서	에서	JKB	O
_	_	_	O
생기	생기	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
천하	천하	NNG	O
의	의	JKG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
일	일	NNG	O
은	은	JX	O
_	_	_	O
언제나	언제나	MAG	O
_	_	_	O
사소한	사소하+ㄴ	VA+ETM	O
_	_	_	O
일	일	NNG	O
에서	에서	JKB	O
_	_	_	O
시작된다	시작되+ㄴ다	VV+EF	O
(	(	SS	O
天下之難事必作於易	天下之難事必作於易	SH	O
_	_	_	O
天下之大事必作於細	天下之大事必作於細	SH	O
)	)	SS	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 한·중 간의 어려움도 작은 일에서 시작된다.
## <한·중:ORG> 간의 어려움도 작은 일에서 시작된다.
한	한	NNP	B-ORG
·	·	SP	I-ORG
중	중	NNP	I-ORG
_	_	_	O
간	간	NNB	O
의	의	JKG	O
_	_	_	O
어려움	어려움	NNG	O
도	도	JX	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
일	일	NNG	O
에서	에서	JKB	O
_	_	_	O
시작된다	시작되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 멘도자는 페이스북을 통해 부산외대 교수와 CNN 외신 기자를 지낸 것으로 소개됐다.
## <멘도자:PER>는 <페이스북:POH>을 통해 <부산외대:ORG> 교수와 <CNN:POH> 외신 기자를 지낸 것으로 소개됐다.
멘	멘	NNG	B-PER
도자	도자	NNG	I-PER
는	는	JX	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
부산외대	부산외대	NNP	B-ORG
_	_	_	O
교수	교수	NNG	O
와	와	JC	O
_	_	_	O
CNN	CNN	SL	B-POH
_	_	_	O
외신	외신	NNG	O
_	_	_	O
기자	기자	NNG	O
를	를	JKO	O
_	_	_	O
지낸	지내+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
소개	소개되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 85년 저서 『미국의 정복: 타자의 문제(The Conquest of America: The Question of the Other)』에서 “미국 대륙 원주민들인 인디언들은 유럽인들과 달리 ‘타자 의식’이 결여돼 있었기 때문에 그들의 현실인식과 이성적 추론을 교란시키는 침략자에 맞서 스스로를 방어할 수 있는 능력이 없었다”는 결론을 내놓았다.
## <85년:DAT> 저서 『<미국의 정복: 타자의 문제(The Conquest of America: The Question of the Other):POH>』에서 “<미국:ORG> 대륙 원주민들인 인디언들은 유럽인들과 달리 ‘타자 의식’이 결여돼 있었기 때문에 그들의 현실인식과 이성적 추론을 교란시키는 침략자에 맞서 스스로를 방어할 수 있는 능력이 없었다”는 결론을 내놓았다.
85	85	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
저서	저서	NNG	O
_	_	_	O
『	『	SS	O
미국	미국	NNP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
정복	정복	NNG	I-POH
:	:	SP	I-POH
_	_	_	I-POH
타자	타자	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
문제	문제	NNG	I-POH
(	(	SS	I-POH
The	The	SL	I-POH
_	_	_	I-POH
Conquest	Conquest	SL	I-POH
_	_	_	I-POH
of	of	SL	I-POH
_	_	_	I-POH
America	America	SL	I-POH
:	:	SP	I-POH
_	_	_	I-POH
The	The	SL	I-POH
_	_	_	I-POH
Question	Question	SL	I-POH
_	_	_	I-POH
of	of	SL	I-POH
_	_	_	I-POH
the	the	SL	I-POH
_	_	_	I-POH
Other	Other	SL	I-POH
)	)	SS	I-POH
』	』	SS	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
미국	미국	NNP	B-ORG
_	_	_	O
대륙	대륙	NNG	O
_	_	_	O
원주민	원주민	NNG	O
들	들	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
인디언	인디언	NNP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
유럽인	유럽인	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
달리	달리	MAG	O
_	_	_	O
‘	‘	SS	O
타자	타자	NNG	O
_	_	_	O
의식	의식	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
결여돼	결여되+어	VV+EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
현실	현실	NNG	O
인식	인식	NNG	O
과	과	JC	O
_	_	_	O
이성적	이성적	NNG	O
_	_	_	O
추론	추론	NNG	O
을	을	JKO	O
_	_	_	O
교란	교란	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
침략자	침략자	NNG	O
에	에	JKB	O
_	_	_	O
맞서	맞서+어	VV+EC	O
_	_	_	O
스스로	스스로	NNG	O
를	를	JKO	O
_	_	_	O
방어할	방어하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
능력	능력	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
결론	결론	NNG	O
을	을	JKO	O
_	_	_	O
내놓	내놓	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지난해 12월 프랑스 일간지 르몽드와의 인터뷰에서는 프랑스 사회가 당면한 두 가지 어려움으로 테러의 위협과 함께 정부의 과잉 대응을 꼽은 다음 “중동의 한 도시를 체계적으로 폭격하는 것이 프랑스 성당에서 누군가의 목을 따는 것보다 덜 야만적인 게 아니다”라는 발언을 했다.
## 지난해 <12월:DAT> <프랑스:ORG> 일간지 <르몽드:POH>와의 인터뷰에서는 <프랑스:ORG> 사회가 당면한 <두 가지:NOH> 어려움으로 테러의 위협과 함께 정부의 과잉 대응을 꼽은 다음 “<중동:LOC>의 한 도시를 체계적으로 폭격하는 것이 <프랑스:LOC> 성당에서 누군가의 목을 따는 것보다 덜 야만적인 게 아니다”라는 발언을 했다.
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
프랑스	프랑스	NNP	B-ORG
_	_	_	O
일간지	일간지	NNG	O
_	_	_	O
르몽드	르몽드	NNP	B-POH
와	와	JKB	O
의	의	JKG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
프랑스	프랑스	NNP	B-ORG
_	_	_	O
사회	사회	NNG	O
가	가	JKS	O
_	_	_	O
당면한	당면하+ㄴ	VV+ETM	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
가지	가지	NNB	I-NOH
_	_	_	O
어려움	어려움	NNG	O
으로	으로	JKB	O
_	_	_	O
테러	테러	NNG	O
의	의	JKG	O
_	_	_	O
위협	위협	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
정부	정부	NNG	O
의	의	JKG	O
_	_	_	O
과잉	과잉	NNG	O
_	_	_	O
대응	대응	NNG	O
을	을	JKO	O
_	_	_	O
꼽	꼽	VV	O
은	은	ETM	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
“	“	SS	O
중동	중동	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
도시	도시	NNG	O
를	를	JKO	O
_	_	_	O
체계적	체계적	NNG	O
으로	으로	JKB	O
_	_	_	O
폭격하	폭격하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
프랑스	프랑스	NNP	B-LOC
_	_	_	O
성당	성당	NNG	O
에서	에서	JKB	O
_	_	_	O
누군가	누구+이+ㄴ가	NP+VCP+EC	O
의	의	JKG	O
_	_	_	O
목	목	NNG	O
을	을	JKO	O
_	_	_	O
따	따	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
_	_	_	O
덜	덜	MAG	O
_	_	_	O
야만적	야만적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
게	것+이	NNB+JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
발언	발언	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 하지만 ‘프로듀사’ 마지막 회(90분 편성)는 본내용만 무려 106분이 방영됐다.
## 하지만 ‘<프로듀사:POH>’ 마지막 회(<90분:NOH> 편성)는 본내용만 무려 <106분:NOH>이 방영됐다.
하지만	하지만	MAJ	O
_	_	_	O
‘	‘	SS	O
프로듀사	프로듀사	NNP	B-POH
’	’	SS	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
회	회	NNB	O
(	(	SS	O
90	90	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
편성	편성	NNG	O
)	)	SS	O
는	는	JX	O
_	_	_	O
본내용	본내용	NNG	O
만	만	JX	O
_	_	_	O
무려	무려	MAG	O
_	_	_	O
106	106	SN	B-NOH
분	분	NNB	I-NOH
이	이	JKS	O
_	_	_	O
방영	방영되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 이어 그는 제발 아내 한수민의 SNS를 기사화하지 말아달라고 부탁했다.
## 이어 그는 제발 아내 <한수민:PER>의 SNS를 기사화하지 말아달라고 부탁했다.
이어	이어	MAG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
제발	제발	MAG	O
_	_	_	O
아내	아내	NNG	O
_	_	_	O
한수민	한수민	NNP	B-PER
의	의	JKG	O
_	_	_	O
SNS	SNS	SL	O
를	를	JKO	O
_	_	_	O
기사	기사	NNG	O
화	화	XSN	O
하	하	XSV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
아	아	EC	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
부탁	부탁하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 단지 안에 2층 규모의 별동학습관을 짓는 점도 특징이다.
## 단지 안에 <2층:NOH> 규모의 별동학습관을 짓는 점도 특징이다.
단지	단지	NNG	O
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
2	2	SN	B-NOH
층	층	NNG	I-NOH
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
별동	별동	NNG	O
학습	학습	NNG	O
관	관	XSN	O
을	을	JKO	O
_	_	_	O
짓	짓	VV	O
는	는	ETM	O
_	_	_	O
점	점	NNG	O
도	도	JX	O
_	_	_	O
특징	특징	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

