## 1
## 두 사람의 결혼에 대해 전해 들은 바 없다”며 “잘 만나고 있다는 이야기만 본인에게 들었을 뿐이다.
## <두 사람:NOH>의 결혼에 대해 전해 들은 바 없다”며 “잘 만나고 있다는 이야기만 본인에게 들었을 뿐이다.
두	두	MM	B-NOH
은	은	JX	O
_	_	_	O
올	오르	VV	O
라야	아야	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
오름	오름	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 보사부가 26일 의료보장개혁위가 건의한 「포괄수가제」의 실시를 적극 검토함에 따라 앞으로 이의 실시를 둘러싸고 의료계에서 상당한 논란이 일어날 전망이다.
## <보사부:ORG>가 <26일:DAT> <의료보장개혁위:ORG>가 건의한 「<포괄수가제:POH>」의 실시를 적극 검토함에 따라 앞으로 이의 실시를 둘러싸고 의료계에서 상당한 논란이 일어날 전망이다.
보사부	보사부	NNG	B-ORG
가	가	JKS	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
의료	의료	NNG	B-ORG
보장	보장	NNG	I-ORG
개혁	개혁	NNG	I-ORG
위	위	NNG	I-ORG
가	가	JKS	O
_	_	_	O
건의한	건의하+ㄴ	VV+ETM	O
_	_	_	O
「	「	SS	O
포괄	포괄	NNG	B-POH
수가	수가	NNG	I-POH
제	제	XSN	I-POH
」	」	SS	O
의	의	JKG	O
_	_	_	O
실시	실시	NNG	O
를	를	JKO	O
_	_	_	O
적극	적극	NNG	O
_	_	_	O
검토함	검토하+ㅁ	VV+ETN	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
이	이	NP	O
의	의	JKG	O
_	_	_	O
실시	실시	NNG	O
를	를	JKO	O
_	_	_	O
둘러싸	둘러싸	VV	O
고	고	EC	O
_	_	_	O
의료계	의료계	NNG	O
에서	에서	JKB	O
_	_	_	O
상당한	상당하+ㄴ	VA+ETM	O
_	_	_	O
논란	논란	NNG	O
이	이	JKS	O
_	_	_	O
일어날	일어나+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 선 박사는 “미국이 세계 인공관절 시장의 52%를 차지하는 만큼 미국에서 살아남지 못하면 의미가 없다”며 “올해와 내년에 미국에서 가시적인 성과를 내기 위해 바이어들을 만나고 있다”고 강조했다.
## <선:PER> 박사는 “<미국:ORG>이 세계 인공관절 시장의 <52%:PNT>를 차지하는 만큼 <미국:ORG>에서 살아남지 못하면 의미가 없다”며 “올해와 내년에 <미국:ORG>에서 가시적인 성과를 내기 위해 바이어들을 만나고 있다”고 강조했다.
선	서+ㄴ	VV+ETM	B-PER
_	_	_	O
박사	박사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
인공관절	인공관절	NNG	O
_	_	_	O
시장	시장	NNG	O
의	의	JKG	O
_	_	_	O
52	52	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지하	차지하	VV	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
미국	미국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
살아남	살아남	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
면	면	EC	O
_	_	_	O
의미	의미	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
올해	올해	NNG	O
와	와	JC	O
_	_	_	O
내년	내년	NNG	O
에	에	JKB	O
_	_	_	O
미국	미국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
가시	가시	NNG	O
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
성과	성과	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
바이어	바이어	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
만나	만나	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 홍 후보는 이날 대구 엑스코에서 열린 대구·경북 선대위 발대식겸 필승대회에서 “어떤 분이 TK 적자는 바른정당 유승민 후보라고 하길래 제가 TK 적자라고 했다”며 “TK가 다시 한 번 가슴에 불을 지르고 뭉치고 새롭게 일어나야 한다.
## <홍:PER> 후보는 이날 <대구 엑스코:LOC>에서 열린 <대구:LOC>·<경북:LOC> 선대위 발대식겸 필승대회에서 “어떤 분이 <TK:LOC> 적자는 <바른정당:ORG> <유승민:PER> 후보라고 하길래 제가 <TK:LOC> 적자라고 했다”며 “<TK:LOC>가 다시 <한 번:NOH> 가슴에 불을 지르고 뭉치고 새롭게 일어나야 한다.
홍	홍	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
대구	대구	NNP	B-LOC
_	_	_	I-LOC
엑스코	엑스코	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
대구	대구	NNP	B-LOC
·	·	SP	O
경북	경북	NNP	B-LOC
_	_	_	O
선대위	선대위	NNG	O
_	_	_	O
발대식	발대식	NNG	O
겸	겸	NNB	O
_	_	_	O
필승	필승	NNG	O
대회	대회	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
어떤	어떤	MM	O
_	_	_	O
분	분	NNB	O
이	이	JKS	O
_	_	_	O
TK	TK	SL	B-LOC
_	_	_	O
적자	적자	NNG	O
는	는	JX	O
_	_	_	O
바른	바른	MM	B-ORG
정당	정당	NNG	I-ORG
_	_	_	O
유승민	유승민	NNP	B-PER
_	_	_	O
후보	후보+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
하	하	VV	O
길래	길래	EC	O
_	_	_	O
제	제	NP	O
가	가	JKS	O
_	_	_	O
TK	TK	SL	B-LOC
_	_	_	O
적자	적자+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
TK	TK	SL	B-LOC
가	가	JKS	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
가슴	가슴	NNG	O
에	에	JKB	O
_	_	_	O
불	불	NNG	O
을	을	JKO	O
_	_	_	O
지르	지르	VV	O
고	고	EC	O
_	_	_	O
뭉치	뭉치	VV	O
고	고	EC	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
일어나야	일어나+아야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 9
## 이와 더불어 쉐보레 차량 재구매로 스파크를 구매할 경우 40만원, 마티즈, 라노스, 누비라, 레간자, 레조, 매그너스 등의 구형 차량을 반납하고 스파크를 구매하는 경우에는 30만원을 추가로 지원받을 수 있다.
## 이와 더불어 <쉐보레:POH> 차량 재구매로 <스파크:POH>를 구매할 경우 <40만원:MNY>, <마티즈:POH>, <라노스:POH>, <누비라:POH>, <레간자:POH>, <레조:POH>, <매그너스:POH> 등의 구형 차량을 반납하고 <스파크:POH>를 구매하는 경우에는 <30만원:MNY>을 추가로 지원받을 수 있다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
더불	더불	VV	O
어	어	EC	O
_	_	_	O
쉐보	쉐보	NNP	B-POH
레	레	NNG	I-POH
_	_	_	O
차량	차량	NNG	O
_	_	_	O
재	재	XPN	O
구매	구매	NNG	O
로	로	JKB	O
_	_	_	O
스파크	스파크	NNG	B-POH
를	를	JKO	O
_	_	_	O
구매할	구매하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
40	40	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
마티즈	마티즈	NNP	B-POH
,	,	SP	O
_	_	_	O
라노스	라노스	NNP	B-POH
,	,	SP	O
_	_	_	O
누비라	누비라	NNP	B-POH
,	,	SP	O
_	_	_	O
레간자	레간자	NNP	B-POH
,	,	SP	O
_	_	_	O
레조	레조	NNG	B-POH
,	,	SP	O
_	_	_	O
매그너스	매그너스	NNG	B-POH
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
구형	구형	NNG	O
_	_	_	O
차량	차량	NNG	O
을	을	JKO	O
_	_	_	O
반납하	반납하	VV	O
고	고	EC	O
_	_	_	O
스파크	스파크	NNG	B-POH
를	를	JKO	O
_	_	_	O
구매하	구매하	VV	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
30	30	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
추가	추가	NNG	O
로	로	JKB	O
_	_	_	O
지원	지원	NNG	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 규모 4.0~5.0는 1회였으나 19일 규모 4.5의 여진이 발생함에 따라 2회로 늘었다.
## <규모 4.0:NOH>~<5.0:NOH>는 <1회:NOH>였으나 <19일:DAT> <규모 4.5:NOH>의 여진이 발생함에 따라 <2회:NOH>로 늘었다.
규모	규모	NNG	B-NOH
_	_	_	I-NOH
4.0	4.0	SN	I-NOH
~	~	SO	O
5.0	5.0	SN	B-NOH
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
회	회+이	XSN+VCP	I-NOH
였	었	EP	O
으나	으나	EC	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
규모	규모	NNG	B-NOH
_	_	_	I-NOH
4.5	4.5	SN	I-NOH
의	의	JKG	O
_	_	_	O
여진	여진	NNG	O
이	이	JKS	O
_	_	_	O
발생함	발생하+ㅁ	VV+ETN	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
2	2	SN	B-NOH
회	회	NNB	I-NOH
로	로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 컴백 스텔라, 끈팬티 노출?…과거 ‘U.F.O’ 티저서 ‘속옷 노출’ 논란
## 컴백 <스텔라:ORG>, 끈팬티 노출?…과거 ‘<U.F.O:POH>’ 티저서 ‘속옷 노출’ 논란
컴백	컴백	NNG	O
_	_	_	O
스텔라	스텔라	NNP	B-ORG
,	,	SP	O
_	_	_	O
끈	끈	NNG	O
팬티	팬티	NNG	O
_	_	_	O
노출	노출	NNG	O
?	?	SF	O
…	…	SE	O
과거	과거	NNG	O
_	_	_	O
‘	‘	SS	O
U	U	SL	B-POH
.	.	SF	I-POH
F	F	SL	I-POH
.	.	SF	I-POH
O	O	SL	I-POH
’	’	SS	O
_	_	_	O
티저	티저	NNG	O
서	서	JKB	O
_	_	_	O
‘	‘	SS	O
속옷	속옷	NNG	O
_	_	_	O
노출	노출	NNG	O
’	’	SS	O
_	_	_	O
논란	논란	NNG	O

## 12
## 이영돈 PD가 간다…'크림빵, 고라니 뺑소니'집중 조명
## <이영돈 PD가 간다:POH>…'크림빵, 고라니 뺑소니'집중 조명
이영돈	이영돈	NNP	B-POH
_	_	_	I-POH
PD	PD	SL	I-POH
가	가	JKS	I-POH
_	_	_	I-POH
간다	가+ㄴ다	VV+EC	I-POH
…	…	SE	O
'	'	SS	O
크림빵	크림빵	NNG	O
,	,	SP	O
_	_	_	O
고라니	고라니	NNG	O
_	_	_	O
뺑소니	뺑소니	NNG	O
'	'	SS	O
집중	집중	NNG	O
_	_	_	O
조명	조명	NNG	O

## 13
## 브리핑 장에서 세상에 만연한 한탕주의에 경종을 울리고, 사회를 좀먹는 불법 온라인도박사이트의 어두운 현실을 알린 사람은 서울지방경찰청 사이버안전과 사이버수사대 수사1팀의 김대환(53) 팀장이었다.
## 브리핑 장에서 세상에 만연한 한탕주의에 경종을 울리고, 사회를 좀먹는 불법 온라인도박사이트의 어두운 현실을 알린 사람은 <서울지방경찰청 사이버안전과 사이버수사대 수사1팀:ORG>의 <김대환:PER>(<53:NOH>) 팀장이었다.
브리핑	브리핑	NNG	O
_	_	_	O
장	장	NNG	O
에서	에서	JKB	O
_	_	_	O
세상	세상	NNG	O
에	에	JKB	O
_	_	_	O
만연한	만연하+ㄴ	VV+ETM	O
_	_	_	O
한탕주의	한탕주의	NNG	O
에	에	JKB	O
_	_	_	O
경종	경종	NNG	O
을	을	JKO	O
_	_	_	O
울리	울리	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
사회	사회	NNG	O
를	를	JKO	O
_	_	_	O
좀먹	좀먹	VV	O
는	는	ETM	O
_	_	_	O
불법	불법	NNG	O
_	_	_	O
온라인	온라인	NNG	O
도박	도박	NNG	O
사이트	사이트	NNG	O
의	의	JKG	O
_	_	_	O
어두	어둡	VA	O
운	ㄴ	ETM	O
_	_	_	O
현실	현실	NNG	O
을	을	JKO	O
_	_	_	O
알린	알리+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
서울	서울	NNP	B-ORG
지방	지방	NNG	I-ORG
경찰청	경찰청	NNG	I-ORG
_	_	_	I-ORG
사이버	사이버	NNG	I-ORG
안전	안전	NNG	I-ORG
과	과	JC	I-ORG
_	_	_	I-ORG
사이버	사이버	NNG	I-ORG
수사대	수사대	NNG	I-ORG
_	_	_	I-ORG
수사	수사	NNG	I-ORG
1	1	SN	I-ORG
팀	팀	NNG	I-ORG
의	의	JKG	O
_	_	_	O
김대환	김대환	NNP	B-PER
(	(	SS	O
53	53	SN	B-NOH
)	)	SS	O
_	_	_	O
팀장	팀장	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 그 다음은 이탈리아(1.2%)ㆍ포르투갈(1.19%)ㆍ스페인(0.96%)이었다.
## 그 다음은 <이탈리아:ORG>(<1.2%:PNT>)ㆍ<포르투갈:ORG>(<1.19%:PNT>)ㆍ<스페인:ORG>(<0.96%:PNT>)이었다.
그	그	MM	O
_	_	_	O
다음	다음	NNG	O
은	은	JX	O
_	_	_	O
이탈리아	이탈리아	NNP	B-ORG
(	(	SS	O
1.2	1.2	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
ㆍ	ㆍ	SP	O
포르투갈	포르투갈	NNP	B-ORG
(	(	SS	O
1.19	1.19	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
ㆍ	ㆍ	SP	O
스페인	스페인	NNP	B-ORG
(	(	SS	O
0.96	0.96	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

