## 1
## 예고 없이 닥친 위기 앞에 주춤거리며 소통에 실패하는 바람에 벼랑 끝까지 내몰렸던 5개월 전 광우병 사태에 대한 반성에서였다.
## 예고 없이 닥친 위기 앞에 주춤거리며 소통에 실패하는 바람에 벼랑 끝까지 내몰렸던 <5개월:NOH> 전 광우병 사태에 대한 반성에서였다.
예고	예고	NNG	O
메르스	메르스	NNG	O
_	_	_	O
발생	발생	NNG	O
국	국	XSN	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
거부	거부하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이영덕국무총리와 박관용대통령비서실장은 수시로 김대통령에게 업무보고를 할 예정이다.
## <이영덕:PER>국무총리와 <박관용:PER>대통령비서실장은 수시로 <김:PER>대통령에게 업무보고를 할 예정이다.
이영덕	이영덕	NNP	B-PER
국무총리	국무총리	NNG	O
와	와	JC	O
_	_	_	O
박관용	박관용	NNP	B-PER
대통령	대통령	NNG	O
비서실	비서실	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
수시로	수시로	MAG	O
_	_	_	O
김	김	NNP	B-PER
대통령	대통령	NNG	O
에게	에게	JKB	O
_	_	_	O
업무	업무	NNG	O
보고	보고	NNG	O
를	를	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 아마존은 이를 통해 2013년 총 18만 종의 책을 출간했다.
## <아마존:ORG>은 이를 통해 <2013년:DAT> 총 <18만 종:NOH>의 책을 출간했다.
아마존	아마존	NNP	B-ORG
은	은	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
총	총	MM	O
_	_	_	O
18	18	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
종	종	NNG	I-NOH
의	의	JKG	O
_	_	_	O
책	책	NNG	O
을	을	JKO	O
_	_	_	O
출간	출간하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 보현 윈드 오케스트라는 박기웅 보현의 집 자활센터장(41)과 영등포구가 노숙인의 자활 의지를 북돋아 주기 위해 구성했다.
## <보현 윈드 오케스트라:POH>는 <박기웅:PER> <보현의 집:ORG> 자활센터장(<41:NOH>)과 <영등포구:ORG>가 노숙인의 자활 의지를 북돋아 주기 위해 구성했다.
보현	보현	NNP	B-POH
_	_	_	I-POH
윈드	윈드	NNG	I-POH
_	_	_	I-POH
오케스트라	오케스트라	NNG	I-POH
는	는	JX	O
_	_	_	O
박기웅	박기웅	NNP	B-PER
_	_	_	O
보현	보현	NNP	B-ORG
의	의	JKG	I-ORG
_	_	_	I-ORG
집	집	NNG	I-ORG
_	_	_	O
자활	자활	NNG	O
센터	센터	NNG	O
장	장	XSN	O
(	(	SS	O
41	41	SN	B-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
영등포구	영등포구	NNP	B-ORG
가	가	JKS	O
_	_	_	O
노숙인	노숙인	NNG	O
의	의	JKG	O
_	_	_	O
자활	자활	NNG	O
_	_	_	O
의지	의지	NNG	O
를	를	JKO	O
_	_	_	O
북돋	북돋	VV	O
아	아	EC	O
_	_	_	O
주	주	VX	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
구성	구성하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 한편 경기 중반 공동선두로 나서 통산 4승째를노린 홍란(30·삼천리)은 1타가 모자라 정슬기(21·PNS창호)와 함께 공동 2위(10언더파 209타)로 마무리했다.
## 한편 경기 중반 공동선두로 나서 통산 <4승:NOH>째를노린 <홍란:PER>(<30:NOH>·<삼천리:ORG>)은 <1타:NOH>가 모자라 <정슬기:PER>(<21:NOH>·<PNS창호:ORG>)와 함께 공동 <2위:NOH>(<10언더파:NOH> <209타:NOH>)로 마무리했다.
한편	한편	MAG	O
_	_	_	O
경기	경기	NNG	O
_	_	_	O
중반	중반	NNG	O
_	_	_	O
공동	공동	NNG	O
선두	선두	NNG	O
로	로	JKB	O
_	_	_	O
나서	나서+어	VV+EC	O
_	_	_	O
통산	통산	NNG	O
_	_	_	O
4	4	SN	B-NOH
승째를노린	승째를노린	NNG	O
_	_	_	O
홍란	홍란	NNG	B-PER
(	(	SS	O
30	30	SN	B-NOH
·	·	SP	O
삼천리	삼천리	NNP	B-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
1	1	SN	B-NOH
타가	타가	NNG	O
_	_	_	O
모자라	모자라+아	VV+EC	O
_	_	_	O
정슬기	정슬기	NNP	B-PER
(	(	SS	O
21	21	SN	B-NOH
·	·	SP	O
PNS	PNS	SL	B-ORG
창호	창호	NNG	I-ORG
)	)	SS	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
(	(	SS	O
10	10	SN	B-NOH
언더파	언더파	NNG	I-NOH
_	_	_	O
209	209	SN	B-NOH
타	타	NNG	I-NOH
)	)	SS	O
로	로	JKB	O
_	_	_	O
마무리	마무리하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## ‘석촌호수 수위저하’서울시가 송파구 석촌호수의 물빠짐 현상을 제2롯데월드와 지하철 9호선을 비롯한 주변 대형 건축물 8곳의 공사 영향을 복합적으로 받은 것으로 최종 결론 지었다.
## ‘<석촌호수:LOC> 수위저하’<서울시:ORG>가 <송파구 석촌호수:LOC>의 물빠짐 현상을 <제2롯데월드:LOC>와 <지하철 9호선:LOC>을 비롯한 주변 대형 건축물 <8곳:NOH>의 공사 영향을 복합적으로 받은 것으로 최종 결론 지었다.
‘	‘	SS	O
석촌호수	석촌호수	NNP	B-LOC
_	_	_	O
수위저하	수위저하	NNG	O
’	’	SS	O
서울시	서울시	NNP	B-ORG
가	가	JKS	O
_	_	_	O
송파구	송파구	NNP	B-LOC
_	_	_	I-LOC
석촌호수	석촌호수	NNP	I-LOC
의	의	JKG	O
_	_	_	O
물	물	NNG	O
빠짐	빠짐	NNG	O
_	_	_	O
현상	현상	NNG	O
을	을	JKO	O
_	_	_	O
제	제	XPN	B-LOC
2	2	SN	I-LOC
롯데월드	롯데월드	NNP	I-LOC
와	와	JC	O
_	_	_	O
지하철	지하철	NNG	B-LOC
_	_	_	I-LOC
9	9	SN	I-LOC
호	호	NNB	I-LOC
선	선	XSN	I-LOC
을	을	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
주변	주변	NNG	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
건축물	건축물	NNG	O
_	_	_	O
8	8	SN	B-NOH
곳	곳	NNG	I-NOH
의	의	JKG	O
_	_	_	O
공사	공사	NNG	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
복합적	복합적	NNG	O
으로	으로	JKB	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
결론	결론	NNG	O
_	_	_	O
지	짓	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 서울시는 지난해 8월 한국농어촌공사에 의뢰한 ‘석촌호수 수위저하 원인조사 및 평가’ 용역 결과를 6일 이같이 밝혔다.
## <서울시:ORG>는 지난해 <8월:DAT> <한국농어촌공사:ORG>에 의뢰한 ‘<석촌호수:LOC> 수위저하 원인조사 및 평가’ 용역 결과를 <6일:DAT> 이같이 밝혔다.
서울시	서울시	NNP	B-ORG
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
한국	한국	NNP	B-ORG
농어촌	농어촌	NNG	I-ORG
공사	공사	NNG	I-ORG
에	에	JKB	O
_	_	_	O
의뢰한	의뢰하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
석촌호수	석촌호수	NNP	B-LOC
_	_	_	O
수위저하	수위저하	NNG	O
_	_	_	O
원인	원인	NNG	O
조사	조사	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
평가	평가	NNG	O
’	’	SS	O
_	_	_	O
용역	용역	NNG	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
이	이	NP	O
같이	같이	JKB	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 공정위는 명절 피해를 입지 않으려면 ▶최소 1주일 이상 시간을 두고 배송 주문을 하고 ▶운송장에 물품 종류와 수량, 가격을 정확히 기재하라고 조언했다.
## <공정위:ORG>는 명절 피해를 입지 않으려면 ▶최소 <1주일:DUR> 이상 시간을 두고 배송 주문을 하고 ▶운송장에 물품 종류와 수량, 가격을 정확히 기재하라고 조언했다.
공정	공정	NNG	B-ORG
위	위	NNG	I-ORG
는	는	JX	O
_	_	_	O
명절	명절	NNG	O
_	_	_	O
피해	피해	NNG	O
를	를	JKO	O
_	_	_	O
입	입	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
으려면	으려면	EC	O
_	_	_	O
▶	▶	SW	O
최소	최소	NNG	O
_	_	_	O
1	1	SN	B-DUR
주일	주일	NNB	I-DUR
_	_	_	O
이상	이상	NNG	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
_	_	_	O
배송	배송	NNG	O
_	_	_	O
주문	주문	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
▶	▶	SW	O
운송장	운송장	NNG	O
에	에	JKB	O
_	_	_	O
물품	물품	NNG	O
_	_	_	O
종류	종류	NNG	O
와	와	JC	O
_	_	_	O
수량	수량	NNG	O
,	,	SP	O
_	_	_	O
가격	가격	NNG	O
을	을	JKO	O
_	_	_	O
정확히	정확히	MAG	O
_	_	_	O
기재하	기재하	VV	O
라고	라고	EC	O
_	_	_	O
조언	조언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이코노미클래스 증후군의 의학적 병명은 ‘심부정맥혈전증’(DVT, Deep Vein Thrombosis)이다.
## <이코노미클래스 증후군:POH>의 의학적 병명은 ‘<심부정맥혈전증:POH>’(<DVT:POH>, <Deep Vein Thrombosis:POH>)이다.
이코노미	이코노미	NNG	B-POH
클래스	클래스	NNG	I-POH
_	_	_	I-POH
증후군	증후군	NNG	I-POH
의	의	JKG	O
_	_	_	O
의학적	의학적	NNG	O
_	_	_	O
병명	병명	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
심	심	NNG	B-POH
부정맥	부정맥	NNG	I-POH
혈전증	혈전증	NNG	I-POH
’	’	SS	O
(	(	SS	O
DVT	DVT	SL	B-POH
,	,	SP	O
_	_	_	O
Deep	Deep	SL	B-POH
_	_	_	I-POH
Vein	Vein	SL	I-POH
_	_	_	I-POH
Thrombosis	Thrombosis	SL	I-POH
)	)	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 단 5년후엔 제발로 걸어서 나가야 한다.
## 단 <5년:NOH>후엔 제발로 걸어서 나가야 한다.
단	단	MAG	O
_	_	_	O
5	5	SN	B-NOH
년	년	NNB	I-NOH
후	후	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
제	저+의	NP+JKG	O
발	발	NNG	O
로	로	JKB	O
_	_	_	O
걸	걷	VV	O
어서	어서	EC	O
_	_	_	O
나가야	나가+아야	VX+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 12
## 한국거래소는 올해 2월까지 코스피의 일중 변동성 평균이 0.65%였다고 13일 발표했다.
## <한국거래소:ORG>는 올해 <2월:DAT>까지 <코스피:POH>의 일중 변동성 평균이 <0.65%:PNT>였다고 <13일:DAT> 발표했다.
한국거래소	한국거래소	NNP	B-ORG
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
코스피	코스피	NNG	B-POH
의	의	JKG	O
_	_	_	O
일	일	NNG	O
중	중	NNB	O
_	_	_	O
변동성	변동성	NNG	O
_	_	_	O
평균	평균	NNG	O
이	이	JKS	O
_	_	_	O
0.65	0.65	SN	B-PNT
%	%+이	SW+VCP	I-PNT
였	었	EP	O
다고	다고	EC	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 한 부장검사는 파견 직전까지 대우조선해양 비리를 수사했다.
## <한:PER> 부장검사는 파견 직전까지 <대우조선해양:ORG> 비리를 수사했다.
한	한	MM	B-PER
_	_	_	O
부장	부장	NNG	O
검사	검사	NNG	O
는	는	JX	O
_	_	_	O
파견	파견	NNG	O
_	_	_	O
직전	직전	NNG	O
까지	까지	JX	O
_	_	_	O
대우조선해양	대우조선해양	NNP	B-ORG
_	_	_	O
비리	비리	NNG	O
를	를	JKO	O
_	_	_	O
수사	수사하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

