## 1
## 성완종 리스트 파문이 불거지자 선거전략을 바꾼 것이다.
## <성완종 리스트:POH> 파문이 불거지자 선거전략을 바꾼 것이다.
성완종	성완종	NNP	B-POH
## 재무부는 16일 지역과 직장, 단체 구성원들이 자금을 조성해 서로 이용할 수 있는 신용협동조합 51개를 새로 인가했다.
## <재무부:ORG>는 <16일:DAT> 지역과 직장, 단체 구성원들이 자금을 조성해 서로 이용할 수 있는 <신용협동조합:ORG> <51개:NOH>를 새로 인가했다.
재무부	재무부	NNG	B-ORG
는	는	JX	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
지역	지역	NNG	O
과	과	JC	O
_	_	_	O
직장	직장	NNG	O
,	,	SP	O
_	_	_	O
단체	단체	NNG	O
_	_	_	O
구성원	구성원	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
자금	자금	NNG	O
을	을	JKO	O
_	_	_	O
조성해	조성하+여	VV+EC	O
_	_	_	O
서로	서로	MAG	O
_	_	_	O
이용할	이용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
신용	신용	NNG	B-ORG
협동조합	협동조합	NNG	I-ORG
_	_	_	O
51	51	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
새로	새로	MAG	O
_	_	_	O
인가	인가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 신용카드업체와 캐피털업체를 대표하는 여신금융협회도 동아일보와 경제 5단체의 ‘우리 집부터 경제 살리자: 여름휴가는 국내에서’ 캠페인에 동참하기 위해 팔을 걷어붙이고 나섰다.
## 신용카드업체와 캐피털업체를 대표하는 <여신금융협회:ORG>도 <동아일보:POH>와 경제 <5단체:NOH>의 ‘<우리 집부터 경제 살리자: 여름휴가는 국내에서:POH>’ 캠페인에 동참하기 위해 팔을 걷어붙이고 나섰다.
신용카드	신용카드	NNG	O
업체	업체	NNG	O
와	와	JC	O
_	_	_	O
캐피털	캐피털	NNG	O
업체	업체	NNG	O
를	를	JKO	O
_	_	_	O
대표하	대표하	VV	O
는	는	ETM	O
_	_	_	O
여신	여신	NNG	B-ORG
금융	금융	NNG	I-ORG
협회	협회	NNG	I-ORG
도	도	JX	O
_	_	_	O
동아일보	동아일보	NNP	B-POH
와	와	JC	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
5	5	SN	B-NOH
단체	단체	NNG	I-NOH
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
우리	우리	NP	B-POH
_	_	_	I-POH
집	집	NNG	I-POH
부터	부터	JX	I-POH
_	_	_	I-POH
경제	경제	NNG	I-POH
_	_	_	I-POH
살리	살리	VV	I-POH
자	자	EC	I-POH
:	:	SP	I-POH
_	_	_	I-POH
여름휴가	여름휴가	NNG	I-POH
는	는	JX	I-POH
_	_	_	I-POH
국내	국내	NNG	I-POH
에서	에서	JKB	I-POH
’	’	SS	O
_	_	_	O
캠페인	캠페인	NNG	O
에	에	JKB	O
_	_	_	O
동참하	동참하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
팔	팔	NNG	O
을	을	JKO	O
_	_	_	O
걷어붙이	걷어붙이	VV	O
고	고	EC	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 28년간 20회 이상 ‘교향악 축제’ 무대에 섰던 수원시립교향악단(28회), 부천필하모닉오케스트라(27회), 코리안심포니오케스트라(27회), KBS교향악단(25회), 부산시립교향악단(24회), 서울시립교향악단(23회), 대전시립교향악단(23회), 인천시립교향악단(22회), 대구시립교향악단(20회) 등이 올해도 무대에 오른다.
## <28년간:DUR> <20회:NOH> 이상 ‘<교향악 축제:POH>’ 무대에 섰던 <수원시립교향악단:ORG>(<28회:NOH>), <부천필하모닉오케스트라:ORG>(<27회:NOH>), <코리안심포니오케스트라:ORG>(<27회:NOH>), <KBS교향악단:ORG>(<25회:NOH>), <부산시립교향악단:ORG>(<24회:NOH>), <서울시립교향악단:ORG>(<23회:NOH>), <대전시립교향악단:ORG>(<23회:NOH>), <인천시립교향악단:ORG>(<22회:NOH>), <대구시립교향악단:ORG>(<20회:NOH>) 등이 올해도 무대에 오른다.
28	28	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
20	20	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
‘	‘	SS	O
교향악	교향악	NNG	B-POH
_	_	_	I-POH
축제	축제	NNG	I-POH
’	’	SS	O
_	_	_	O
무대	무대	NNG	O
에	에	JKB	O
_	_	_	O
섰	서+었	VV+EP	O
던	던	ETM	O
_	_	_	O
수원시립교향악단	수원시립교향악단	NNP	B-ORG
(	(	SS	O
28	28	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
부천필하모닉	부천필하모닉	NNP	B-ORG
오케스트라	오케스트라	NNG	I-ORG
(	(	SS	O
27	27	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
코리안	코리안	NNG	B-ORG
심포니	심포니	NNG	I-ORG
오케스트라	오케스트라	NNG	I-ORG
(	(	SS	O
27	27	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
KBS	KBS	SL	B-ORG
교향악단	교향악단	NNG	I-ORG
(	(	SS	O
25	25	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
부산	부산	NNP	B-ORG
시립	시립	NNG	I-ORG
교향악단	교향악단	NNG	I-ORG
(	(	SS	O
24	24	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
서울	서울	NNP	B-ORG
시립	시립	NNG	I-ORG
교향악단	교향악단	NNG	I-ORG
(	(	SS	O
23	23	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
대전	대전	NNG	B-ORG
시립	시립	NNG	I-ORG
교향악단	교향악단	NNG	I-ORG
(	(	SS	O
23	23	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
인천	인천	NNP	B-ORG
시립	시립	NNG	I-ORG
교향악단	교향악단	NNG	I-ORG
(	(	SS	O
22	22	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
대구	대구	NNP	B-ORG
시립	시립	NNG	I-ORG
교향악단	교향악단	NNG	I-ORG
(	(	SS	O
20	20	SN	B-NOH
회	회	NNB	I-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
올해	올해	NNG	O
도	도	JX	O
_	_	_	O
무대	무대	NNG	O
에	에	JKB	O
_	_	_	O
오른다	오르+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 그런데 최홍만은 과거 자신이 1년에 수십억을 번다고 발언한 적 있다.
## 그런데 <최홍만:PER>은 과거 자신이 <1년:NOH>에 수십억을 번다고 발언한 적 있다.
그런데	그런데	MAJ	O
_	_	_	O
최홍만	최홍만	NNP	B-PER
은	은	JX	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-NOH
년	년	NNB	I-NOH
에	에	JKB	O
_	_	_	O
수십억	수십억	MM	O
을	을	JKO	O
_	_	_	O
번다고	벌+ㄴ다고	VV+EC	O
_	_	_	O
발언한	발언하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 40점 미만은 낙제다.
## <40점:NOH> 미만은 낙제다.
40	40	SN	B-NOH
점	점	NNB	I-NOH
_	_	_	O
미만	미만	NNG	O
은	은	JX	O
_	_	_	O
낙제	낙제	NNG	O
다	다	NNG	O
.	.	SF	O

## 8
## 황 권한대행은 "여러분들로 인해 많은 사람들이 위기를 넘어서 새로운 삶을 열어가고 있다"며 "여러분들을 통해서 밝고 희망찬 미래를 만들어가는 국민들의 영웅이라고 생각한다"고 치켜세웠다.
## <황:PER> 권한대행은 "여러분들로 인해 많은 사람들이 위기를 넘어서 새로운 삶을 열어가고 있다"며 "여러분들을 통해서 밝고 희망찬 미래를 만들어가는 국민들의 영웅이라고 생각한다"고 치켜세웠다.
황	황	NNP	B-PER
_	_	_	O
권한	권한	NNG	O
대행	대행	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
여러분	여러분	NP	O
들	들	XSN	O
로	로	JKB	O
_	_	_	O
인해	인하+여	VV+EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
위기	위기	NNG	O
를	를	JKO	O
_	_	_	O
넘	넘	VV	O
어서	어서	EC	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
삶	삶	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
어	어	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
"	"	SS	O
여러분	여러분	NP	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
통해서	통하+여서	VV+EC	O
_	_	_	O
밝	밝	VA	O
고	고	EC	O
_	_	_	O
희망찬	희망차+ㄴ	VA+ETM	O
_	_	_	O
미래	미래	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
가	가	VX	O
는	는	ETM	O
_	_	_	O
국민	국민	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
영웅	영웅	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
생각한다	생각하+ㄴ다	VV+EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
치켜세	치켜세우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이씨는 “고등학교 때 뤼팽, 셜록 홈스, 에드거 앨런 포의 단편집 등 추리소설을 즐겨 읽었던 추억을 되새기기 위해 온다.
## <이:PER>씨는 “고등학교 때 <뤼팽:PER>, <셜록 홈스:PER>, <에드거 앨런 포:PER>의 단편집 등 추리소설을 즐겨 읽었던 추억을 되새기기 위해 온다.
이	이	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
고등학교	고등학교	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
뤼팽	뤼팽	NNP	B-PER
,	,	SP	O
_	_	_	O
셜록	셜록	NNP	B-PER
_	_	_	I-PER
홈스	홈스	NNP	I-PER
,	,	SP	O
_	_	_	O
에드거	에드거	NNP	B-PER
_	_	_	I-PER
앨런	앨런	NNP	I-PER
_	_	_	I-PER
포	포	NNP	I-PER
의	의	JKG	O
_	_	_	O
단편집	단편집	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
추리	추리	NNG	O
소설	소설	NNG	O
을	을	JKO	O
_	_	_	O
즐겨	즐기+어	VV+EC	O
_	_	_	O
읽	읽	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
추억	추억	NNG	O
을	을	JKO	O
_	_	_	O
되새기	되새기	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
온다	오+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 옐친은 취임후 이 별장에 머물면서 개혁정책의 근간과 중요국사를 결정해왔다.
## <옐친:PER>은 취임후 이 별장에 머물면서 개혁정책의 근간과 중요국사를 결정해왔다.
옐친	옐친	NNP	B-PER
은	은	JX	O
_	_	_	O
취임	취임	NNG	O
후	후	NNG	O
_	_	_	O
이	이	MM	O
_	_	_	O
별장	별장	NNG	O
에	에	JKB	O
_	_	_	O
머물	머물	VV	O
면서	면서	EC	O
_	_	_	O
개혁	개혁	NNG	O
정책	정책	NNG	O
의	의	JKG	O
_	_	_	O
근간	근간	NNG	O
과	과	JC	O
_	_	_	O
중요	중요	NNG	O
국사	국사	NNG	O
를	를	JKO	O
_	_	_	O
결정해	결정하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이번 프로모션은 오이보스의 대표 상품인 우레아 워싱 클렌저, 안티 댄드러프 샴푸(지성두피/비듬용), 리퀴드 멀티 클렌저(레드/블루), 판테놀 멀티 크림, 페미닌 청결제(남성/여성) 등 5가지 제품이다.
## 이번 프로모션은 <오이보스:ORG>의 대표 상품인 <우레아 워싱 클렌저:POH>, <안티 댄드러프 샴푸:POH>(지성두피/비듬용), <리퀴드 멀티 클렌저:POH>(레드/블루), <판테놀 멀티 크림:POH>, <페미닌 청결제:POH>(남성/여성) 등 <5가지:NOH> 제품이다.
이번	이번	NNG	O
_	_	_	O
프로모션	프로모션	NNG	O
은	은	JX	O
_	_	_	O
오이	오이	NNG	B-ORG
보스	보스	NNG	I-ORG
의	의	JKG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
상품	상품	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
우레	우레	NNG	B-POH
아	아	XSN	I-POH
_	_	_	I-POH
워	워	NNG	I-POH
싱	싱	NNG	I-POH
_	_	_	I-POH
클렌저	클렌저	NNG	I-POH
,	,	SP	O
_	_	_	O
안티	안티	NNG	B-POH
_	_	_	I-POH
댄드러프	댄드러프	NNG	I-POH
_	_	_	I-POH
샴푸	샴푸	NNG	I-POH
(	(	SS	O
지성	지성	NNG	O
두피	두피	NNG	O
/	/	SP	O
비듬	비듬	NNG	O
용	용	XSN	O
)	)	SS	O
,	,	SP	O
_	_	_	O
리퀴드	리퀴드	NNG	B-POH
_	_	_	I-POH
멀티	멀티	NNG	I-POH
_	_	_	I-POH
클렌저	클렌저	NNG	I-POH
(	(	SS	O
레드	레드	NNG	O
/	/	SP	O
블루	블루	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
판테놀	판테놀	NNG	B-POH
_	_	_	I-POH
멀티	멀티	NNG	I-POH
_	_	_	I-POH
크림	크림	NNG	I-POH
,	,	SP	O
_	_	_	O
페미닌	페미닌	NNG	B-POH
_	_	_	I-POH
청결제	청결제	NNG	I-POH
(	(	SS	O
남성	남성	NNG	O
/	/	SP	O
여성	여성	NNG	O
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
5	5	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
제품	제품	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## ABC방송의 27일 조사에서 미 전역의 민주당 지지자 중 55%는 클린턴을 지지했고 샌더스는 36%에 그쳤다.
## <ABC방송:ORG>의 <27일:DAT> 조사에서 <미:LOC> 전역의 <민주당:ORG> 지지자 중 <55%:PNT>는 <클린턴:PER>을 지지했고 <샌더스:ORG>는 <36%:PNT>에 그쳤다.
ABC	ABC	SL	B-ORG
방송	방송	NNG	I-ORG
의	의	JKG	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
미	미	NNP	B-LOC
_	_	_	O
전역	전역	NNG	O
의	의	JKG	O
_	_	_	O
민주당	민주당	NNP	B-ORG
_	_	_	O
지지자	지지자	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
55	55	SN	B-PNT
%	%	SW	I-PNT
는	는	JX	O
_	_	_	O
클린턴	클린턴	NNP	B-PER
을	을	JKO	O
_	_	_	O
지지	지지하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
샌더스	샌더스	NNP	B-ORG
는	는	JX	O
_	_	_	O
36	36	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

