## 1
## 『93­94시즌 메트에선 21개 오페라가 2백6회 공연됐습니다.
## 『<93:NOH>­<94시즌:NOH> 메트에선 <21개:NOH> 오페라가 <2백6회:NOH> 공연됐습니다.
『	『	SS	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
유	유	NNP	B-PER
_	_	_	O
원내	원내	NNG	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
내일	내일	NNG	O
_	_	_	O
의총	의총	NNG	O
_	_	_	O
소집	소집	NNG	O
_	_	_	O
요구	요구	NNG	O
에	에	JKB	O
_	_	_	O
응	응하	VV	O
했	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
결정	결정	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 박인비를 맹추격하고 있는 고보경을 비롯해 세계 3위 스테이시 루이스, 4위 유소연, 2013년 이 대회 우승자 렉시 톰슨까지 우승경쟁에 뛰어들어 치열한 접전을 치를 전망이다.
## <박인비:PER>를 맹추격하고 있는 <고보경:PER>을 비롯해 세계 <3위:NOH> <스테이시 루이스:PER>, <4위:NOH> <유소연:PER>, <2013년:DAT> 이 대회 우승자 <렉시 톰슨:PER>까지 우승경쟁에 뛰어들어 치열한 접전을 치를 전망이다.
박인비	박인비	NNP	B-PER
를	를	JKO	O
_	_	_	O
맹추격	맹추격	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
고보경	고보경	NNP	B-PER
을	을	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
스테이시	스테이시	NNP	B-PER
_	_	_	I-PER
루이스	루이스	NNP	I-PER
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
유소연	유소연	NNP	B-PER
,	,	SP	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
이	이	MM	O
_	_	_	O
대회	대회	NNG	O
_	_	_	O
우승	우승	NNG	O
자	자	XSN	O
_	_	_	O
렉시	렉시	NNP	B-PER
_	_	_	I-PER
톰슨	톰슨	NNP	I-PER
까지	까지	JX	O
_	_	_	O
우승	우승	NNG	O
경쟁	경쟁	NNG	O
에	에	JKB	O
_	_	_	O
뛰어들	뛰어들	VV	O
어	어	EC	O
_	_	_	O
치열한	치열하+ㄴ	VA+ETM	O
_	_	_	O
접전	접전	NNG	O
을	을	JKO	O
_	_	_	O
치를	치르+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 하지만 중국이 2014년 후반기 이후 최소 7개의 인공섬을 매립한 뒤 영토 주권을 주장하고 활주로 등 군사시설을 건설한 것에 미국이 반발하면서 미중 간 갈등으로 번졌다.
## 하지만 <중국:ORG>이 <2014년:DAT> 후반기 이후 최소 <7개:NOH>의 인공섬을 매립한 뒤 영토 주권을 주장하고 활주로 등 군사시설을 건설한 것에 <미국:ORG>이 반발하면서 미중 간 갈등으로 번졌다.
하지만	하지만	MAJ	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
후반기	후반기	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
최소	최소	NNG	O
_	_	_	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
인공	인공	NNG	O
섬	섬	NNG	O
을	을	JKO	O
_	_	_	O
매립한	매립하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
영토	영토	NNG	O
_	_	_	O
주권	주권	NNG	O
을	을	JKO	O
_	_	_	O
주장하	주장하	VV	O
고	고	EC	O
_	_	_	O
활주로	활주로	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
군사	군사	NNG	O
시설	시설	NNG	O
을	을	JKO	O
_	_	_	O
건설한	건설하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
반발하	반발하	VV	O
면서	면서	EC	O
_	_	_	O
미	미	NNP	O
중	중	NNP	O
_	_	_	O
간	간	NNB	O
_	_	_	O
갈등	갈등	NNG	O
으로	으로	JKB	O
_	_	_	O
번	번지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## “기자 동원해 경찰에 좀 찔러봐” 이석수 특감, 언론과 공모 의혹 불거져
## “기자 동원해 경찰에 좀 찔러봐” <이석수:PER> 특감, 언론과 공모 의혹 불거져
“	“	SS	O
기자	기자	NNG	O
_	_	_	O
동원해	동원하+여	VV+EC	O
_	_	_	O
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
찔러봐	찔러보+아	VV+EF	O
”	”	SS	O
_	_	_	O
이석수	이석수	NNP	B-PER
_	_	_	O
특감	특감	NNG	O
,	,	SP	O
_	_	_	O
언론	언론	NNG	O
과	과	JC	O
_	_	_	O
공모	공모	NNG	O
_	_	_	O
의혹	의혹	NNG	O
_	_	_	O
불거져	불거지+어	VV+EC	O

## 10
## 「비온 뒤에 땅이 더 굳어진다」는 속담을 생각하자.
## 「<비온 뒤에 땅이 더 굳어진다:POH>」는 속담을 생각하자.
「	「	SS	O
비	비	NNG	B-POH
온	오+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
뒤	뒤	NNG	I-POH
에	에	JKB	I-POH
_	_	_	I-POH
땅	땅	NNG	I-POH
이	이	JKS	I-POH
_	_	_	I-POH
더	더	MAG	I-POH
_	_	_	I-POH
굳어진다	굳어지+ㄴ다	VV+EF	I-POH
」	」	SS	O
는	는	JX	O
_	_	_	O
속담	속담	NNG	O
을	을	JKO	O
_	_	_	O
생각하	생각하	VV	O
자	자	EF	O
.	.	SF	O

## 11
## 천정의 나무 장식은 네덜란드 오크를 1876개 조각으로 잘라 만든 것이라고 한다.
## 천정의 나무 장식은 <네덜란드:ORG> 오크를 <1876개:NOH> 조각으로 잘라 만든 것이라고 한다.
천정	천정	NNG	O
의	의	JKG	O
_	_	_	O
나무	나무	NNG	O
_	_	_	O
장식	장식	NNG	O
은	은	JX	O
_	_	_	O
네덜란드	네덜란드	NNP	B-ORG
_	_	_	O
오크	오크	NNG	O
를	를	JKO	O
_	_	_	O
1876	1876	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
조각	조각	NNG	O
으로	으로	JKB	O
_	_	_	O
잘	자르	VV	O
라	아	EC	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 이 본부장은 “하루빨리 선체 수색을 해야 한다는 미수습자의 염원을 알고 있다”
## <이:PER> 본부장은 “하루빨리 선체 수색을 해야 한다는 미수습자의 염원을 알고 있다”
이	이	NNP	B-PER
_	_	_	O
본부	본부	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
하루빨리	하루빨리	MAG	O
_	_	_	O
선체	선체	NNG	O
_	_	_	O
수색	수색	NNG	O
을	을	JKO	O
_	_	_	O
해야	하+여야	VV+EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
미	미	XPN	O
수습	수습	NNG	O
자	자	XSN	O
의	의	JKG	O
_	_	_	O
염원	염원	NNG	O
을	을	JKO	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O

## 13
## 미국 도널드 트럼프 행정부의 보호무역주의 기조, G2(미국·중국)의 긴장, 사드 배치와 관련된 중국과 한국의 마찰 등 마침 통상 이슈가 산재해 있는 시점이다.
## <미국:ORG> <도널드 트럼프:PER> 행정부의 보호무역주의 기조, <G2:ORG>(<미국:ORG>·<중국:ORG>)의 긴장, <사드:POH> 배치와 관련된 <중국:ORG>과 <한국:ORG>의 마찰 등 마침 통상 이슈가 산재해 있는 시점이다.
미국	미국	NNP	B-ORG
_	_	_	O
도널드	도널드	NNP	B-PER
_	_	_	I-PER
트럼프	트럼프	NNP	I-PER
_	_	_	O
행정부	행정부	NNG	O
의	의	JKG	O
_	_	_	O
보호	보호	NNG	O
무역	무역	NNG	O
주의	주의	NNG	O
_	_	_	O
기조	기조	NNG	O
,	,	SP	O
_	_	_	O
G	G	SL	B-ORG
2	2	SN	I-ORG
(	(	SS	O
미국	미국	NNP	B-ORG
·	·	SP	O
중국	중국	NNP	B-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
긴장	긴장	NNG	O
,	,	SP	O
_	_	_	O
사드	사드	NNP	B-POH
_	_	_	O
배치	배치	NNG	O
와	와	JKB	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
중국	중국	NNP	B-ORG
과	과	JC	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
마찰	마찰	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
마침	마침	MAG	O
_	_	_	O
통상	통상	NNG	O
_	_	_	O
이슈	이슈	NNG	O
가	가	JKC	O
_	_	_	O
산재해	산재하+여	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
시점	시점	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

