## 1
## 울산바위를 휘감으며 밀려오는 운해(雲海)가 미시령 허리춤에 걸쳐진다.
## <울산바위:LOC>를 휘감으며 밀려오는 운해(雲海)가 <미시령:LOC> 허리춤에 걸쳐진다.
울산바위	울산바위	NNP	B-LOC
## 그럼 5회, 6회로 편하게 지나간다는 말이었다.
## 그럼 <5회:NOH>, <6회:NOH>로 편하게 지나간다는 말이었다.
그럼	그럼	MAJ	O
_	_	_	O
5	5	SN	B-NOH
회	회	NNB	I-NOH
,	,	SP	O
_	_	_	O
6	6	SN	B-NOH
회	회	NNB	I-NOH
로	로	JKB	O
_	_	_	O
편하	편하	VA	O
게	게	EC	O
_	_	_	O
지나간다는	지나가+ㄴ다는	VV+ETM	O
_	_	_	O
말	말	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 추천할 만한 책은 앞서 말한 빌 브라이슨의 『거의 모든 것의 역사』입니다.
## 추천할 만한 책은 앞서 말한 <빌 브라이슨:PER>의 『<거의 모든 것의 역사:POH>』입니다.
추천할	추천하+ㄹ	VV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
책	책	NNG	O
은	은	JX	O
_	_	_	O
앞서	앞서	MAG	O
_	_	_	O
말한	말하+ㄴ	VV+ETM	O
_	_	_	O
빌	빌	NNP	B-PER
_	_	_	I-PER
브라	브라	NNP	I-PER
이슨	이슨	NNP	I-PER
의	의	JKG	O
_	_	_	O
『	『	SS	O
거의	거의	MAG	B-POH
_	_	_	I-POH
모든	모든	MM	I-POH
_	_	_	I-POH
것	것	NNB	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
역사	역사	NNG	I-POH
』	』	SS	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 8
## 손발을 맞출 수 있는 시간이 많지는 않지만 김신욱과 김보경 등이 A매치에서 좋은 활약을 보여주며 컨디션을 끌어올렸기에 분위기는 좋다.
## 손발을 맞출 수 있는 시간이 많지는 않지만 <김신욱:PER>과 <김보경:PER> 등이 A매치에서 좋은 활약을 보여주며 컨디션을 끌어올렸기에 분위기는 좋다.
손발	손발	NNG	O
을	을	JKO	O
_	_	_	O
맞출	맞추+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
시간	시간	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
지	지	EC	O
는	는	JX	O
_	_	_	O
않	않	VX	O
지만	지만	EC	O
_	_	_	O
김신욱	김신욱	NNP	B-PER
과	과	JC	O
_	_	_	O
김보경	김보경	NNP	B-PER
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
A	A	SL	O
매치	매치	NNG	O
에서	에서	JKB	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
활약	활약	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
며	며	EC	O
_	_	_	O
컨디션	컨디션	NNG	O
을	을	JKO	O
_	_	_	O
끌어올	끌어올리	VV	O
렸	었	EP	O
기에	기에	EC	O
_	_	_	O
분위기	분위기	NNG	O
는	는	JX	O
_	_	_	O
좋	좋	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 보건복지부는 27일 국회에서 열린 당정간담회에서 이 같은 내용이 포함된 어린이집 아동학대 근절대책을 보고했다.
## <보건복지부:ORG>는 <27일:DAT> 국회에서 열린 당정간담회에서 이 같은 내용이 포함된 어린이집 아동학대 근절대책을 보고했다.
보건복지부	보건복지부	NNG	B-ORG
는	는	JX	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	O
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
당정	당정	NNG	O
간담회	간담회	NNG	O
에서	에서	JKB	O
_	_	_	O
이	이	NP	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
내용	내용	NNG	O
이	이	JKS	O
_	_	_	O
포함된	포함되+ㄴ	VV+ETM	O
_	_	_	O
어린이집	어린이집	NNG	O
_	_	_	O
아동	아동	NNG	O
학대	학대	NNG	O
_	_	_	O
근절	근절	NNG	O
대책	대책	NNG	O
을	을	JKO	O
_	_	_	O
보고	보고하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 공연 기획가이자 판소리를 기반으로 한 뮤지컬인 창극 연출가 정도연 감독(45). 2004년 ‘수궁가’를 무대에 올리면서 국내 최초의 여성 창극 연출가가 된 후 2010년 3인 창극 ‘심청전’ 등으로 실력을 인정받았다.
## 공연 기획가이자 판소리를 기반으로 한 뮤지컬인 창극 연출가 <정도연:PER> 감독(<45:NOH>). <2004년:DAT> ‘<수궁가:POH>’를 무대에 올리면서 국내 최초의 여성 창극 연출가가 된 후 <2010년:DAT> <3인:NOH> 창극 ‘<심청전:POH>’ 등으로 실력을 인정받았다.
공연	공연	NNG	O
_	_	_	O
기획	기획	NNG	O
가	가	XSN	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
판소리	판소리	NNG	O
를	를	JKO	O
_	_	_	O
기반	기반	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뮤지컬	뮤지컬	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
창극	창극	NNG	O
_	_	_	O
연출가	연출가	NNG	O
_	_	_	O
정도	정도	NNG	B-PER
연	연	XSN	I-PER
_	_	_	O
감독	감독	NNG	O
(	(	SS	O
45	45	SN	B-NOH
)	)	SS	O
.	.	SF	O
_	_	_	O
2004	2004	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
수궁가	수궁가	NNG	B-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
무대	무대	NNG	O
에	에	JKB	O
_	_	_	O
올리	올리	VV	O
면서	면서	EC	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
최초	최초	NNG	O
의	의	JKG	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
창극	창극	NNG	O
_	_	_	O
연출가	연출가	NNG	O
가	가	JKC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
3	3	SN	B-NOH
인	인	NNG	I-NOH
_	_	_	O
창극	창극	NNG	O
_	_	_	O
‘	‘	SS	O
심청전	심청전	NNP	B-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
실력	실력	NNG	O
을	을	JKO	O
_	_	_	O
인정받	인정받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 문화재청은 15일 “‘정선 용소동굴(旌善 龍沼洞窟)’을 국가지정문화재 천연기념물 제549호로 지정한다”고 밝혔다.
## <문화재청:ORG>은 <15일:DAT> “‘<정선 용소동굴:POH>(<旌善 龍沼洞窟:POH>)’을 국가지정문화재 천연기념물 <제549호:NOH>로 지정한다”고 밝혔다.
문화재청	문화재청	NNG	B-ORG
은	은	JX	O
_	_	_	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
‘	‘	SS	O
정선	정선	NNP	B-POH
_	_	_	I-POH
용소	용소	NNG	I-POH
동굴	동굴	NNG	I-POH
(	(	SS	O
旌善	旌善	SH	B-POH
_	_	_	I-POH
龍沼洞窟	龍沼洞窟	SH	I-POH
)	)	SS	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
국가	국가	NNG	O
지정	지정	NNG	O
문화재	문화재	NNG	O
_	_	_	O
천연기념물	천연기념물	NNG	O
_	_	_	O
제	제	XPN	B-NOH
549	549	SN	I-NOH
호	호	NNB	I-NOH
로	로	JKB	O
_	_	_	O
지정한다	지정하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

