## 1
## 수백 년 역사를 아우르는 거장들의 미술작품들이 마치 실제 눈앞에 있는 듯한 느낌을 줘요. 또 제임스 카메론, 팀 버튼 감독이 사용한 것으로 알려진 ‘차원화 기술(고화질 입체 변환 기술)’의 결합을 통해 박물관 내부의 원근감도 완벽하게 재현됐어요. 차원화 기술이란 원근법을 향상시켜 관객들이 화면으로 빠져드는 느낌을 받게 하는 제작 기술입니다.
## <수백 년:DUR> 역사를 아우르는 거장들의 미술작품들이 마치 실제 눈앞에 있는 듯한 느낌을 줘요. 또 <제임스 카메론:PER>, <팀 버튼:PER> 감독이 사용한 것으로 알려진 ‘차원화 기술(고화질 입체 변환 기술)’의 결합을 통해 박물관 내부의 원근감도 완벽하게 재현됐어요. 차원화 기술이란 원근법을 향상시켜 관객들이 화면으로 빠져드는 느낌을 받게 하는 제작 기술입니다.
수백	수백	NR	B-DUR
_	_	_	O
말	말	NNG	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 세월호 가족 단체삭발, ‘오열’ 속 진행…4일에도 삭발식 예고 ‘술렁’ 세월호 유가족들이 배상 및 보상 절차 전면중단을 요구하며 단체 삭발을 감행했다.
## <세월호:POH> 가족 단체삭발, ‘오열’ 속 진행…<4일:DAT>에도 삭발식 예고 ‘술렁’ <세월호:POH> 유가족들이 배상 및 보상 절차 전면중단을 요구하며 단체 삭발을 감행했다.
세월호	세월호	NNP	B-POH
_	_	_	O
가족	가족	NNG	O
_	_	_	O
단체	단체	NNG	O
삭발	삭발	NNG	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
오열	오열	NNG	O
’	’	SS	O
_	_	_	O
속	속	NNG	O
_	_	_	O
진행	진행	NNG	O
…	…	SE	O
4	4	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
도	도	JX	O
_	_	_	O
삭발	삭발	NNG	O
식	식	XSN	O
_	_	_	O
예고	예고	NNG	O
_	_	_	O
‘	‘	SS	O
술렁	술렁	MAG	O
’	’	SS	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
유가족	유가족	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
배상	배상	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
보상	보상	NNG	O
_	_	_	O
절차	절차	NNG	O
_	_	_	O
전면	전면	NNG	O
중단	중단	NNG	O
을	을	JKO	O
_	_	_	O
요구하	요구하	VV	O
며	며	EC	O
_	_	_	O
단체	단체	NNG	O
_	_	_	O
삭발	삭발	NNG	O
을	을	JKO	O
_	_	_	O
감행	감행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 2일 세월호 피해자모임인 416가족협의회는 서울 광화문광장에서 해양수산부가 발표한 배상·보상안에 반대하며 머리를 깎는 삭발식을 진행했다.
## <2일:DAT> <세월호:POH> 피해자모임인 <416가족협의회:ORG>는 <서울 광화문광장:LOC>에서 <해양수산부:ORG>가 발표한 배상·보상안에 반대하며 머리를 깎는 삭발식을 진행했다.
2	2	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
피해자	피해자	NNG	O
모임	모임	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
416	416	SN	B-ORG
가족	가족	NNG	I-ORG
협의회	협의회	NNG	I-ORG
는	는	JX	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
광화문	광화문	NNP	I-LOC
광장	광장	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
해양수산부	해양수산부	NNG	B-ORG
가	가	JKS	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
배상	배상	NNG	O
·	·	SP	O
보상	보상	NNG	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
반대하	반대하	VV	O
며	며	EC	O
_	_	_	O
머리	머리	NNG	O
를	를	JKO	O
_	_	_	O
깎	깎	VV	O
는	는	ETM	O
_	_	_	O
삭발	삭발	NNG	O
식	식	XSN	O
을	을	JKO	O
_	_	_	O
진행	진행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 유경근 가족협의회 집행위원장은 “세월호 특별법 시행령안 폐기하고 세월호 선체 인양 공식 선언할 때까지 배상·보상 절차를 중단하라”고 요구했다.
## <유경근:PER> <가족협의회:ORG> 집행위원장은 “<세월호 특별법 시행령안:POH> 폐기하고 <세월호:POH> 선체 인양 공식 선언할 때까지 배상·보상 절차를 중단하라”고 요구했다.
유경근	유경근	NNP	B-PER
_	_	_	O
가족	가족	NNG	B-ORG
협의회	협의회	NNG	I-ORG
_	_	_	O
집행	집행	NNG	O
위원장	위원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
세월호	세월호	NNP	B-POH
_	_	_	I-POH
특별법	특별법	NNG	I-POH
_	_	_	I-POH
시행령	시행령	NNG	I-POH
안	안	NNG	I-POH
_	_	_	O
폐기하	폐기하	VV	O
고	고	EC	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
선체	선체	NNG	O
_	_	_	O
인양	인양	NNG	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
선언할	선언하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
까지	까지	JX	O
_	_	_	O
배상	배상	NNG	O
·	·	SP	O
보상	보상	NNG	O
_	_	_	O
절차	절차	NNG	O
를	를	JKO	O
_	_	_	O
중단하	중단하	VV	O
라	라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
요구	요구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이날 삭발식에는 광화문광장에서 48명, 전남 진도군 팽목항에서 4명이 참여했다.
## 이날 삭발식에는 <광화문광장:LOC>에서 <48명:NOH>, <전남:LOC> <진도군 팽목항:LOC>에서 <4명:NOH>이 참여했다.
이날	이날	NNG	O
_	_	_	O
삭발	삭발	NNG	O
식	식	XSN	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
광화문	광화문	NNP	B-LOC
광장	광장	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
48	48	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
전남	전남	NNP	B-LOC
_	_	_	O
진도군	진도군	NNP	B-LOC
_	_	_	I-LOC
팽목항	팽목항	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 그날의 충격과 아픔 다시 한 번 기억하고 기억돼야 한다고 생각합니다”라는 글과 세월호 희생자를 추모하는 노란 리본 그림을 올렸다.
## 그날의 충격과 아픔 다시 <한 번:NOH> 기억하고 기억돼야 한다고 생각합니다”라는 글과 <세월호:POH> 희생자를 추모하는 노란 리본 그림을 올렸다.
그날	그날	NNG	O
의	의	JKG	O
_	_	_	O
충격	충격	NNG	O
과	과	JC	O
_	_	_	O
아픔	아픔	NNG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
기억하	기억하	VV	O
고	고	EC	O
_	_	_	O
기억	기억	NNG	O
돼야	되+어야	XSV+EC	O
_	_	_	O
한다고	하+ㄴ다고	VX+EC	O
_	_	_	O
생각합니다	생각하+ㅂ니다	VV+EF	O
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
과	과	JC	O
_	_	_	O
세월호	세월호	NNP	B-POH
_	_	_	O
희생자	희생자	NNG	O
를	를	JKO	O
_	_	_	O
추모하	추모하	VV	O
는	는	ETM	O
_	_	_	O
노란	노랗+ㄴ	VA+ETM	O
_	_	_	O
리본	리본	NNG	O
_	_	_	O
그림	그림	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 배우 한채아도 노란 리본에 꽃이 핀 사진과 함께 “잊지 않을게요 04.16”라는 글을 올리며 추모했다.
## 배우 <한채아:PER>도 노란 리본에 꽃이 핀 사진과 함께 “잊지 않을게요 <04.16:DAT>”라는 글을 올리며 추모했다.
배우	배우	NNG	O
_	_	_	O
한	한	MM	B-PER
채	채	NNB	I-PER
아도	아도	NNP	O
_	_	_	O
노란	노랗+ㄴ	VA+ETM	O
_	_	_	O
리본	리본	NNG	O
에	에	JKB	O
_	_	_	O
꽃	꽃	NNG	O
이	이	JKS	O
_	_	_	O
핀	피+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
“	“	SS	O
잊	잊	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을게요	을게요	EC	O
_	_	_	O
04.16	04.16	SN	B-DAT
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
올리	올리	VV	O
며	며	EC	O
_	_	_	O
추모	추모하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 하지만 무용계는 이번 문화재청의 인정예고 발표를 놓고 불만의 목소리를 높이고 있다.
## 하지만 무용계는 이번 <문화재청:ORG>의 인정예고 발표를 놓고 불만의 목소리를 높이고 있다.
하지만	하지만	MAJ	O
_	_	_	O
무용	무용	NNG	O
계	계	XSN	O
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
문화재청	문화재청	NNG	B-ORG
의	의	JKG	O
_	_	_	O
인정	인정	NNG	O
예	예	NNG	O
고	고	JKQ	O
_	_	_	O
발표	발표	NNG	O
를	를	JKO	O
_	_	_	O
놓	놓	VV	O
고	고	EC	O
_	_	_	O
불만	불만	NNG	O
의	의	JKG	O
_	_	_	O
목소리	목소리	NNG	O
를	를	JKO	O
_	_	_	O
높이	높이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 14
## 이에 빅스 엔이 “저 형이 작업을 걸고 있다”고 하자, 이광수는 “무슨 얘기냐”고 소리치며 당황해했다.
## 이에 <빅스:ORG> <엔:PER>이 “저 형이 작업을 걸고 있다”고 하자, <이광수:PER>는 “무슨 얘기냐”고 소리치며 당황해했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
빅스	빅스	NNP	B-ORG
_	_	_	O
엔	엔	NNB	B-PER
이	이	JKS	O
_	_	_	O
“	“	SS	O
저	저	MM	O
_	_	_	O
형	형	NNG	O
이	이	JKS	O
_	_	_	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
걸	걸	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
하	하	VV	O
자	자	EC	O
,	,	SP	O
_	_	_	O
이광수	이광수	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
무슨	무슨	MM	O
_	_	_	O
얘기	얘기+이	NNG+VCP	O
냐	냐	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
소리치	소리치	VV	O
며	며	EC	O
_	_	_	O
당황	당황하+여	VV+EC	O
해	하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 개리 역시 소진에게 “걸스데이 멤버 중에서 가장 예쁘다”고 칭찬하며 호감을 드러내 관심을 모았다.
## <개리:PER> 역시 <소진:PER>에게 “<걸스데이:ORG> 멤버 중에서 가장 예쁘다”고 칭찬하며 호감을 드러내 관심을 모았다.
개리	개리	NNP	B-PER
_	_	_	O
역시	역시	MAG	O
_	_	_	O
소진	소진	NNG	B-PER
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
걸스데이	걸스데이	NNP	B-ORG
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
예쁘	예쁘	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
칭찬하	칭찬하	VV	O
며	며	EC	O
_	_	_	O
호감	호감	NNG	O
을	을	JKO	O
_	_	_	O
드러내	드러내+어	VV+EC	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 한편 소진은 이날 자신의 나이를 서른 살이라고 밝히며 동안 미모로 출연진들을 감탄하게 했다.
## 한편 <소진:PER>은 이날 자신의 나이를 <서른 살:NOH>이라고 밝히며 동안 미모로 출연진들을 감탄하게 했다.
한편	한편	MAG	O
_	_	_	O
소진은	소진은	NNP	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
나이	나이	NNG	O
를	를	JKO	O
_	_	_	O
서른	서른	NR	B-NOH
_	_	_	I-NOH
살	살	NNB	I-NOH
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
밝히	밝히	VV	O
며	며	EC	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
미모	미모	NNG	O
로	로	JKB	O
_	_	_	O
출연진	출연진	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
감탄하	감탄하	VV	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 17
## ‘런닝맨 소진’ 소식을 접한 네티즌들은 “런닝맨 소진, 내가 그 자리에 있어도 소진 관심 생길 것 같다”,
## ‘<런닝맨:POH> <소진:PER>’ 소식을 접한 네티즌들은 “<런닝맨:POH> <소진:PER>, 내가 그 자리에 있어도 <소진:PER> 관심 생길 것 같다”,
‘	‘	SS	O
런닝맨	런닝맨	NNP	B-POH
_	_	_	O
소진	소진	NNP	B-PER
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
런닝맨	런닝맨	NNP	B-POH
_	_	_	O
소진	소진	NNP	B-PER
,	,	SP	O
_	_	_	O
내	내	NP	O
가	가	JKS	O
_	_	_	O
그	그	MM	O
_	_	_	O
자리	자리	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
어도	어도	EC	O
_	_	_	O
소진	소진	NNP	B-PER
_	_	_	O
관심	관심	NNG	O
_	_	_	O
생길	생기+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
”	”	SS	O
,	,	SP	O

## 18
## 거북이 산란을 위해 찾아오고 있어, 동양의 갈라파고스라 불리는 곳. 우리에게도 잘 알려진 활화산 사쿠라지마 섬이 위치한 가고시마는 동양의 나폴리라 불리며, 기리시마 온천과 검은 모래찜질로 유명한 이부스키 온천으로 잘 알려져 있고, 나가사키는 산 중턱의 급사면까지 시가지가 발달한 항구 도시로 2차 세계대전의 종지부를 찍은 원폭 투하의 아픔을 간직하고 그 참화를 오늘에 전하고 있는 평화의 도시이다.
## 거북이 산란을 위해 찾아오고 있어, <동양의 갈라파고스:LOC>라 불리는 곳. 우리에게도 잘 알려진 활화산 <사쿠라지마 섬:LOC>이 위치한 <가고시마:LOC>는 <동양의 나폴리:LOC>라 불리며, <기리시마 온천:LOC>과 검은 모래찜질로 유명한 <이부스키 온천:LOC>으로 잘 알려져 있고, <나가사키:LOC>는 산 중턱의 급사면까지 시가지가 발달한 항구 도시로 <2차 세계대전:POH>의 종지부를 찍은 원폭 투하의 아픔을 간직하고 그 참화를 오늘에 전하고 있는 평화의 도시이다.
거북이	거북이	NNG	O
_	_	_	O
산란	산란	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
찾아오	찾아오	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
,	,	SP	O
_	_	_	O
동양	동양	NNG	B-LOC
의	의	JKG	I-LOC
_	_	_	I-LOC
갈라파고스	갈라파고스+이	NNP+VCP	I-LOC
라	라	EC	O
_	_	_	O
불리	불리	VV	O
는	는	ETM	O
_	_	_	O
곳	곳	NNG	O
.	.	SF	O
_	_	_	O
우리	우리	NP	O
에게	에게	JKB	O
도	도	JX	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
활화산	활화산	NNG	O
_	_	_	O
사쿠라지마	사쿠라지마	NNP	B-LOC
_	_	_	I-LOC
섬	섬	NNG	I-LOC
이	이	JKS	O
