## 1
## 다만 석유제품과 석유화학 부문이 유가 안정과 주요국의 수요 증가로 올해보다 각각 7.8%, 2.7% 수출이 증가할 것으로 보인다.
## 다만 석유제품과 석유화학 부문이 유가 안정과 주요국의 수요 증가로 올해보다 각각 <7.8%:PNT>, <2.7%:PNT> 수출이 증가할 것으로 보인다.
다만	다만	MAG	O
_	_	_	O
되	되	VV	O
었	었	EP	O
다	다	EF	O
(	(	SS	O
42.9	42.9	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
,	,	SP	O
_	_	_	O
귀가	귀가	NNG	O
시간	시간	NNG	O
이	이	JKS	O
_	_	_	O
빨	빠르	VA	O
라	아+지	EC+VX	O
졌	었	EP	O
다	다	EF	O
(	(	SS	O
27.3	27.3	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
순	순	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 외에도 ‘R1200GS’모델에 오프로드 성능을 극대화한 ‘R1200GS랠리’ 모델도 국내 처음으로 선보였다.
## 이 외에도 ‘<R1200GS:POH>’모델에 오프로드 성능을 극대화한 ‘<R1200GS랠리:POH>’ 모델도 국내 처음으로 선보였다.
이	이	MM	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
‘	‘	SS	O
R	R	SL	B-POH
1200	1200	SN	I-POH
GS	GS	SL	I-POH
’	’	SS	O
모델	모델	NNG	O
에	에	JKB	O
_	_	_	O
오프	오프	NNG	O
로드	로드	NNG	O
_	_	_	O
성능	성능	NNG	O
을	을	JKO	O
_	_	_	O
극대화한	극대화하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
R	R	SL	B-POH
1200	1200	SN	I-POH
GS	GS	SL	I-POH
랠리	랠리	NNG	I-POH
’	’	SS	O
_	_	_	O
모델	모델	NNG	O
도	도	JX	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
선보	선보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 혼다코리아는 이번 모터쇼에 가장 많은 8종의 모델을 전시한다.
## <혼다코리아:ORG>는 이번 모터쇼에 가장 많은 <8종:NOH>의 모델을 전시한다.
혼다코리아	혼다코리아	NNP	B-ORG
는	는	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
모터쇼	모터쇼	NNG	O
에	에	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
8	8	SN	B-NOH
종	종	NNG	I-NOH
의	의	JKG	O
_	_	_	O
모델	모델	NNG	O
을	을	JKO	O
_	_	_	O
전시한다	전시하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 모델 출신 배우 안재현이 구혜선과 열애를 인정한 가운데, 과거 꿈에 대해 언급한 발언이 눈길을 모은다.
## 모델 출신 배우 <안재현:PER>이 <구혜선:PER>과 열애를 인정한 가운데, 과거 꿈에 대해 언급한 발언이 눈길을 모은다.
모델	모델	NNG	O
_	_	_	O
출신	출신	NNG	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
안	안	NNG	B-PER
재현	재현	NNP	I-PER
이	이	JKS	O
_	_	_	O
구혜선	구혜선	NNP	B-PER
과	과	JKB	O
_	_	_	O
열애	열애	NNG	O
를	를	JKO	O
_	_	_	O
인정한	인정하+ㄴ	VV+ETM	O
_	_	_	O
가운데	가운데	NNG	O
,	,	SP	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
꿈	꿈	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
언급한	언급하+ㄴ	VV+ETM	O
_	_	_	O
발언	발언	NNG	O
이	이	JKS	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모은다	모으+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 하버드대 로스쿨을 나온 변호사 출신의 미셸 여사는 조용하고도 확신에 찬 어조로 14분 동안 발언을 이어갔다.
## <하버드대 로스쿨:ORG>을 나온 변호사 출신의 <미셸:PER> 여사는 조용하고도 확신에 찬 어조로 <14분:DUR> 동안 발언을 이어갔다.
하버드대	하버드대	NNP	B-ORG
_	_	_	I-ORG
로스쿨	로스쿨	NNG	I-ORG
을	을	JKO	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
변호사	변호사	NNG	O
_	_	_	O
출신	출신	NNG	O
의	의	JKG	O
_	_	_	O
미셸	미셸	NNP	B-PER
_	_	_	O
여사	여사	NNG	O
는	는	JX	O
_	_	_	O
조용하	조용하	VA	O
고도	고도	EC	O
_	_	_	O
확신	확신	NNG	O
에	에	JKB	O
_	_	_	O
찬	차+ㄴ	VV+ETM	O
_	_	_	O
어조	어조	NNG	O
로	로	JKB	O
_	_	_	O
14	14	SN	B-DUR
분	분	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
발언	발언	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어+가	EC+VX	O
갔	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 두 사람은 이날 강원도 정선에서 조용히 결혼식을 올렸으며, 극비리에 진행돼 소수의 친인척과 지인들만 참석한 것으로 알려졌다.
## <두 사람:NOH>은 이날 <강원도 정선:LOC>에서 조용히 결혼식을 올렸으며, 극비리에 진행돼 소수의 친인척과 지인들만 참석한 것으로 알려졌다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
강원도	강원도	NNP	B-LOC
_	_	_	I-LOC
정선	정선	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
조용히	조용히	MAG	O
_	_	_	O
결혼식	결혼식	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
극비리	극비리	NNG	O
에	에	JKB	O
_	_	_	O
진행돼	진행되+어	VV+EC	O
_	_	_	O
소수	소수	NNG	O
의	의	JKG	O
_	_	_	O
친인척	친인척	NNG	O
과	과	JC	O
_	_	_	O
지인	지인	NNG	O
들	들	XSN	O
만	만	JX	O
_	_	_	O
참석한	참석하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 콜롬비아에서는 한국 기업 44곳이 콜롬비아 기업 106곳과 상담을 진행했다.
## <콜롬비아:LOC>에서는 <한국:LOC> 기업 <44곳:NOH>이 <콜롬비아:LOC> 기업 <106곳:NOH>과 상담을 진행했다.
콜롬비아	콜롬비아	NNP	B-LOC
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
기업	기업	NNG	O
_	_	_	O
44	44	SN	B-NOH
곳	곳	NNG	I-NOH
이	이	JKS	O
_	_	_	O
콜롬비아	콜롬비아	NNP	B-LOC
_	_	_	O
기업	기업	NNG	O
_	_	_	O
106	106	SN	B-NOH
곳	곳	NNG	I-NOH
과	과	JKB	O
_	_	_	O
상담	상담	NNG	O
을	을	JKO	O
_	_	_	O
진행	진행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 흑인역사의 달 행사… “평생 꿈 이뤄”
## <흑인역사의 달:DAT> 행사… “평생 꿈 이뤄”
흑인	흑인	NNG	B-DAT
역사	역사	NNG	I-DAT
의	의	JKG	I-DAT
_	_	_	I-DAT
달	달	NNG	I-DAT
_	_	_	O
행사	행사	NNG	O
…	…	SE	O
_	_	_	O
“	“	SS	O
평생	평생	NNG	O
_	_	_	O
꿈	꿈	NNG	O
_	_	_	O
이뤄	이루+어	VV+EF	O
”	”	SS	O

## 10
## 동부는 4쿼터 초반 박병우의 외곽포로 62-61 재역전에 성공했다.
## <동부:ORG>는 <4쿼터:NOH> 초반 <박병우:PER>의 외곽포로 <62-61:NOH> 재역전에 성공했다.
동부	동부	NNP	B-ORG
는	는	JX	O
_	_	_	O
4	4	SN	B-NOH
쿼터	쿼터	NNB	I-NOH
_	_	_	O
초반	초반	NNG	O
_	_	_	O
박병우	박병우	NNP	B-PER
의	의	JKG	O
_	_	_	O
외곽	외곽	NNG	O
포	포	NNG	O
로	로	JKB	O
_	_	_	O
62	62	SN	B-NOH
-	-	SO	I-NOH
61	61	SN	I-NOH
_	_	_	O
재	재	XPN	O
역전	역전	NNG	O
에	에	JKB	O
_	_	_	O
성공	성공하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 키아누 리브스의 이번 내한은 2008년 영화 ‘스트리트 킹’ 홍보로 입국한 이래로 7년 만에 방문이다.
## <키아누 리브스:PER>의 이번 내한은 <2008년:DAT> 영화 ‘<스트리트 킹:POH>’ 홍보로 입국한 이래로 <7년 만:NOH>에 방문이다.
키아누	키아누	NNP	B-PER
_	_	_	I-PER
리브스	리브스	NNP	I-PER
의	의	JKG	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
내한	내한	NNG	O
은	은	JX	O
_	_	_	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
스트리트	스트리트	NNG	B-POH
_	_	_	I-POH
킹	킹	NNP	I-POH
’	’	SS	O
_	_	_	O
홍보	홍보	NNG	O
로	로	JKB	O
_	_	_	O
입국한	입국하+ㄴ	VV+ETM	O
_	_	_	O
이래	이래	NNB	O
로	로	JKB	O
_	_	_	O
7	7	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	I-NOH
만	만	NNB	I-NOH
에	에	JKB	O
_	_	_	O
방문	방문	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 한국 여성의 평균신장이 지난 100년 사이 20㎝가 자라 세계 200개 국가 가운데 많이 성장한 것으로 나타났다.
## <한국:ORG> 여성의 평균신장이 지난 <100년:NOH> 사이 <20㎝:NOH>가 자라 세계 <200개:NOH> 국가 가운데 많이 성장한 것으로 나타났다.
한국	한국	NNP	B-ORG
_	_	_	O
여성	여성	NNG	O
의	의	JKG	O
_	_	_	O
평균	평균	NNG	O
신장	신장	NNG	O
이	이	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
100	100	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
사이	사이	NNG	O
_	_	_	O
20	20	SN	B-NOH
㎝	㎝	SW	I-NOH
가	가	JKS	O
_	_	_	O
자라	자라+아	VV+EC	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
200	200	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
국가	국가	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
성장한	성장하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 26일 영국 BBC 등 외신은 엘리오 리볼리 영국 임페리얼대학(Imperial College London) 공중보건학장 연구팀은 200개 나라 남녀의 평균 신장이 지난 100년(1914~2014년)동안 어떻게 변화했는지 분석해 나온 결과를 인용해 보도했다.
## <26일:DAT> <영국 BBC:ORG> 등 외신은 <엘리오 리볼리:PER> <영국 임페리얼대학(Imperial College London) 공중보건학장 연구팀:ORG>은 <200개:NOH> 나라 남녀의 평균 신장이 지난 <100년:NOH>(<1914~2014년:DUR>)동안 어떻게 변화했는지 분석해 나온 결과를 인용해 보도했다.
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
영국	영국	NNP	B-ORG
_	_	_	I-ORG
BBC	BBC	SL	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
외신	외신	NNG	O
은	은	JX	O
_	_	_	O
엘리오	엘리오	NNP	B-PER
_	_	_	I-PER
리볼리	리볼리	NNP	I-PER
_	_	_	O
영국	영국	NNP	B-ORG
_	_	_	I-ORG
임페리얼	임페리얼	NNG	I-ORG
대학	대학	NNG	I-ORG
(	(	SS	I-ORG
Imperial	Imperial	SL	I-ORG
_	_	_	I-ORG
College	College	SL	I-ORG
_	_	_	I-ORG
London	London	SL	I-ORG
)	)	SS	I-ORG
_	_	_	I-ORG
공중	공중	NNG	I-ORG
보건	보건	NNG	I-ORG
학	학	XSN	I-ORG
장	장	XPN	I-ORG
_	_	_	I-ORG
연구	연구	NNG	I-ORG
팀	팀	NNG	I-ORG
은	은	JX	O
_	_	_	O
200	200	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
나라	나라	NNG	O
_	_	_	O
남녀	남녀	NNG	O
의	의	JKG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
신장	신장	NNG	O
이	이	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
100	100	SN	B-NOH
년	년	NNB	I-NOH
(	(	SS	O
1914	1914	SN	B-DUR
~	~	SO	I-DUR
2014	2014	SN	I-DUR
년	년	NNB	I-DUR
)	)	SS	O
동안	동안	NNG	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
변화	변화하	VV	O
했	였	EP	O
는지	는지	EC	O
_	_	_	O
분석해	분석하+여	VV+EC	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
인용해	인용하+여	VV+EC	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 연구에 따르면 한국 여성 평균 키는 100년 동안 142.2㎝에서 162.3㎝로 20.1㎝ 증가해 연구 대상 200개 국가 중 가장 큰 증가 폭을 보였다.
## 연구에 따르면 <한국:ORG> 여성 평균 키는 <100년:DUR> 동안 <142.2㎝:NOH>에서 <162.3㎝:NOH>로 <20.1㎝:NOH> 증가해 연구 대상 <200개:NOH> 국가 중 가장 큰 증가 폭을 보였다.
연구	연구	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
여성	여성	NNG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
키	키	NNG	O
는	는	JX	O
_	_	_	O
100	100	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
142.2	142.2	SN	B-NOH
㎝	㎝	SW	I-NOH
에서	에서	JKB	O
_	_	_	O
162.3	162.3	SN	B-NOH
㎝	㎝	SW	I-NOH
로	로	JKB	O
_	_	_	O
20.1	20.1	SN	B-NOH
㎝	㎝	SW	I-NOH
_	_	_	O
증가해	증가하+여	VV+EC	O
_	_	_	O
연구	연구	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
200	200	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
국가	국가	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
증가	증가	NNG	O
_	_	_	O
폭	폭	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## KLPGA는 글로벌 투어로 도약하고 외국인 선수들에게 출전의 기회를 제공하기 위해 올해부터 ‘인터내셔널 퀄리파잉 토너먼트’를 실시했다.
## <KLPGA:POH>는 글로벌 투어로 도약하고 외국인 선수들에게 출전의 기회를 제공하기 위해 올해부터 ‘<인터내셔널 퀄리파잉 토너먼트:POH>’를 실시했다.
KLPGA	KLPGA	SL	B-POH
는	는	JX	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
투어	투어	NNG	O
로	로	JKB	O
_	_	_	O
도약하	도약하	VV	O
고	고	EC	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
출전	출전	NNG	O
의	의	JKG	O
_	_	_	O
기회	기회	NNG	O
를	를	JKO	O
_	_	_	O
제공하	제공하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
올해	올해	NNG	O
부터	부터	JX	O
_	_	_	O
‘	‘	SS	O
인터내셔널	인터내셔널	NNG	B-POH
_	_	_	I-POH
퀄리파잉	퀄리파잉	NNG	I-POH
_	_	_	I-POH
토너먼트	토너먼트	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
실시	실시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

