## 1
## 내년 4월쯤엔 외국연예인들을 초청해 국내공연을 주최할 계획이다.
## 내년 <4월:DAT>쯤엔 외국연예인들을 초청해 국내공연을 주최할 계획이다.
내년	내년	NNG	O
## 이후 <장동민:PER>은 자신이 진행하는 라디오 프로그램에서 사과를 전하며 논란을 잠재웠으나 이번 고소 사건으로 또 다시 도마 위에 오른 것으로 보인다.
이후	이후	NNG	O
_	_	_	O
장동민	장동민	NNP	B-PER
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
진행하	진행하	VV	O
는	는	ETM	O
_	_	_	O
라디오	라디오	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
에서	에서	JKB	O
_	_	_	O
사과	사과	NNG	O
를	를	JKO	O
_	_	_	O
전하	전하	VV	O
며	며	EC	O
_	_	_	O
논란	논란	NNG	O
을	을	JKO	O
_	_	_	O
잠재	잠재우	VV	O
웠	었	EP	O
으나	으나	EC	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
고소	고소	NNG	O
_	_	_	O
사건	사건	NNG	O
으로	으로	JKB	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
도마	도마	NNG	O
_	_	_	O
위	위	NNG	O
에	에	JKB	O
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 소희는 그를 보더니 반갑게 미소를 지었다.
## <소희:PER>는 그를 보더니 반갑게 미소를 지었다.
소희	소희	NNP	B-PER
는	는	JX	O
_	_	_	O
그	그	NP	O
를	를	JKO	O
_	_	_	O
보	보	VV	O
더니	더니	EC	O
_	_	_	O
반갑	반갑	VA	O
게	게	EC	O
_	_	_	O
미소	미소	NNG	O
를	를	JKO	O
_	_	_	O
지	짓	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 하지만 ‘정책이 실제 국민행복에 긍정적인 영향을 끼쳤나’라는 평가항목에서는 4점에 그쳤다.
## 하지만 ‘정책이 실제 국민행복에 긍정적인 영향을 끼쳤나’라는 평가항목에서는 <4점:NOH>에 그쳤다.
하지만	하지만	MAJ	O
_	_	_	O
‘	‘	SS	O
정책	정책	NNG	O
이	이	JKS	O
_	_	_	O
실제	실제	MAG	O
_	_	_	O
국민	국민	NNG	O
행복	행복	NNG	O
에	에	JKB	O
_	_	_	O
긍정적	긍정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
끼	끼치	VV	O
쳤	었	EP	O
나	나	JC	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
평가	평가	NNG	O
항목	항목	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
4	4	SN	B-NOH
점	점	NNB	I-NOH
에	에	JKB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이정협은 이번 대회 2골을 터뜨려 손흥민과 함께 팀 내 최다
## <이정협:PER>은 이번 대회 <2골:NOH>을 터뜨려 <손흥민:PER>과 함께 팀 내 최다
이정협	이정협	NNP	B-PER
은	은	JX	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
_	_	_	O
2	2	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
터뜨려	터뜨리+어	VV+EC	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
최다	최다	NNG	O

## 10
## 이날 레드카펫 최대 화제 중 하나는 ‘그녀에게 더 물어봐’ 캠페인이었다.
## 이날 레드카펫 최대 화제 중 <하나:NOH>는 ‘<그녀에게 더 물어봐:POH>’ 캠페인이었다.
이날	이날	NNG	O
_	_	_	O
레드	레드	NNG	O
카펫	카펫	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
화제	화제	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
하나	하나	NNG	B-NOH
는	는	JX	O
_	_	_	O
‘	‘	SS	O
그녀	그녀	NP	B-POH
에게	에게	JKB	I-POH
_	_	_	I-POH
더	더	MAG	I-POH
_	_	_	I-POH
물어봐	물어보+아	VV+EF	I-POH
’	’	SS	O
_	_	_	O
캠페인	캠페인	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 나영석 PD와 강호동, 이승기, 이수근, 은지원이 중국 산시성 시안에서 보낸 4박5일간의 여정을 담은 ‘신서유기’는 인터넷으로만 약 3주간 방송할 예정이다.
## <나영석:PER> PD와 <강호동:PER>, <이승기:PER>, <이수근:PER>, <은지원:PER>이 <중국:LOC> <산시성:LOC> <시안:LOC>에서 보낸 <4박5일간:DUR>의 여정을 담은 ‘<신서유기:POH>’는 인터넷으로만 약 <3주간:DUR> 방송할 예정이다.
나영석	나영석	NNP	B-PER
_	_	_	O
PD	PD	SL	O
와	와	JC	O
_	_	_	O
강호동	강호동	NNP	B-PER
,	,	SP	O
_	_	_	O
이승기	이승기	NNP	B-PER
,	,	SP	O
_	_	_	O
이수근	이수근	NNP	B-PER
,	,	SP	O
_	_	_	O
은지원	은지원	NNP	B-PER
이	이	JKS	O
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	O
산시성	산시성	NNP	B-LOC
_	_	_	O
시안	시안	NNG	B-LOC
에서	에서	JKB	O
_	_	_	O
보낸	보내+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-DUR
박	박	NNB	I-DUR
5	5	SN	I-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
의	의	JKG	O
_	_	_	O
여정	여정	NNG	O
을	을	JKO	O
_	_	_	O
담	담	VV	O
은	은	ETM	O
_	_	_	O
‘	‘	SS	O
신	신	NNG	B-POH
서유기	서유기	NNP	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
인터넷	인터넷	NNG	O
으로	으로	JKB	O
만	만	JX	O
_	_	_	O
약	약	MM	O
_	_	_	O
3	3	SN	B-DUR
주간	주간	NNB	I-DUR
_	_	_	O
방송할	방송하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

