## 1
## 연규성은 “오디션박스 때부터 함께 노래했던 은영이가 가수로서의 새 출발을 위해 제 노래 ‘슬픈 노래’를 리메이크해 녹음도 다 해놓고 뮤직비디오도 다 찍고 이제 발표만을 남기고 있었는데. 며칠 전에도 만나 밝게 웃으며 함께 녹음하고 했는데 정말 믿기질 않네요”라고 덧붙였다.
## <연규성:PER>은 “오디션박스 때부터 함께 노래했던 <은영이:PER>가 가수로서의 새 출발을 위해 제 노래 ‘<슬픈 노래:POH>’를 리메이크해 녹음도 다 해놓고 뮤직비디오도 다 찍고 이제 발표만을 남기고 있었는데. 며칠 전에도 만나 밝게 웃으며 함께 녹음하고 했는데 정말 믿기질 않네요”라고 덧붙였다.
연규성	연규성	NNP	B-PER
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 2
## 이어 “은영이를 사랑하고 아껴주셨던 많은 분들, 은영이가 편하게 갈 수 있도록 명복을 빌어달라”며 애도를 표했다.
## 이어 “<은영이:PER>를 사랑하고 아껴주셨던 많은 분들, <은영이:PER>가 편하게 갈 수 있도록 명복을 빌어달라”며 애도를 표했다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
은영이	은영이	NNP	B-PER
를	를	JKO	O
_	_	_	O
사랑하	사랑하	VV	O
고	고	EC	O
_	_	_	O
아껴	아끼+어	VV+EC	O
주	주+시	VX+EP	O
셨	었	EP	O
던	던	ETM	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
분	분	NNB	O
들	들	XSN	O
,	,	SP	O
_	_	_	O
은영이	은영이	NNP	B-PER
가	가	JKS	O
_	_	_	O
편하	편하	VA	O
게	게	EC	O
_	_	_	O
갈	가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
명복	명복	NNG	O
을	을	JKO	O
_	_	_	O
빌	빌	VV	O
어	어	EC	O
달	달	VX	O
라	라	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
애도	애도	NNG	O
를	를	JKO	O
_	_	_	O
표	표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 도은영은 생전 자신의 SNS에 자켓 사진으로 보이는 사진 한 장과 함께 ‘다시 시작. 가수 도은영’이라는 글을 올리며 설렘을 드러냈던 터라 안타까움이 더해지고 있다.
## <도은영:PER>은 생전 자신의 SNS에 자켓 사진으로 보이는 사진 <한 장:NOH>과 함께 ‘다시 시작. 가수 <도은영:PER>’이라는 글을 올리며 설렘을 드러냈던 터라 안타까움이 더해지고 있다.
도은영	도은영	NNP	B-PER
은	은	JX	O
_	_	_	O
생전	생전	NNG	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
SNS	SNS	SL	O
에	에	JKB	O
_	_	_	O
자켓	자켓	NNG	O
_	_	_	O
사진	사진	NNG	O
으로	으로	JKB	O
_	_	_	O
보이	보이	VV	O
는	는	ETM	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
장	장	NNB	I-NOH
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
‘	‘	SS	O
다시	다시	MAG	O
_	_	_	O
시작	시작	NNG	O
.	.	SF	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
도은영	도은영	NNP	B-PER
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
올리	올리	VV	O
며	며	EC	O
_	_	_	O
설렘	설레+ㅁ	VV+ETN	O
을	을	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
던	던	ETM	O
_	_	_	O
터	터+이	NNB+VCP	O
라	라	EC	O
_	_	_	O
안타까움	안타깝+ㅁ	VA+ETN	O
이	이	JKS	O
_	_	_	O
더해	더하+여	VV+EC	O
지	지	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 도은영은 지난 2005년 MBC 드라마 ‘굳세어라 금순아’의 OST ‘기도할게요’로 데뷔했다.
## <도은영:PER>은 지난 <2005년:DAT> <MBC:ORG> 드라마 ‘<굳세어라 금순아:POH>’의 OST ‘<기도할게요:POH>’로 데뷔했다.
도은영	도은영	NNP	B-PER
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2005	2005	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
‘	‘	SS	O
굳세	굳세	VA	B-POH
어라	어라	EC	I-POH
_	_	_	I-POH
금순	금순	NNP	I-POH
아	아	JKV	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
OST	OST	SL	O
_	_	_	O
‘	‘	SS	O
기도할	기도하+ㄹ	VV+ETM	B-POH
게	것+이	NNB+VCP	I-POH
요	요	EF	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
데뷔	데뷔하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이후 잊혀진 가수로 불리며 힘겨운 시간을 보냈고, 지난 2012년 tvN 오디션 프로그램 ‘슈퍼디바2012’에 출연하며 재기를 꿈꿨다.
## 이후 잊혀진 가수로 불리며 힘겨운 시간을 보냈고, 지난 <2012년:DAT> <tvN:ORG> 오디션 프로그램 ‘<슈퍼디바2012:POH>’에 출연하며 재기를 꿈꿨다.
이후	이후	NNG	O
_	_	_	O
잊혀	잊히+어	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
가수	가수	NNG	O
로	로	JKB	O
_	_	_	O
불리	불리	VV	O
며	며	EC	O
_	_	_	O
힘겨	힘겹	VA	O
운	ㄴ	ETM	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
보냈	보내+었	VV+EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
tvN	tvN	SL	B-ORG
_	_	_	O
오디션	오디션	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
_	_	_	O
‘	‘	SS	O
슈퍼	슈퍼	NNG	B-POH
디바	디바	NNG	I-POH
2012	2012	SN	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
며	며	EC	O
_	_	_	O
재기	재기	NNG	O
를	를	JKO	O
_	_	_	O
꿈	꿈꾸	VV	O
꿨	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 당시 도은영은 “어린 나이에 섣불리 결정했었다.
## 당시 <도은영:PER>은 “어린 나이에 섣불리 결정했었다.
당시	당시	NNG	O
_	_	_	O
도은영	도은영	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
나이	나이	NNG	O
에	에	JKB	O
_	_	_	O
섣불리	섣불리	MAG	O
_	_	_	O
결정	결정하	VV	O
했었	였었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 조동호 한국과학기술원(KAIST) 전기및전자공학과 교수는 “유선 전화가 상용화됐던 불과 수십년 전에는 무선 전화가 상용화할 것이라고 예측한 사람이 드물었지만, 무선 전화가 대중화했다”며 “전기버스 충전 방식도 결국 무선충전 방식으로 바뀔 것”이라고 예상했다.
## <조동호:PER> <한국과학기술원(KAIST) 전기및전자공학과:ORG> 교수는 “유선 전화가 상용화됐던 불과 수십년 전에는 무선 전화가 상용화할 것이라고 예측한 사람이 드물었지만, 무선 전화가 대중화했다”며 “전기버스 충전 방식도 결국 무선충전 방식으로 바뀔 것”이라고 예상했다.
조동호	조동호	NNP	B-PER
_	_	_	O
한국과학기술원	한국과학기술원	NNP	B-ORG
(	(	SS	I-ORG
KAIST	KAIST	SL	I-ORG
)	)	SS	I-ORG
_	_	_	I-ORG
전기	전기	NNG	I-ORG
및	몇	NR	I-ORG
전자	전자	NNG	I-ORG
공학	공학	NNG	I-ORG
과	과	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
유선	유선	NNG	O
_	_	_	O
전화	전화	NNG	O
가	가	JKS	O
_	_	_	O
상용	상용	NNG	O
화	화	XSN	O
됐	되+었	XSV+EP	O
던	던	ETM	O
_	_	_	O
불과	불과	MAG	O
_	_	_	O
수십	수십	NR	O
년	년	NNB	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
무선	무선	NNG	O
_	_	_	O
전화	전화	NNG	O
가	가	JKS	O
_	_	_	O
상용	상용	NNG	O
화	화	XSN	O
할	하+ㄹ	XSV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
예측한	예측하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
드물	드물	VA	O
었	었	EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
무선	무선	NNG	O
_	_	_	O
전화	전화	NNG	O
가	가	JKS	O
_	_	_	O
대중화	대중화하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
전기	전기	NNG	O
버스	버스	NNG	O
_	_	_	O
충전	충전	NNG	O
_	_	_	O
방식	방식	NNG	O
도	도	JX	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
무선	무선	NNG	O
충전	충전	NNG	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
바뀔	바뀌+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
예상	예상하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 강원 강릉시 주문진읍 주문진항에서 해안도로 주변의 탁 트인 언덕 위에 별장식 소형아파트 라일플로리스가 들어선다.
## <강원:LOC> <강릉시:LOC> <주문진읍:LOC> <주문진항:LOC>에서 해안도로 주변의 탁 트인 언덕 위에 별장식 소형아파트 <라일플로리스:LOC>가 들어선다.
강원	강원	NNP	B-LOC
_	_	_	O
강릉시	강릉시	NNP	B-LOC
_	_	_	O
주문진	주문진	NNP	B-LOC
읍	읍	NNG	I-LOC
_	_	_	O
주문진	주문진	NNP	B-LOC
항	항	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
해안	해안	NNG	O
도로	도로	NNG	O
_	_	_	O
주변	주변	NNG	O
의	의	JKG	O
_	_	_	O
탁	탁	MAG	O
_	_	_	O
트인	트이+ㄴ	VV+ETM	O
_	_	_	O
언덕	언덕	NNG	O
_	_	_	O
위	위	NNG	O
에	에	JKB	O
_	_	_	O
별장	별장	NNG	O
식	식	XSN	O
_	_	_	O
소형	소형	NNG	O
아파트	아파트	NNG	O
_	_	_	O
라일	라일	NNP	B-LOC
플로	플로	NNG	I-LOC
리스	리스	NNP	I-LOC
가	가	JKS	O
_	_	_	O
들어선다	들어서+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 두산 관계자는 “감독님과 수석코치님이 훈련 도중에도 ‘아직은 적응기라 본인 몸 상태를 고려해가며 해도 된다’고 권유하고 계시지만, 루츠가 ‘괜찮다’며 함께 훈련하고 있다”고 귀띔했다.
## <두산:ORG> 관계자는 “감독님과 수석코치님이 훈련 도중에도 ‘아직은 적응기라 본인 몸 상태를 고려해가며 해도 된다’고 권유하고 계시지만, <루츠:PER>가 ‘괜찮다’며 함께 훈련하고 있다”고 귀띔했다.
두산	두산	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
감독	감독	NNG	O
님	님	XSN	O
과	과	JC	O
_	_	_	O
수석	수석	NNG	O
코치	코치	NNG	O
님	님	XSN	O
이	이	JKS	O
_	_	_	O
훈련	훈련	NNG	O
_	_	_	O
도중	도중	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
‘	‘	SS	O
아직	아직	MAG	O
은	은	JX	O
_	_	_	O
적응	적응	NNG	O
기	기+이	XSN+VCP	O
라	라	EC	O
_	_	_	O
본인	본인	NNG	O
_	_	_	O
몸	몸	NNG	O
_	_	_	O
상태	상태	NNG	O
를	를	JKO	O
_	_	_	O
고려해	고려하+여	VV+EC	O
가	가	VX	O
며	며	EC	O
_	_	_	O
해도	하+여도	VV+EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
권유하	권유하	VV	O
고	고	EC	O
_	_	_	O
계시	계시	VX	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
루츠	루츠	NNG	B-PER
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
괜찮	괜찮	VA	O
다	다	EF	O
’	’	SS	O
며	며	EC	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
훈련하	훈련하	VV	O
고	고	EC	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
귀띔	귀띔하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 2012년 19대 총선 당시 첫날 등록자 수(526명)와 유사했다.
## <2012년:DAT> <19대:NOH> 총선 당시 첫날 등록자 수(<526명:NOH>)와 유사했다.
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
19	19	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
총선	총선	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
첫날	첫날	NNG	O
_	_	_	O
등록	등록	NNG	O
자	자	XSN	O
_	_	_	O
수	수	NNG	O
(	(	SS	O
526	526	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
와	와	JKB	O
_	_	_	O
유사	유사하	VA	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 서강대 학생들은 이 대학의 슬로건 ‘그대 서강의 자랑이듯, 서강 그대의 자랑이어라’를 인용해 “선배님, 서강의 표어를 더 이상 더럽히지 마십시오”라고 밝혔다.
## <서강대:ORG> 학생들은 이 대학의 슬로건 ‘그대 <서강:ORG>의 자랑이듯, <서강:ORG> 그대의 자랑이어라’를 인용해 “선배님, <서강:ORG>의 표어를 더 이상 더럽히지 마십시오”라고 밝혔다.
서강대	서강대	NNP	B-ORG
_	_	_	O
학생	학생	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
대학	대학	NNG	O
의	의	JKG	O
_	_	_	O
슬로건	슬로건	NNG	O
_	_	_	O
‘	‘	SS	O
그대	그대	NP	O
_	_	_	O
서강	서강	NNP	B-ORG
의	의	JKG	O
_	_	_	O
자랑	자랑	NNG	O
이	이	VCP	O
듯	듯	EC	O
,	,	SP	O
_	_	_	O
서강	서강	NNP	B-ORG
_	_	_	O
그대	그대	NP	O
의	의	JKG	O
_	_	_	O
자랑	자랑	NNG	O
이	이	VCP	O
어라	어라	EF	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
인용해	인용하+여	VV+EC	O
_	_	_	O
“	“	SS	O
선배	선배	NNG	O
님	님	XSN	O
,	,	SP	O
_	_	_	O
서강	서강	NNP	B-ORG
의	의	JKG	O
_	_	_	O
표어	표어	NNG	O
를	를	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
더럽히	더럽히	VV	O
지	지	EC	O
_	_	_	O
마	말	VX	O
십시오	시+ㅂ시오	EP+EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 학생들은 “최순실 게이트는 정부의 공식적 구조를 왜곡한, 국기를 흔드는 중대한 위법행위다.
## 학생들은 “<최순실:PER> 게이트는 정부의 공식적 구조를 왜곡한, 국기를 흔드는 중대한 위법행위다.
학생	학생	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
최순실	최순실	NNP	B-PER
_	_	_	O
게이트	게이트	NNG	O
는	는	JX	O
_	_	_	O
정부	정부	NNG	O
의	의	JKG	O
_	_	_	O
공식적	공식적	NNG	O
_	_	_	O
구조	구조	NNG	O
를	를	JKO	O
_	_	_	O
왜곡한	왜곡하+ㄴ	VV+ETM	O
,	,	SP	O
_	_	_	O
국기	국기	NNG	O
를	를	JKO	O
_	_	_	O
흔드	흔들	VV	O
는	는	ETM	O
_	_	_	O
중대한	중대하+ㄴ	VA+ETM	O
_	_	_	O
위법	위법	NNG	O
행위	행위	NNG	O
다	다	NNG	O
.	.	SF	O

## 13
## 한국정치학회 주최로 열린 이날 토론회에서 강원택(서울대 정치외교학부 교수·사진) 한국정치학회장은 “선거는 주권자인 국민이 대표를 선택하는 정치적 축제이지만 선거법상 과도한 규제로 선거 때면 유권자들은 오히려 구경꾼으로 전락한다”며 “한국 민주주의가 한 단계 더 발전하기 위해선 규제로 가득한 현행 선거법을 시대에 맞게 대폭 개정해야 한다”고 말했다.
## <한국정치학회:ORG> 주최로 열린 이날 토론회에서 <강원택:PER>(<서울대 정치외교학부:ORG> 교수·사진) 한국정치학회장은 “선거는 주권자인 국민이 대표를 선택하는 정치적 축제이지만 선거법상 과도한 규제로 선거 때면 유권자들은 오히려 구경꾼으로 전락한다”며 “<한국:ORG> 민주주의가 <한 단계:NOH> 더 발전하기 위해선 규제로 가득한 현행 선거법을 시대에 맞게 대폭 개정해야 한다”고 말했다.
한국정치학회	한국정치학회	NNP	B-ORG
_	_	_	O
주최	주최	NNG	O
로	로	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
토론회	토론회	NNG	O
에서	에서	JKB	O
_	_	_	O
강원택	강원택	NNP	B-PER
(	(	SS	O
서울대	서울대	NNP	B-ORG
_	_	_	I-ORG
정치	정치	NNG	I-ORG
외교	외교	NNG	I-ORG
학부	학부	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
_	_	_	O
한국	한국	NNP	O
정치학	정치학	NNG	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
선거	선거	NNG	O
는	는	JX	O
_	_	_	O
주권자	주권자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
국민	국민	NNG	O
이	이	JKS	O
_	_	_	O
대표	대표	NNG	O
를	를	JKO	O
_	_	_	O
선택하	선택하	VV	O
는	는	ETM	O
_	_	_	O
정치적	정치적	NNG	O
_	_	_	O
축제	축제	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
선거법	선거법	NNG	O
상	상	XSN	O
_	_	_	O
과도한	과도하+ㄴ	VA+ETM	O
_	_	_	O
규제	규제	NNG	O
로	로	JKB	O
_	_	_	O
선거	선거	NNG	O
_	_	_	O
때	때+이	NNG+VCP	O
면	면	EC	O
_	_	_	O
유권자	유권자	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
구경꾼	구경꾼	NNG	O
으로	으로	JKB	O
_	_	_	O
전락한다	전락하+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
_	_	_	O
민주주의	민주주의	NNG	O
가	가	JKS	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
단계	단계	NNG	I-NOH
_	_	_	O
더	더	MAG	O
_	_	_	O
발전하	발전하	VV	O
기	기	ETN	O
_	_	_	O
위해선	위하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
규제	규제	NNG	O
로	로	JKB	O
_	_	_	O
가득한	가득하+ㄴ	VA+ETM	O
_	_	_	O
현행	현행	NNG	O
_	_	_	O
선거법	선거법	NNG	O
을	을	JKO	O
_	_	_	O
시대	시대	NNG	O
에	에	JKB	O
_	_	_	O
맞	맞	VV	O
게	게	EC	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
개정해야	개정하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 장우영(대구가톨릭대 정치외교학과) 교수는 “선거 여론조사 결과 공개와 관련된 규정을 개정해 유권자의 알 권리를 적극적으로 보장해야 한다”고 주장했다.
## <장우영:PER>(<대구가톨릭대 정치외교학과:ORG>) 교수는 “선거 여론조사 결과 공개와 관련된 규정을 개정해 유권자의 알 권리를 적극적으로 보장해야 한다”고 주장했다.
장우영	장우영	NNP	B-PER
(	(	SS	O
대구가톨릭대	대구가톨릭대	NNP	B-ORG
_	_	_	I-ORG
정치	정치	NNG	I-ORG
외교	외교	NNG	I-ORG
학과	학과	NNG	I-ORG
)	)	SS	O
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
선거	선거	NNG	O
_	_	_	O
여론	여론	NNG	O
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
공개	공개	NNG	O
와	와	JKB	O
_	_	_	O
관련된	관련되+ㄴ	VV+ETM	O
_	_	_	O
규정	규정	NNG	O
을	을	JKO	O
_	_	_	O
개정해	개정하+여	VV+EC	O
_	_	_	O
유권자	유권자	NNG	O
의	의	JKG	O
_	_	_	O
알	알+ㄹ	VV+ETM	O
_	_	_	O
권리	권리	NNG	O
를	를	JKO	O
_	_	_	O
적극적	적극적	NNG	O
으로	으로	JKB	O
_	_	_	O
보장해야	보장하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 이외에도 “사전선거운동 제한을 폐지해 현직 의원과 도전자들 모두에게 공정한 기회를 줘야 한다”(성공회대 김형철 교수), “후보자 등록 기간이 선거일 기준으로 너무 촉박하다.
## 이외에도 “사전선거운동 제한을 폐지해 현직 의원과 도전자들 모두에게 공정한 기회를 줘야 한다”(<성공회대:ORG> <김형철:PER> 교수), “후보자 등록 기간이 선거일 기준으로 너무 촉박하다.
이외	이외	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
“	“	SS	O
사전	사전	NNG	O
선거	선거	NNG	O
운동	운동	NNG	O
_	_	_	O
제한	제한	NNG	O
을	을	JKO	O
_	_	_	O
폐지해	폐지하+여	VV+EC	O
_	_	_	O
현직	현직	NNG	O
_	_	_	O
의원	의원	NNG	O
과	과	JC	O
_	_	_	O
도전자	도전자	NNG	O
들	들	XSN	O
_	_	_	O
모두	모두	NNG	O
에게	에게	JKB	O
_	_	_	O
공정한	공정하+ㄴ	VA+ETM	O
_	_	_	O
기회	기회	NNG	O
를	를	JKO	O
_	_	_	O
줘야	주+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
(	(	SS	O
성공회대	성공회대	NNP	B-ORG
_	_	_	O
김형철	김형철	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
후보자	후보자	NNG	O
_	_	_	O
등록	등록	NNG	O
_	_	_	O
기간	기간	NNG	O
이	이	JKS	O
_	_	_	O
선거일	선거일	NNG	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
촉박하	촉박하	VA	O
다	다	EF	O
.	.	SF	O

## 16
## 29일 국립수산과학원 아열대수산연구센터에 따르면 김모 씨(38)는 10일 제주 북서부 협재해수욕장 인근 갯바위에서 파란고리문어에 물려 치료를 받았다.
## <29일:DAT> <국립수산과학원 아열대수산연구센터:ORG>에 따르면 <김모:PER> 씨(<38:NOH>)는 <10일:DAT> <제주:LOC> <북서부:LOC> <협재해수욕장:LOC> 인근 갯바위에서 <파란고리문어:POH>에 물려 치료를 받았다.
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국립	국립	NNG	B-ORG
수산	수산	NNG	I-ORG
과학원	과학원	NNG	I-ORG
_	_	_	I-ORG
아열대	아열대	NNG	I-ORG
수산	수산	NNG	I-ORG
연구	연구	NNG	I-ORG
센터	센터	NNG	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
김	김	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
38	38	SN	B-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
제주	제주	NNP	B-LOC
_	_	_	O
