## 1
## 문제는 이 후보자의 기용과 함께 박 대통령의 국정운영 스타일이 변하느냐다.
## 문제는 <이:PER> 후보자의 기용과 함께 <박:PER> 대통령의 국정운영 스타일이 변하느냐다.
문제	문제	NNG	O
_	_	_	O
장	장	NNG	O
을	을	JKO	O
_	_	_	O
자극하	자극하	VV	O
는	는	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
변비	변비	NNG	O
를	를	JKO	O
_	_	_	O
해소할	해소하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 중국 톈진 폭발, 사망자 수 114명으로 늘어…소방관 39명, 경찰관 5명 포함중국 텐진 폭발 사고 때 숨진 사망자 수가 114명으로 늘었다고 중국 관영 매체가 17일 보도했다.
## <중국 톈진 폭발:POH>, 사망자 수 <114명:NOH>으로 늘어…소방관 <39명:NOH>, 경찰관 <5명:NOH> 포함<중국 텐진 폭발 사고:POH> 때 숨진 사망자 수가 <114명:NOH>으로 늘었다고 <중국:ORG> 관영 매체가 <17일:DAT> 보도했다.
중국	중국	NNP	B-POH
_	_	_	I-POH
톈진	톈진	NNP	I-POH
_	_	_	I-POH
폭발	폭발	NNG	I-POH
,	,	SP	O
_	_	_	O
사망자	사망자	NNG	O
_	_	_	O
수	수	NNG	O
_	_	_	O
114	114	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘	늘	VV	O
어	어	EC	O
…	…	SE	O
소방관	소방관	NNG	O
_	_	_	O
39	39	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
경찰관	경찰관	NNG	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
포함	포함	NNG	O
중국	중국	NNP	B-POH
_	_	_	I-POH
텐진	텐진	NNP	I-POH
_	_	_	I-POH
폭발	폭발	NNG	I-POH
_	_	_	I-POH
사고	사고	NNG	I-POH
_	_	_	O
때	때	NNG	O
_	_	_	O
숨진	숨지+ㄴ	VV+ETM	O
_	_	_	O
사망자	사망자	NNG	O
_	_	_	O
수	수	NNG	O
가	가	JKS	O
_	_	_	O
114	114	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
관영	관영	NNG	O
_	_	_	O
매체	매체	NNG	O
가	가	JKS	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이에 따르면 톈진시 당위 선전부 궁젠성 부부장은 이날 기자회견에서 루이하이(瑞海) 공사의 창고 폭파 참사로 인한 사망자 수가 114명으로 늘었다고 발표했다.
## 이에 따르면 <톈진시 당위 선전부:ORG> <궁젠성:PER> 부부장은 이날 기자회견에서 <루이하이(瑞海):ORG> 공사의 창고 폭파 참사로 인한 사망자 수가 <114명:NOH>으로 늘었다고 발표했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
톈진시	톈진시	NNP	B-ORG
_	_	_	I-ORG
당위	당위	NNG	I-ORG
_	_	_	I-ORG
선전	선전	NNG	I-ORG
부	부	NNG	I-ORG
_	_	_	O
궁젠성	궁젠성	NNG	B-PER
_	_	_	O
부	부	XPN	O
부장	부장	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
에서	에서	JKB	O
_	_	_	O
루이하이	루이하이	NNP	B-ORG
(	(	SS	I-ORG
瑞海	瑞海	SH	I-ORG
)	)	SS	I-ORG
_	_	_	O
공사	공사	NNG	O
의	의	JKG	O
_	_	_	O
창고	창고	NNG	O
_	_	_	O
폭파	폭파	NNG	O
_	_	_	O
참사	참사	NNG	O
로	로	JKB	O
_	_	_	O
인한	인하+ㄴ	VV+ETM	O
_	_	_	O
사망자	사망자	NNG	O
_	_	_	O
수	수	NNG	O
가	가	JKS	O
_	_	_	O
114	114	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 다만 그는 95명으로 집계해온 실종자 수는 확인 결과 소방관 64명을 포함해 70명으로 줄었다고 전했다.
## 다만 그는 <95명:NOH>으로 집계해온 실종자 수는 확인 결과 소방관 <64명:NOH>을 포함해 <70명:NOH>으로 줄었다고 전했다.
다만	다만	MAG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
95	95	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
집계해	집계하+여	VV+EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
실종자	실종자	NNG	O
_	_	_	O
수	수	NNG	O
는	는	JX	O
_	_	_	O
확인	확인	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
소방관	소방관	NNG	O
_	_	_	O
64	64	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
70	70	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
다고	다고	EC	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 궁 부부장은 이미 수습한 시신 중에 실종자 20명이 끼어 있는 것으로 확인했다고 설명했다.
## <궁:PER> 부부장은 이미 수습한 시신 중에 실종자 <20명:NOH>이 끼어 있는 것으로 확인했다고 설명했다.
궁	궁	NNG	B-PER
_	_	_	O
부	부	XPN	O
부장	부장	NNG	O
은	은	JX	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
수습한	수습하+ㄴ	VV+ETM	O
_	_	_	O
시신	시신	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
_	_	_	O
실종자	실종자	NNG	O
_	_	_	O
20	20	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
끼	끼	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
확인	확인하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이로써 이번 중국 톈진 폭발 참사의 희생자 수는 당초 우려했던 것보다는 다소 줄어들 전망이다.
## 이로써 이번 <중국 톈진 폭발:POH> 참사의 희생자 수는 당초 우려했던 것보다는 다소 줄어들 전망이다.
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
중국	중국	NNP	B-POH
_	_	_	I-POH
톈진	톈진	NNP	I-POH
_	_	_	I-POH
폭발	폭발	NNG	I-POH
_	_	_	O
참사	참사	NNG	O
의	의	JKG	O
_	_	_	O
희생자	희생자	NNG	O
_	_	_	O
수	수	NNG	O
는	는	JX	O
_	_	_	O
당초	당초	NNG	O
_	_	_	O
우려	우려하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
다소	다소	MAG	O
_	_	_	O
줄어들	줄어들+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 병원으로 옮겨져 치료를 받는 부상자는 698명이며 이중 57명이 중태다.
## 병원으로 옮겨져 치료를 받는 부상자는 <698명:NOH>이며 이중 <57명:NOH>이 중태다.
병원	병원	NNG	O
으로	으로	JKB	O
_	_	_	O
옮겨	옮기+어	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
부상자	부상자	NNG	O
는	는	JX	O
_	_	_	O
698	698	SN	B-NOH
명	명	NNB	I-NOH
이	이	VCP	O
며	며	EC	O
_	_	_	O
이	이	MM	O
중	중	NNB	O
_	_	_	O
57	57	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
중태	중태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 또한 현재까지 수습한 사망자 시신 가운데 신원이 확인된 사망자는 54명에 불과하다고 매체는 전했다.
## 또한 현재까지 수습한 사망자 시신 가운데 신원이 확인된 사망자는 <54명:NOH>에 불과하다고 매체는 전했다.
또한	또한	MAG	O
_	_	_	O
현재	현재	NNG	O
까지	까지	JX	O
_	_	_	O
수습한	수습하+ㄴ	VV+ETM	O
_	_	_	O
사망자	사망자	NNG	O
_	_	_	O
시신	시신	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
신원	신원	NNG	O
이	이	JKS	O
_	_	_	O
확인된	확인되+ㄴ	VV+ETM	O
_	_	_	O
사망자	사망자	NNG	O
는	는	JX	O
_	_	_	O
54	54	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
불과하	불과하	VA	O
다고	다고	EC	O
_	_	_	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 신원이 밝혀진 시신은 소방관 39명, 경찰관 5명 등이다.
## 신원이 밝혀진 시신은 소방관 <39명:NOH>, 경찰관 <5명:NOH> 등이다.
신원	신원	NNG	O
이	이	JKS	O
_	_	_	O
밝혀진	밝혀지+ㄴ	VV+ETM	O
_	_	_	O
시신	시신	NNG	O
은	은	JX	O
_	_	_	O
소방관	소방관	NNG	O
_	_	_	O
39	39	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
경찰관	경찰관	NNG	O
_	_	_	O
5	5	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
등	등	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 이번 사고로 1만 7000여 가구와 1700여 개 기업이 피해를 입었고, 최소 6000여 명이 긴급 대피했다.
## 이번 사고로 <1만 7000여 가구:NOH>와 <1700여 개:NOH> 기업이 피해를 입었고, 최소 <6000여 명:NOH>이 긴급 대피했다.
이번	이번	NNG	O
_	_	_	O
사고	사고	NNG	O
로	로	JKB	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
7000	7000	SN	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
가구	가구	NNG	I-NOH
와	와	JC	O
_	_	_	O
1700	1700	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
_	_	_	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
피해	피해	NNG	O
를	를	JKO	O
_	_	_	O
입	입	VV	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
최소	최소	NNG	O
_	_	_	O
6000	6000	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
긴급	긴급	NNG	O
_	_	_	O
대피	대피하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 앞서 전날 베이징 군구 스루쩌 참모장이 사고 전 현장 근처 2곳에서 유독성 시안화 나트륨(청산가리) 수백 t을 보관했다고 밝힘에 따라 근처에는 방호복을 착용한 군 화생방 부대원 3000여 명이 투입돼 유해물질 수거·중화 불용화 처리하고 있다.
## 앞서 전날 <베이징 군구:LOC> <스루쩌:PER> 참모장이 사고 전 현장 근처 <2곳:NOH>에서 유독성 시안화 나트륨(청산가리) <수백 t:NOH>을 보관했다고 밝힘에 따라 근처에는 방호복을 착용한 군 화생방 부대원 <3000여 명:NOH>이 투입돼 유해물질 수거·중화 불용화 처리하고 있다.
앞서	앞서	MAG	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
베이징	베이징	NNP	B-LOC
_	_	_	I-LOC
군구	군구	NNG	I-LOC
_	_	_	O
스루	스루	NNG	B-PER
쩌	쩌	IC	I-PER
_	_	_	O
참모장	참모장	NNG	O
이	이	JKS	O
_	_	_	O
사고	사고	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
현장	현장	NNG	O
_	_	_	O
근처	근처	NNG	O
_	_	_	O
2	2	SN	B-NOH
곳	곳	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
유독성	유독성	NNG	O
_	_	_	O
시안화	시안화	NNG	O
_	_	_	O
나트륨	나트륨	NNG	O
(	(	SS	O
청산가리	청산가리	NNG	O
)	)	SS	O
_	_	_	O
수백	수백	NR	B-NOH
_	_	_	I-NOH
t	t	SL	I-NOH
을	을	JKO	O
_	_	_	O
보관	보관하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
밝힘	밝히+ㅁ	VV+ETN	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
근처	근처	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
방호복	방호복	NNG	O
을	을	JKO	O
_	_	_	O
착용한	착용하+ㄴ	VV+ETM	O
_	_	_	O
군	군	NNG	O
_	_	_	O
화생방	화생방	NNG	O
_	_	_	O
부대원	부대원	NNG	O
_	_	_	O
3000	3000	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
투입돼	투입되+어	VV+EC	O
_	_	_	O
유해	유해	NNG	O
물질	물질	NNG	O
_	_	_	O
수거	수거	NNG	O
·	·	SP	O
중화	중화	NNG	O
_	_	_	O
불용	불용	NNG	O
화	화	XSN	O
_	_	_	O
처리하	처리하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 15
## 한편, 지난 12일 중국 톈진항의 한 창고에 있던 컨테이너에서 인화성 물질이 폭발하는 대형 참사가 발생해 현지 당국이 구조에 나섰지만 사상자는 늘어가는 중이다.
## 한편, 지난 <12일:DAT> <중국 톈진항:LOC>의 한 창고에 있던 컨테이너에서 인화성 물질이 폭발하는 대형 참사가 발생해 현지 당국이 구조에 나섰지만 사상자는 늘어가는 중이다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-LOC
_	_	_	I-LOC
톈진항	톈진항	NNP	I-LOC
의	의	JKG	O
_	_	_	O
한	한	NNP	O
_	_	_	O
창고	창고	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
컨테이너	컨테이너	NNG	O
에서	에서	JKB	O
_	_	_	O
인화성	인화성	NNG	O
_	_	_	O
물질	물질	NNG	O
이	이	JKS	O
_	_	_	O
폭발하	폭발하	VV	O
는	는	ETM	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
참사	참사	NNG	O
가	가	JKS	O
_	_	_	O
발생해	발생하+여	VV+EC	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
당국	당국	NNG	O
이	이	JKS	O
_	_	_	O
구조	구조	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
지만	지만	EC	O
_	_	_	O
사상자	사상자	NNG	O
는	는	JX	O
_	_	_	O
늘	늘	VV	O
어	어	EC	O
가	가	VX	O
는	는	ETM	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 16
## 부탁해요 엄마 오민석 “혜주씨 이상하게 말이 안나와”
## 부탁해요 엄마 <오민석:PER> “<혜주:PER>씨 이상하게 말이 안나와”
부탁해요	부탁하+여요	VV+EC	O
_	_	_	O
엄마	엄마	NNG	O
_	_	_	O
오민석	오민석	NNP	B-PER
_	_	_	O
“	“	SS	O
혜주	혜주	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
이상하	이상하	VA	O
게	게	EC	O
_	_	_	O
말	말	NNG	O
이	이	JKS	O
_	_	_	O
안	안	MAG	O
나	나오	VV	O
와	아	EF	O
”	”	SS	O

## 17
## 스위스, 이스라엘 등 일부 국가관은 주제의 의미를 다른 각도에서 해석해 ‘건축구조 기술의 최전선 노하우’를 보여주는 방식으로 눈길을 끌었다.
## <스위스:ORG>, <이스라엘:ORG> 등 일부 국가관은 주제의 의미를 다른 각도에서 해석해 ‘건축구조 기술의 최전선 노하우’를 보여주는 방식으로 눈길을 끌었다.
스위스	스위스	NNP	B-ORG
,	,	SP	O
_	_	_	O
이스라엘	이스라엘	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
국가관	국가관	NNG	O
은	은	JX	O
_	_	_	O
주제	주제	NNG	O
의	의	JKG	O
_	_	_	O
의미	의미	NNG	O
를	를	JKO	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
각도	각도	NNG	O
에서	에서	JKB	O
_	_	_	O
해석해	해석하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
건축	건축	NNG	O
구조	구조	NNG	O
_	_	_	O
기술	기술	NNG	O
의	의	JKG	O
_	_	_	O
최전선	최전선	NNG	O
_	_	_	O
노하우	노하우	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

