## 1
## 삼성重, 유상증자 위해 8월 주총
## <삼성重:ORG>, 유상증자 위해 <8월:DAT> 주총
삼성	삼성	NNP	B-ORG
망친	망치+ㄴ	VV+ETM	O
_	_	_	O
카카오	카카오	NNP	B-POH
맵	맵	VA	I-POH
'	'	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 새로운 진공청소기를 개발하기로 결심한 제임스 다이슨은, 우연히 방문한 제재소에서 공기 회전을 이용해 공기와 톱밥을 분리하는 '싸이클론(Cyclone)' 방식을 발견하고 이를 진공청소기의 문제점과 연결시켰다.
## 새로운 진공청소기를 개발하기로 결심한 <제임스 다이슨:PER>은, 우연히 방문한 제재소에서 공기 회전을 이용해 공기와 톱밥을 분리하는 '싸이클론(Cyclone)' 방식을 발견하고 이를 진공청소기의 문제점과 연결시켰다.
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
진공	진공	NNG	O
청소기	청소기	NNG	O
를	를	JKO	O
_	_	_	O
개발하	개발하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결심한	결심하+ㄴ	VV+ETM	O
_	_	_	O
제임스	제임스	NNP	B-PER
_	_	_	I-PER
다이슨	다이슨	NNP	I-PER
은	은	JX	O
,	,	SP	O
_	_	_	O
우연히	우연히	MAG	O
_	_	_	O
방문한	방문하+ㄴ	VV+ETM	O
_	_	_	O
제재소	제재소	NNG	O
에서	에서	JKB	O
_	_	_	O
공기	공기	NNG	O
_	_	_	O
회전	회전	NNG	O
을	을	JKO	O
_	_	_	O
이용해	이용하+여	VV+EC	O
_	_	_	O
공기	공기	NNG	O
와	와	JC	O
_	_	_	O
톱밥	톱밥	NNG	O
을	을	JKO	O
_	_	_	O
분리하	분리하	VV	O
는	는	ETM	O
_	_	_	O
'	'	SS	O
싸이클론	싸이클론	NNG	O
(	(	SS	O
Cyclone	Cyclone	SL	O
)	)	SS	O
'	'	SS	O
_	_	_	O
방식	방식	NNG	O
을	을	JKO	O
_	_	_	O
발견하	발견하	VV	O
고	고	EC	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
진공청소기	진공청소기	NNG	O
의	의	JKG	O
_	_	_	O
문제점	문제점	NNG	O
과	과	JKB	O
_	_	_	O
연결	연결	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 히든싱어4 보아, 유노윤호와 돈독한 우정 과시…"내 친구 윤돌이~" 무슨 사이?
## <히든싱어4:POH> <보아:PER>, <유노윤호:PER>와 돈독한 우정 과시…"내 친구 <윤돌이:PER>~" 무슨 사이?
히든	히든	NNG	B-POH
싱어	싱어	NNG	I-POH
4	4	SN	I-POH
_	_	_	O
보	보	VV	B-PER
아	아	EC	I-PER
,	,	SP	O
_	_	_	O
유	유	NNG	B-PER
노윤호	노윤호	NNP	I-PER
와	와	JC	O
_	_	_	O
돈독한	돈독하+ㄴ	VA+ETM	O
_	_	_	O
우정	우정	NNG	O
_	_	_	O
과시	과시	NNG	O
…	…	SE	O
"	"	SS	O
내	나+의	NP+JKG	O
_	_	_	O
친구	친구	NNG	O
_	_	_	O
윤돌이	윤돌이	NNP	B-PER
~	~	SO	O
"	"	SS	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
사이	사이	NNG	O
?	?	SF	O

## 6
## 롯데호텔서울 봄 패키지 2종 선봬
## <롯데호텔서울:ORG> 봄 패키지 <2종:NOH> 선봬
롯데호텔	롯데호텔	NNP	B-ORG
서울	서울	NNP	I-ORG
_	_	_	O
봄	봄	NNG	O
_	_	_	O
패키지	패키지	NNG	O
_	_	_	O
2	2	SN	B-NOH
종	종	NNG	I-NOH
_	_	_	O
선봬	선뵈+어	VV+EC	O

## 7
## “먹을 게 귀했던 어릴 적 어느 날 아버지가 신문지로 둘둘 싼 뭔가를 들고 와 어머니에게 건네셨지. 곧 주안상이 차려졌고, 아버지는 소주 한 잔에 고기 한 점을 맛있게 드셨어. 내 입에도 넣어줬지. 순하고 부드럽게 씹히는 게 아직도 그 맛이 잊히질 않아. 그게 고래고기였다는 건 훗날 어머니가 말해줘서야 알았지. 고래고기만 보면 그때 기억이 나.” 1960~70년대 모두가 어려웠던 시절 울산 장생포항 주민들에게 고래고기는 특별한 존재였다.
## “먹을 게 귀했던 어릴 적 어느 날 아버지가 신문지로 둘둘 싼 뭔가를 들고 와 어머니에게 건네셨지. 곧 주안상이 차려졌고, 아버지는 소주 <한 잔:NOH>에 고기 <한 점:NOH>을 맛있게 드셨어. 내 입에도 넣어줬지. 순하고 부드럽게 씹히는 게 아직도 그 맛이 잊히질 않아. 그게 고래고기였다는 건 훗날 어머니가 말해줘서야 알았지. 고래고기만 보면 그때 기억이 나.” <1960~70년대:DUR> 모두가 어려웠던 시절 <울산:LOC> <장생포항:LOC> 주민들에게 고래고기는 특별한 존재였다.
“	“	SS	O
먹	먹	VV	O
을	을	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
귀	귀하	VA	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
어릴	어리+ㄹ	VA+ETM	O
_	_	_	O
적	적	NNB	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
날	날	NNG	O
_	_	_	O
아버지	아버지	NNG	O
가	가	JKS	O
_	_	_	O
신문지	신문지	NNG	O
로	로	JKB	O
_	_	_	O
둘둘	둘둘	MAG	O
_	_	_	O
싼	싸+ㄴ	VV+ETM	O
_	_	_	O
뭔가	뭐+이+ㄴ가	NP+VCP+EC	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
고	고	EC	O
_	_	_	O
와	+아	+EC	O
_	_	_	O
어머니	어머니	NNG	O
에게	에게	JKB	O
_	_	_	O
건네	건네+시	VV+EP	O
셨	었	EP	O
지	지	EF	O
.	.	SF	O
_	_	_	O
곧	곧	MAG	O
_	_	_	O
주안상	주안상	NNG	O
이	이	JKS	O
_	_	_	O
차려	차리+어+지	VV+EC+VX	O
졌	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
아버지	아버지	NNG	O
는	는	JX	O
_	_	_	O
소주	소주	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
잔	잔	NNG	I-NOH
에	에	JKB	O
_	_	_	O
고기	고기	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
점	점	NNG	I-NOH
을	을	JKO	O
_	_	_	O
맛있	맛있	VA	O
게	게	EC	O
_	_	_	O
드	들+시	VV+EP	O
셨	었	EP	O
어	어	EF	O
.	.	SF	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
입	입	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
넣	넣	VV	O
어	어	EC	O
줬	주+었	VX+EP	O
지	지	EF	O
.	.	SF	O
_	_	_	O
순하	순하	VA	O
고	고	EC	O
_	_	_	O
부드럽	부드럽	VA	O
게	게	EC	O
_	_	_	O
씹히	씹히	VV	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
아직	아직	MAG	O
도	도	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
맛	맛	NNG	O
이	이	JKS	O
_	_	_	O
잊히질	잊히질	NNG	O
_	_	_	O
않	않	VV	O
아	아	EF	O
.	.	SF	O
_	_	_	O
그게	그것+이	NP+JKS	O
_	_	_	O
고래	고래	NNG	O
고기	고기+이	NNG+VCP	O
였	었	EP	O
다는	다는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
훗날	훗날	NNG	O
_	_	_	O
어머니	어머니	NNG	O
가	가	JKS	O
_	_	_	O
말해	말하+여	VV+EC	O
줘서	주+어서	VX+EC	O
야	야	JX	O
_	_	_	O
알	알	VV	O
았	았	EP	O
지	지	EF	O
.	.	SF	O
_	_	_	O
고래	고래	NNG	O
고기	고기	NNG	O
만	만	JX	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
그때	그때	NNG	O
_	_	_	O
기억	기억	NNG	O
이	이	JKS	O
_	_	_	O
나	나	JC	O
.	.	SF	O
”	”	SS	O
_	_	_	O
1960	1960	SN	B-DUR
~	~	SO	I-DUR
70	70	SN	I-DUR
년대	년대	NNB	I-DUR
_	_	_	O
모두	모두	NNG	O
가	가	JKS	O
_	_	_	O
어려	어렵	VA	O
웠	었	EP	O
던	던	ETM	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
울산	울산	NNP	B-LOC
_	_	_	O
장생	장생	NNG	B-LOC
포항	포항	NNP	I-LOC
_	_	_	O
주민	주민	NNG	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
고래	고래	NNG	O
고기	고기	NNG	O
는	는	JX	O
_	_	_	O
특별한	특별하+ㄴ	VA+ETM	O
_	_	_	O
존재	존재+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 그 결과 북방전복이 약 18억8000개의 DNA로 이루어졌고 총 2만9449개의 유전자로 구성된 사실을 확인했다.
## 그 결과 <북방전복:POH>이 약 <18억8000개:NOH>의 DNA로 이루어졌고 총 <2만9449개:NOH>의 유전자로 구성된 사실을 확인했다.
그	그	MM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
북방	북방	NNG	B-POH
전복	전복	NNG	I-POH
이	이	JKS	O
_	_	_	O
약	약	MM	O
_	_	_	O
18	18	SN	B-NOH
억	억	NR	I-NOH
8000	8000	SN	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
DNA	DNA	SL	O
로	로	JKB	O
_	_	_	O
이루어	이루어지	VV	O
졌	었	EP	O
고	고	EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
2	2	SN	B-NOH
만	만	NR	I-NOH
9449	9449	SN	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
유전자	유전자	NNG	O
로	로	JKB	O
_	_	_	O
구성된	구성되+ㄴ	VV+ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
확인	확인하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 온갖 압력에도 일정 수준의 경기력을 기복 없이 꾸준히 유지하는 팀으로는 K리그 클래식(1부리그)에서 전북이 유일하다는 평가가 나오는 것도 무리가 아니다.
## 온갖 압력에도 일정 수준의 경기력을 기복 없이 꾸준히 유지하는 팀으로는 <K리그 클래식:ORG>(1부리그)에서 <전북:ORG>이 유일하다는 평가가 나오는 것도 무리가 아니다.
온갖	온갖	MM	O
_	_	_	O
압력	압력	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
일정	일정	NNG	O
_	_	_	O
수준	수준	NNG	O
의	의	JKG	O
_	_	_	O
경기력	경기력	NNG	O
을	을	JKO	O
_	_	_	O
기복	기복	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
꾸준히	꾸준히	MAG	O
_	_	_	O
유지하	유지하	VV	O
는	는	ETM	O
_	_	_	O
팀	팀	NNG	O
으로	으로	JKB	O
는	는	JX	O
_	_	_	O
K	K	SL	B-ORG
리그	리그	NNG	I-ORG
_	_	_	I-ORG
클래식	클래식	NNG	I-ORG
(	(	SS	O
1	1	SN	O
부	부	NNB	O
리그	리그	NNG	O
)	)	SS	O
에서	에서	JKB	O
_	_	_	O
전북	전북	NNP	B-ORG
이	이	JKS	O
_	_	_	O
유일하	유일하	VA	O
다는	다는	ETM	O
_	_	_	O
평가	평가	NNG	O
가	가	JKS	O
_	_	_	O
나오	나오	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
무리	무리	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 10
## 특히 린은 이날 방송에서 자신이 직접 작사한 '고마워요 나의 그대여'를 부르던 중 울컥해 눈길을 끌었다.
## 특히 <린:PER>은 이날 방송에서 자신이 직접 작사한 '<고마워요 나의 그대여:POH>'를 부르던 중 울컥해 눈길을 끌었다.
특히	특히	MAG	O
_	_	_	O
린	린	NNP	B-PER
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
자신	자신	NNG	O
이	이	JKS	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
작사한	작사하+ㄴ	VV+ETM	O
_	_	_	O
'	'	SS	O
고마	고맙	VA	B-POH
워요	어요	EC	I-POH
_	_	_	I-POH
나	나	NP	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
그대	그대	NP	I-POH
여	여	JKV	I-POH
'	'	SS	O
를	를	JKO	O
_	_	_	O
부르	부르	VV	O
던	던	ETM	O
_	_	_	O
중	중	NNP	O
_	_	_	O
울컥해	울컥하+여	VV+EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## [포브스코리아] ‘청양의 해’가 밝은지 한 달이 지났다.
## [<포브스코리아:ORG>] ‘청양의 해’가 밝은지 <한 달:NOH>이 지났다.
[	[	SS	O
포브스	포브스	NNP	B-ORG
코리아	코리아	NNP	I-ORG
]	]	SS	O
_	_	_	O
‘	‘	SS	O
청양	청양	NNP	O
의	의	JKG	O
_	_	_	O
해	해	NNG	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
밝	밝	VA	O
은지	은지	EC	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
이	이	JKS	O
_	_	_	O
지났	지나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 이들은 사단법인 한국차문화협회가 이날 개설한 교토지부를 이끌어갈 회원들이다.
## 이들은 사단법인 <한국차문화협회:ORG>가 이날 개설한 <교토:LOC>지부를 이끌어갈 회원들이다.
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
사단	사단	NNG	O
법인	법인	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
차	차	NNG	I-ORG
문화	문화	NNG	I-ORG
협회	협회	NNG	I-ORG
가	가	JKS	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
개설한	개설하+ㄴ	VV+ETM	O
_	_	_	O
교토	교토	NNP	B-LOC
지부	지부	NNG	O
를	를	JKO	O
_	_	_	O
이끌	이끌	VV	O
어	어	EC	O
갈	가+ㄹ	VX+ETM	O
_	_	_	O
회원	회원	NNG	O
들	들	XSN	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 동원그룹의 급식 및 식자재 유통 계열사인 동원홈푸드는 올해 5월 온라인몰을 열고 다양한 종류의 HMR 제품을 선보일 계획이라고 16일 밝혔다.
## <동원그룹:ORG>의 급식 및 식자재 유통 계열사인 <동원홈푸드:ORG>는 올해 <5월:DAT> 온라인몰을 열고 다양한 종류의 HMR 제품을 선보일 계획이라고 <16일:DAT> 밝혔다.
동원	동원	NNG	B-ORG
그룹	그룹	NNG	I-ORG
의	의	JKG	O
_	_	_	O
급식	급식	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
식	식	NNG	O
자재	자재	NNG	O
_	_	_	O
유통	유통	NNG	O
_	_	_	O
계열사	계열사	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
동원	동원	NNG	B-ORG
홈	홈	NNG	I-ORG
푸드	푸드	NNB	I-ORG
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
온라인	온라인	NNG	O
몰	몰	NNG	O
을	을	JKO	O
_	_	_	O
열	열	VV	O
고	고	EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
종류	종류	NNG	O
의	의	JKG	O
_	_	_	O
HMR	HMR	SL	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
선보일	선보이+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 남북 당국회담, 조선중앙통신 특별한 논평 없어 실무접촉 결과만 간략 보도
## <남북:ORG> 당국회담, <조선중앙통신:POH> 특별한 논평 없어 실무접촉 결과만 간략 보도
남북	남북	NNP	B-ORG
_	_	_	O
당국	당국	NNG	O
회담	회담	NNG	O
,	,	SP	O
_	_	_	O
조선중앙통신	조선중앙통신	NNP	B-POH
_	_	_	O
특별한	특별하+ㄴ	VA+ETM	O
_	_	_	O
논평	논평	NNG	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
실무	실무	NNG	O
접촉	접촉	NNG	O
_	_	_	O
결과	결과	NNG	O
만	만	JX	O
_	_	_	O
간략	간략	NNG	O
_	_	_	O
보도	보도	NNG	O

## 15
## 한국과 태국의 유통에 대해 모두 배울 수 있는 기회라고 생각하기 때문이다.
## <한국:ORG>과 <태국:ORG>의 유통에 대해 모두 배울 수 있는 기회라고 생각하기 때문이다.
한국	한국	NNP	B-ORG
과	과	JC	O
_	_	_	O
태국	태국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
유통	유통	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
배울	배우+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
기회	기회+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
생각하	생각하	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

