## 1
## 열혈강호 온라인과 나이트 온라인이 좀 더 시간을 벌어준 것은 사실이나, 엠게임에 새로운 성장동력이 필요하다는 것은 올해도 변함없는 사실이다.
## <열혈강호 온라인:POH>과 <나이트 온라인:POH>이 좀 더 시간을 벌어준 것은 사실이나, <엠게임:ORG>에 새로운 성장동력이 필요하다는 것은 올해도 변함없는 사실이다.
열혈	열혈	NNG	B-POH
탄생할	탄생하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을지	을지	EC	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
기대감	기대감	NNG	O
도	도	JX	O
_	_	_	O
뜨겁	뜨겁	VA	O
다	다	EF	O
.	.	SF	O

## 8
## 한편 ‘살인의뢰’는 3월 12일 개봉할 예정이다.
## 한편 ‘<살인의뢰:POH>’는 <3월 12일:DAT> 개봉할 예정이다.
한편	한편	MAG	O
_	_	_	O
‘	‘	SS	O
살인	살인	NNG	B-POH
의뢰	의뢰	NNG	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
개봉할	개봉하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 2박 3일간의 호남 일정을 이어가고 있는 안 지사는 전날 전북 전주에 이어 이날 광주지역 민심을 훑을 예정이었다.
## <2박:NOH> <3일:NOH>간의 <호남:LOC> 일정을 이어가고 있는 <안:PER> 지사는 전날 <전북 전주:LOC>에 이어 이날 <광주:LOC>지역 민심을 훑을 예정이었다.
2	2	SN	B-NOH
박	박	NNB	I-NOH
_	_	_	O
3	3	SN	B-NOH
일	일	NNB	I-NOH
간	간	XSN	O
의	의	JKG	O
_	_	_	O
호남	호남	NNP	B-LOC
_	_	_	O
일정	일정	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
안	안	NNP	B-PER
_	_	_	O
지사	지사	NNG	O
는	는	JX	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
전북	전북	NNP	B-LOC
_	_	_	I-LOC
전주	전주	NNP	I-LOC
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
광주	광주	NNP	B-LOC
지역	지역	NNG	O
_	_	_	O
민심	민심	NNG	O
을	을	JKO	O
_	_	_	O
훑	훑	VV	O
을	을	ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이에 메르스 환자는 35명이 됐다.
## 이에 <메르스:POH> 환자는 <35명:NOH>이 됐다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
메르스	메르스	NNG	B-POH
_	_	_	O
환자	환자	NNG	O
는	는	JX	O
_	_	_	O
35	35	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

