## 1
## 또 신혼부부 등이 3억 원 이하 주택을 살 때 받을 수 있는 디딤돌 대출 한도가 집값의 60%에서 70%로 늘어난다.
## 또 신혼부부 등이 <3억 원:MNY> 이하 주택을 살 때 받을 수 있는 <디딤돌 대출:POH> 한도가 집값의 <60%:PNT>에서 <70%:PNT>로 늘어난다.
또	또	MAG	O
지	지	EC	O
_	_	_	O
않	않	VX	O
느냐	느냐	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
안희정	안희정	NNP	B-PER
과	과	JC	O
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
다	다	MAG	O
_	_	_	O
대한민국	대한민국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
정치	정치	NNG	O
지도자	지도자	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
분	분	NNB	O
으로	으로	JKB	O
_	_	_	O
저	저	NP	O
로서	로서	JKB	O
는	는	JX	O
_	_	_	O
무척	무척	MAG	O
이나	이나	JC	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
이	이	MM	O
_	_	_	O
순간	순간	NNG	O
이	이	JKS	O
_	_	_	O
불편하	불편하	VA	O
기	기	ETN	O
만	만	JX	O
_	_	_	O
하	하	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
안	안	NNP	B-PER
_	_	_	O
지사	지사	NNG	O
를	를	JKO	O
_	_	_	O
성토	성토하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 30년 후에 베트남 GDP가 한국보다 낮을 거라고 장담 못한다.
## <30년:DUR> 후에 <베트남:ORG> GDP가 <한국:ORG>보다 낮을 거라고 장담 못한다.
30	30	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
후	후	NNG	O
에	에	JKB	O
_	_	_	O
베트남	베트남	NNP	B-ORG
_	_	_	O
GDP	GDP	SL	O
가	가	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
보다	보다	JKB	O
_	_	_	O
낮	낮	VA	O
을	을	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
라고	라고	EC	O
_	_	_	O
장담	장담	NNG	O
_	_	_	O
못한다	못하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 중국의 대표적인 반체제 여성 언론인으로 꼽히는 가오위(高瑜·71·사진) 기자가 국가기밀 유출 혐의로 실형을 선고받자 정치 재판이라는 비판이 쏟아지고 있다.
## <중국:ORG>의 대표적인 반체제 여성 언론인으로 꼽히는 <가오위:PER>(<高瑜:PER>·<71:NOH>·사진) 기자가 국가기밀 유출 혐의로 실형을 선고받자 정치 재판이라는 비판이 쏟아지고 있다.
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
대표적	대표적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
반체제	반체제	NNG	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
언론인	언론인	NNG	O
으로	으로	JKB	O
_	_	_	O
꼽히	꼽히	VV	O
는	는	ETM	O
_	_	_	O
가오	가오	NNP	B-PER
위	위	NNB	I-PER
(	(	SS	O
高瑜	高瑜	SH	B-PER
·	·	SP	O
71	71	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
_	_	_	O
기자	기자	NNG	O
가	가	JKS	O
_	_	_	O
국가	국가	NNG	O
기밀	기밀	NNG	O
_	_	_	O
유출	유출	NNG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
실형	실형	NNG	O
을	을	JKO	O
_	_	_	O
선고	선고	NNG	O
받	받	XSV	O
자	자	EC	O
_	_	_	O
정치	정치	NNG	O
_	_	_	O
재판	재판	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
비판	비판	NNG	O
이	이	JKS	O
_	_	_	O
쏟아지	쏟아지	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 그러나 지난달 중순 5위에 오른 뒤 선수들의 플레이가 위축되고 부상이 잦아졌다.
## 그러나 지난달 중순 <5위:NOH>에 오른 뒤 선수들의 플레이가 위축되고 부상이 잦아졌다.
그러나	그러나	MAJ	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
중순	중순	NNG	O
_	_	_	O
5	5	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
오른	오르+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
플레이	플레이	NNG	O
가	가	JKS	O
_	_	_	O
위축되	위축되	VV	O
고	고	EC	O
_	_	_	O
부상	부상	NNG	O
이	이	JKS	O
_	_	_	O
잦아	잦아지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## iPS세포를 개발하고 나서 6년만의 수상이니 초(超)스피드 수상인 셈이다.
## <iPS세포:POH>를 개발하고 나서 <6년:NOH>만의 수상이니 초(超)스피드 수상인 셈이다.
iPS	iPS	SL	B-POH
세포	세포	NNG	I-POH
를	를	JKO	O
_	_	_	O
개발하	개발하	VV	O
고	고	EC	O
_	_	_	O
나서	나+아서	VX+EC	O
_	_	_	O
6	6	SN	B-NOH
년	년	NNB	I-NOH
만	만	NNB	O
의	의	JKG	O
_	_	_	O
수상	수상	NNG	O
이니	이니	JC	O
_	_	_	O
초	초	NNB	O
(	(	SS	O
超	超	SH	O
)	)	SS	O
스피드	스피드	NNG	O
_	_	_	O
수상	수상	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
셈	셈	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 고급 소형차 브랜드 미니(MINI)가 2세대 ‘뉴 미니 컨트리맨’을 지난 27일(현지시간) 전 세계 최초로 공개했다.
## 고급 소형차 브랜드 <미니:ORG>(<MINI:ORG>)가 <2세대:NOH> ‘<뉴 미니 컨트리맨:POH>’을 지난 <27일:DAT>(현지시간) 전 세계 최초로 공개했다.
고급	고급	NNG	O
_	_	_	O
소형차	소형차	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
미니	미니	NNG	B-ORG
(	(	SS	O
MINI	MINI	SL	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
2	2	SN	B-NOH
세대	세대	NNG	I-NOH
_	_	_	O
‘	‘	SS	O
뉴	뉴	NNG	B-POH
_	_	_	I-POH
미니	미니	NNG	I-POH
_	_	_	I-POH
컨트리	컨트리	NNG	I-POH
맨	맨	MM	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
27	27	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 한편, 8일 밤 방송된 ‘고교10대천왕’에서는 고교 10대천왕의 높아진 인기에 대해 이야기를 나눴다.
## 한편, <8일:DAT> 밤 방송된 ‘<고교10대천왕:POH>’에서는 고교 <10대:NOH>천왕의 높아진 인기에 대해 이야기를 나눴다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밤	밤	NNG	O
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
고교	고교	NNG	B-POH
10	10	SN	I-POH
대	대	NNB	I-POH
천왕	천왕	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
고교	고교	NNG	O
_	_	_	O
10	10	SN	B-NOH
대	대	NNG	I-NOH
천왕	천왕	NNG	O
의	의	JKG	O
_	_	_	O
높아진	높아지+ㄴ	VV+ETM	O
_	_	_	O
인기	인기	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
이야기	이야기	NNG	O
를	를	JKO	O
_	_	_	O
나	나누	VV	O
눴	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이날 ‘고교10대천왕’ MC 김성주는 신세휘를 향해 “길 가다
## 이날 ‘<고교10대천왕:POH>’ MC <김성주:PER>는 <신세휘:PER>를 향해 “길 가다
이날	이날	NNG	O
_	_	_	O
‘	‘	SS	O
고교	고교	NNG	B-POH
10	10	SN	I-POH
대	대	NNB	I-POH
천왕	천왕	NNG	I-POH
’	’	SS	O
_	_	_	O
MC	MC	SL	O
_	_	_	O
김성주	김성주	NNP	B-PER
는	는	JX	O
_	_	_	O
신세휘	신세휘	NNP	B-PER
를	를	JKO	O
_	_	_	O
향해	향하+여	VV+EC	O
_	_	_	O
“	“	SS	O
길	길	NNG	O
_	_	_	O
가	가	VV	O
다	다	EF	O

## 10
## 오바마는 되는 일부터 먼저 하고 일단 시작하면 마무리하는 스타일이다.
## <오바마:PER>는 되는 일부터 먼저 하고 일단 시작하면 마무리하는 스타일이다.
오바마	오바마	NNP	B-PER
는	는	JX	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
부터	부터	JX	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
일단	일단	MAG	O
_	_	_	O
시작하	시작하	VV	O
면	면	EC	O
_	_	_	O
마무리하	마무리하	VV	O
는	는	ETM	O
_	_	_	O
스타일	스타일	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 사건 이후 종적을 감췄던 주지는 4개월 뒤에 나타나 태연히 “다른 승려들이 했다.
## 사건 이후 종적을 감췄던 주지는 <4개월:NOH> 뒤에 나타나 태연히 “다른 승려들이 했다.
사건	사건	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
종적	종적	NNG	O
을	을	JKO	O
_	_	_	O
감	감추	VV	O
췄	었	EP	O
던	던	ETM	O
_	_	_	O
주	주	VV	O
지	지	EC	O
는	는	JX	O
_	_	_	O
4	4	SN	B-NOH
개월	개월	NNB	I-NOH
_	_	_	O
뒤	뒤	NNG	O
에	에	JKB	O
_	_	_	O
나타나	나타나+아	VV+EC	O
_	_	_	O
태연히	태연히	MAG	O
_	_	_	O
“	“	SS	O
다른	다른	MM	O
_	_	_	O
승려	승려	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 12
## “설명회도 한 번 없이 갑자기 … 기가 찬다”
## “설명회도 <한 번:NOH> 없이 갑자기 … 기가 찬다”
“	“	SS	O
설명	설명	NNG	O
회	회	XSN	O
도	도	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
없이	없이	MAG	O
_	_	_	O
갑자기	갑자기	MAG	O
_	_	_	O
…	…	SE	O
_	_	_	O
기	기	NNG	O
가	가	JKS	O
_	_	_	O
찬다	차+ㄴ다	VV+EF	O
”	”	SS	O

## 13
## [2017 국가 소비자중심 브랜드 대상]아이 방 안전·인테리어 모두 잡은 ‘쿠셔니 폼블럭’
## [<2017:DAT> <국가 소비자중심 브랜드 대상:POH>]아이 방 안전·인테리어 모두 잡은 ‘<쿠셔니 폼블럭:POH>’
[	[	SS	O
2017	2017	SN	B-DAT
_	_	_	O
국가	국가	NNG	B-POH
_	_	_	I-POH
소비자	소비자	NNG	I-POH
중심	중심	NNG	I-POH
_	_	_	I-POH
브랜드	브랜드	NNG	I-POH
_	_	_	I-POH
대상	대상	NNG	I-POH
]	]	SS	O
아이	아이	NNG	O
_	_	_	O
방	방	NNG	O
_	_	_	O
안전	안전	NNG	O
·	·	SP	O
인테리어	인테리어	NNG	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
‘	‘	SS	O
쿠셔	쿠셔	NNG	B-POH
니	니	JC	I-POH
_	_	_	I-POH
폼	폼	NNG	I-POH
블럭	블럭	NNG	I-POH
’	’	SS	O

## 14
## 그 해 6월 24일 상당부원군(上黨府院君) 한명회는 성종에게 “명나라 사신이 신의 압구정을 보려고 하는데 정자가 매우 좁으니 만류하는 것이 어떻겠습니까?”라고 말했고 성종은 승지를 사신에게 보내 “압구정은 좁아서 유관(遊觀)할 수 없다”고 통보했다.
## 그 해 <6월 24일:DAT> 상당부원군(上黨府院君) <한명회:PER>는 <성종:PER>에게 “<명나라:ORG> 사신이 신의 <압구정:LOC>을 보려고 하는데 정자가 매우 좁으니 만류하는 것이 어떻겠습니까?”라고 말했고 <성종:PER>은 승지를 사신에게 보내 “<압구정:LOC>은 좁아서 유관(遊觀)할 수 없다”고 통보했다.
그	그	MM	O
_	_	_	O
해	해	NNG	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
24	24	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
상당	상당	NNG	O
부원군	부원군	NNG	O
(	(	SS	O
上黨府院君	上黨府院君	SH	O
)	)	SS	O
_	_	_	O
한명회	한명회	NNP	B-PER
는	는	JX	O
_	_	_	O
성종	성종	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
명나라	명나라	NNG	B-ORG
_	_	_	O
사신	사신	NNG	O
이	이	JKS	O
_	_	_	O
신	신	NNG	O
의	의	JKG	O
_	_	_	O
압구정	압구정	NNP	B-LOC
을	을	JKO	O
_	_	_	O
보	보	VV	O
려고	려고	EC	O
_	_	_	O
하	하	VX	O
는데	는데	EC	O
_	_	_	O
정자	정자	NNG	O
가	가	JKS	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
좁	좁	VA	O
으니	으니	EC	O
_	_	_	O
만류하	만류하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
어떻	어떻	VA	O
겠	겠	EP	O
습니까	습니까	EF	O
?	?	SF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	었	EP	O
고	고	EC	O
_	_	_	O
성종	성종	NNP	B-PER
은	은	JX	O
_	_	_	O
승지	승지	NNG	O
를	를	JKO	O
_	_	_	O
사신	사신	NNG	O
에게	에게	JKB	O
_	_	_	O
보내	보내+어	VV+EC	O
_	_	_	O
“	“	SS	O
압구정	압구정	NNP	B-LOC
은	은	JX	O
_	_	_	O
좁	좁	VA	O
아서	아서	EC	O
_	_	_	O
유관	유관	NNG	O
(	(	SS	O
遊觀	遊觀	SH	O
)	)	SS	O
할	하+ㄹ	XSV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
통보	통보하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 제임스 조이스의 소설 ‘율리시스’(1922년)는 문예지 연재 도중 게재를 금지당했고 결국 미국이나 영국이 아닌 프랑스 파리에서 출간됐다.
## <제임스 조이스:PER>의 소설 ‘<율리시스:POH>’(<1922년:DAT>)는 문예지 연재 도중 게재를 금지당했고 결국 <미국:LOC>이나 <영국:LOC>이 아닌 <프랑스:LOC> <파리:LOC>에서 출간됐다.
제임스	제임스	NNP	B-PER
_	_	_	I-PER
조이스	조이스	NNP	I-PER
의	의	JKG	O
_	_	_	O
소설	소설	NNG	O
_	_	_	O
‘	‘	SS	O
율리시스	율리시스	NNP	B-POH
’	’	SS	O
(	(	SS	O
1922	1922	SN	B-DAT
년	년	NNB	I-DAT
)	)	SS	O
는	는	JX	O
_	_	_	O
문예지	문예지	NNG	O
_	_	_	O
연재	연재	NNG	O
_	_	_	O
도중	도중	NNG	O
_	_	_	O
게재	게재	NNG	O
를	를	JKO	O
_	_	_	O
금지	금지	NNG	O
당	당하	XSV	O
했	었	EP	O
고	고	EC	O
_	_	_	O
결국	결국	NNG	O
_	_	_	O
미국	미국	NNP	B-LOC
이나	이나	JC	O
_	_	_	O
영국	영국	NNP	B-LOC
이	이	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
프랑스	프랑스	NNP	B-LOC
_	_	_	O
파리	파리	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
출간	출간되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

