## 1
## 미·유럽·호주에서 연구 활동 가능문학 분야 국제화 교육동국대 역사는 한국 문학사와 맥을 같이 한다는 말이 있을 정도로 역사와 정통성을 자랑한다.
## <미:ORG>·<유럽:ORG>·<호주:ORG>에서 연구 활동 가능문학 분야 국제화 교육<동국대:ORG> 역사는 <한국:ORG> 문학사와 맥을 같이 한다는 말이 있을 정도로 역사와 정통성을 자랑한다.
미	미	NNP	B-ORG
## <교도통신:POH>은 “<김:PER> <제1비서:NOH>의 총괄 보고를 통해 핵과 미사일 개발의 성과를 ‘실적’으로 전면에 제시한 모양”이라고 전했다.
교도통신	교도통신	NNP	B-POH
은	은	JX	O
_	_	_	O
“	“	SS	O
김	김	NNP	B-PER
_	_	_	O
제	제	XPN	B-NOH
1	1	SN	I-NOH
비서	비서	NNG	I-NOH
의	의	JKG	O
_	_	_	O
총괄	총괄	NNG	O
_	_	_	O
보고	보고	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
핵	핵	NNG	O
과	과	JC	O
_	_	_	O
미사일	미사일	NNG	O
_	_	_	O
개발	개발	NNG	O
의	의	JKG	O
_	_	_	O
성과	성과	NNG	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
실적	실적	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
전면	전면	NNG	O
에	에	JKB	O
_	_	_	O
제시한	제시하+ㄴ	VV+ETM	O
_	_	_	O
모양	모양	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 게시자는 “술을 마시다 돌아가신 건 맞아도 사인이 100% 술 때문은 아니다.
## 게시자는 “술을 마시다 돌아가신 건 맞아도 사인이 <100%:PNT> 술 때문은 아니다.
게시	게시	NNG	O
자	자	XSN	O
는	는	JX	O
_	_	_	O
“	“	SS	O
술	술	NNG	O
을	을	JKO	O
_	_	_	O
마시	마시	VV	O
다	다	EC	O
_	_	_	O
돌아가	돌아가	VV	O
신	시+ㄴ	EP+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
맞	맞	VV	O
아도	아도	EC	O
_	_	_	O
사인	사인	NNG	O
이	이	JKS	O
_	_	_	O
100	100	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
술	술	NNG	O
_	_	_	O
때문	때문	NNB	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
.	.	SF	O

## 5
## 40여 개 순대 맛집이 한 건물에 입주하고 있어 각기 다른 개성을 가진 순대를 맛볼 수 있다.
## <40여 개:NOH> 순대 맛집이 한 건물에 입주하고 있어 각기 다른 개성을 가진 순대를 맛볼 수 있다.
40	40	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
_	_	_	O
순대	순대	NNG	O
_	_	_	O
맛집	맛집	NNG	O
이	이	JKS	O
_	_	_	O
한	한	MM	O
_	_	_	O
건물	건물	NNG	O
에	에	JKB	O
_	_	_	O
입주하	입주하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
각기	각기	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
개성	개성	NNG	O
을	을	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
순대	순대	NNG	O
를	를	JKO	O
_	_	_	O
맛볼	맛보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 6
## O tvN 측은 “강사가 준비한 자료지만 제작진도 책임을 느낀다”며 홈페이지에 사과문을 게재했다.
## O <tvN:POH> 측은 “강사가 준비한 자료지만 제작진도 책임을 느낀다”며 홈페이지에 사과문을 게재했다.
O	O	SL	O
_	_	_	O
tvN	tvN	SL	B-POH
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
강사	강사	NNG	O
가	가	JKS	O
_	_	_	O
준비한	준비하+ㄴ	VV+ETM	O
_	_	_	O
자료	자료+이	NNG+VCP	O
지만	지만	EC	O
_	_	_	O
제작진	제작진	NNG	O
도	도	JX	O
_	_	_	O
책임	책임	NNG	O
을	을	JKO	O
_	_	_	O
느낀다	느끼+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
홈페이지	홈페이지	NNG	O
에	에	JKB	O
_	_	_	O
사과문	사과문	NNG	O
을	을	JKO	O
_	_	_	O
게재	게재하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 그렇다면 남들이 보기에 언제나 ‘비둘기처럼 다정하고 웃음 가득한 집안’으로 남아 있어야 할까. 청와대는 정치시장에서 마켓리더다.
## 그렇다면 남들이 보기에 언제나 ‘비둘기처럼 다정하고 웃음 가득한 집안’으로 남아 있어야 할까. <청와대:ORG>는 정치시장에서 마켓리더다.
그렇	그렇	VA	O
다면	다면	EC	O
_	_	_	O
남	남	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
언제나	언제나	MAG	O
_	_	_	O
‘	‘	SS	O
비둘기	비둘기	NNG	O
처럼	처럼	JKB	O
_	_	_	O
다정하	다정하	VA	O
고	고	EC	O
_	_	_	O
웃음	웃음	NNG	O
_	_	_	O
가득한	가득하+ㄴ	VA+ETM	O
_	_	_	O
집안	집안	NNG	O
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
남	남	VV	O
아	아	EC	O
_	_	_	O
있	있	VX	O
어야	어야	EC	O
_	_	_	O
할까	하+ㄹ까	VX+EF	O
.	.	SF	O
_	_	_	O
청와대	청와대	NNP	B-ORG
는	는	JX	O
_	_	_	O
정치	정치	NNG	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
마켓	마켓	NNG	O
리더	리더	NNG	O
다	다	NNG	O
.	.	SF	O

## 8
## 오리온 이승현·모비스 양동근 등 ‘천군만마’ ‘2015∼2016 KCC 프로농구’가 이번 주 2라운드에 돌입한다.
## <오리온:ORG> <이승현:PER>·<모비스:ORG> <양동근:PER> 등 ‘천군만마’ ‘<2015∼2016:DUR> <KCC 프로농구:POH>’가 이번 주 <2라운드:NOH>에 돌입한다.
오리온	오리온	NNP	B-ORG
_	_	_	O
이승현	이승현	NNP	B-PER
·	·	SP	O
모비스	모비스	NNP	B-ORG
_	_	_	O
양동근	양동근	NNP	B-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
‘	‘	SS	O
천군만마	천군만마	NNG	O
’	’	SS	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-DUR
∼	∼	SO	I-DUR
2016	2016	SN	I-DUR
_	_	_	O
KCC	KCC	SL	B-POH
_	_	_	I-POH
프로	프로	NNG	I-POH
농구	농구	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
주	주	NNG	O
_	_	_	O
2	2	SN	B-NOH
라운드	라운드	NNG	I-NOH
에	에	JKB	O
_	_	_	O
돌입한다	돌입하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 이번에 새롭게 선보이는 부가부 비5는 업그레이드 된 도심형 스트롤러로 신생아에서 유아까지 사용할 수 있다는 게 특징이다.
## 이번에 새롭게 선보이는 <부가부 비5:POH>는 업그레이드 된 도심형 스트롤러로 신생아에서 유아까지 사용할 수 있다는 게 특징이다.
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
선보이	선보이	VV	O
는	는	ETM	O
_	_	_	O
부가	부가	NNG	B-POH
부	부	NNG	I-POH
_	_	_	I-POH
비	비	NNG	I-POH
5	5	SN	I-POH
는	는	JX	O
_	_	_	O
업그레이드	업그레이드	NNG	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
도심형	도심형	NNG	O
_	_	_	O
스트롤러	스트롤러	NNP	O
로	로	JKB	O
_	_	_	O
신생아	신생아	NNG	O
에서	에서	JKB	O
_	_	_	O
유아	유아	NNG	O
까지	까지	JX	O
_	_	_	O
사용할	사용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
특징	특징	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 김태성 대구시 시민소통과장은 “자원봉사자들의 사기를 높이고 봉사에 필요한 기반도 정비해 보다 많은 시민이 동참할 수 있도록 하겠다”고 말했다.
## <김태성:PER> <대구시:ORG> 시민소통과장은 “자원봉사자들의 사기를 높이고 봉사에 필요한 기반도 정비해 보다 많은 시민이 동참할 수 있도록 하겠다”고 말했다.
김태성	김태성	NNP	B-PER
_	_	_	O
대구시	대구시	NNP	B-ORG
_	_	_	O
시민	시민	NNG	O
소통	소통	NNG	O
과장	과장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
자원	자원	NNG	O
봉사자	봉사자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
사기	사기	NNG	O
를	를	JKO	O
_	_	_	O
높이	높이	VV	O
고	고	EC	O
_	_	_	O
봉사	봉사	NNG	O
에	에	JKB	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
기반	기반	NNG	O
도	도	JX	O
_	_	_	O
정비해	정비하+여	VV+EC	O
_	_	_	O
보다	보다	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
시민	시민	NNG	O
이	이	JKS	O
_	_	_	O
동참할	동참하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
하	하	VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 정도광 원장에게 축농증에 대한 궁금증을 물었다.
## <정도광:PER> 원장에게 축농증에 대한 궁금증을 물었다.
정도광	정도광	NNP	B-PER
_	_	_	O
원장	원장	NNG	O
에게	에게	JKB	O
_	_	_	O
축농증	축농증	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
궁금증	궁금증	NNG	O
을	을	JKO	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

