## 1
## 온라인 중앙일보‘어린이 눈에만 보이는 광고판’ [사진 아동학대방지단체 아날(ANAR)]
## 온라인 <중앙일보:ORG>‘어린이 눈에만 보이는 광고판’ [사진 아동학대방지단체 <아날:ORG>(<ANAR:ORG>)]
온라인	온라인	NNG	O
## <조:PER> 부사장은 “통상 <전경련:ORG>으로부터 하루 전날 갑작스럽게 소집하는 경우는 거의 없다”면서 “(통상 <전경련:ORG>은) 재단사업에 대한 취지, 배경 등을 소상하게 설명한다.
조	조	NR	B-PER
_	_	_	O
부사장	부사장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
통상	통상	MAG	O
_	_	_	O
전경련	전경련	NNP	B-ORG
으로부터	으로부터	JKB	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
전날	전날	NNG	O
_	_	_	O
갑작스럽	갑작스럽	VA	O
게	게	EC	O
_	_	_	O
소집하	소집하	VV	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
는	는	JX	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
(	(	SS	O
통상	통상	MAG	O
_	_	_	O
전경련	전경련	NNP	B-ORG
은	은	JX	O
)	)	SS	O
_	_	_	O
재단	재단	NNG	O
사업	사업	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
취지	취지	NNG	O
,	,	SP	O
_	_	_	O
배경	배경	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
소상하	소상하	VA	O
게	게	EC	O
_	_	_	O
설명한다	설명하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 경복궁으로 치면 근정전이다.
## <경복궁:LOC>으로 치면 <근정전:LOC>이다.
경복궁	경복궁	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
치	치	VV	O
면	면	EC	O
_	_	_	O
근정전	근정전	NNP	B-LOC
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## C로펌 관계자는 한 대기업의 법률자문 입찰 과정에서 “거부할 수 없는 요청을 받고 제안을 수락한 일이 있다”고 말했다.
## <C로펌:ORG> 관계자는 <한:NOH> 대기업의 법률자문 입찰 과정에서 “거부할 수 없는 요청을 받고 제안을 수락한 일이 있다”고 말했다.
C	C	SL	B-ORG
로펌	로펌	NNG	I-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
대기업	대기업	NNG	O
의	의	JKG	O
_	_	_	O
법률	법률	NNG	O
자문	자문	NNG	O
_	_	_	O
입찰	입찰	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
거부할	거부하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
요청	요청	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
제안	제안	NNG	O
을	을	JKO	O
_	_	_	O
수락한	수락하+ㄴ	VV+ETM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 오는 경우도 많죠.” 송 상무가 생각하는 임원으로서의 리더십은 ‘같이 고민하고 같이 뛰는 것’이다.
## 오는 경우도 많죠.” <송:PER> 상무가 생각하는 임원으로서의 리더십은 ‘같이 고민하고 같이 뛰는 것’이다.
오	오	VV	O
는	는	ETM	O
_	_	_	O
경우	경우	NNG	O
도	도	JX	O
_	_	_	O
많	많	VA	O
죠	죠	EF	O
.	.	SF	O
”	”	SS	O
_	_	_	O
송	송	NNP	B-PER
_	_	_	O
상무	상무	NNG	O
가	가	JKS	O
_	_	_	O
생각하	생각하	VV	O
는	는	ETM	O
_	_	_	O
임원	임원	NNG	O
으로서	으로서	JKB	O
의	의	JKG	O
_	_	_	O
리더십	리더십	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
같이	같이	MAG	O
_	_	_	O
고민하	고민하	VV	O
고	고	EC	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
뛰	뛰	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 관광산업 조기 정상화 대책의 선봉은 한류스타와 콘텐츠. 위축된 방한관광 심리를 되살리기 위해 중화권을 비롯한 아시아에서 인기 높은 한류스타 이민호가 출연하는 한국 소개 CF를 제작해 해외 TV와 온라인을 통해 방영한다.
## 관광산업 조기 정상화 대책의 선봉은 한류스타와 콘텐츠. 위축된 방한관광 심리를 되살리기 위해 중화권을 비롯한 <아시아:LOC>에서 인기 높은 한류스타 <이민호:PER>가 출연하는 <한국:LOC> 소개 CF를 제작해 해외 TV와 온라인을 통해 방영한다.
관광	관광	NNG	O
산업	산업	NNG	O
_	_	_	O
조기	조기	NNG	O
_	_	_	O
정상화	정상화	NNG	O
_	_	_	O
대책	대책	NNG	O
의	의	JKG	O
_	_	_	O
선봉	선봉	NNG	O
은	은	JX	O
_	_	_	O
한류	한류	NNG	O
스타	스타	NNG	O
와	와	JC	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
.	.	SF	O
_	_	_	O
위축된	위축되+ㄴ	VV+ETM	O
_	_	_	O
방한	방한	NNG	O
관광	관광	NNG	O
_	_	_	O
심리	심리	NNG	O
를	를	JKO	O
_	_	_	O
되살리	되살리	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
중화	중화	NNG	O
권	권	XSN	O
을	을	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
아시아	아시아	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
인기	인기	NNG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
한류	한류	NNG	O
스타	스타	NNG	O
_	_	_	O
이민호	이민호	NNP	B-PER
가	가	JKS	O
_	_	_	O
출연하	출연하	VV	O
는	는	ETM	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
소개	소개	NNG	O
_	_	_	O
CF	CF	SL	O
를	를	JKO	O
_	_	_	O
제작해	제작하+여	VV+EC	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
TV	TV	SL	O
와	와	JC	O
_	_	_	O
온라인	온라인	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
방영한다	방영하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 커리의 활약은 외국인 선수 드래프트를 앞두고 신장 193cm 이하 선수를 선발하는데 고민이 큰 국내 프로 구단들에게도 시사하는 바가 크다.
## <커리:PER>의 활약은 외국인 선수 드래프트를 앞두고 신장 <193cm:NOH> 이하 선수를 선발하는데 고민이 큰 국내 프로 구단들에게도 시사하는 바가 크다.
커리	커리	NNP	B-PER
의	의	JKG	O
_	_	_	O
활약	활약	NNG	O
은	은	JX	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
선수	선수	NNG	O
_	_	_	O
드래프트	드래프트	NNG	O
를	를	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
신장	신장	NNG	O
_	_	_	O
193	193	SN	B-NOH
cm	cm	SL	I-NOH
_	_	_	O
이하	이하	NNG	O
_	_	_	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
선발하	선발하	VV	O
는데	는데	EC	O
_	_	_	O
고민	고민	NNG	O
이	이	JKS	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
프로	프로	NNG	O
_	_	_	O
구단	구단	NNG	O
들	들	XSN	O
에게	에게	JKB	O
도	도	JX	O
_	_	_	O
시사하	시사하	VV	O
는	는	ETM	O
_	_	_	O
바	바	NNB	O
가	가	JKS	O
_	_	_	O
크	크	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 김여정은 지난해 6월 최고인민회의 제13기 제4차 회의에 참석한 이후 8개월 동안 모습을 드러내지 않고 있다.
## <김여정:PER>은 지난해 <6월:DAT> <최고인민회의:POH> <제13기:NOH> <제4차:NOH> 회의에 참석한 이후 <8개월:DUR> 동안 모습을 드러내지 않고 있다.
김여정	김여정	NNP	B-PER
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
최고인민회의	최고인민회의	NNG	B-POH
_	_	_	O
제	제	XPN	B-NOH
13	13	SN	I-NOH
기	기	NNG	I-NOH
_	_	_	O
제	제	XPN	B-NOH
4	4	SN	I-NOH
차	차	NNB	I-NOH
_	_	_	O
회의	회의	NNG	O
에	에	JKB	O
_	_	_	O
참석한	참석하+ㄴ	VV+ETM	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
8	8	SN	B-DUR
개월	개월	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
드러내	드러내	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 앞으로 대학생뿐 아니라 고교, 대학을 졸업한 지 2년이 안 된 취업준비생도 전세임대주택에 입주할 수 있게 된다.
## 앞으로 대학생뿐 아니라 고교, 대학을 졸업한 지 <2년:NOH>이 안 된 취업준비생도 전세임대주택에 입주할 수 있게 된다.
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
대학생	대학생	NNG	O
뿐	뿐	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
고교	고교	NNG	O
,	,	SP	O
_	_	_	O
대학	대학	NNG	O
을	을	JKO	O
_	_	_	O
졸업한	졸업하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
이	이	JKC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
취업	취업	NNG	O
준비	준비	NNG	O
생	생	XSN	O
도	도	JX	O
_	_	_	O
전세	전세	NNG	O
임대주택	임대주택	NNG	O
에	에	JKB	O
_	_	_	O
입주할	입주하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 한 증권사 관계자는 “펀드의 인기가 워낙 좋다 보니 예약을 받기 시작하면 금방 물량이 동난다”며 “한정된 물량을 확보하지 못한 영업점 직원들은 고객들로부터 ‘꼭 가입하고 싶은데 왜 안 파느냐’는 불만도 종종 들어 스트레스를 받을 정도”라고 말했다.
## <한:NOH> 증권사 관계자는 “펀드의 인기가 워낙 좋다 보니 예약을 받기 시작하면 금방 물량이 동난다”며 “한정된 물량을 확보하지 못한 영업점 직원들은 고객들로부터 ‘꼭 가입하고 싶은데 왜 안 파느냐’는 불만도 종종 들어 스트레스를 받을 정도”라고 말했다.
한	한	MM	B-NOH
_	_	_	O
증권사	증권사	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
펀드	펀드	NNG	O
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
가	가	JKS	O
_	_	_	O
워낙	워낙	MAG	O
_	_	_	O
좋	좋	VA	O
다	다	EC	O
_	_	_	O
보	보	VX	O
니	니	EC	O
_	_	_	O
예약	예약	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
_	_	_	O
시작하	시작하	VV	O
면	면	EC	O
_	_	_	O
금방	금방	MAG	O
_	_	_	O
물량	물량	NNG	O
이	이	JKS	O
_	_	_	O
동난다	동나+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
한정된	한정되+ㄴ	VV+ETM	O
_	_	_	O
물량	물량	NNG	O
을	을	JKO	O
_	_	_	O
확보하	확보하	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
영업	영업	NNG	O
점	점	XSN	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
로부터	로부터	JKB	O
_	_	_	O
‘	‘	SS	O
꼭	꼭	MAG	O
_	_	_	O
가입하	가입하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
은데	은데	EC	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
파	팔	VV	O
느냐	느냐	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
불만	불만	NNG	O
도	도	JX	O
_	_	_	O
종종	종종	MAG	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
스트레스	스트레스	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
정도	정도	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

