## 1
## 쿠팡은 로켓배송을 통해 소비자 만족도를 높일 수 있었다.
## <쿠팡:ORG>은 로켓배송을 통해 소비자 만족도를 높일 수 있었다.
쿠팡	쿠팡	NNP	B-ORG
_	_	_	O
카타르	카타르	NNP	B-ORG
를	를	JKO	O
_	_	_	O
지지하	지지하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
하	하	VV	O
면서	면서	EC	O
_	_	_	O
미국	미국	NNP	B-ORG
은	은	JX	O
_	_	_	O
실패	실패하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 어린이날은 있는데 왜 청소년의 날은 없을까요? 어른이 되는 걸 기념하는 성년의날, 부모님을 위한 어버이날은 있는데 말입니다.
## <어린이날:DAT>은 있는데 왜 청소년의 날은 없을까요? 어른이 되는 걸 기념하는 <성년의날:DAT>, 부모님을 위한 <어버이날:DAT>은 있는데 말입니다.
어린이날	어린이날	NNP	B-DAT
은	은	JX	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
청소년	청소년	NNG	O
의	의	JKG	O
_	_	_	O
날	날	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
을까요	을까요	EF	O
?	?	SF	O
_	_	_	O
어른	어른	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
걸	것+ㄹ	NNB+JKO	O
_	_	_	O
기념하	기념하	VV	O
는	는	ETM	O
_	_	_	O
성년	성년	NNG	B-DAT
의	의	JKG	I-DAT
날	날	NNG	I-DAT
,	,	SP	O
_	_	_	O
부모님	부모님	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
어버이날	어버이날	NNP	B-DAT
은	은	JX	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
_	_	_	O
말	말	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 4
## ㈜비모는 어니스트펀드를 운영하는 P2P 금융 스타트업 기업이다.
## <㈜비모:ORG>는 <어니스트펀드:ORG>를 운영하는 P2P 금융 스타트업 기업이다.
㈜	㈜	SW	B-ORG
비모	비모	NNG	I-ORG
는	는	JX	O
_	_	_	O
어니스트	어니스트	NNP	B-ORG
펀드	펀드	NNG	I-ORG
를	를	JKO	O
_	_	_	O
운영하	운영하	VV	O
는	는	ETM	O
_	_	_	O
P	P	SL	O
2	2	SN	O
P	P	SL	O
_	_	_	O
금융	금융	NNG	O
_	_	_	O
스타트	스타트	NNG	O
업	업	NNG	O
_	_	_	O
기업	기업	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 정치자금법 등 위반으로 의원직을 상실한 박상은 전 의원의 지역구다.
## <정치자금법:POH> 등 위반으로 의원직을 상실한 <박상은:PER> 전 의원의 지역구다.
정치	정치	NNG	B-POH
자금	자금	NNG	I-POH
법	법	NNG	I-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
위반	위반	NNG	O
으로	으로	JKB	O
_	_	_	O
의원	의원	NNG	O
직	직	NNG	O
을	을	JKO	O
_	_	_	O
상실한	상실하+ㄴ	VV+ETM	O
_	_	_	O
박상은	박상은	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
의원	의원	NNG	O
의	의	JKG	O
_	_	_	O
지역구	지역구	NNG	O
다	다	NNG	O
.	.	SF	O

## 6
## 1년 만기 정기예금 금리가 10%를 웃돌았다.
## <1년:DUR> 만기 정기예금 금리가 <10%:PNT>를 웃돌았다.
1	1	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
만기	만기	NNG	O
_	_	_	O
정기	정기	NNG	O
예금	예금	NNG	O
_	_	_	O
금리	금리	NNG	O
가	가	JKS	O
_	_	_	O
10	10	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
웃돌	웃돌	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이어 “양국은 고위층 각 영역의 밀접한 왕래를 계속해 경제·무역 관계를 안정적으로 발전시키고, 중요한 국제·지역 문제에서도 소통과 협조를 강화하길 기대한다”고 강조했다.
## 이어 “<양:NOH>국은 고위층 각 영역의 밀접한 왕래를 계속해 경제·무역 관계를 안정적으로 발전시키고, 중요한 국제·지역 문제에서도 소통과 협조를 강화하길 기대한다”고 강조했다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
양국	양국	NNG	O
은	은	JX	O
_	_	_	O
고위층	고위층	NNG	O
_	_	_	O
각	각	MM	O
_	_	_	O
영역	영역	NNG	O
의	의	JKG	O
_	_	_	O
밀접한	밀접하+ㄴ	VA+ETM	O
_	_	_	O
왕래	왕래	NNG	O
를	를	JKO	O
_	_	_	O
계속해	계속하+여	VV+EC	O
_	_	_	O
경제	경제	NNG	O
·	·	SP	O
무역	무역	NNG	O
_	_	_	O
관계	관계	NNG	O
를	를	JKO	O
_	_	_	O
안정적	안정적	NNG	O
으로	으로	JKB	O
_	_	_	O
발전	발전	NNG	O
시키	시키	XSV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
국제	국제	NNG	O
·	·	SP	O
지역	지역	NNG	O
_	_	_	O
문제	문제	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
소통	소통	NNG	O
과	과	JC	O
_	_	_	O
협조	협조	NNG	O
를	를	JKO	O
_	_	_	O
강화하	강화하	VV	O
길	기+ㄹ	ETN+JKO	O
_	_	_	O
기대한다	기대하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## “유명한 교수들은 하루에 많게는 10건 정도 수술을 한다.
## “유명한 교수들은 <하루:NOH>에 많게는 <10건:NOH> 정도 수술을 한다.
“	“	SS	O
유명한	유명하+ㄴ	VA+ETM	O
_	_	_	O
교수	교수	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
하루	하루	NNG	B-NOH
에	에	JKB	O
_	_	_	O
많	많	VA	O
게	게	EC	O
는	는	JX	O
_	_	_	O
10	10	SN	B-NOH
건	건	NNB	I-NOH
_	_	_	O
정도	정도	NNG	O
_	_	_	O
수술	수술	NNG	O
을	을	JKO	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 8-7, 16-14로 리드해간 OK는 시몬이 제 역할을 해준 덕분에 25-20으로 또 세트를 따냈다.
## <8-7:NOH>, <16-14:NOH>로 <리드해간 OK:ORG>는 <시몬:PER>이 제 역할을 해준 덕분에 <25-20:NOH>으로 또 세트를 따냈다.
8	8	SN	B-NOH
-	-	SO	I-NOH
7	7	SN	I-NOH
,	,	SP	O
_	_	_	O
16	16	SN	B-NOH
-	-	SO	I-NOH
14	14	SN	I-NOH
로	로	JKB	O
_	_	_	O
리드해	리드하+여	VV+EC	B-ORG
간	가+ㄴ	VX+ETM	I-ORG
_	_	_	I-ORG
OK	OK	SL	I-ORG
는	는	JX	O
_	_	_	O
시몬	시몬	NNP	B-PER
이	이	JKS	O
_	_	_	O
제	저+의	NP+JKG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
해	하+여	VV+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
덕분	덕분	NNG	O
에	에	JKB	O
_	_	_	O
25	25	SN	B-NOH
-	-	SO	I-NOH
20	20	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
또	또	MAG	O
_	_	_	O
세트	세트	NNG	O
를	를	JKO	O
_	_	_	O
따	따+아	VV+EC	O
냈	내+었	VX+EP	O
다	다	EF	O
.	.	SF	O

## 10
## 그는 CIA의 새로운 표적으로 대량파괴무기의 확산, 민족분쟁, 국제마약거래, 테러, 환경문제 등을 들면서 『우리는 큰 용(구소련) 한마리는 쓰러뜨렸지만 지금은 여러마리의 독사가 숨어있는 밀림 속에 살고 있다.
## 그는 <CIA:ORG>의 새로운 표적으로 대량파괴무기의 확산, 민족분쟁, 국제마약거래, 테러, 환경문제 등을 들면서 『우리는 큰 용(<구소련:ORG>) 한마리는 쓰러뜨렸지만 지금은 여러마리의 독사가 숨어있는 밀림 속에 살고 있다.
그	그	NP	O
는	는	JX	O
_	_	_	O
CIA	CIA	SL	B-ORG
의	의	JKG	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
표적	표적	NNG	O
으로	으로	JKB	O
_	_	_	O
대량	대량	NNG	O
파괴	파괴	NNG	O
무기	무기	NNG	O
의	의	JKG	O
_	_	_	O
확산	확산	NNG	O
,	,	SP	O
_	_	_	O
민족	민족	NNG	O
분쟁	분쟁	NNG	O
,	,	SP	O
_	_	_	O
국제	국제	NNG	O
마약	마약	NNG	O
거래	거래	NNG	O
,	,	SP	O
_	_	_	O
테러	테러	NNG	O
,	,	SP	O
_	_	_	O
환경	환경	NNG	O
문제	문제	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
들	들	VV	O
면서	면서	EC	O
_	_	_	O
『	『	SS	O
우리	우리	NP	O
는	는	JX	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
용	용	NNG	O
(	(	SS	O
구소련	구소련	NNP	B-ORG
)	)	SS	O
_	_	_	O
한	한	MM	O
마리	마리	NNB	O
는	는	JX	O
_	_	_	O
쓰러뜨	쓰러뜨리	VV	O
렸	었	EP	O
지만	지만	EC	O
_	_	_	O
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
여러	여러	MM	O
마리	마리	NNB	O
의	의	JKG	O
_	_	_	O
독사	독사	NNG	O
가	가	JKS	O
_	_	_	O
숨	숨	VV	O
어	어	EC	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
밀림	밀림	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
_	_	_	O
살	살	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 오스트리아 망명설엔 “가본적도 없다”
## <오스트리아:ORG> 망명설엔 “가본적도 없다”
오스트리아	오스트리아	NNP	B-ORG
_	_	_	O
망명	망명	NNG	O
설	설	XSN	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
“	“	SS	O
가본적	가본적	NNG	O
도	도	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O

## 12
## IBK기업은행은 3월 서울 용산구 한남동 IBK고객센터 1층에 은행과 증권을 결합한 복합점포인 ‘IBK 한남동 WM센터’를 개점했다.
## <IBK기업은행:ORG>은 <3월:DAT> <서울:LOC> <용산구:LOC> <한남동 IBK고객센터:LOC> <1층:NOH>에 은행과 증권을 결합한 복합점포인 ‘<IBK 한남동 WM센터:ORG>’를 개점했다.
IBK	IBK	SL	B-ORG
기업은행	기업은행	NNP	I-ORG
은	은	JX	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
용산구	용산구	NNP	B-LOC
_	_	_	O
한남동	한남동	NNP	B-LOC
_	_	_	I-LOC
IBK	IBK	SL	I-LOC
고객	고객	NNG	I-LOC
센터	센터	NNG	I-LOC
_	_	_	O
1	1	SN	B-NOH
층	층	NNG	I-NOH
에	에	JKB	O
_	_	_	O
은행	은행	NNG	O
과	과	JC	O
_	_	_	O
증권	증권	NNG	O
을	을	JKO	O
_	_	_	O
결합한	결합하+ㄴ	VV+ETM	O
_	_	_	O
복합	복합	NNG	O
점포	점포	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
IBK	IBK	SL	B-ORG
_	_	_	I-ORG
한남동	한남동	NNP	I-ORG
_	_	_	I-ORG
WM	WM	SL	I-ORG
센터	센터	NNG	I-ORG
’	’	SS	O
를	를	JKO	O
_	_	_	O
개점	개점하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 도수로 공사와 4대강 사업의 연관성부터 물어 봤다.
## 도수로 공사와 <4대강 사업:POH>의 연관성부터 물어 봤다.
도수로	도수로	NNG	O
_	_	_	O
공사	공사	NNG	O
와	와	JC	O
_	_	_	O
4	4	SN	B-POH
대	대	NNG	I-POH
강	강	NNG	I-POH
_	_	_	I-POH
사업	사업	NNG	I-POH
의	의	JKG	O
_	_	_	O
연관성	연관성	NNG	O
부터	부터	JX	O
_	_	_	O
물	묻	VV	O
어	어	EC	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 14
## 아베 총리는 또 “강제노동을 부인한 기시다 외상의 발언에 대해 한국정부가 이의를 제기하자 않았다”고도 했다.
## <아베:PER> 총리는 또 “강제노동을 부인한 기시다 외상의 발언에 대해 <한국정부:ORG>가 이의를 제기하자 않았다”고도 했다.
아베	아베	NNP	B-PER
_	_	_	O
총리	총리	NNG	O
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
강제	강제	NNG	O
노동	노동	NNG	O
을	을	JKO	O
_	_	_	O
부인한	부인하+ㄴ	VV+ETM	O
_	_	_	O
기시다	기시다	NNP	O
_	_	_	O
외상	외상	NNG	O
의	의	JKG	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
한국	한국	NNP	B-ORG
정부	정부	NNG	I-ORG
가	가	JKS	O
_	_	_	O
이의	이의	NNG	O
를	를	JKO	O
_	_	_	O
제기하	제기하	VV	O
자	자	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 15
## 1번 복귀 이후 다시 불방망이를 가동하기 시작했다.
## <1번:NOH> 복귀 이후 다시 불방망이를 가동하기 시작했다.
1	1	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
복귀	복귀	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
불방망이	불방망이	NNG	O
를	를	JKO	O
_	_	_	O
가동하	가동하	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

