## 1
## 나영석 PD는 지난해 6월 한 매체와의 인터뷰에서 ‘1박2일’ 멤버들과 새로운 예능을 준비할 가능성이 있느냐는 질문에 “승기 자주 본다.
## <나영석:PER> PD는 지난해 <6월:DAT> 한 매체와의 인터뷰에서 ‘<1박2일:POH>’ 멤버들과 새로운 예능을 준비할 가능성이 있느냐는 질문에 “<승기:PER> 자주 본다.
나영석	나영석	NNP	B-PER
안타	안타	NNG	O
.	.	SF	O
_	_	_	O
최지만	최지만	NNP	B-PER
의	의	JKG	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
데뷔	데뷔	NNG	O
_	_	_	O
안타	안타	NNG	O
는	는	JX	O
_	_	_	O
앞서	앞서	MAG	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
박병호	박병호	NNP	B-PER
(	(	SS	O
30	30	SN	B-NOH
·	·	SP	O
미네소타	미네소타	NNP	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
이대호	이대호	NNP	B-PER
(	(	SS	O
34	34	SN	B-NOH
·	·	SP	O
시애틀	시애틀	NNP	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
김현수	김현수	NNP	B-PER
(	(	SS	O
28	28	SN	B-NOH
·	·	SP	O
볼티모어	볼티모어	NNP	B-ORG
)	)	SS	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
안타	안타	NNG	O
보다	보다	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
값지	값지	VA	O
고	고	EC	O
_	_	_	O
감격적	감격적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 박찬욱(53) 감독의 ‘아가씨’가 12일 오전, 개봉 12일 만에 300만명을 돌파했다.
## <박찬욱:PER>(<53:NOH>) 감독의 ‘<아가씨:POH>’가 <12일:DAT> 오전, 개봉 <12일:NOH> 만에 <300만명:NOH>을 돌파했다.
박찬욱	박찬욱	NNP	B-PER
(	(	SS	O
53	53	SN	B-NOH
)	)	SS	O
_	_	_	O
감독	감독	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
아가씨	아가씨	NNG	B-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	O
,	,	SP	O
_	_	_	O
개봉	개봉	NNG	O
_	_	_	O
12	12	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
300	300	SN	B-NOH
만	만	NR	I-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
돌파	돌파하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 사잇돌 대출은 금융당국이 4∼8등급 중저신용자들을 위해 내놓은 연 6∼19% 중금리 대출 상품이다.
## 사잇돌 대출은 금융당국이 <4:NOH>∼<8등급:NOH> 중저신용자들을 위해 내놓은 연 <6:PNT>∼<19%:PNT> 중금리 대출 상품이다.
사	사	NNG	O
잇돌	잇돌	NNG	O
_	_	_	O
대출	대출	NNG	O
은	은	JX	O
_	_	_	O
금융	금융	NNG	O
당국	당국	NNG	O
이	이	JKS	O
_	_	_	O
4	4	SN	B-NOH
∼	∼	SO	O
8	8	SN	B-NOH
등급	등급	NNG	I-NOH
_	_	_	O
중	중	XPN	O
저	저	XPN	O
신용	신용	NNG	O
자	자	XSN	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
내놓	내놓	VV	O
은	은	ETM	O
_	_	_	O
연	연	NNG	O
_	_	_	O
6	6	SN	B-PNT
∼	∼	SO	O
19	19	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
중	중	NNG	O
금리	금리	NNG	O
_	_	_	O
대출	대출	NNG	O
_	_	_	O
상품	상품	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 정성장 세종연구소 실장은 “한국에서 새 정부가 출범하면 미국하고만 대화하면서 남한과의 대화는 거부하는 ‘통미배남(通美排南)’ 정책 대신 남한과의 관계 개선을 통해 북-미 관계 개선으로 나아가는 ‘선남후미(先南後美)’ 정책을 추구할 것으로 전망된다”고 말했다.
## <정성장:PER> <세종연구소:ORG> 실장은 “<한국:ORG>에서 새 정부가 출범하면 <미국:ORG>하고만 대화하면서 <남한:ORG>과의 대화는 거부하는 ‘통미배남(通美排南)’ 정책 대신 <남한:ORG>과의 관계 개선을 통해 <북-미:ORG> 관계 개선으로 나아가는 ‘선남후미(先南後美)’ 정책을 추구할 것으로 전망된다”고 말했다.
정성장	정성장	NNP	B-PER
_	_	_	O
세종	세종	NNP	B-ORG
연구소	연구소	NNG	I-ORG
_	_	_	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
새	새	MM	O
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
출범하	출범하	VV	O
면	면	EC	O
_	_	_	O
미국	미국	NNP	B-ORG
하고	하고	JKB	O
만	만	JX	O
_	_	_	O
대화하	대화하	VV	O
면서	면서	EC	O
_	_	_	O
남한	남한	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
대화	대화	NNG	O
는	는	JX	O
_	_	_	O
거부하	거부하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
통	통	XPN	O
미	미	NNP	O
배남	배남	NNP	O
(	(	SS	O
通美排南	通美排南	SH	O
)	)	SS	O
’	’	SS	O
_	_	_	O
정책	정책	NNG	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
남한	남한	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
관계	관계	NNG	O
_	_	_	O
개선	개선	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
북	북	NNP	B-ORG
-	-	SO	I-ORG
미	미	NNP	I-ORG
_	_	_	O
관계	관계	NNG	O
_	_	_	O
개선	개선	NNG	O
으로	으로	JKB	O
_	_	_	O
나아가	나아가	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
선남	선남	NNG	O
후미	후미	NNG	O
(	(	SS	O
先南後美	先南後美	SH	O
)	)	SS	O
’	’	SS	O
_	_	_	O
정책	정책	NNG	O
을	을	JKO	O
_	_	_	O
추구할	추구하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전망된다	전망되+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 여러 명의 선수가 지정된 레인 없이 400m 트랙 16바퀴를 달리는 매스스타트는 다른 선수와의 신경전, 자리다툼에 따라 순위가 갈리는 점에서 쇼트트랙과 비슷하다.
## 여러 명의 선수가 지정된 레인 없이 <400m:NOH> 트랙 <16바퀴:NOH>를 달리는 매스스타트는 다른 선수와의 신경전, 자리다툼에 따라 순위가 갈리는 점에서 쇼트트랙과 비슷하다.
여러	여러	MM	O
_	_	_	O
명	명	NNB	O
의	의	JKG	O
_	_	_	O
선수	선수	NNG	O
가	가	JKS	O
_	_	_	O
지정된	지정되+ㄴ	VV+ETM	O
_	_	_	O
레인	레인	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
400	400	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
트랙	트랙	NNG	O
_	_	_	O
16	16	SN	B-NOH
바퀴	바퀴	NNB	I-NOH
를	를	JKO	O
_	_	_	O
달리	달리	VV	O
는	는	ETM	O
_	_	_	O
매스	매스	NNG	O
스타트	스타트	NNG	O
는	는	JX	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
선수	선수	NNG	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
신경전	신경전	NNG	O
,	,	SP	O
_	_	_	O
자리다툼	자리다툼	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
순위	순위	NNG	O
가	가	JKS	O
_	_	_	O
갈리	갈리	VV	O
는	는	ETM	O
_	_	_	O
점	점	NNG	O
에서	에서	JKB	O
_	_	_	O
쇼트트랙	쇼트트랙	NNG	O
과	과	JC	O
_	_	_	O
비슷하	비슷하	VA	O
다	다	EF	O
.	.	SF	O

