## 1
## 이어 스테파니 리는 “케이팝을 언급하면 에릭남을 좋아한다고 한다”고 덧붙여 에릭남을 뿌듯하게 만들었다.
## 이어 <스테파니 리:PER>는 “케이팝을 언급하면 <에릭남:PER>을 좋아한다고 한다”고 덧붙여 <에릭남:PER>을 뿌듯하게 만들었다.
이어	이어	MAG	O
일주일	일주일	NNG	B-DUR
에서	에서	JKB	O
_	_	_	O
짧	짧	VA	O
으면	으면	EC	O
_	_	_	O
4	4	SN	B-NOH
∼	∼	SO	O
5	5	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
예매	예매	NNG	O
를	를	JKO	O
_	_	_	O
시작하	시작하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
_	_	_	O
훨씬	훨씬	MAG	O
_	_	_	O
이른	이르+ㄴ	VA+ETM	O
_	_	_	O
시기	시기+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 북한산 술값 22%내려
## 북한산 술값 <22%:PNT>내려
북한산	북한산	NNP	O
_	_	_	O
술값	술값	NNG	O
_	_	_	O
22	22	SN	B-PNT
%	%	SW	I-PNT
내려	내리+어	VV+EC	O

