## 1
## 그런데 18일(현지시간) 그 두 번째 조각이 발견됐다.
## 그런데 <18일:DAT>(현지시간) 그 두 번째 조각이 발견됐다.
그런데	그런데	MAJ	O
당국자	당국자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
핵	핵	NNG	O
과	과	JC	O
_	_	_	O
미사일	미사일	NNG	O
_	_	_	O
위협	위협	NNG	O
을	을	JKO	O
_	_	_	O
효과적	효과적	NNG	O
으로	으로	JKB	O
_	_	_	O
억제하	억제하	VV	O
고	고	EC	O
_	_	_	O
대응하	대응하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
노력하	노력하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
미사일	미사일	NNG	O
_	_	_	O
대응	대응	NNG	O
작전	작전	NNG	O
을	을	JKO	O
_	_	_	O
토대	토대	NNG	O
로	로	JKB	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
군	군	NNG	O
의	의	JKG	O
_	_	_	O
킬	킬	NNG	O
체	체	XSN	O
인	이+ㄴ	VCP+ETM	O
(	(	SS	O
Kill	Kill	SL	O
_	_	_	O
Chain	Chain	SL	O
·	·	SP	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
공격	공격	NNG	O
이	이	JKS	O
_	_	_	O
확실할	확실하+ㄹ	VA+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
선제	선제	NNG	O
_	_	_	O
타격	타격	NNG	O
)	)	SS	O
과	과	JKB	O
_	_	_	O
한국	한국	NNP	O
형	형	XSN	O
_	_	_	O
미사일	미사일	NNG	O
방어	방어	NNG	O
_	_	_	O
체계	체계	NNG	O
를	를	JKO	O
_	_	_	O
확충하	확충하	VV	O
는	는	ETM	O
_	_	_	O
대응책	대응책	NNG	O
을	을	JKO	O
_	_	_	O
발전	발전	NNG	O
시키	시키	XSV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 박희순, 박예진과 혼인신고...박예진 이상형 “친구가 될 수 있는 남자면 좋겠다”
## <박희순:PER>, <박예진:PER>과 혼인신고...<박예진:PER> 이상형 “친구가 될 수 있는 남자면 좋겠다”
박희순	박희순	NNP	B-PER
,	,	SP	O
_	_	_	O
박예진	박예진	NNP	B-PER
과	과	JKB	O
_	_	_	O
혼인	혼인	NNG	O
신고	신고	NNG	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
박예진	박예진	NNP	B-PER
_	_	_	O
이상형	이상형	NNG	O
_	_	_	O
“	“	SS	O
친구	친구	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
남자	남자+이	NNG+VCP	O
면	면	EC	O
_	_	_	O
좋	좋	VA	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O

## 5
## 서울시는 3월부터 어린이집 특별활동비를 국공립은 최대 5만 원, 민간은 최대 8만 원으로 통일한다고 5일 밝혔다.
## <서울시:ORG>는 <3월:DAT>부터 어린이집 특별활동비를 국공립은 최대 <5만 원:MNY>, 민간은 최대 <8만 원:MNY>으로 통일한다고 <5일:DAT> 밝혔다.
서울시	서울시	NNP	B-ORG
는	는	JX	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
어린이	어린이	NNG	O
집	집	NNG	O
_	_	_	O
특별	특별	NNG	O
활동비	활동비	NNG	O
를	를	JKO	O
_	_	_	O
국공립	국공립	NNG	O
은	은	JX	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
5	5	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
,	,	SP	O
_	_	_	O
민간	민간	NNG	O
은	은	JX	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
8	8	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
통일한다고	통일하+ㄴ다고	VV+EC	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 2위인 마쓰이 히데키는 2003년 뉴욕 양키스에서 16개의 홈런을 쳤다.
## <2위:NOH>인 <마쓰이 히데키:PER>는 <2003년:DAT> <뉴욕 양키스:ORG>에서 <16개:NOH>의 홈런을 쳤다.
2	2	SN	B-NOH
위	위	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
마쓰이	마쓰이	NNP	B-PER
_	_	_	I-PER
히데키	히데키	NNP	I-PER
는	는	JX	O
_	_	_	O
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
뉴욕	뉴욕	NNP	B-ORG
_	_	_	I-ORG
양키스	양키스	NNP	I-ORG
에서	에서	JKB	O
_	_	_	O
16	16	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
홈런	홈런	NNG	O
을	을	JKO	O
_	_	_	O
쳤	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 서울의 강수량은 2014년 808.9㎜, 2015년 792.1㎜로 평년 강수량(1450.5㎜)의 절반이다.
## <서울:LOC>의 강수량은 <2014년:DAT> <808.9㎜:NOH>, <2015년:DAT> <792.1㎜:NOH>로 평년 강수량(<1450.5㎜:NOH>)의 <절반:PNT>이다.
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
강수량	강수량	NNG	O
은	은	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
808.9	808.9	SN	B-NOH
㎜	㎜	SW	I-NOH
,	,	SP	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
792.1	792.1	SN	B-NOH
㎜	㎜	SW	I-NOH
로	로	JKB	O
_	_	_	O
평년	평년	NNG	O
_	_	_	O
강수량	강수량	NNG	O
(	(	SS	O
1450.5	1450.5	SN	B-NOH
㎜	㎜	SW	I-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
절반	절반	NNG	B-PNT
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 조지 W 부시 행정부에는 국가안보 부보좌관을 역임했다.
## <조지 W 부시:PER> 행정부에는 국가안보 부보좌관을 역임했다.
조지	조지	NNP	B-PER
_	_	_	I-PER
W	W	SL	I-PER
_	_	_	I-PER
부시	부시	NNP	I-PER
_	_	_	O
행정부	행정부	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
국가	국가	NNG	O
안보	안보	NNG	O
_	_	_	O
부	부	XPN	O
보좌관	보좌관	NNG	O
을	을	JKO	O
_	_	_	O
역임	역임하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 인기가요 걸스데이, 과감+섹시함 뽐내… 타이트한 무대 의상 '아찔'
## 인기가요 <걸스데이:ORG>, 과감+섹시함 뽐내… 타이트한 무대 의상 '아찔'
인기	인기	NNG	O
가요	가요	NNG	O
_	_	_	O
걸스데이	걸스데이	NNP	B-ORG
,	,	SP	O
_	_	_	O
과감+	과감++	NNG+SW	O
섹시함	섹시하+ㅁ	VA+ETN	O
_	_	_	O
뽐내	뽐내+어	VV+EC	O
…	…	SE	O
_	_	_	O
타이트한	타이트하+ㄴ	VA+ETM	O
_	_	_	O
무대	무대	NNG	O
_	_	_	O
의상	의상	NNG	O
_	_	_	O
'	'	SS	O
아찔	아찔	NNG	O
'	'	SS	O

## 10
## 최 회장으로부터 폭언을 들었다는 주장도 “평소 송 씨의 불성실한 근무태도를 지적하는 과정에서 나온 표현으로 인격 모독이 아니다”라며 “송 씨가 몇 차례 무단결근을 하기도 했지만 연장 및 휴일근무수당을 포함해 1118만 원을 퇴사 후 지급했다”고 주장했다.
## <최:PER> 회장으로부터 폭언을 들었다는 주장도 “평소 <송:PER> 씨의 불성실한 근무태도를 지적하는 과정에서 나온 표현으로 인격 모독이 아니다”라며 “<송:PER> 씨가 몇 차례 무단결근을 하기도 했지만 연장 및 휴일근무수당을 포함해 <1118만 원:MNY>을 퇴사 후 지급했다”고 주장했다.
최	최	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
으로부터	으로부터	JKB	O
_	_	_	O
폭언	폭언	NNG	O
을	을	JKO	O
_	_	_	O
들	듣	VV	O
었	었	EP	O
다는	다는	ETM	O
_	_	_	O
주장	주장	NNG	O
도	도	JX	O
_	_	_	O
“	“	SS	O
평소	평소	NNG	O
_	_	_	O
송	송	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
불성실한	불성실하+ㄴ	VA+ETM	O
_	_	_	O
근무	근무	NNG	O
태도	태도	NNG	O
를	를	JKO	O
_	_	_	O
지적하	지적하	VV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
나온	나오+ㄴ	VV+ETM	O
_	_	_	O
표현	표현	NNG	O
으로	으로	JKB	O
_	_	_	O
인격	인격	NNG	O
_	_	_	O
모독	모독	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”	SS	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
송	송	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
차례	차례	NNG	O
_	_	_	O
무단결근	무단결근	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
연장	연장	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
휴일	휴일	NNG	O
근무	근무	NNG	O
수당	수당	NNG	O
을	을	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
1118	1118	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
퇴사	퇴사	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
지급	지급하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 2009년에 비해서는 2.8배로 늘어났다.
## <2009년:DAT>에 비해서는 <2.8배:PNT>로 늘어났다.
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
비해서	비하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
2.8	2.8	SN	B-PNT
배	배	NNG	I-PNT
로	로	JKB	O
_	_	_	O
늘어났	늘어나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 기성용은 올 시즌 리그에서만 8골을 넣었다.
## <기성용:PER>은 올 시즌 리그에서만 <8골:NOH>을 넣었다.
기성용	기성용	NNP	B-PER
은	은	JX	O
_	_	_	O
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
리그	리그	NNG	O
에서	에서	JKB	O
만	만	JX	O
_	_	_	O
8	8	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 대국 시간이 4시간을 넘길 즈음부터 “덤내기가 쉽지 않다”란 전망이 나왔고, 그건 한 시간 가까이 지속됐다.
## 대국 시간이 <4시간:DUR>을 넘길 즈음부터 “덤내기가 쉽지 않다”란 전망이 나왔고, 그건 <한 시간:DUR> 가까이 지속됐다.
대국	대국	NNG	O
_	_	_	O
시간	시간	NNG	O
이	이	JKS	O
_	_	_	O
4	4	SN	B-DUR
시간	시간	NNB	I-DUR
을	을	JKO	O
_	_	_	O
넘길	넘기+ㄹ	VV+ETM	O
_	_	_	O
즈음	즈음	NNB	O
부터	부터	JX	O
_	_	_	O
“	“	SS	O
덤	덤	NNG	O
내	내	VV	O
기	기	ETN	O
가	가	JKS	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
”	”+이	SS+VCP	O
란	란	ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
그건	그것+ㄴ	NP+JX	O
_	_	_	O
한	한	MM	B-DUR
_	_	_	I-DUR
시간	시간	NNG	I-DUR
_	_	_	O
가까이	가까이	MAG	O
_	_	_	O
지속	지속되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 국내에도 산타마리아노벨라 제품을 찾아볼 수는 있지만, 현지에서 구매하는 것보다는 가격이 높다.
## 국내에도 <산타마리아노벨라:ORG> 제품을 찾아볼 수는 있지만, 현지에서 구매하는 것보다는 가격이 높다.
국내	국내	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
산타마리아노벨라	산타마리아노벨라	NNP	B-ORG
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
찾아볼	찾아보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
는	는	JX	O
_	_	_	O
있	있	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
현지	현지	NNG	O
에서	에서	JKB	O
_	_	_	O
구매하	구매하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
보다	보다	JKB	O
는	는	JX	O
_	_	_	O
가격	가격	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

