## 1
## 그곳에서 평안하시길. 그리고 2년 전에 세상을 떠난 동갑내기 절친 피터 오툴과 오랜만에 좋은 시간을 가지시길. 글=김형석 영화저널리스트
## 그곳에서 평안하시길. 그리고 <2년:NOH> 전에 세상을 떠난 동갑내기 절친 <피터 오툴:PER>과 오랜만에 좋은 시간을 가지시길. 글=<김형석:PER> 영화저널리스트
그곳	그곳	NP	O
던	던	ETM	O
_	_	_	O
정구도	정구도	NNP	O
_	_	_	O
“	“	SS	O
우왕	우왕	NNP	B-PER
과	과	JC	O
_	_	_	O
창왕	창왕	NNP	B-PER
_	_	_	O
부자	부자	NNG	O
를	를	JKO	O
_	_	_	O
섬	섬기	VV	O
겼	었	EP	O
으면서	으면서	EC	O
도	도	JX	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
추방하	추방하	VV	O
는	는	ETM	O
_	_	_	O
모의	모의	NNG	O
에	에	JKB	O
_	_	_	O
정몽주	정몽주	NNP	B-PER
가	가	JKS	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
그	그	MM	O
_	_	_	O
공로	공로	NNG	O
로	로	JKB	O
_	_	_	O
공신	공신	NNG	O
_	_	_	O
책봉	책봉	NNG	O
까지	까지	JX	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
정몽주	정몽주	NNP	B-PER
의	의	JKG	O
_	_	_	O
죽음	죽음	NNG	O
은	은	JX	O
_	_	_	O
가소로	가소롭	VA	O
울	ㄹ	ETM	O
_	_	_	O
뿐	뿐	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 빅뱅, ‘쩔어’에 이어 ‘우리 사랑하지 말아요’
## <빅뱅:ORG>, ‘<쩔어:POH>’에 이어 ‘<우리 사랑하지 말아요:POH>’
빅뱅	빅뱅	NNG	B-ORG
,	,	SP	O
_	_	_	O
‘	‘	SS	O
쩔	쩔	VV	B-POH
어	어	EF	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
이어	이어	MAG	O
_	_	_	O
‘	‘	SS	O
우리	우리	NP	B-POH
_	_	_	I-POH
사랑하	사랑하	VV	I-POH
지	지	EC	I-POH
_	_	_	I-POH
말	말	VX	I-POH
아요	아요	EF	I-POH
’	’	SS	O

## 7
## 또 이 병원에서 치료받던 메르스 환자 15명 중에서 퇴원을 앞두고 있거나 기저질환이 있어 다른 치료가 필요한 3명을 뺀 12명을 국립중앙의료원, 서울시 보라매병원 등 다른 병원으로 옮겼다.
## 또 이 병원에서 치료받던 <메르스:POH> 환자 <15명:NOH> 중에서 퇴원을 앞두고 있거나 기저질환이 있어 다른 치료가 필요한 <3명:NOH>을 뺀 <12명:NOH>을 <국립중앙의료원:ORG>, <서울시 보라매병원:ORG> 등 다른 병원으로 옮겼다.
또	또	MAG	O
_	_	_	O
이	이	MM	O
_	_	_	O
병원	병원	NNG	O
에서	에서	JKB	O
_	_	_	O
치료	치료	NNG	O
받	받	VV	O
던	던	ETM	O
_	_	_	O
메르스	메르스	NNG	B-POH
_	_	_	O
환자	환자	NNG	O
_	_	_	O
15	15	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
_	_	_	O
퇴원	퇴원	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
거나	거나	EC	O
_	_	_	O
기저	기저	NNG	O
질환	질환	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
치료	치료	NNG	O
가	가	JKS	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
뺀	빼+ㄴ	VV+ETM	O
_	_	_	O
12	12	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
국립중앙의료원	국립중앙의료원	NNP	B-ORG
,	,	SP	O
_	_	_	O
서울시	서울시	NNP	B-ORG
_	_	_	I-ORG
보라매병원	보라매병원	NNP	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
병원	병원	NNG	O
으로	으로	JKB	O
_	_	_	O
옮	옮기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 이날 다행히 새로 사망자는 발생하지 않아 총 사망자는 33명으로 변동이 없었고 환자 2명이 퇴원해 전체 퇴원자는 111명으로 늘었다.
## 이날 다행히 새로 사망자는 발생하지 않아 총 사망자는 <33명:NOH>으로 변동이 없었고 환자 <2명:NOH>이 퇴원해 전체 퇴원자는 <111명:NOH>으로 늘었다.
이날	이날	NNG	O
_	_	_	O
다행히	다행히	MAG	O
_	_	_	O
새로	새로	MAG	O
_	_	_	O
사망자	사망자	NNG	O
는	는	JX	O
_	_	_	O
발생하	발생하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
총	총	XPN	O
_	_	_	O
사망자	사망자	NNG	O
는	는	JX	O
_	_	_	O
33	33	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
변동	변동	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
고	고	EC	O
_	_	_	O
환자	환자	NNG	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
퇴원해	퇴원하+여	VV+EC	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
퇴원	퇴원	NNG	O
자	자	NNG	O
는	는	JX	O
_	_	_	O
111	111	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 사망자와 퇴원자를 제외하고 치료 중인 환자는 41명이며 이 가운데 30명은 상태가 안정적이지만 11명은 불안정하다.
## 사망자와 퇴원자를 제외하고 치료 중인 환자는 <41명:NOH>이며 이 가운데 <30명:NOH>은 상태가 안정적이지만 <11명:NOH>은 불안정하다.
사망자	사망자	NNG	O
와	와	JC	O
_	_	_	O
퇴원	퇴원	NNG	O
자	자	XSN	O
를	를	JKO	O
_	_	_	O
제외하	제외하	VV	O
고	고	EC	O
_	_	_	O
치료	치료	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
환자	환자	NNG	O
는	는	JX	O
_	_	_	O
41	41	SN	B-NOH
명	명	NNB	I-NOH
이	이	VCP	O
며	며	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
30	30	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
상태	상태	NNG	O
가	가	JKS	O
_	_	_	O
안정적	안정적	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
11	11	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
불안정하	불안정하	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 격리대상자는 1434명으로 전날보다 633명이 줄었다.
## 격리대상자는 <1434명:NOH>으로 전날보다 <633명:NOH>이 줄었다.
격리	격리	NNG	O
대상자	대상자	NNG	O
는	는	JX	O
_	_	_	O
1434	1434	SN	B-NOH
명	명	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
전날	전날	NNG	O
보다	보다	JKB	O
_	_	_	O
633	633	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 인근 집에 들어가 현금 10만원을 훔치기도 한 것으로 확인됐다.
## 인근 집에 들어가 현금 <10만원:MNY>을 훔치기도 한 것으로 확인됐다.
인근	인근	NNG	O
_	_	_	O
집	집	NNG	O
에	에	JKB	O
_	_	_	O
들어가	들어가+아	VV+EC	O
_	_	_	O
현금	현금	NNG	O
_	_	_	O
10	10	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
훔치	훔치	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
확인	확인되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 조사결과 A씨는 2003년과 2008년, 2013년에 강도미수 및 강도상해죄로 실형을 선고받았던 것으로 드러났다.
## 조사결과 <A:PER>씨는 <2003년:DAT>과 <2008년:DAT>, <2013년:DAT>에 강도미수 및 강도상해죄로 실형을 선고받았던 것으로 드러났다.
조사	조사	NNG	O
결과	결과	NNG	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
2003	2003	SN	B-DAT
년	년	NNB	I-DAT
과	과	JC	O
_	_	_	O
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
,	,	SP	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
강도	강도	NNG	O
미수	미수	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
강도	강도	NNG	O
상해죄	상해죄	NNG	O
로	로	JKB	O
_	_	_	O
실형	실형	NNG	O
을	을	JKO	O
_	_	_	O
선고	선고	NNG	O
받	받	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

