## 1
## 하지만 남태현의 소속사 YG엔터테인먼트는 아무런 반응을 보이지 않고 있다.
## 하지만 <남태현:PER>의 소속사 <YG엔터테인먼트:ORG>는 아무런 반응을 보이지 않고 있다.
하지만	하지만	MAJ	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
며	며	EC	O
_	_	_	O
연기자	연기자	NNG	O
로	로	JKB	O
_	_	_	O
활동	활동	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 남태현은 2014년 위너로 데뷔했으며 최근 건강 문제를 이유로 활동을 중단한 상태다.
## <남태현:PER>은 <2014년:DAT> <위너:ORG>로 데뷔했으며 최근 건강 문제를 이유로 활동을 중단한 상태다.
남태현	남태현	NNP	B-PER
은	은	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
위너	위너	NNG	B-ORG
로	로	JKB	O
_	_	_	O
데뷔	데뷔하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
건강	건강	NNG	O
_	_	_	O
문제	문제	NNG	O
를	를	JKO	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
중단한	중단하+ㄴ	VV+ETM	O
_	_	_	O
상태	상태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 4
## PPC는 3D 지도와 GPS 정보를 활용하여 도로의 지형을 미리 예측하여 최적의 주행 조건을 스스로 판단하는 기술이다.
## PPC는 <3D:NOH> 지도와 GPS 정보를 활용하여 도로의 지형을 미리 예측하여 최적의 주행 조건을 스스로 판단하는 기술이다.
PPC	PPC	SL	O
는	는	JX	O
_	_	_	O
3	3	SN	B-NOH
D	D	SL	I-NOH
_	_	_	O
지도	지도	NNG	O
와	와	JC	O
_	_	_	O
GPS	GPS	SL	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
활용하	활용하	VV	O
여	여	EC	O
_	_	_	O
도로	도로	NNG	O
의	의	JKG	O
_	_	_	O
지형	지형	NNG	O
을	을	JKO	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
예측하	예측하	VV	O
여	여	EC	O
_	_	_	O
최적	최적	NNG	O
의	의	JKG	O
_	_	_	O
주행	주행	NNG	O
_	_	_	O
조건	조건	NNG	O
을	을	JKO	O
_	_	_	O
스스로	스스로	MAG	O
_	_	_	O
판단하	판단하	VV	O
는	는	ETM	O
_	_	_	O
기술	기술	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## [Health&Beauty]“홍삼 먹으면 치매 예방에 도움된다”
## [<Health&Beauty:POH>]“홍삼 먹으면 치매 예방에 도움된다”
[	[	SS	O
Health	Health	SL	B-POH
&	&	SW	I-POH
Beauty	Beauty	SL	I-POH
]	]	SS	O
“	“	SS	O
홍	홍	NNP	O
삼	삼	MM	O
_	_	_	O
먹	먹	VV	O
으면	으면	EC	O
_	_	_	O
치매	치매	NNG	O
_	_	_	O
예방	예방	NNG	O
에	에	JKB	O
_	_	_	O
도움	도움	NNG	O
된다	되+ㄴ다	XSV+EF	O
”	”	SS	O

## 6
## 또 ‘kdam****’는 “저렇게 당한 사람이 한두 명 아닐 거 같은데, 저 경우는 3명 중 한 명이 덜 마셔서 밝혀진 거 같고”라고 하는 등 일부 누리꾼들은 문제의 택시기사가 상습범일 수 있다는 의혹을 제기했다.
## 또 ‘kdam****’는 “저렇게 당한 사람이 <한두 명:NOH> 아닐 거 같은데, 저 경우는 <3명:NOH> 중 <한 명:NOH>이 덜 마셔서 밝혀진 거 같고”라고 하는 등 일부 누리꾼들은 문제의 택시기사가 상습범일 수 있다는 의혹을 제기했다.
또	또	MAG	O
_	_	_	O
‘	‘	SS	O
kdam	kdam	SL	O
*	*	SW	O
*	*	SW	O
*	*	SW	O
*	*	SW	O
’	’	SS	O
는	는	JX	O
_	_	_	O
“	“	SS	O
저렇	저렇	VA	O
게	게	EC	O
_	_	_	O
당한	당하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
한두	한두	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
아닐	아니+ㄹ	VCN+ETM	O
_	_	_	O
거	거	NNB	O
_	_	_	O
같	같	VA	O
은데	은데	EC	O
,	,	SP	O
_	_	_	O
저	저	MM	O
_	_	_	O
경우	경우	NNG	O
는	는	JX	O
_	_	_	O
3	3	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
덜	덜	MAG	O
_	_	_	O
마셔서	마시+어서	VV+EC	O
_	_	_	O
밝혀진	밝혀지+ㄴ	VV+ETM	O
_	_	_	O
거	것	NNB	O
_	_	_	O
같	같	VA	O
고	고	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
문제	문제	NNG	O
의	의	JKG	O
_	_	_	O
택시	택시	NNG	O
기사	기사	NNG	O
가	가	JKS	O
_	_	_	O
상습범	상습범	NNG	O
일	일	NNG	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
의혹	의혹	NNG	O
을	을	JKO	O
_	_	_	O
제기	제기하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 어머니 김씨는 아들을 찾지 못해 7년 동안 미뤄뒀던 칠순 잔치도 조만간 할 계획이다.
## 어머니 <김:PER>씨는 아들을 찾지 못해 <7년:NOH> 동안 미뤄뒀던 칠순 잔치도 조만간 할 계획이다.
어머니	어머니	NNG	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
아들	아들	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
지	지	EC	O
_	_	_	O
못해	못하+여	VX+EC	O
_	_	_	O
7	7	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
동안	동안	NNG	O
_	_	_	O
미뤄	미루+어+두	VV+EC+VX	O
뒀	었	EP	O
던	던	ETM	O
_	_	_	O
칠순	칠순	NNG	O
_	_	_	O
잔치	잔치	NNG	O
도	도	JX	O
_	_	_	O
조만간	조만간	MAG	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 정씨의 소송 제기에 따른 심리는 오는 9월1일 열릴 예정이다.
## <정:PER>씨의 소송 제기에 따른 심리는 오는 <9월1일:DAT> 열릴 예정이다.
정	정	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
소송	소송	NNG	O
_	_	_	O
제기	제기	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
심리	심리	NNG	O
는	는	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
1	1	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
열릴	열리+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## ■ CJ프레시웨어…업계 최초 2조700억원 매출 기록 4대 거점 물류센터 바탕 온타임 배송식품안전센터 운영으로 신뢰도 UP차별화 단체급식…또다른 성장동력中 기업과 손잡고 글로벌 시장 진출 업계 최초 2조 매출 달성, 이젠 아시아 시장 넘본다!
## ■ <CJ프레시웨어:ORG>…업계 최초 <2조700억원:MNY> 매출 기록 <4대:NOH> 거점 물류센터 바탕 <온타임 배송식품안전센터:ORG> 운영으로 신뢰도 UP차별화 단체급식…또다른 성장동력中 기업과 손잡고 글로벌 시장 진출 업계 최초 <2조:MNY> 매출 달성, 이젠 <아시아:LOC> 시장 넘본다!
■	■	SW	O
_	_	_	O
CJ	CJ	SL	B-ORG
프레시	프레시	NNG	I-ORG
웨어	웨어	NNG	I-ORG
…	…	SE	O
업계	업계	NNG	O
_	_	_	O
최초	최초	NNG	O
_	_	_	O
2	2	SN	B-MNY
조	조	NNG	I-MNY
700	700	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
매출	매출	NNG	O
_	_	_	O
기록	기록	NNG	O
_	_	_	O
4	4	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
거점	거점	NNG	O
_	_	_	O
물류	물류	NNG	O
센터	센터	NNG	O
_	_	_	O
바탕	바탕	NNG	O
_	_	_	O
온	온	NNG	B-ORG
타임	타임	NNG	I-ORG
_	_	_	I-ORG
배송	배송	NNG	I-ORG
식품	식품	NNG	I-ORG
안전	안전	NNG	I-ORG
센터	센터	NNG	I-ORG
_	_	_	O
운영	운영	NNG	O
으로	으로	JKB	O
_	_	_	O
신뢰	신뢰	NNG	O
도	도	JX	O
_	_	_	O
UP	UP	SL	O
차별화	차별화	NNG	O
_	_	_	O
단체	단체	NNG	O
급식	급식	NNG	O
…	…	SE	O
또	또	MAG	O
다른	다른	MM	O
_	_	_	O
성장	성장	NNG	O
동력	동력	NNG	O
中	中	SH	O
_	_	_	O
기업	기업	NNG	O
과	과	JKB	O
_	_	_	O
손잡	손잡	VV	O
고	고	EC	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
진출	진출	NNG	O
_	_	_	O
업계	업계	NNG	O
_	_	_	O
최초	최초	NNG	O
_	_	_	O
2	2	SN	B-MNY
조	조	NNG	I-MNY
_	_	_	O
매출	매출	NNG	O
_	_	_	O
달성	달성	NNG	O
,	,	SP	O
_	_	_	O
이젠	이제+ㄴ	NNG+JX	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
시장	시장	NNG	O
_	_	_	O
넘본다	넘보+ㄴ다	VV+EF	O
!	!	SF	O

## 10
## 상금랭킹에서도 51위(158만1748달러)로 한국선수 중 가장 높다.
## 상금랭킹에서도 <51위:NOH>(<158만1748달러:MNY>)로 <한국:ORG>선수 중 가장 높다.
상금	상금	NNG	O
랭킹	랭킹	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
51	51	SN	B-NOH
위	위	NNB	I-NOH
(	(	SS	O
158	158	SN	B-MNY
만	만	NR	I-MNY
1748	1748	SN	I-MNY
달러	달러	NNB	I-MNY
)	)	SS	O
로	로	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
선수	선수	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

## 11
## ”그를 행복하게 하는 게 하나 더 있다.
## ”그를 행복하게 하는 게 <하나:NOH> 더 있다.
”	”	SS	O
그	그	NP	O
를	를	JKO	O
_	_	_	O
행복하	행복하	VA	O
게	게	EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
하나	하나	NR	B-NOH
_	_	_	O
더	더	MAG	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 12
## 태실은 왕실 자손의 태(胎)를 봉안하기 위해 만든 석조물로 영조의 태실은 청주시 낭성면 무성리에 보존돼 있다.
## 태실은 왕실 자손의 태(胎)를 봉안하기 위해 만든 석조물로 <영조:PER>의 태실은 <청주시:LOC> <낭성면:LOC> <무성리:LOC>에 보존돼 있다.
태실	태실	NNG	O
은	은	JX	O
_	_	_	O
왕실	왕실	NNG	O
_	_	_	O
자손	자손	NNG	O
의	의	JKG	O
_	_	_	O
태	태	NNG	O
(	(	SS	O
胎	胎	SH	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
봉안하	봉안하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
석조	석조	NNG	O
물	물	XSN	O
로	로	JKB	O
_	_	_	O
영조	영조	NNP	B-PER
의	의	JKG	O
_	_	_	O
태실	태실	NNG	O
은	은	JX	O
_	_	_	O
청주시	청주시	NNP	B-LOC
_	_	_	O
낭성면	낭성면	NNP	B-LOC
_	_	_	O
무성리	무성리	NNP	B-LOC
에	에	JKB	O
_	_	_	O
보존돼	보존되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 13
## 청원군 부용면(현 세종시 부강면) 출신인 이씨는 1985년 청원군청 공무원으로 임용됐고 87년 군청 문화재 업무를 맡으면서 이 의궤를 처음 봤다.
## <청원군:LOC> <부용면:LOC>(현 <세종시:LOC> <부강면:LOC>) 출신인 <이:PER>씨는 <1985년:DAT> <청원군청:ORG> 공무원으로 임용됐고 <87년:DAT> 군청 문화재 업무를 맡으면서 이 의궤를 처음 봤다.
청원군	청원군	NNP	B-LOC
_	_	_	O
부용면	부용면	NNP	B-LOC
(	(	SS	O
현	현	MM	O
_	_	_	O
세종시	세종시	NNP	B-LOC
_	_	_	O
부강	부강+이	NNG+VCP	B-LOC
면	면	EF	I-LOC
)	)	SS	O
_	_	_	O
출신	출신	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이	이	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
1985	1985	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
청원	청원	NNG	B-ORG
군청	군청	NNG	I-ORG
_	_	_	O
공무원	공무원	NNG	O
으로	으로	JKB	O
_	_	_	O
임용	임용되	VV	O
됐	었	EP	O
고	고	JKQ	O
_	_	_	O
87	87	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
군청	군청	NNG	O
_	_	_	O
문화재	문화재	NNG	O
_	_	_	O
업무	업무	NNG	O
를	를	JKO	O
_	_	_	O
맡	맡	VV	O
으면서	으면서	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
의궤	의궤	NNG	O
를	를	JKO	O
_	_	_	O
처음	처음	NNG	O
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 14
## 가격은 1만 3천원부터다.
## 가격은 <1만 3천원:MNY>부터다.
가격	가격	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
3	3	SN	I-MNY
천	천	NR	I-MNY
원	원	NNB	I-MNY
부터	부터+이	JX+VCP	O
다	다	EF	O
.	.	SF	O

## 15
## 비정상회담 황석정, 과거 공연서 원피스 풀어헤치고 팬티라인까지 노출? 비정상회담 황석정배우 황석정이 파격발언으로 ‘비정상회담’ 스튜디오를 초토화시킨 가운데, 황석정의 과거 공연장 실수가 재조명받았다.
## <비정상회담:POH> <황석정:PER>, 과거 공연서 원피스 풀어헤치고 팬티라인까지 노출? <비정상회담:POH> <황석정:PER>배우 <황석정:PER>이 파격발언으로 ‘<비정상회담:POH>’ 스튜디오를 초토화시킨 가운데, <황석정:PER>의 과거 공연장 실수가 재조명받았다.
비정상	비정상	NNG	B-POH
회담	회담	NNG	I-POH
_	_	_	O
황석정	황석정	NNP	B-PER
,	,	SP	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
공연	공연	NNG	O
서	서	JKB	O
_	_	_	O
원피스	원피스	NNG	O
_	_	_	O
풀어헤치	풀어헤치	VV	O
고	고	EC	O
_	_	_	O
팬티	팬티	NNG	O
라인	라인	NNG	O
까지	까지	JX	O
_	_	_	O
노출	노출	NNG	O
?	?	SF	O
_	_	_	O
비정상	비정상	NNG	B-POH
회담	회담	NNG	I-POH
_	_	_	O
황석정	황석정	NNP	B-PER
배우	배우	NNG	O
_	_	_	O
황석정	황석정	NNP	B-PER
이	이	JKS	O
_	_	_	O
파격	파격	NNG	O
발언	발언	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
비정상	비정상	NNG	B-POH
회담	회담	NNG	I-POH
’	’	SS	O
_	_	_	O
스튜디오	스튜디오	NNG	O
를	를	JKO	O
_	_	_	O
초토화	초토화	NNG	O
시킨	시키+ㄴ	XSV+ETM	O
_	_	_	O
가운데	가운데	NNG	O
,	,	SP	O
_	_	_	O
황석정	황석정	NNP	B-PER
의	의	JKG	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
공연장	공연장	NNG	O
_	_	_	O
실수	실수	NNG	O
가	가	JKS	O
_	_	_	O
재조명	재조명	NNG	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

