## 1
## (’08년 43.5% → ’14년 48.4%, ‘08년 대비 4.9%p증가) 금연, 저위험음주, 걷기 3가지 모두를 실천하는 국민은 3명중 1명에 불과한 것으로 조사됐다.
## (’<08년:DAT> <43.5%:PNT> → ’<14년:DAT> <48.4%:PNT>, ‘<08년:DAT> 대비 <4.9%p:PNT>증가) 금연, 저위험음주, 걷기 <3가지:NOH> 모두를 실천하는 국민은 <3명:NOH>중 <1명:NOH>에 불과한 것으로 조사됐다.
(	(	SS	O
## 이날 과학논술 강의를 한 최 강사는 “막상 학생들을 가르쳐 보니 이해도가 높고 열의가 있다”며 “부모가 시켜서가 아니라 학생 스스로 찾아와서 그런 것 같다”고 말했다.
## 이날 과학논술 강의를 한 <최:PER> 강사는 “막상 학생들을 가르쳐 보니 이해도가 높고 열의가 있다”며 “부모가 시켜서가 아니라 학생 스스로 찾아와서 그런 것 같다”고 말했다.
이날	이날	NNG	O
_	_	_	O
과학	과학	NNG	O
논술	논술	NNG	O
_	_	_	O
강의	강의	NNG	O
를	를	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
최	최	NNP	B-PER
_	_	_	O
강사	강사	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
막상	막상	MAG	O
_	_	_	O
학생	학생	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
가르쳐	가르치+어	VV+EC	O
_	_	_	O
보	보	VX	O
니	니	EC	O
_	_	_	O
이해도	이해도	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
고	고	EC	O
_	_	_	O
열의	열의	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
부모	부모	NNG	O
가	가	JKS	O
_	_	_	O
시켜서	시키+어서	VV+EC	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
학생	학생	NNG	O
_	_	_	O
스스로	스스로	MAG	O
_	_	_	O
찾아	찾아오	VV	O
와서	아서	EC	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 해외에 나가서도 매일 아침 박 대통령의 간단한 스트레칭과 체조는 이어진다.
## 해외에 나가서도 매일 아침 <박:PER> 대통령의 간단한 스트레칭과 체조는 이어진다.
해외	해외	NNG	O
에	에	JKB	O
_	_	_	O
나가서	나가+아서	VV+EC	O
도	도	JX	O
_	_	_	O
매일	매일	MAG	O
_	_	_	O
아침	아침	NNG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
간단한	간단하+ㄴ	VA+ETM	O
_	_	_	O
스트레칭	스트레칭	NNG	O
과	과	JC	O
_	_	_	O
체조	체조	NNG	O
는	는	JX	O
_	_	_	O
이어진다	이어지+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 일본 언론은 신 전 부회장 해임의 또 한 원인으로 신 총괄회장과의 불화 가능성을 제기했다.
## <일본:ORG> 언론은 <신:PER> 전 부회장 해임의 또 한 원인으로 <신:PER> 총괄회장과의 불화 가능성을 제기했다.
일본	일본	NNP	B-ORG
_	_	_	O
언론	언론	NNG	O
은	은	JX	O
_	_	_	O
신	신	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
부회장	부회장	NNG	O
_	_	_	O
해임	해임	NNG	O
의	의	JKG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
한	한	MM	O
_	_	_	O
원인	원인	NNG	O
으로	으로	JKB	O
_	_	_	O
신	신	NNG	B-PER
_	_	_	O
총괄	총괄	NNG	O
회장	회장	NNG	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
불화	불화	NNG	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
제기	제기하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 박희순 박예진과 혼인신고, 지인들과 함께 ‘언약식’ 올려 배우 박희순과 박예진의 혼인신고 소식이 뒤늦게 전해졌다.
## <박희순:PER> <박예진:PER>과 혼인신고, 지인들과 함께 ‘언약식’ 올려 배우 <박희순:PER>과 <박예진:PER>의 혼인신고 소식이 뒤늦게 전해졌다.
박희순	박희순	NNP	B-PER
_	_	_	O
박예진	박예진	NNP	B-PER
과	과	JKB	O
_	_	_	O
혼인	혼인	NNG	O
신고	신고	NNG	O
,	,	SP	O
_	_	_	O
지인	지인	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
‘	‘	SS	O
언약	언약	NNG	O
식	식	XSN	O
’	’	SS	O
_	_	_	O
올려	올리+어	VV+EC	O
_	_	_	O
배우	배우	NNG	O
_	_	_	O
박희순	박희순	NNP	B-PER
과	과	JC	O
_	_	_	O
박예진	박예진	NNP	B-PER
의	의	JKG	O
_	_	_	O
혼인	혼인	NNG	O
신고	신고	NNG	O
_	_	_	O
소식	소식	NNG	O
이	이	JKS	O
_	_	_	O
뒤늦	뒤늦	VA	O
게	게	EC	O
_	_	_	O
전해	전하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

