## 1
## 쇼타, 센가 고다이(이상 23·소프트뱅크), 야수는 야마다 데쓰토(24·야쿠르트), 기쿠치 료스케(26·히로시마), 쓰쓰고 요시토모(24·요코하마)가 대표팀 주축으로 나설 전망이다.
## <쇼타:PER>, <센가 고다이:PER>(이상 <23:NOH>·<소프트뱅크:ORG>), <야수:PER>는 <야마다 데쓰토:PER>(<24:NOH>·<야쿠르트:ORG>), <기쿠치 료스케:PER>(<26:NOH>·<히로시마:ORG>), <쓰쓰고 요시토모:PER>(<24:NOH>·<요코하마:ORG>)가 <대표팀:ORG> 주축으로 나설 전망이다.
쇼	쇼	NNG	B-PER
으면서	으면서	EC	O
_	_	_	O
풀리	풀리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
앙금	앙금	NNG	O
을	을	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 3
## 전교조는 반발하고 있다.
## <전교조:ORG>는 반발하고 있다.
전교조	전교조	NNP	B-ORG
는	는	JX	O
_	_	_	O
반발하	반발하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## SBS 런닝맨, 자막에 노 전 대통령 비하 ‘일베’ 용어…오타 실수라고?
## <SBS:POH> <런닝맨:POH>, 자막에 <노:PER> 전 대통령 비하 ‘일베’ 용어…오타 실수라고?
SBS	SBS	SL	B-POH
_	_	_	O
런닝맨	런닝맨	NNP	B-POH
,	,	SP	O
_	_	_	O
자막	자막	NNG	O
에	에	JKB	O
_	_	_	O
노	노	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
비하	비하	NNG	O
_	_	_	O
‘	‘	SS	O
일베	일베	NNG	O
’	’	SS	O
_	_	_	O
용어	용어	NNG	O
…	…	SE	O
오타	오타	NNP	O
_	_	_	O
실수	실수+이	NNG+VCP	O
라고	라고	EF	O
?	?	SF	O

## 5
## ‘유전자검사’ 김현중, 앞서 자필편지서 “군대 동료들로부터 용기를 받으며…”
## ‘유전자검사’ <김현중:PER>, 앞서 자필편지서 “군대 동료들로부터 용기를 받으며…”
‘	‘	SS	O
유전자	유전자	NNG	O
검사	검사	NNG	O
’	’	SS	O
_	_	_	O
김현중	김현중	NNP	B-PER
,	,	SP	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
자필	자필	NNG	O
편지	편지	NNG	O
서	서	JKB	O
_	_	_	O
“	“	SS	O
군대	군대	NNG	O
_	_	_	O
동료	동료	NNG	O
들	들	XSN	O
로부터	로부터	JKB	O
_	_	_	O
용기	용기	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
으며	으며	EC	O
…	…	SE	O
”	”	SS	O

## 6
## 특히 하니는 승무원 복장으로 색다른 매력을 발산하며 눈길을 끌었다.
## 특히 <하니:PER>는 승무원 복장으로 색다른 매력을 발산하며 눈길을 끌었다.
특히	특히	MAG	O
_	_	_	O
하니	하니	NNP	B-PER
는	는	JX	O
_	_	_	O
승무원	승무원	NNG	O
_	_	_	O
복장	복장	NNG	O
으로	으로	JKB	O
_	_	_	O
색다른	색다르+ㄴ	VA+ETM	O
_	_	_	O
매력	매력	NNG	O
을	을	JKO	O
_	_	_	O
발산하	발산하	VV	O
며	며	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 한편, 이날 하니가 출연한 JTBC ‘크라임씬2’에서는 초호화 크루즈에서 벌어진 의문의 살인 사건을 배경으로 치열한 추리 대결이 펼쳐졌다.
## 한편, 이날 <하니:PER>가 출연한 <JTBC:POH> ‘<크라임씬2:POH>’에서는 초호화 크루즈에서 벌어진 의문의 살인 사건을 배경으로 치열한 추리 대결이 펼쳐졌다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
하	하	VV	B-PER
니	니	EC	I-PER
가	가	JKS	O
_	_	_	O
출연한	출연하+ㄴ	VV+ETM	O
_	_	_	O
JTBC	JTBC	SL	B-POH
_	_	_	O
‘	‘	SS	O
크라임	크라임	NNG	B-POH
씬	씬	NNP	I-POH
2	2	SN	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
초	초	XPN	O
호화	호화	NNG	O
_	_	_	O
크루즈	크루즈	NNG	O
에서	에서	JKB	O
_	_	_	O
벌어진	벌어지+ㄴ	VV+ETM	O
_	_	_	O
의문	의문	NNG	O
의	의	JKG	O
_	_	_	O
살인	살인	NNG	O
_	_	_	O
사건	사건	NNG	O
을	을	JKO	O
_	_	_	O
배경	배경	NNG	O
으로	으로	JKB	O
_	_	_	O
치열한	치열하+ㄴ	VA+ETM	O
_	_	_	O
추리	추리	NNG	O
_	_	_	O
대결	대결	NNG	O
이	이	JKS	O
_	_	_	O
펼쳐	펼쳐지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 이날 ‘크라임씬2’에서는 ‘센터크루즈’의 부선장인 유기환이 지하창고에서 총에 맞아 숨진 채 발견됐다.
## 이날 ‘<크라임씬2:POH>’에서는 ‘<센터크루즈:POH>’의 부선장인 <유기환:PER>이 지하창고에서 총에 맞아 숨진 채 발견됐다.
이날	이날	NNG	O
_	_	_	O
‘	‘	SS	O
크라임	크라임	NNG	B-POH
씬	씬	NNP	I-POH
2	2	SN	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
센터	센터	NNG	B-POH
크루즈	크루즈	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
부선장	부선장	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
유기환	유기환	NNP	B-PER
이	이	JKS	O
_	_	_	O
지하	지하	NNG	O
창고	창고	NNG	O
에서	에서	JKB	O
_	_	_	O
총	총	NNG	O
에	에	JKB	O
_	_	_	O
맞	맞	VV	O
아	아	EC	O
_	_	_	O
숨진	숨지+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
발견	발견되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 홍진영, ‘행사여왕’ 인증…“피크일 때 6~7개”
## <홍진영:PER>, ‘행사여왕’ 인증…“피크일 때 <6:NOH>~<7개:NOH>”
홍진영	홍진영	NNP	B-PER
,	,	SP	O
_	_	_	O
‘	‘	SS	O
행사	행사	NNG	O
여왕	여왕	NNG	O
’	’	SS	O
_	_	_	O
인증	인증	NNG	O
…	…	SE	O
“	“	SS	O
피크	피크	NNG	O
일	일	NNP	O
_	_	_	O
때	때	NNG	O
_	_	_	O
6	6	SN	B-NOH
~	~	SO	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
”	”	SS	O

## 10
## 이 병원은 돈 없으면 환자도 내쫓느냐’며 20여분 동안 욕설을 하고 난동을 부린 혐의를 받고 있다.
## 이 병원은 돈 없으면 환자도 내쫓느냐’며 <20여분:DUR> 동안 욕설을 하고 난동을 부린 혐의를 받고 있다.
이	이	MM	O
_	_	_	O
병원	병원	NNG	O
은	은	JX	O
_	_	_	O
돈	돈	NNG	O
_	_	_	O
없	없	VA	O
으면	으면	EC	O
_	_	_	O
환자	환자	NNG	O
도	도	JX	O
_	_	_	O
내쫓	내쫓	VV	O
느냐	느냐	EF	O
’	’	SS	O
며	며	EC	O
_	_	_	O
20	20	SN	B-DUR
여	여	XSN	I-DUR
분	분	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
욕설	욕설	NNG	O
을	을	JKO	O
_	_	_	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
난동	난동	NNG	O
을	을	JKO	O
_	_	_	O
부린	부리+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 경찰조사 결과, 박씨는 지난 1월13일부터 2월12일까지 모두 10차례에 걸쳐 부산지역 종합병원을 돌아다니며 술에 취해 행패를 부린 것으로 드러났다.
## 경찰조사 결과, <박:PER>씨는 지난 <1월13일부터 2월12일:DUR>까지 모두 <10차례:NOH>에 걸쳐 <부산:LOC>지역 종합병원을 돌아다니며 술에 취해 행패를 부린 것으로 드러났다.
경찰	경찰	NNG	O
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
,	,	SP	O
_	_	_	O
박	박	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DUR
월	월	NNB	I-DUR
13	13	SN	I-DUR
일	일	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
2	2	SN	I-DUR
월	월	NNB	I-DUR
12	12	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
10	10	SN	B-NOH
차례	차례	NNG	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
부산	부산	NNP	B-LOC
지역	지역	NNG	O
_	_	_	O
종합	종합	NNG	O
병원	병원	NNG	O
을	을	JKO	O
_	_	_	O
돌아다니	돌아다니	VV	O
며	며	EC	O
_	_	_	O
술	술	NNG	O
에	에	JKB	O
_	_	_	O
취해	취하+여	VV+EC	O
_	_	_	O
행패	행패	NNG	O
를	를	JKO	O
_	_	_	O
부린	부리+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 경찰은 박씨가 술만 마시면 병원에 가서 치료를 해달라고 떼를 쓴 것으로 보인다고 설명했다.
## 경찰은 <박:PER>씨가 술만 마시면 병원에 가서 치료를 해달라고 떼를 쓴 것으로 보인다고 설명했다.
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
박	박	NNP	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
술	술	NNG	O
만	만	JX	O
_	_	_	O
마시	마시	VV	O
면	면	EC	O
_	_	_	O
병원	병원	NNG	O
에	에	JKB	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
치료	치료	NNG	O
를	를	JKO	O
_	_	_	O
해	하+여	VV+EC	O
달	달	VX	O
라고	라고	EC	O
_	_	_	O
떼	떼	NNG	O
를	를	JKO	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다고	보이+ㄴ다고	VV+EC	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 피해신고를 접수받은 경찰은 병원진료 기록과 폐쇄회로(CC)TV를 통해 박씨의 모습을 확인하고 검거했다.
## 피해신고를 접수받은 경찰은 병원진료 기록과 폐쇄회로(CC)TV를 통해 <박:PER>씨의 모습을 확인하고 검거했다.
피해	피해	NNG	O
신고	신고	NNG	O
를	를	JKO	O
_	_	_	O
접수	접수	NNG	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
병원	병원	NNG	O
진료	진료	NNG	O
_	_	_	O
기록	기록	NNG	O
과	과	JC	O
_	_	_	O
폐쇄	폐쇄	NNG	O
회로	회로	NNG	O
(	(	SS	O
CC	CC	SL	O
)	)	SS	O
TV	TV	SL	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
박	박	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
확인하	확인하	VV	O
고	고	EC	O
_	_	_	O
검거	검거하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 황교안 후보자는 이날 증인 참고인 대상 질의에는 출석하지 않도록 특위 차원에서 조정 돼 두 사람은 이날 청문회장에서 직접 만나지는 않았다.
## <황교안:PER> 후보자는 이날 증인 참고인 대상 질의에는 출석하지 않도록 특위 차원에서 조정 돼 <두 사람:NOH>은 이날 청문회장에서 직접 만나지는 않았다.
황교안	황교안	NNP	B-PER
_	_	_	O
후보자	후보자	NNG	O
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
증인	증인	NNG	O
_	_	_	O
참고인	참고인	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
질의	질의	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
출석하	출석하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
도록	도록	EC	O
_	_	_	O
특위	특위	NNG	O
_	_	_	O
차원	차원	NNG	O
에서	에서	JKB	O
_	_	_	O
조정	조정	NNG	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
청문회	청문회	NNG	O
장	장	XSN	O
에서	에서	JKB	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
만나	만나	VV	O
지	지	EC	O
는	는	JX	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 황교안 후보자와 노회찬 전 의원은 경기고 72회 동기동창이다.
## <황교안:PER> 후보자와 <노회찬:PER> 전 의원은 <경기고:ORG> <72회:NOH> 동기동창이다.
황교안	황교안	NNP	B-PER
_	_	_	O
후보자	후보자	NNG	O
와	와	JC	O
_	_	_	O
노회찬	노회찬	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
경기고	경기고	NNP	B-ORG
_	_	_	O
72	72	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
동기	동기	NNG	O
동창	동창	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 16
## 손정의가 얼마에 알리바바 주식을 사들였는지(평균 매입가격)는 공개하지 않았다.
## <손정의:PER>가 얼마에 <알리바바:ORG> 주식을 사들였는지(평균 매입가격)는 공개하지 않았다.
손정의	손정의	NNP	B-PER
가	가	JKS	O
_	_	_	O
얼마	얼마	NNG	O
에	에	JKB	O
_	_	_	O
알리바바	알리바바	NNP	B-ORG
_	_	_	O
주식	주식	NNG	O
을	을	JKO	O
_	_	_	O
사들	사들이	VV	O
였	었	EP	O
는지	는지	EF	O
(	(	SS	O
평균	평균	NNG	O
_	_	_	O
매입	매입	NNG	O
가격	가격	NNG	O
)	)	SS	O
는	는	JX	O
_	_	_	O
공개하	공개하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 17
## 국민생활체육회는 동계생활체육대축전이 동계스포츠의 활성화와 동계종목에 대한 국민적 관심을 불러일으킬 것으로 기대하며, 앞으로도 매년 개최할 예정이다.
## <국민생활체육회:ORG>는 <동계생활체육대축전:POH>이 동계스포츠의 활성화와 동계종목에 대한 국민적 관심을 불러일으킬 것으로 기대하며, 앞으로도 매년 개최할 예정이다.
국민	국민	NNG	B-ORG
생활	생활	NNG	I-ORG
체육	체육	NNG	I-ORG
회	회	XSN	I-ORG
는	는	JX	O
_	_	_	O
동계	동계	NNG	B-POH
생활	생활	NNG	I-POH
체육	체육	NNG	I-POH
대축전	대축전	NNG	I-POH
이	이	JKS	O
_	_	_	O
동계	동계	NNG	O
스포츠	스포츠	NNG	O
의	의	JKG	O
_	_	_	O
활성화	활성화	NNG	O
와	와	JC	O
_	_	_	O
동계	동계	NNG	O
종목	종목	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
국민적	국민적	NNG	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
불러일으킬	불러일으키+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
기대하	기대하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
개최할	개최하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

