## 1
## 대한민국의 정체성을 훼손한 사람, 법안 하나 제대로 발의하지 못한 사람, 국회 절차와 규칙을 무시하면서 돌출 행동을 일삼았던 사람, 갑질 하고 막말한 사람, 실력 없이 권력에 줄서고 아첨한 사람, 부패와 성희롱에 연루되었던 사람, 폭력 시위에 참여해 선동에 앞장섰던 사람들에 대해 신상필벌의 원칙을 세워 심판해야 한다.
## <대한민국:ORG>의 정체성을 훼손한 사람, 법안 <하나:NOH> 제대로 발의하지 못한 사람, 국회 절차와 규칙을 무시하면서 돌출 행동을 일삼았던 사람, 갑질 하고 막말한 사람, 실력 없이 권력에 줄서고 아첨한 사람, 부패와 성희롱에 연루되었던 사람, 폭력 시위에 참여해 선동에 앞장섰던 사람들에 대해 신상필벌의 원칙을 세워 심판해야 한다.
대한민국	대한민국	NNP	B-ORG
교통	교통	NNG	O
_	_	_	O
서비스	서비스+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 강력한 군사력을 바탕으로 미국이 ‘불량국가’를 관리해야 한다는 주장을 폈다.
## 강력한 군사력을 바탕으로 <미국:ORG>이 ‘불량국가’를 관리해야 한다는 주장을 폈다.
강력한	강력하+ㄴ	VA+ETM	O
_	_	_	O
군사력	군사력	NNG	O
을	을	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
불량	불량	NNG	O
국가	국가	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
관리해야	관리하+여야	VV+EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
주장	주장	NNG	O
을	을	JKO	O
_	_	_	O
폈	펴+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 2008년 민주당 버락 오바마 대통령이 당선되면서 공화당에 티파티 세력이 새롭게 등장했다.
## <2008년:DAT> <민주당:ORG> <버락 오바마:PER> 대통령이 당선되면서 <공화당:ORG>에 <티파티:PER> 세력이 새롭게 등장했다.
2008	2008	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
민주당	민주당	NNP	B-ORG
_	_	_	O
버락	버락	NNP	B-PER
_	_	_	I-PER
오바마	오바마	NNP	I-PER
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
당선되	당선되	VV	O
면서	면서	EC	O
_	_	_	O
공화당	공화당	NNP	B-ORG
에	에	JKB	O
_	_	_	O
티	티	NNG	B-PER
파티	파티	NNG	I-PER
_	_	_	O
세력	세력	NNG	O
이	이	JKS	O
_	_	_	O
새롭	새롭	VA	O
게	게	EC	O
_	_	_	O
등장	등장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 2011시즌 1.81의 방어율로 홀드왕에 올랐고, 2012년 마무리로도 실력을 입증(30세이브·방어율 2.20)한 뒤 커리어의 전성기에 입대해야 했기에 아쉬움이 더욱 클 법했다.
## <2011시즌:DAT> <1.81:PNT>의 방어율로 홀드왕에 올랐고, <2012년:DAT> 마무리로도 실력을 입증(<30세이브:NOH>·방어율 <2.20:PNT>)한 뒤 커리어의 전성기에 입대해야 했기에 아쉬움이 더욱 클 법했다.
2011	2011	SN	B-DAT
시즌	시즌	NNG	I-DAT
_	_	_	O
1.81	1.81	SN	B-PNT
의	의	JKG	O
_	_	_	O
방어율	방어율	NNG	O
로	로	JKB	O
_	_	_	O
홀드	홀드	NNG	O
왕	왕	XSN	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
마무리	마무리	NNG	O
로	로	JKB	O
도	도	JX	O
_	_	_	O
실력	실력	NNG	O
을	을	JKO	O
_	_	_	O
입증	입증	NNG	O
(	(	SS	O
30	30	SN	B-NOH
세이브	세이브	NNG	I-NOH
·	·	SP	O
방어율	방어율	NNG	O
_	_	_	O
2.20	2.20	SN	B-PNT
)	)	SS	O
한	하+ㄴ	XSV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
커리어	커리어	NNG	O
의	의	JKG	O
_	_	_	O
전성기	전성기	NNG	O
에	에	JKB	O
_	_	_	O
입대해야	입대하+여야	VV+EC	O
_	_	_	O
했	+였	+EP	O
기에	기에	EC	O
_	_	_	O
아쉬움	아쉬움	NNG	O
이	이	JKS	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
클	크+ㄹ	VA+ETM	O
_	_	_	O
법	법하	VX	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 그러나 2년의 공백을 딛고 돌아온 2015년 정우람은 SK의 불펜 에이스로 전반기 1.65의 놀라운 방어율을 기록했다.
## 그러나 <2년:NOH>의 공백을 딛고 돌아온 <2015년:DAT> <정우람:PER>은 <SK:ORG>의 불펜 에이스로 전반기 <1.65:PNT>의 놀라운 방어율을 기록했다.
그러나	그러나	MAJ	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
의	의	JKG	O
_	_	_	O
공백	공백	NNG	O
을	을	JKO	O
_	_	_	O
딛	딛	VV	O
고	고	EC	O
_	_	_	O
돌아온	돌아오+ㄴ	VV+ETM	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
정우람	정우람	NNP	B-PER
은	은	JX	O
_	_	_	O
SK	SK	SL	B-ORG
의	의	JKG	O
_	_	_	O
불펜	불펜	NNG	O
_	_	_	O
에이스	에이스	NNG	O
로	로	JKB	O
_	_	_	O
전반기	전반기	NNG	O
_	_	_	O
1.65	1.65	SN	B-PNT
의	의	JKG	O
_	_	_	O
놀라	놀랍	VA	O
운	ㄴ	ETM	O
_	_	_	O
방어율	방어율	NNG	O
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 박병호 기자회견 “미네소타와의 계약, 기분 좋게 사인했다”
## <박병호:PER> 기자회견 “<미네소타:ORG>와의 계약, 기분 좋게 사인했다”
박병호	박병호	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
회견	회견	NNG	O
_	_	_	O
“	“	SS	O
미네소타	미네소타	NNP	B-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
계약	계약	NNG	O
,	,	SP	O
_	_	_	O
기분	기분	NNG	O
_	_	_	O
좋	좋	VA	O
게	게	EC	O
_	_	_	O
사인	사인하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O

## 8
## 최저임금근로자의 소득대체율이 90% 수준에 이르러 과도했던 측면도 개선돼야 한다.
## 최저임금근로자의 소득대체율이 <90%:PNT> 수준에 이르러 과도했던 측면도 개선돼야 한다.
최저임금	최저임금	NNG	O
근로자	근로자	NNG	O
의	의	JKG	O
_	_	_	O
소득	소득	NNG	O
대체	대체	NNG	O
율	율	XSN	O
이	이	JKS	O
_	_	_	O
90	90	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
수준	수준	NNG	O
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
러	어	EC	O
_	_	_	O
과도	과도하	VA	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
측면	측면	NNG	O
도	도	JX	O
_	_	_	O
개선돼야	개선되+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 9
## 킴 카다시안 "내 블랙베리가 드디어…"
## <킴 카다시안:PER> "내 <블랙베리:POH>가 드디어…"
킴	킴	NNP	B-PER
_	_	_	I-PER
카다시안	카다시안	NNP	I-PER
_	_	_	O
"	"	SS	O
내	나+의	NP+JKG	O
_	_	_	O
블랙베리	블랙베리	NNG	B-POH
가	가	JKS	O
_	_	_	O
드디어	드디어	MAG	O
…	…	SE	O
"	"	SS	O

## 10
## 임 상무는 1998년 삼성전자 이재용(47) 부회장과 결혼했다가 2009년 합의 이혼했다.
## <임:PER> 상무는 <1998년:DAT> <삼성전자:ORG> <이재용:PER>(<47:NOH>) 부회장과 결혼했다가 <2009년:DAT> 합의 이혼했다.
임	임	NNP	B-PER
_	_	_	O
상무	상무	NNG	O
는	는	JX	O
_	_	_	O
1998	1998	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
삼성전자	삼성전자	NNP	B-ORG
_	_	_	O
이재용	이재용	NNP	B-PER
(	(	SS	O
47	47	SN	B-NOH
)	)	SS	O
_	_	_	O
부회장	부회장	NNG	O
과	과	JC	O
_	_	_	O
결혼	결혼하	VV	O
했	였	EP	O
다가	다가	EC	O
_	_	_	O
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
합의	합의	NNG	O
_	_	_	O
이혼	이혼하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이날 행사에서 가스안전과 산업발전에 기여한 공로로 김상범 화성가스 대표이사가 철탑산업훈장을 받았다.
## 이날 행사에서 가스안전과 산업발전에 기여한 공로로 <김상범:PER> <화성가스:ORG> 대표이사가 <철탑산업훈장:POH>을 받았다.
이날	이날	NNG	O
_	_	_	O
행사	행사	NNG	O
에서	에서	JKB	O
_	_	_	O
가스	가스	NNG	O
안전	안전	NNG	O
과	과	JC	O
_	_	_	O
산업	산업	NNG	O
발전	발전	NNG	O
에	에	JKB	O
_	_	_	O
기여한	기여하+ㄴ	VV+ETM	O
_	_	_	O
공로	공로	NNG	O
로	로	JKB	O
_	_	_	O
김상범	김상범	NNP	B-PER
_	_	_	O
화성	화성	NNP	B-ORG
가스	가스	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
이사	이사	NNG	O
가	가	JKS	O
_	_	_	O
철탑	철탑	NNG	B-POH
산업	산업	NNG	I-POH
훈장	훈장	NNG	I-POH
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 배성우 배성재, 영화 ‘특종’ VIP 시사회 동행… 해피투게더 녹화에선 디스?
## <배성우:PER> <배성재:PER>, 영화 ‘<특종:POH>’ VIP 시사회 동행… <해피투게더:POH> 녹화에선 디스?
배	배	NNP	B-PER
성우	성우	NNG	I-PER
_	_	_	O
배성재	배성재	NNP	B-PER
,	,	SP	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
특종	특종	NNG	B-POH
’	’	SS	O
_	_	_	O
VIP	VIP	SL	O
_	_	_	O
시사회	시사회	NNG	O
_	_	_	O
동행	동행	NNG	O
…	…	SE	O
_	_	_	O
해피투게더	해피투게더	NNP	B-POH
_	_	_	O
녹화	녹화	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
디스	디스	NNG	O
?	?	SF	O

## 13
## 그래도 60여 년 전처럼 한국 사회를 도와주려고 노력하고 있다.
## 그래도 <60여 년:DUR> 전처럼 <한국:ORG> 사회를 도와주려고 노력하고 있다.
그래도	그리하+여도	VV+EC	O
_	_	_	O
60	60	SN	B-DUR
여	여	XSN	I-DUR
_	_	_	I-DUR
년	년	NNB	I-DUR
_	_	_	O
전	전	NNG	O
처럼	처럼	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
사회	사회	NNG	O
를	를	JKO	O
_	_	_	O
도와주	도와주	VV	O
려고	려고	EC	O
_	_	_	O
노력하	노력하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

