## 1
## 다만 책이나 휴대전화를 봐야 하는 거리에서 불편함을 느끼기 시작할 정도로 진행되는 게 40대이기 때문에 그 무렵부터 노안 증세를 느끼는 것이다.
## 다만 책이나 휴대전화를 봐야 하는 거리에서 불편함을 느끼기 시작할 정도로 진행되는 게 <40대:NOH>이기 때문에 그 무렵부터 노안 증세를 느끼는 것이다.
다만	다만	MAG	O
## (문의 <02-553-1323:POH> 홈페이지 <www.i-appletree.com:POH>) 섭취방법 <1:NOH>. 하루 <한 번:NOH> 섭취할 때: 물<1컵:NOH>(<200ml:NOH>) + <1포:NOH>를 넣어 식사 <30분:NOH> 전 <한 잔:NOH>(아침/저녁 무관)<2:NOH>. 온종일 섭취할 때: <500ml:NOH>~<1.5L:NOH> 물병에 <1포:NOH>를 넣어 엷게 타서 아무 때나 수시로 섭취(식사 중에도 무관), 시원하게 또는 따뜻한 차로도 즐길 수 있다.
(	(	SS	O
문의	문의	NNG	O
_	_	_	O
02	02	SN	B-POH
-	-	SO	I-POH
553	553	SN	I-POH
-	-	SO	I-POH
1323	1323	SN	I-POH
_	_	_	O
홈페이지	홈페이지	NNG	O
_	_	_	O
www	www	SL	B-POH
.	.	SF	I-POH
i	i	SL	I-POH
-	-	SO	I-POH
appletree	appletree	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
)	)	SS	O
_	_	_	O
섭취	섭취	NNG	O
방법	방법	NNG	O
_	_	_	O
1	1	SN	B-NOH
.	.	SF	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
섭취할	섭취하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
:	:	SP	O
_	_	_	O
물	물	NNG	O
1	1	SN	B-NOH
컵	컵	NNG	I-NOH
(	(	SS	O
200	200	SN	B-NOH
ml	ml	SL	I-NOH
)	)	SS	O
_	_	_	O
+	+	SW	O
_	_	_	O
1	1	SN	B-NOH
포	포	NNG	I-NOH
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
어	어	EC	O
_	_	_	O
식사	식사	NNG	O
_	_	_	O
30	30	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
잔	잔	NNG	I-NOH
(	(	SS	O
아침	아침	NNG	O
/	/	SP	O
저녁	저녁	NNG	O
_	_	_	O
무관	무관	NNG	O
)	)	SS	O
2	2	SN	B-NOH
.	.	SF	O
_	_	_	O
온종일	온종일	NNG	O
_	_	_	O
섭취할	섭취하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
:	:	SP	O
_	_	_	O
500	500	SN	B-NOH
ml	ml	SL	I-NOH
~	~	SO	O
1.5	1.5	SN	B-NOH
L	L	SL	I-NOH
_	_	_	O
물병	물병	NNG	O
에	에	JKB	O
_	_	_	O
1	1	SN	B-NOH
포	포	NNG	I-NOH
를	를	JKO	O
_	_	_	O
넣	넣	VV	O
어	어	EC	O
_	_	_	O
엷	엷	VA	O
게	게	EC	O
_	_	_	O
타서	타+아서	VV+EC	O
_	_	_	O
아무	아무	MM	O
_	_	_	O
때	때	NNG	O
나	나	JX	O
_	_	_	O
수시로	수시로	MAG	O
_	_	_	O
섭취	섭취	NNG	O
(	(	SS	O
식사	식사	NNG	O
_	_	_	O
중	중	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
무관	무관	NNG	O
)	)	SS	O
,	,	SP	O
_	_	_	O
시원하	시원하	VA	O
게	게	EC	O
_	_	_	O
또는	또는	MAG	O
_	_	_	O
따뜻한	따뜻하+ㄴ	VA+ETM	O
_	_	_	O
차로	차로	NNG	O
도	도	JX	O
_	_	_	O
즐길	즐기+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 여수는 보석처럼 흩뿌려진 353개의 섬이 아름다운 풍광을 자랑한다.
## <여수:LOC>는 보석처럼 흩뿌려진 <353개:NOH>의 섬이 아름다운 풍광을 자랑한다.
여수	여수	NNP	B-LOC
는	는	JX	O
_	_	_	O
보석	보석	NNG	O
처럼	처럼	JKB	O
_	_	_	O
흩뿌려	흩뿌리+어	VV+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
353	353	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
섬	섬	NNG	O
이	이	JKS	O
_	_	_	O
아름다	아름답	VA	O
운	ㄴ	ETM	O
_	_	_	O
풍광	풍광	NNG	O
을	을	JKO	O
_	_	_	O
자랑한다	자랑하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 4세 연하인 김지현 PD는 2014년 11월30일 정준호 등이 출연한 MBC '드라마 페스티벌-원녀일기'를 통해 연출자로 데뷔했다.
## <4세:NOH> 연하인 <김지현:PER> PD는 <2014년 11월30일:DAT> <정준호:PER> 등이 출연한 <MBC:ORG> '<드라마 페스티벌-원녀일기:POH>'를 통해 연출자로 데뷔했다.
4	4	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
연하	연하	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김지현	김지현	NNP	B-PER
_	_	_	O
PD	PD	SL	O
는	는	JX	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
11	11	SN	I-DAT
월	월	NNB	I-DAT
30	30	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
정준호	정준호	NNP	B-PER
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
출연한	출연하+ㄴ	VV+ETM	O
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
'	'	SS	O
드라마	드라마	NNG	B-POH
_	_	_	I-POH
페스티벌	페스티벌	NNG	I-POH
-	-	SO	I-POH
원녀	원녀	NNG	I-POH
일기	일기	NNG	I-POH
'	'	SS	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
연출자	연출자	NNG	O
로	로	JKB	O
_	_	_	O
데뷔	데뷔하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이후 지난해 12월 방송된 두 번째 작품인 MBC 단막극 '퐁당퐁당 LOVE'의 극본과 연출을 동시에 맡았다.
## 이후 지난해 <12월:DAT> 방송된 두 번째 작품인 <MBC:ORG> 단막극 '<퐁당퐁당 LOVE:POH>'의 극본과 연출을 동시에 맡았다.
이후	이후	NNG	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
작품	작품	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
단막극	단막극	NNG	O
_	_	_	O
'	'	SS	O
퐁당퐁당	퐁당퐁당	NNP	B-POH
_	_	_	I-POH
LOVE	LOVE	SL	I-POH
'	'	SS	O
의	의	JKG	O
_	_	_	O
극본	극본	NNG	O
과	과	JC	O
_	_	_	O
연출	연출	NNG	O
을	을	JKO	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
맡	맡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이에 네티즌들은 “겟잇뷰티 이하늬 마유크림, 구입처는 어디?”, “겟잇뷰티 이하늬 마유크림, 정말 효과있나?”, “겟잇뷰티 이하늬 마유크림, 이하늬 몸매 비결 이거였군”, “겟잇뷰티 이하늬 마유크림, 나도 피부관리가 필요해”, “겟잇뷰티 이하늬 마유크림, 자세한 방법 올려주세요”, “겟잇뷰티 이하늬 마유크림, 피부 정말 부럽다” 등의 반응을 보였다.
## 이에 네티즌들은 “<겟잇뷰티:POH> <이하늬:PER> 마유크림, 구입처는 어디?”, “<겟잇뷰티:POH> <이하늬:PER> 마유크림, 정말 효과있나?”, “<겟잇뷰티:POH> <이하늬:PER> 마유크림, <이하늬:PER> 몸매 비결 이거였군”, “<겟잇뷰티:POH> <이하늬:PER> 마유크림, 나도 피부관리가 필요해”, “<겟잇뷰티:POH> <이하늬:PER> 마유크림, 자세한 방법 올려주세요”, “<겟잇뷰티:POH> <이하늬:PER> 마유크림, 피부 정말 부럽다” 등의 반응을 보였다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
겟잇뷰티	겟잇뷰티	NNG	B-POH
_	_	_	O
이하늬	이하늬	NNP	B-PER
_	_	_	O
마유	마유	NNG	O
크림	크림	NNG	O
,	,	SP	O
_	_	_	O
구입	구입	NNG	O
처	처	XSN	O
는	는	JX	O
_	_	_	O
어디	어디	NP	O
?	?	SF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
겟잇뷰티	겟잇뷰티	NNG	B-POH
_	_	_	O
이하늬	이하늬	NNP	B-PER
_	_	_	O
마유	마유	NNG	O
크림	크림	NNG	O
,	,	SP	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
효과	효과	NNG	O
있	있	VA	O
나	나	EF	O
?	?	SF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
겟잇뷰티	겟잇뷰티	NNG	B-POH
_	_	_	O
이하늬	이하늬	NNP	B-PER
_	_	_	O
마유	마유	NNG	O
크림	크림	NNG	O
,	,	SP	O
_	_	_	O
이하늬	이하늬	NNP	B-PER
_	_	_	O
몸매	몸매	NNG	O
_	_	_	O
비결	비결	NNG	O
_	_	_	O
이거	이거+이	NP+VCP	O
였	었	EP	O
군	군	EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
겟잇뷰티	겟잇뷰티	NNG	B-POH
_	_	_	O
이하늬	이하늬	NNP	B-PER
_	_	_	O
마유	마유	NNG	O
크림	크림	NNG	O
,	,	SP	O
_	_	_	O
나	나	NP	O
도	도	JX	O
_	_	_	O
피부	피부	NNG	O
관리	관리	NNG	O
가	가	JKS	O
_	_	_	O
필요해	필요하+여	VA+EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
겟잇뷰티	겟잇뷰티	NNG	B-POH
_	_	_	O
이하늬	이하늬	NNP	B-PER
_	_	_	O
마유	마유	NNG	O
크림	크림	NNG	O
,	,	SP	O
_	_	_	O
자세한	자세하+ㄴ	VA+ETM	O
_	_	_	O
방법	방법	NNG	O
_	_	_	O
올려	올리+어	VV+EC	O
주	주	VX	O
세요	세요	EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
겟잇뷰티	겟잇뷰티	NNG	B-POH
_	_	_	O
이하늬	이하늬	NNP	B-PER
_	_	_	O
마유	마유	NNG	O
크림	크림	NNG	O
,	,	SP	O
_	_	_	O
피부	피부	NNG	O
_	_	_	O
정말	정말	MAG	O
_	_	_	O
부럽	부럽	VA	O
다	다	EF	O
”	”	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 한편 ‘겟잇뷰티 2015’는 2034 여성들이 열광하는 대한민국 대표 뷰티 프로그램으로 과거 메이크업을 주로 소개했던 구성에서 벗어나 올해는 음식, 운동, 생활습관 등 요즘 여성들의 뷰티 관심사를 적극 반영한 토탈 뷰티쇼로 변신한다.
## 한편 ‘<겟잇뷰티:POH> <2015:DAT>’는 <2034:NOH> 여성들이 열광하는 <대한민국:LOC> 대표 뷰티 프로그램으로 과거 메이크업을 주로 소개했던 구성에서 벗어나 올해는 음식, 운동, 생활습관 등 요즘 여성들의 뷰티 관심사를 적극 반영한 토탈 뷰티쇼로 변신한다.
한편	한편	MAG	O
_	_	_	O
‘	‘	SS	O
겟잇뷰티	겟잇뷰티	NNG	B-POH
_	_	_	O
2015	2015	SN	B-DAT
’	’	SS	O
는	는	JX	O
_	_	_	O
2034	2034	SN	B-NOH
_	_	_	O
여성	여성	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
열광하	열광하	VV	O
는	는	ETM	O
_	_	_	O
대한민국	대한민국	NNP	B-LOC
_	_	_	O
대표	대표	NNG	O
_	_	_	O
뷰티	뷰티	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
으로	으로	JKB	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
메이크업	메이크업	NNG	O
을	을	JKO	O
_	_	_	O
주로	주로	MAG	O
_	_	_	O
소개	소개하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
구성	구성	NNG	O
에서	에서	JKB	O
_	_	_	O
벗어나	벗어나+아	VV+EC	O
_	_	_	O
올해	올해	NNG	O
는	는	JX	O
_	_	_	O
음식	음식	NNG	O
,	,	SP	O
_	_	_	O
운동	운동	NNG	O
,	,	SP	O
_	_	_	O
생활	생활	NNG	O
습관	습관	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
요즘	요즘	NNG	O
_	_	_	O
여성	여성	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
뷰티	뷰티	NNG	O
_	_	_	O
관심사	관심사	NNG	O
를	를	JKO	O
_	_	_	O
적극	적극	NNG	O
_	_	_	O
반영한	반영하+ㄴ	VV+ETM	O
_	_	_	O
토탈	토탈	NNG	O
_	_	_	O
뷰티	뷰티	NNG	O
쇼	쇼	NNG	O
로	로	JKB	O
_	_	_	O
변신한다	변신하+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 이국주에게는 이용진이라고는 말 안 했다”며 “한강에 가서 돗자리를 펴놓고 술을 마시기도 했다”고 털어놔 큰 웃음을 줬다.
## <이국주:PER>에게는 <이용진:PER>이라고는 말 안 했다”며 “<한강:LOC>에 가서 돗자리를 펴놓고 술을 마시기도 했다”고 털어놔 큰 웃음을 줬다.
이국주	이국주	NNP	B-PER
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
이용진	이용진	NNP	B-PER
이	이	VCP	O
라고	라고	EC	O
는	는	JX	O
_	_	_	O
말	말	NNG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
한강	한강	NNP	B-LOC
에	에	JKB	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
돗자리	돗자리	NNG	O
를	를	JKO	O
_	_	_	O
펴	펴+어	VV+EC	O
놓	놓	VX	O
고	고	EC	O
_	_	_	O
술	술	NNG	O
을	을	JKO	O
_	_	_	O
마시	마시	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
털어놔	털어놓+아	VV+EC	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
줬	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 9
## 한편 이날 ‘라디오스타’는 ‘듣.보.실(듣도 보도 못했는데 실시간 검색어를 장악)’ 특집으로 손종학-김민수-장도연이 출연해 입담을 과시했다.
## 한편 이날 ‘<라디오스타:POH>’는 ‘듣.보.실(듣도 보도 못했는데 실시간 검색어를 장악)’ 특집으로 <손종학:PER>-<김민수:PER>-<장도연:PER>이 출연해 입담을 과시했다.
한편	한편	MAG	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
듣	듣	VV	O
.	.	SF	O
보	보	NNG	O
.	.	SF	O
실	실	NNG	O
(	(	SS	O
듣	듣+지	VV+EC	O
도	도	JX	O
_	_	_	O
보	보+지	VV+EC	O
도	도	JX	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
실시간	실시간	NNG	O
_	_	_	O
검색어	검색어	NNG	O
를	를	JKO	O
_	_	_	O
장악	장악	NNG	O
)	)	SS	O
’	’	SS	O
_	_	_	O
특집	특집	NNG	O
으로	으로	JKB	O
_	_	_	O
손종학	손종학	NNP	B-PER
-	-	SO	O
김민수	김민수	NNP	B-PER
-	-	SO	O
장도연	장도연	NNP	B-PER
이	이	JKS	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
입담	입담	NNG	O
을	을	JKO	O
_	_	_	O
과시	과시하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## ‘라디오스타 김민수 장도연 이용진’ 소식에 누리꾼들은 “라디오스타 김민수 장도연 이용진, 장도연 몸매도 좋고 얼굴도 예쁘고 좋은데”, “라디오스타 김민수 장도연 이용진, 얼마나 슬펐으면 국주와 함께 낮술을…”, “라디오스타 김민수 장도연 이용진, 김민수 은근 웃기네요” 등의 반응을 보였다.
## ‘<라디오스타:POH> <김민수:PER> <장도연:PER> <이용진:PER>’ 소식에 누리꾼들은 “<라디오스타:POH> <김민수:PER> <장도연:PER> <이용진:PER>, <장도연:PER> 몸매도 좋고 얼굴도 예쁘고 좋은데”, “<라디오스타:POH> <김민수:PER> <장도연:PER> <이용진:PER>, 얼마나 슬펐으면 국주와 함께 낮술을…”, “<라디오스타:POH> <김민수:PER> <장도연:PER> <이용진:PER>, <김민수:PER> 은근 웃기네요” 등의 반응을 보였다.
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
_	_	_	O
김민수	김민수	NNP	B-PER
_	_	_	O
장도연	장도연	NNP	B-PER
_	_	_	O
이용진	이용진	NNP	B-PER
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
에	에	JKB	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
라디오스타	라디오스타	NNP	B-POH
_	_	_	O
김민수	김민수	NNP	B-PER
_	_	_	O
장도연	장도연	NNP	B-PER
_	_	_	O
이용진	이용진	NNP	B-PER
,	,	SP	O
_	_	_	O
장도연	장도연	NNP	B-PER
_	_	_	O
몸매	몸매	NNG	O
도	도	JX	O
_	_	_	O
좋	좋	VA	O
고	고	EC	O
_	_	_	O
얼굴	얼굴	NNG	O
도	도	JX	O
_	_	_	O
예쁘	예쁘	VA	O
고	고	EC	O
_	_	_	O
좋	좋	VA	O
은데	은데	EF	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
라디오스타	라디오스타	NNP	B-POH
_	_	_	O
김민수	김민수	NNP	B-PER
_	_	_	O
장도연	장도연	NNP	B-PER
_	_	_	O
이용진	이용진	NNP	B-PER
,	,	SP	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
슬	슬프	VA	O
펐	었	EP	O
으면	으면	EC	O
_	_	_	O
국주	국주	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
낮술	낮술	NNG	O
을	을	JKO	O
…	…	SE	O
”	”	SS	O
,	,	SP	O
_	_	_	O
“	“	SS	O
라디오스타	라디오스타	NNP	B-POH
_	_	_	O
김민수	김민수	NNP	B-PER
_	_	_	O
장도연	장도연	NNP	B-PER
_	_	_	O
이용진	이용진	NNP	B-PER
,	,	SP	O
_	_	_	O
김민수	김민수	NNP	B-PER
_	_	_	O
은근	은근	NNG	O
_	_	_	O
웃기	웃기	VV	O
네요	네요	EF	O
”	”	SS	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
반응	반응	NNG	O
을	을	JKO	O
_	_	_	O
보	보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 국가안전기획부는 18일 김영삼대통령에 대한 올해 업무보고를 통해, 국가경쟁력을 뒷받침하기 위한 정보력 강화에 최우선을 두고, 국가기밀­정보의 대외유출 차단 활동을 강화하겠다고 밝혔다.
## <국가안전기획부:ORG>는 <18일:DAT> <김영삼:PER>대통령에 대한 올해 업무보고를 통해, 국가경쟁력을 뒷받침하기 위한 정보력 강화에 최우선을 두고, 국가기밀­정보의 대외유출 차단 활동을 강화하겠다고 밝혔다.
국가	국가	NNG	B-ORG
안전	안전	NNG	I-ORG
기획부	기획부	NNG	I-ORG
는	는	JX	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
김영삼	김영삼	NNP	B-PER
대통령	대통령	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
업무	업무	NNG	O
보고	보고	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
,	,	SP	O
_	_	_	O
국가	국가	NNG	O
경쟁력	경쟁력	NNG	O
을	을	JKO	O
_	_	_	O
뒷받침하	뒷받침하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
정보력	정보력	NNG	O
_	_	_	O
강화	강화	NNG	O
에	에	JKB	O
_	_	_	O
최우선	최우선	NNG	O
을	을	JKO	O
_	_	_	O
두	두	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
국가	국가	NNG	O
기밀	기밀	NNG	O
­	­	SS	O
정보	정보	NNG	O
의	의	JKG	O
_	_	_	O
대외	대외	NNG	O
유출	유출	NNG	O
_	_	_	O
차단	차단	NNG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
강화하	강화하	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

