## 1
## 따라서 우리측 경험자들은 『평양에 가기전에 북한이 잘 사용하는 선전전술에 대한 사전 대비를 철저히 하지 않으면 평양에 가서 아주 당혹스런 상황에 직면할 가능성이 높다』고 충고했다.
## 따라서 우리측 경험자들은 『<평양:LOC>에 가기전에 <북한:ORG>이 잘 사용하는 선전전술에 대한 사전 대비를 철저히 하지 않으면 <평양:LOC>에 가서 아주 당혹스런 상황에 직면할 가능성이 높다』고 충고했다.
따라서	따라서	MAJ	O
## 한겨레는 윤상현 의원의 막말 사건에서 윤 의원이 김무성 대표를 공천에서 솎아내라고 전화로 협의한 현역 의원이 누군지를 밝혀낼 수 있는데도 이를 당 차원에서 제대로 밝혀내지 않는 것이 친박계 의원들을 보호하려는 의도가 아니냐고 분석한다.
## <한겨레:ORG>는 <윤상현:PER> 의원의 막말 사건에서 <윤:PER> 의원이 <김무성:PER> 대표를 공천에서 솎아내라고 전화로 협의한 현역 의원이 누군지를 밝혀낼 수 있는데도 이를 당 차원에서 제대로 밝혀내지 않는 것이 친박계 의원들을 보호하려는 의도가 아니냐고 분석한다.
한겨레	한겨레	NNP	B-ORG
는	는	JX	O
_	_	_	O
윤상현	윤상현	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
의	의	JKG	O
_	_	_	O
막말	막말	NNG	O
_	_	_	O
사건	사건	NNG	O
에서	에서	JKB	O
_	_	_	O
윤	윤	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
김무성	김무성	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
를	를	JKO	O
_	_	_	O
공천	공천	NNG	O
에서	에서	JKB	O
_	_	_	O
솎	솎	VV	O
아	아	EC	O
내	내	VX	O
라고	라고	EC	O
_	_	_	O
전화	전화	NNG	O
로	로	JKB	O
_	_	_	O
협의한	협의하+ㄴ	VV+ETM	O
_	_	_	O
현역	현역	NNG	O
_	_	_	O
의원	의원	NNG	O
이	이	JKS	O
_	_	_	O
누군지	누구+이+ㄴ지	NP+VCP+EC	O
를	를	JKO	O
_	_	_	O
밝혀낼	밝혀내+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는데	는데	EC	O
도	도	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
당	당	NNG	O
_	_	_	O
차원	차원	NNG	O
에서	에서	JKB	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
밝혀내	밝혀내	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
친	친	XPN	O
박	박	NNP	O
계	계	XSN	O
_	_	_	O
의원	의원	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
보호하	보호하	VV	O
려는	려는	ETM	O
_	_	_	O
의도	의도	NNG	O
가	가	JKC	O
_	_	_	O
아니	아니	VCN	O
냐고	냐고	EC	O
_	_	_	O
분석한다	분석하+ㄴ다	VV+EF	O
.	.	SF	O

## 3
## 최 회장 측은 한진해운의 자율협약 신청 사실을 미리 알고 주식을 매각했다는 의혹에 대해 “고 조수호 전 한진해운 회장(최 회장의 남편)으로부터 상속받은 재산에 대한 세금을 내기 위해 주식을 팔았다”고 해명하고 있다.
## <최:PER> 회장 측은 <한진해운:ORG>의 자율협약 신청 사실을 미리 알고 주식을 매각했다는 의혹에 대해 “고 <조수호:PER> 전 <한진해운:ORG> 회장(<최:PER> 회장의 남편)으로부터 상속받은 재산에 대한 세금을 내기 위해 주식을 팔았다”고 해명하고 있다.
최	최	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
한진해운	한진해운	NNP	B-ORG
의	의	JKG	O
_	_	_	O
자율	자율	NNG	O
협약	협약	NNG	O
_	_	_	O
신청	신청	NNG	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
미리	미리	MAG	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
주식	주식	NNG	O
을	을	JKO	O
_	_	_	O
매각	매각하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
의혹	의혹	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
고	고	JKQ	O
_	_	_	O
조수호	조수호	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
한진해운	한진해운	NNP	B-ORG
_	_	_	O
회장	회장	NNG	O
(	(	SS	O
최	최	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
남편	남편	NNG	O
)	)	SS	O
으로부터	으로부터	JKB	O
_	_	_	O
상속	상속	NNG	O
받	받	XSV	O
은	은	ETM	O
_	_	_	O
재산	재산	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
세금	세금	NNG	O
을	을	JKO	O
_	_	_	O
내	내	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
주식	주식	NNG	O
을	을	JKO	O
_	_	_	O
팔	팔	VV	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
해명하	해명하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## 쇼케이스 현장에서 스마일게이트 메가포트 정수영 퍼블리싱 실장은 "국내 누적 가입자 100만 명, PC방 순위 10가 목표"라고 밝힌 바 있다.
## 쇼케이스 현장에서 <스마일게이트 메가포트:ORG> <정수영:PER> 퍼블리싱 실장은 "국내 누적 가입자 <100만 명:NOH>, PC방 순위 <10:NOH>가 목표"라고 밝힌 바 있다.
쇼케이스	쇼케이스	NNG	O
_	_	_	O
현장	현장	NNG	O
에서	에서	JKB	O
_	_	_	O
스마일	스마일	NNG	B-ORG
게이트	게이트	NNG	I-ORG
_	_	_	I-ORG
메가	메가	NNB	I-ORG
포트	포트	NNG	I-ORG
_	_	_	O
정수영	정수영	NNP	B-PER
_	_	_	O
퍼블리싱	퍼블리싱	NNG	O
_	_	_	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
"	"	SS	O
국내	국내	NNG	O
_	_	_	O
누적	누적	NNG	O
_	_	_	O
가입자	가입자	NNG	O
_	_	_	O
100	100	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
PC	PC	SL	O
방	방	NNG	O
_	_	_	O
순위	순위	NNG	O
_	_	_	O
10	10	SN	B-NOH
가	가	JKS	O
_	_	_	O
목표	목표	NNG	O
"	"	SS	O
라고	라고	JKQ	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 김성우 청와대 홍보수석이 비서실장 교체를 발표한 지 30분 후 ‘고별인사’를 위해서였다.
## <김성우:PER> <청와대:ORG> 홍보수석이 비서실장 교체를 발표한 지 <30분:NOH> 후 ‘고별인사’를 위해서였다.
김성우	김성우	NNP	B-PER
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
홍보	홍보	NNG	O
수석	수석	NNG	O
이	이	JKS	O
_	_	_	O
비서실	비서실	NNG	O
장	장	XSN	O
_	_	_	O
교체	교체	NNG	O
를	를	JKO	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
30	30	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
후	후	NNG	O
_	_	_	O
‘	‘	SS	O
고별인사	고별인사	NNG	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
위해서	위하+여서+이	VV+EC+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이 전 실장은 “떠나는 사람이 무슨 말을 하느냐”며 인터뷰를 사양하고 기자실을 한 바퀴 돌면서 기자들과 일일이 악수를 나눴다.
## <이:PER> 전 실장은 “떠나는 사람이 무슨 말을 하느냐”며 인터뷰를 사양하고 기자실을 <한 바퀴:NOH> 돌면서 기자들과 일일이 악수를 나눴다.
이	이	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
실장	실장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
떠나	떠나	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
느냐	느냐	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
인터뷰	인터뷰	NNG	O
를	를	JKO	O
_	_	_	O
사양하	사양하	VV	O
고	고	EC	O
_	_	_	O
기자실	기자실	NNG	O
을	을	JKO	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
바퀴	바퀴	NNB	I-NOH
_	_	_	O
돌	돌	VV	O
면서	면서	EC	O
_	_	_	O
기자	기자	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
일일이	일일이	MAG	O
_	_	_	O
악수	악수	NNG	O
를	를	JKO	O
_	_	_	O
나	나누	VV	O
눴	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이 작업이 최종 완료되면 식품의약품안전처에 신약 품목을 신청할 계획이다.
## 이 작업이 최종 완료되면 <식품의약품안전처:ORG>에 신약 품목을 신청할 계획이다.
이	이	MM	O
_	_	_	O
작업	작업	NNG	O
이	이	JKS	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
완료되	완료되	VV	O
면	면	EC	O
_	_	_	O
식품	식품	NNG	B-ORG
의약품	의약품	NNG	I-ORG
안전	안전	NNG	I-ORG
처	처	XSN	I-ORG
에	에	JKB	O
_	_	_	O
신약	신약	NNG	O
_	_	_	O
품목	품목	NNG	O
을	을	JKO	O
_	_	_	O
신청할	신청하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 하지만 오피스텔 주인은 “3일간 주차했던 비용이라고 생각하고 12만 원을 내면 번호판을 돌려주겠다”며 고집을 부렸다.
## 하지만 오피스텔 주인은 “<3일간:DUR> 주차했던 비용이라고 생각하고 <12만 원:MNY>을 내면 번호판을 돌려주겠다”며 고집을 부렸다.
하지만	하지만	MAJ	O
_	_	_	O
오피스텔	오피스텔	NNG	O
_	_	_	O
주인	주인	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
3	3	SN	B-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
주차	주차하	VV	O
했	었	EP	O
던	던	ETM	O
_	_	_	O
비용	비용	NNG	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
생각하	생각하	VV	O
고	고	EC	O
_	_	_	O
12	12	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
내	내	VV	O
면	면	EC	O
_	_	_	O
번호판	번호판	NNG	O
을	을	JKO	O
_	_	_	O
돌려주	돌려주	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
고집	고집	NNG	O
을	을	JKO	O
_	_	_	O
부	부리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 여당 공동위원장인 새누리당 김정훈 정책위의장은 18일 “시간은 적고 논의할 사안은 많다”며 “한중 FTA 연내 발효가 문제없이 진행될 수 있도록 초당적인 협조를 기대한다”고 말했다.
## 여당 공동위원장인 <새누리당:ORG> <김정훈:PER> 정책위의장은 <18일:DAT> “시간은 적고 논의할 사안은 많다”며 “<한중 FTA:POH> 연내 발효가 문제없이 진행될 수 있도록 초당적인 협조를 기대한다”고 말했다.
여당	여당	NNG	O
_	_	_	O
공동	공동	NNG	O
위원장	위원장	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
김정훈	김정훈	NNP	B-PER
_	_	_	O
정책	정책	NNG	O
위	위	NNG	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
시간	시간	NNG	O
은	은	JX	O
_	_	_	O
적	적	VA	O
고	고	EC	O
_	_	_	O
논의할	논의하+ㄹ	VV+ETM	O
_	_	_	O
사안	사안	NNG	O
은	은	JX	O
_	_	_	O
많	많	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
한중	한중	NNP	B-POH
_	_	_	I-POH
FTA	FTA	SL	I-POH
_	_	_	O
연내	연내	NNG	O
_	_	_	O
발효	발효	NNG	O
가	가	JKS	O
_	_	_	O
문제없이	문제없이	MAG	O
_	_	_	O
진행될	진행되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
초당	초당	NNG	O
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
협조	협조	NNG	O
를	를	JKO	O
_	_	_	O
기대한다	기대하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지난 6일 미국 본토에서 긴급 공수를 시작한 주한미군의 고고도미사일방어(THAAD·사드) 체계는 한 달 안에 한반도 전개가 모두 끝날 것이라고 복수의 정부 관계자들이 8일 밝혔다.
## 지난 <6일:DAT> <미국:LOC> 본토에서 긴급 공수를 시작한 <주한미군:ORG>의 <고고도미사일방어:POH>(<THAAD·사드:POH>) 체계는 <한 달:NOH> 안에 <한반도:LOC> 전개가 모두 끝날 것이라고 복수의 정부 관계자들이 <8일:DAT> 밝혔다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
본토	본토	NNG	O
에서	에서	JKB	O
_	_	_	O
긴급	긴급	NNG	O
_	_	_	O
공수	공수	NNG	O
를	를	JKO	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
주한	주한	NNG	B-ORG
미군	미군	NNG	I-ORG
의	의	JKG	O
_	_	_	O
고고도	고고도	NNG	B-POH
미사일	미사일	NNG	I-POH
방어	방어	NNG	I-POH
(	(	SS	O
THAAD	THAAD	SL	B-POH
·	·	SP	I-POH
사드	사드	NNP	I-POH
)	)	SS	O
_	_	_	O
체계	체계	NNG	O
는	는	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
_	_	_	O
안	안	NNG	O
에	에	JKB	O
_	_	_	O
한반도	한반도	NNP	B-LOC
_	_	_	O
전개	전개	NNG	O
가	가	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
끝날	끝나+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
복수	복수	NNG	O
의	의	JKG	O
_	_	_	O
정부	정부	NNG	O
_	_	_	O
관계자	관계자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 또 빅뱅이 예능에 함께 출연하는 것이 드문 아이돌 그룹인 것도 관심을 높이는 이유다.
## 또 <빅뱅:ORG>이 예능에 함께 출연하는 것이 드문 아이돌 그룹인 것도 관심을 높이는 이유다.
또	또	MAG	O
_	_	_	O
빅뱅	빅뱅	NNP	B-ORG
이	이	JKS	O
_	_	_	O
예능	예능	NNG	O
에	에	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
출연하	출연하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
드문	드물+ㄴ	VA+ETM	O
_	_	_	O
아이돌	아이돌	NNG	O
_	_	_	O
그룹	그룹	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
관심	관심	NNG	O
을	을	JKO	O
_	_	_	O
높이	높이	VV	O
는	는	ETM	O
_	_	_	O
이유	이유+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 현재 일본 돔 투어인 ‘BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-’를 펼치고 있는 빅뱅은 내년 1월 7~8일 서울 고척 스카이돔에서 단독 콘서트를 개최할 예정이다.
## 현재 <일본:LOC> 돔 투어인 ‘<BIGBANG10 THE CONCERT : 0.TO.10 -THE FINAL-:POH>’를 펼치고 있는 <빅뱅:ORG>은 내년 <1월 7~8일:DUR> <서울 고척 스카이돔:LOC>에서 단독 콘서트를 개최할 예정이다.
현재	현재	MAG	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
돔	돔	NNG	O
_	_	_	O
투어	투어	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
BIGBANG	BIGBANG	SL	B-POH
10	10	SN	I-POH
_	_	_	I-POH
THE	THE	SL	I-POH
_	_	_	I-POH
CONCERT	CONCERT	SL	I-POH
_	_	_	I-POH
:	:	SP	I-POH
_	_	_	I-POH
0	0	SN	I-POH
.	.	SF	I-POH
TO	TO	SL	I-POH
.10	.10	SN	I-POH
_	_	_	I-POH
-	-	SO	I-POH
THE	THE	SL	I-POH
_	_	_	I-POH
FINAL	FINAL	SL	I-POH
-	-	SO	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
펼치	펼치	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
빅뱅	빅뱅	NNG	B-ORG
은	은	JX	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
1	1	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	I-DUR
7	7	SN	I-DUR
~	~	SO	I-DUR
8	8	SN	I-DUR
일	일	NNB	I-DUR
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
고척	고척	NNP	I-LOC
_	_	_	I-LOC
스카이돔	스카이돔	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
단독	단독	NNG	O
_	_	_	O
콘서트	콘서트	NNG	O
를	를	JKO	O
_	_	_	O
개최할	개최하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

