## 1
## ‘손흥민 골’잉글랜드 프리미어리그(EPL) 토트넘 핫스퍼로 이적한 손흥민(23)이 홈 데뷔전에서 멀티골을 터뜨렸다.
## ‘<손흥민:PER> 골’<잉글랜드 프리미어리그:ORG>(<EPL:ORG>) <토트넘 핫스퍼:ORG>로 이적한 <손흥민:PER>(<23:NOH>)이 홈 데뷔전에서 멀티골을 터뜨렸다.
‘	‘	SS	O
J	J	SL	B-ORG
조	조	NNG	I-ORG
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	I-NOH
_	_	_	O
카라바크	카라바크	NNP	B-ORG
(	(	SS	O
아제르바이잔	아제르바이잔	NNP	B-ORG
)	)	SS	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
경기	경기	NNG	O
에서	에서	JKB	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
골	골	NNG	I-NOH
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
으며	으며	EC	O
_	_	_	O
토트넘	토트넘	NNP	B-ORG
의	의	JKG	O
_	_	_	O
3	3	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
_	_	_	O
승리	승리	NNG	O
를	를	JKO	O
_	_	_	O
이끌	이끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 최전방 공격수로 선발 출전한 손흥민은 0-1로 뒤진 전반 28분 안드로스 타운젠드가 오른쪽에서 올려준 코너킥을 문전 오른발 슈팅으로 동점골을 넣었다.
## 최전방 공격수로 선발 출전한 <손흥민:PER>은 <0-1:NOH>로 뒤진 <전반 28분:TIM> <안드로스 타운젠드:PER>가 오른쪽에서 올려준 코너킥을 문전 오른발 슈팅으로 동점골을 넣었다.
최전방	최전방	NNG	O
_	_	_	O
공격수	공격수	NNG	O
로	로	JKB	O
_	_	_	O
선발	선발	NNG	O
_	_	_	O
출전한	출전하+ㄴ	VV+ETM	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
은	은	JX	O
_	_	_	O
0	0	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
로	로	JKB	O
_	_	_	O
뒤진	뒤지+ㄴ	VV+ETM	O
_	_	_	O
전반	전반	NNG	B-TIM
_	_	_	I-TIM
28	28	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
안드로스	안드로스	NNP	B-PER
_	_	_	I-PER
타운젠드	타운젠드	NNP	I-PER
가	가	JKS	O
_	_	_	O
오른쪽	오른쪽	NNG	O
에서	에서	JKB	O
_	_	_	O
올려	올리+어	VV+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
코너킥	코너킥	NNG	O
을	을	JKO	O
_	_	_	O
문전	문전	NNG	O
_	_	_	O
오른발	오른발	NNG	O
_	_	_	O
슈팅	슈팅	NNG	O
으로	으로	JKB	O
_	_	_	O
동점	동점	NNG	O
골	골	NNG	O
을	을	JKO	O
_	_	_	O
넣	넣	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 손흥민은 여기에서 그치지 않고 2분 뒤 추가골을 득점했다.
## <손흥민:PER>은 여기에서 그치지 않고 <2분:NOH> 뒤 추가골을 득점했다.
손흥민	손흥민	NNP	B-PER
은	은	JX	O
_	_	_	O
여기	여기	NP	O
에서	에서	JKB	O
_	_	_	O
그치	그치	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
2	2	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
추가	추가	NNG	O
골	골	NNG	O
을	을	JKO	O
_	_	_	O
득점	득점하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 페널티아크 오른쪽에서 공을 잡은 손흥민은 오른쪽의 델리 알리에게 패스를 건넨 뒤 전방으로 침투해 들어갔다.
## 페널티아크 오른쪽에서 공을 잡은 <손흥민:PER>은 오른쪽의 <델리 알리:PER>에게 패스를 건넨 뒤 전방으로 침투해 들어갔다.
페널티	페널티	NNG	O
아크	아크	NNG	O
_	_	_	O
오른쪽	오른쪽	NNG	O
에서	에서	JKB	O
_	_	_	O
공	공	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
손흥민	손흥민	NNP	B-PER
은	은	JX	O
_	_	_	O
오른쪽	오른쪽	NNG	O
의	의	JKG	O
_	_	_	O
델리	델리	NNG	B-PER
_	_	_	I-PER
알리	알리	NNP	I-PER
에게	에게	JKB	O
_	_	_	O
패스	패스	NNG	O
를	를	JKO	O
_	_	_	O
건넨	건네+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
전방	전방	NNG	O
으로	으로	JKB	O
_	_	_	O
침투해	침투하+여	VV+EC	O
_	_	_	O
들어갔	들어가+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 시카고 뉴욕 워싱턴 등 10개 지역에 동창회가 결성돼 있다.
## <시카고:LOC> <뉴욕:LOC> <워싱턴:LOC> 등 <10개:NOH> 지역에 동창회가 결성돼 있다.
시카고	시카고	NNP	B-LOC
_	_	_	O
뉴욕	뉴욕	NNP	B-LOC
_	_	_	O
워싱턴	워싱턴	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
10	10	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
지역	지역	NNG	O
에	에	JKB	O
_	_	_	O
동창회	동창회	NNG	O
가	가	JKS	O
_	_	_	O
결성돼	결성되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 이벤트는 15~21일까지 진행된다.
## 이벤트는 <15~21일:DUR>까지 진행된다.
이벤트	이벤트	NNG	O
는	는	JX	O
_	_	_	O
15	15	SN	B-DUR
~	~	SO	I-DUR
21	21	SN	I-DUR
일	일	NNB	I-DUR
까지	까지	JX	O
_	_	_	O
진행된다	진행되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 김보인 천안시티자이 분양소장은 “계약 기간에 몇 시간씩 줄을 서서 기다려야 하는 고객들의 불편함을 줄이기 위해 당첨 고객 대상 하이패스 이벤트를 기획했다”며 “소비자들에게는 번거로움을 줄이고 사은품도 받을 수 있는 일석이조의 효과가 있을 것”이라고 말했다.
## <김보인:PER> <천안시티자이:POH> 분양소장은 “계약 기간에 몇 시간씩 줄을 서서 기다려야 하는 고객들의 불편함을 줄이기 위해 당첨 고객 대상 하이패스 이벤트를 기획했다”며 “소비자들에게는 번거로움을 줄이고 사은품도 받을 수 있는 일석이조의 효과가 있을 것”이라고 말했다.
김보인	김보인	NNP	B-PER
_	_	_	O
천안시	천안시	NNP	B-POH
티자	티자	NNG	I-POH
이	이	JKS	I-POH
_	_	_	O
분양	분양	NNG	O
소장	소장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
계약	계약	NNG	O
_	_	_	O
기간	기간	NNG	O
에	에	JKB	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
시간	시간	NNG	O
씩	씩	XSN	O
_	_	_	O
줄	줄	NNG	O
을	을	JKO	O
_	_	_	O
서서	서+어서	VV+EC	O
_	_	_	O
기다려야	기다리+어야	VV+EC	O
_	_	_	O
하	하	VX	O
는	는	ETM	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
불편함	불편하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
줄이	줄이	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
당첨	당첨	NNG	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
대상	대상	NNG	O
_	_	_	O
하이패스	하이패스	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
를	를	JKO	O
_	_	_	O
기획	기획하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
소비자	소비자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
는	는	JX	O
_	_	_	O
번거로움	번거롭+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
줄이	줄이	VV	O
고	고	EC	O
_	_	_	O
사은품	사은품	NNG	O
도	도	JX	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
일석이조	일석이조	NNG	O
의	의	JKG	O
_	_	_	O
효과	효과	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 한편 천안시티자이는 지하 2층, 지상 최고 39층, 12개 동 전용면적 59~84㎡ 총 1646가구 규모다.
## 한편 <천안시티자이:POH>는 <지하 2층:NOH>, 지상 최고 <39층:NOH>, <12개:NOH> 동 전용면적 <59:NOH>~<84㎡:NOH> 총 <1646가구:NOH> 규모다.
한편	한편	MAG	O
_	_	_	O
천안시	천안시	NNP	B-POH
티자	티자	NNG	I-POH
이	이	VCP	I-POH
는	는	ETM	O
_	_	_	O
지하	지하	NNG	B-NOH
_	_	_	I-NOH
2	2	SN	I-NOH
층	층	NNG	I-NOH
,	,	SP	O
_	_	_	O
지상	지상	NNG	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
39	39	SN	B-NOH
층	층	NNG	I-NOH
,	,	SP	O
_	_	_	O
12	12	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
동	동	NNG	O
_	_	_	O
전용면적	전용면적	NNG	O
_	_	_	O
59	59	SN	B-NOH
~	~	SO	O
84	84	SN	B-NOH
㎡	㎡	SW	I-NOH
_	_	_	O
총	총	MM	O
_	_	_	O
1646	1646	SN	B-NOH
가구	가구	NNG	I-NOH
_	_	_	O
규모	규모+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 웹젠은 두 차례의 CBT를 통해 확보한 데이터를 기반으로 '뮤 레전드'의 빠른 성장과 호쾌한 핵앤슬래시 전투의 재미를 그대로 유지하며 게임이 가진 재미를 더욱 강화한다는 계획이다.
## <웹젠:ORG>은 <두 차례:NOH>의 CBT를 통해 확보한 데이터를 기반으로 '<뮤 레전드:POH>'의 빠른 성장과 호쾌한 핵앤슬래시 전투의 재미를 그대로 유지하며 게임이 가진 재미를 더욱 강화한다는 계획이다.
웹젠	웹젠	NNP	B-ORG
은	은	JX	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
의	의	JKG	O
_	_	_	O
CBT	CBT	SL	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
확보한	확보하+ㄴ	VV+ETM	O
_	_	_	O
데이터	데이터	NNG	O
를	를	JKO	O
_	_	_	O
기반	기반	NNG	O
으로	으로	JKB	O
_	_	_	O
'	'	SS	O
뮤	뮤	NNG	B-POH
_	_	_	I-POH
레전드	레전드	NNG	I-POH
'	'	SS	O
의	의	JKG	O
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
성장	성장	NNG	O
과	과	JC	O
_	_	_	O
호쾌한	호쾌하+ㄴ	VA+ETM	O
_	_	_	O
핵	핵	NNG	O
앤	앤	NNP	O
슬래시	슬래시	NNG	O
_	_	_	O
전투	전투	NNG	O
의	의	JKG	O
_	_	_	O
재미	재미	NNG	O
를	를	JKO	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
유지하	유지하	VV	O
며	며	EC	O
_	_	_	O
게임	게임	NNG	O
이	이	JKS	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
재미	재미	NNG	O
를	를	JKO	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
강화한다는	강화하+ㄴ다는	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 지스타에서 게임이 선보여진 이후에는 더욱 풍성한 콘텐츠를 가미해 정식 서비스로 게이머를 찾아간다.
## <지스타:POH>에서 게임이 선보여진 이후에는 더욱 풍성한 콘텐츠를 가미해 정식 서비스로 게이머를 찾아간다.
지	지	NNB	B-POH
스타	스타	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
게임	게임	NNG	O
이	이	JKS	O
_	_	_	O
선보	선보이	VV	O
여	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
이후	이후	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
풍성한	풍성하+ㄴ	VA+ETM	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
를	를	JKO	O
_	_	_	O
가미해	가미하+여	VV+EC	O
_	_	_	O
정식	정식	NNG	O
_	_	_	O
서비스	서비스	NNG	O
로	로	JKB	O
_	_	_	O
게이머	게이머	NNG	O
를	를	JKO	O
_	_	_	O
찾아간다	찾아가+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 단지는 지하 7층∼지상 20층 규모로 전용면적 19∼83m², 총 650실로 모두 복층구조로 조성된다.
## 단지는 <지하 7층:NOH>∼<지상 20층:NOH> 규모로 전용면적 <19:NOH>∼<83m²:NOH>, 총 <650실:NOH>로 모두 복층구조로 조성된다.
단지	단지	NNG	O
는	는	JX	O
_	_	_	O
지하	지하	NNG	B-NOH
_	_	_	I-NOH
7	7	SN	I-NOH
층	층	NNG	I-NOH
∼	∼	SO	O
지상	지상	NNG	B-NOH
_	_	_	I-NOH
20	20	SN	I-NOH
층	층	NNG	I-NOH
_	_	_	O
규모	규모	NNG	O
로	로	JKB	O
_	_	_	O
전용면적	전용면적	NNG	O
_	_	_	O
19	19	SN	B-NOH
∼	∼	SO	O
83	83	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
,	,	SP	O
_	_	_	O
총	총	MM	O
_	_	_	O
650	650	SN	B-NOH
실	실	NNB	I-NOH
로	로	JKB	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
복	복	XPN	O
층	층	NNG	O
구조	구조	NNG	O
로	로	JKB	O
_	_	_	O
조성된다	조성되+ㄴ다	VV+EF	O
.	.	SF	O

## 13
## 러블리즈 '안녕'으로 본격 컴백, 청순 발랄 뮤직비디오 "궁금하면 드루와~" 여자 아이돌 그룹 러블리즈가 청순미를 더한 1집 리패키지 앨범 ‘Hi~’와 타이틀 곡 ‘안녕’을 3일 자정 선보였다.
## <러블리즈:ORG> '<안녕:POH>'으로 본격 컴백, 청순 발랄 뮤직비디오 "궁금하면 드루와~" 여자 아이돌 그룹 <러블리즈:ORG>가 청순미를 더한 <1집:NOH> 리패키지 앨범 ‘<Hi~:POH>’와 타이틀 곡 ‘<안녕:POH>’을 <3일:DAT> <자정:TIM> 선보였다.
러	러	NNP	B-ORG
블	블	NNG	I-ORG
리즈	리즈	NNP	I-ORG
_	_	_	O
'	'	SS	O
안녕	안녕	IC	B-POH
'	'	SS	O
으로	으로	JKB	O
_	_	_	O
본격	본격	NNG	O
_	_	_	O
컴백	컴백	NNG	O
,	,	SP	O
_	_	_	O
청순	청순	NNG	O
_	_	_	O
발랄	발랄	NNG	O
_	_	_	O
뮤직	뮤직	NNG	O
비디오	비디오	NNG	O
_	_	_	O
"	"	SS	O
궁금하	궁금하	VA	O
면	면	EC	O
_	_	_	O
드루	드루	NNP	O
와	와	JC	O
~	~	SO	O
"	"	SS	O
_	_	_	O
여자	여자	NNG	O
_	_	_	O
아이	아이	NNG	O
돌	돌	NNG	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
러	러	NNP	B-ORG
블	블	NNG	I-ORG
리즈	리즈	NNP	I-ORG
가	가	JKS	O
_	_	_	O
청순	청순	NNG	O
미	미	NNG	O
를	를	JKO	O
_	_	_	O
더한	더하+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-NOH
집	집	NNB	I-NOH
_	_	_	O
리	리	NNG	O
패키지	패키지	NNG	O
_	_	_	O
앨범	앨범	NNG	O
_	_	_	O
‘	‘	SS	O
Hi	Hi	SL	B-POH
~	~	SO	I-POH
’	’	SS	O
와	와	JKB	O
_	_	_	O
타이틀	타이틀	NNG	O
_	_	_	O
곡	곡	NNG	O
_	_	_	O
‘	‘	SS	O
안녕	안녕	IC	B-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
자정	자정	NNG	B-TIM
_	_	_	O
선보	선보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 중국이 금융 서비스를 제공하지 않으면 북한이 달러 등 외화를 만지는 것이 사실상 불가능하다는 점을 노린 것이다.
## <중국:ORG>이 금융 서비스를 제공하지 않으면 <북한:ORG>이 달러 등 외화를 만지는 것이 사실상 불가능하다는 점을 노린 것이다.
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
금융	금융	NNG	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
제공하	제공하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
으면	으면	EC	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
달러	달러	NNB	O
_	_	_	O
등	등	NNB	O
_	_	_	O
외화	외화	NNG	O
를	를	JKO	O
_	_	_	O
만지	만지	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
사실	사실	NNG	O
상	뿐	JX	O
_	_	_	O
불가능하	불가능하	VA	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
노린	노리+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

