## 1
## 그래서 인지 아니 에르노씨는 자신의 작품을 페미니즘문학이라고 자평했다.
## 그래서 인지 <아니 에르노:PER>씨는 자신의 작품을 페미니즘문학이라고 자평했다.
그래서	그래서	MAJ	O
_	_	_	O
부품	부품	NNG	O
의	의	JKG	O
_	_	_	O
비율	비율	NNG	O
도	도	JX	O
_	_	_	O
늘릴	늘리+ㄹ	VV+ETM	O
_	_	_	O
필요	필요	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 김도년 기자
## <김도년:PER> 기자
김도년	김도년	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 9
## 고질인 허리 통증을 안고 있는 김요한은 한때 오른발에 힘이 들어가지 않는 증세 때문에 재활을 계속했다.
## 고질인 허리 통증을 안고 있는 <김요한:PER>은 한때 오른발에 힘이 들어가지 않는 증세 때문에 재활을 계속했다.
고질	고질	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
허리	허리	NNG	O
_	_	_	O
통증	통증	NNG	O
을	을	JKO	O
_	_	_	O
안	안	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
김요한	김요한	NNP	B-PER
은	은	JX	O
_	_	_	O
한때	한때	NNG	O
_	_	_	O
오른발	오른발	NNG	O
에	에	JKB	O
_	_	_	O
힘	힘	NNG	O
이	이	JKS	O
_	_	_	O
들어가	들어가	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
증세	증세	NNG	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
재활	재활	NNG	O
을	을	JKO	O
_	_	_	O
계속	계속하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 16일현재 고객예탁금은 전날보다 2백33억원 줄어든 3조2천7백47억원.
## <16일:DAT>현재 고객예탁금은 전날보다 <2백33억원:MNY> 줄어든 <3조2천7백47억원:MNY>.
16	16	SN	B-DAT
일	일	NNB	I-DAT
현재	현재	NNG	O
_	_	_	O
고객	고객	NNG	O
예탁	예탁	NNG	O
금	금	XSN	O
은	은	JX	O
_	_	_	O
전날	전날	NNG	O
보다	보다	JKB	O
_	_	_	O
2	2	SN	B-MNY
백	백	NR	I-MNY
33	33	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
줄어든	줄어들+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-MNY
조	조	NNG	I-MNY
2	2	SN	I-MNY
천	천	NR	I-MNY
7	7	SN	I-MNY
백	백	NR	I-MNY
47	47	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
.	.	SF	O

## 11
## 처음에는 아로라 부사장도 “마사(손 마사요시)는 천재다.
## 처음에는 <아로라:PER> 부사장도 “<마사:PER>(<손 마사요시:PER>)는 천재다.
처음	처음	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
아로	아로+이	NNG+VCP	B-PER
라	라	EC	I-PER
_	_	_	O
부사장	부사장	NNG	O
도	도	JX	O
_	_	_	O
“	“	SS	O
마사	마사	NNP	B-PER
(	(	SS	O
손	손	NNG	B-PER
_	_	_	I-PER
마사요시	마사요시	NNP	I-PER
)	)	SS	O
는	는	JX	O
_	_	_	O
천재	천재+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 모로코(아프리카 2개국), 에콰도르(아메리카 1개국), 말레이시아, 미얀마, 네팔, 파키스탄, 스리랑카, 태국, 대한민국(아시아 7개국) 등 총 10개국 56명(선수 36명, 임원 20명)이 양궁, 휠체어테니스, 탁구, 수영, 보치아 등 5개 종목의 ‘스포츠 아카데미’에 참가한다.
## <모로코:PER>(<아프리카:LOC> <2개국:NOH>), <에콰도르:PER>(<아메리카:LOC> <1개국:NOH>), <말레이시아:LOC>, <미얀마:LOC>, <네팔:ORG>, <파키스탄:LOC>, <스리랑카:LOC>, <태국:ORG>, <대한민국:ORG>(<아시아:LOC> <7개국:NOH>) 등 총 <10개국:NOH> <56명:NOH>(선수 <36명:NOH>, 임원 <20명:NOH>)이 양궁, 휠체어테니스, 탁구, 수영, 보치아 등 <5개:NOH> 종목의 ‘스포츠 아카데미’에 참가한다.
모로코	모로코	NNP	B-PER
(	(	SS	O
아프리카	아프리카	NNP	B-LOC
_	_	_	O
2	2	SN	B-NOH
개국	개국	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
에콰도르	에콰도르	NNP	B-PER
(	(	SS	O
아메리카	아메리카	NNP	B-LOC
_	_	_	O
1	1	SN	B-NOH
개국	개국	NNB	I-NOH
)	)	SS	O
,	,	SP	O
_	_	_	O
말레이시아	말레이시아	NNP	B-LOC
,	,	SP	O
_	_	_	O
미얀마	미얀마	NNP	B-LOC
,	,	SP	O
_	_	_	O
네팔	네팔	NNP	B-ORG
,	,	SP	O
_	_	_	O
파키스탄	파키스탄	NNP	B-LOC
,	,	SP	O
_	_	_	O
스리랑카	스리랑카	NNP	B-LOC
,	,	SP	O
_	_	_	O
태국	태국	NNP	B-ORG
,	,	SP	O
_	_	_	O
대한민국	대한민국	NNP	B-ORG
(	(	SS	O
아시아	아시아	NNP	B-LOC
_	_	_	O
7	7	SN	B-NOH
개국	개국	NNB	I-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
총	총	MM	O
_	_	_	O
10	10	SN	B-NOH
개국	개국	NNB	I-NOH
_	_	_	O
56	56	SN	B-NOH
명	명	NNB	I-NOH
(	(	SS	O
선수	선수	NNG	O
_	_	_	O
36	36	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
임원	임원	NNG	O
_	_	_	O
20	20	SN	B-NOH
명	명	NNB	I-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
양궁	양궁	NNG	O
,	,	SP	O
_	_	_	O
휠체어	휠체어	NNG	O
테니스	테니스	NNG	O
,	,	SP	O
_	_	_	O
탁구	탁구	NNG	O
,	,	SP	O
_	_	_	O
수영	수영	NNG	O
,	,	SP	O
_	_	_	O
보치아	보치아	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
종목	종목	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
스포츠	스포츠	NNG	O
_	_	_	O
아카데미	아카데미	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
참가한다	참가하+ㄴ다	VV+EF	O
.	.	SF	O

