## 1
## 국방부는 또 정전협정이 유엔군사령관, 조선인민군최고사령관, 중국인민지원군사령관 등 3자의 상호합의로 쳬결된 것이기 때문에 상호합의가 없는 북한측의 일방적인 철수는 의미가 없고 정전협정 체제는 계속 유효하다는 점을 강조하고 있다.
## 국방부는 또 정전협정이 유엔군사령관, 조선인민군최고사령관, 중국인민지원군사령관 등 <3자:NOH>의 상호합의로 쳬결된 것이기 때문에 상호합의가 없는 북한측의 일방적인 철수는 의미가 없고 정전협정 체제는 계속 유효하다는 점을 강조하고 있다.
국방부	국방부	NNG	O
## 그런 뒤 국영 언론 매체를 찾아간 건 <창간쯔:ORG>의 다음 순서로 <비간쯔:ORG>를 휘어잡는 작업에 착수한 것으로 받아들여진다.
그런	그런	MM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
국영	국영	NNG	O
_	_	_	O
언론	언론	NNG	O
_	_	_	O
매체	매체	NNG	O
를	를	JKO	O
_	_	_	O
찾아간	찾아가+ㄴ	VV+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
창간	창간	NNG	B-ORG
쯔	쯔	NNG	I-ORG
의	의	JKG	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
순서	순서	NNG	O
로	로	JKB	O
_	_	_	O
비	비	XPN	B-ORG
간쯔	간쯔	NNP	I-ORG
를	를	JKO	O
_	_	_	O
휘어잡	휘어잡	VV	O
는	는	ETM	O
_	_	_	O
작업	작업	NNG	O
에	에	JKB	O
_	_	_	O
착수한	착수하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
받아들	받아들이	VV	O
여	어	EC	O
진다	지+ㄴ다	VX+EF	O
.	.	SF	O

## 4
## 비시즌 기간에 가드 훈련을 받은 것으로 알려진 포워드 함지훈은 24일까지 정규시즌 어시스트 1위프로야구(평균 7개)를 달리고 있다.
## 비시즌 기간에 가드 훈련을 받은 것으로 알려진 포워드 함지훈은 <24일:DAT>까지 정규시즌 어시스트 <1위:NOH>프로야구(평균 <7개:NOH>)를 달리고 있다.
비	비	XPN	O
시즌	시즌	NNG	O
_	_	_	O
기간	기간	NNG	O
에	에	JKB	O
_	_	_	O
가드	가드	NNG	O
_	_	_	O
훈련	훈련	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
포워드	포워드	NNG	O
_	_	_	O
함지훈	함지훈	NNP	O
은	은	JX	O
_	_	_	O
24	24	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
정규	정규	NNG	O
시즌	시즌	NNG	O
_	_	_	O
어시스트	어시스트	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
프로야구	프로야구	NNG	O
(	(	SS	O
평균	평균	NNG	O
_	_	_	O
7	7	SN	B-NOH
개	개	NNB	I-NOH
)	)	SS	O
를	를	JKO	O
_	_	_	O
달리	달리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 쾌적한 백화점형 시장… “원주 최고 멋과 맛 다 모였어요”
## 쾌적한 백화점형 시장… “<원주:LOC> 최고 멋과 맛 다 모였어요”
쾌적한	쾌적하+ㄴ	VA+ETM	O
_	_	_	O
백화점	백화점	NNG	O
형	형	XSN	O
_	_	_	O
시장	시장	NNG	O
…	…	SE	O
_	_	_	O
“	“	SS	O
원주	원주	NNP	B-LOC
_	_	_	O
최고	최고	NNG	O
_	_	_	O
멋	멋	NNG	O
과	과	JC	O
_	_	_	O
맛	맛	NNG	O
_	_	_	O
다	다	MAG	O
_	_	_	O
모	모이	VV	O
였	었	EP	O
어요	어요	EF	O
”	”	SS	O

## 6
## 이길여 총장은 강의를 듣기 위해 언덕을 오르내려야 하는 여학생들의 불편을 해소할 방법이 없을까 고민하다가 ‘재미도 있고 타 보고 싶은 예쁜 버스를 만들어보자’는 생각에서 딱정벌레 버스의 아이디어를 냈다.
## <이길여:PER> 총장은 강의를 듣기 위해 언덕을 오르내려야 하는 여학생들의 불편을 해소할 방법이 없을까 고민하다가 ‘재미도 있고 타 보고 싶은 예쁜 버스를 만들어보자’는 생각에서 딱정벌레 버스의 아이디어를 냈다.
이길여	이길여	NNP	B-PER
_	_	_	O
총장	총장	NNG	O
은	은	JX	O
_	_	_	O
강의	강의	NNG	O
를	를	JKO	O
_	_	_	O
듣	듣	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
언덕	언덕	NNG	O
을	을	JKO	O
_	_	_	O
오르내려야	오르내리+어야	VV+EC	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
여학생	여학생	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
불편	불편	NNG	O
을	을	JKO	O
_	_	_	O
해소할	해소하+ㄹ	VV+ETM	O
_	_	_	O
방법	방법	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
을까	을까	EC	O
_	_	_	O
고민하	고민하	VV	O
다가	다가	EC	O
_	_	_	O
‘	‘	SS	O
재미	재미	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
고	고	EC	O
_	_	_	O
타	타+아	VV+EC	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
은	은	ETM	O
_	_	_	O
예쁜	예쁘+ㄴ	VA+ETM	O
_	_	_	O
버스	버스	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
보	보	VX	O
자	자	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
생각	생각	NNG	O
에서	에서	JKB	O
_	_	_	O
딱정벌레	딱정벌레	NNG	O
_	_	_	O
버스	버스	NNG	O
의	의	JKG	O
_	_	_	O
아이디어	아이디어	NNG	O
를	를	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 공산당 기관지 런민(人民)일보가 발행하는 잡지 인민논단(人民論壇)이 최신호에서 시 주석을 마오쩌둥(毛澤東) 전 주석 이후 처음으로 ‘영수(領袖·우두머리)’로 찬양했다고 홍콩의 사우스차이나모닝포스트(SCMP)가 23일 보도했다.
## 공산당 기관지 <런민:ORG>(<人民:ORG>)일보가 발행하는 잡지 <인민논단:POH>(<人民論壇:POH>)이 최신호에서 <시:PER> 주석을 <마오쩌둥:PER>(<毛澤東:PER>) 전 주석 이후 처음으로 ‘영수(領袖·우두머리)’로 찬양했다고 <홍콩:LOC>의 <사우스차이나모닝포스트:ORG>(<SCMP:ORG>)가 <23일:DAT> 보도했다.
공산당	공산당	NNP	O
_	_	_	O
기관지	기관지	NNG	O
_	_	_	O
런	런	NNG	B-ORG
민	민	XSN	I-ORG
(	(	SS	O
人民	人民	SH	B-ORG
)	)	SS	O
일보	일보	NNG	O
가	가	JKS	O
_	_	_	O
발행하	발행하	VV	O
는	는	ETM	O
_	_	_	O
잡지	잡지	NNG	O
_	_	_	O
인민	인민	NNG	B-POH
논단	논단	NNG	I-POH
(	(	SS	O
人民論壇	人民論壇	SH	B-POH
)	)	SS	O
이	이	JKS	O
_	_	_	O
최신	최신	NNG	O
호	호	NNB	O
에서	에서	JKB	O
_	_	_	O
시	시	NNP	B-PER
_	_	_	O
주석	주석	NNG	O
을	을	JKO	O
_	_	_	O
마오쩌둥	마오쩌둥	NNP	B-PER
(	(	SS	O
毛澤東	毛澤東	SH	B-PER
)	)	SS	O
_	_	_	O
전	전	MM	O
_	_	_	O
주석	주석	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
영수	영수	NNG	O
(	(	SS	O
領袖	領袖	SH	O
·	·	SP	O
우두머리	우두머리	NNG	O
)	)	SS	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
찬양	찬양하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
홍콩	홍콩	NNP	B-LOC
의	의	JKG	O
_	_	_	O
사우스차이나모닝포스트	사우스차이나모닝포스트	NNP	B-ORG
(	(	SS	O
SCMP	SCMP	SL	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 북한의 만원 관중이 열띤 응원을 펼칠 것으로 보인다.
## <북한:ORG>의 만원 관중이 열띤 응원을 펼칠 것으로 보인다.
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
만	만	NR	O
원	원	NNB	O
_	_	_	O
관중	관중	NNG	O
이	이	JKS	O
_	_	_	O
열띤	열띠+ㄴ	VA+ETM	O
_	_	_	O
응원	응원	NNG	O
을	을	JKO	O
_	_	_	O
펼칠	펼치+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 주진우 기자, D대 관련 기사에 “취재 욕심이 불끈 솟습니다”
## <주진우:PER> 기자, D대 관련 기사에 “취재 욕심이 불끈 솟습니다”
주진우	주진우	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
,	,	SP	O
_	_	_	O
D	D	SL	O
대	대	NNG	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
기사	기사	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
취재	취재	NNG	O
_	_	_	O
욕심	욕심	NNG	O
이	이	JKS	O
_	_	_	O
불끈	불끈	MAG	O
_	_	_	O
솟	솟	VV	O
습니다	습니다	EF	O
”	”	SS	O

