## 1
## 클린턴 후보가 주도하는 판세를 뒤엎으려면 지지층 결집만이 해법이라고 판단한 듯했다.
## <클린턴:PER> 후보가 주도하는 판세를 뒤엎으려면 지지층 결집만이 해법이라고 판단한 듯했다.
클린턴	클린턴	NNP	B-PER
지난해	지난해	NNG	O
까지	까지	JX	O
는	는	JX	O
_	_	_	O
그	그	MM	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
감안해	감안하+여	VV+EC	O
_	_	_	O
등판	등판	NNG	O
_	_	_	O
간격	간격	NNG	O
을	을	JKO	O
_	_	_	O
조절	조절하	VV	O
했	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
올해	올해	NNG	O
_	_	_	O
박정진	박정진	NNP	B-PER
은	은	JX	O
_	_	_	O
전혀	전혀	MAG	O
_	_	_	O
다르	다르	VA	O
더라	더라	EF	O
.	.	SF	O
_	_	_	O
모두	모두	NNG	O
가	가	JKS	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
한계	한계+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
생각한	생각하+ㄴ	VV+ETM	O
_	_	_	O
지점	지점	NNG	O
을	을	JKO	O
_	_	_	O
뛰어넘	뛰어넘	VV	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 인하대병원은 정부 산하 국립장기이식센터가 지정한 ‘뇌사 판정 대상자 관리병원’이다.
## <인하대병원:ORG>은 정부 산하 국립장기이식센터가 지정한 ‘뇌사 판정 대상자 관리병원’이다.
인하대병원	인하대병원	NNP	B-ORG
은	은	JX	O
_	_	_	O
정부	정부	NNG	O
_	_	_	O
산하	산하	NNG	O
_	_	_	O
국립	국립	NNG	O
장기	장기	NNG	O
이식	이식	NNG	O
센터	센터	NNG	O
가	가	JKS	O
_	_	_	O
지정한	지정하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
뇌사	뇌사	NNG	O
_	_	_	O
판정	판정	NNG	O
_	_	_	O
대상자	대상자	NNG	O
_	_	_	O
관리	관리	NNG	O
병원	병원	NNG	O
’	’	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 28일 대구구장에서 열린 선두 삼성과의 방문경기. 4-3으로 앞선 4회초 1사 2, 3루에서 kt 마르테는 삼성의 선발투수 차우찬이 던진 공을 왼쪽으로 때려 경기장 밖으로 날려버렸다.
## <28일:DAT> <대구구장:LOC>에서 열린 선두 <삼성:ORG>과의 방문경기. <4-3:NOH>으로 앞선 <4회:NOH>초 <1사:NOH> <2:NOH>, <3루:NOH>에서 <kt:ORG> <마르테:PER>는 <삼성:ORG>의 선발투수 <차우찬:PER>이 던진 공을 왼쪽으로 때려 경기장 밖으로 날려버렸다.
28	28	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
대구구장	대구구장	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
선두	선두	NNG	O
_	_	_	O
삼성	삼성	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
방문	방문	NNG	O
경기	경기	NNG	O
.	.	SF	O
_	_	_	O
4	4	SN	B-NOH
-	-	SO	I-NOH
3	3	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
앞선	앞서+ㄴ	VV+ETM	O
_	_	_	O
4	4	SN	B-NOH
회	회	NNB	I-NOH
초	초	NNB	O
_	_	_	O
1	1	SN	B-NOH
사	사	NNG	I-NOH
_	_	_	O
2	2	SN	B-NOH
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
루	루	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
kt	kt	SL	B-ORG
_	_	_	O
마르테	마르테	NNP	B-PER
는	는	JX	O
_	_	_	O
삼성	삼성	NNP	B-ORG
의	의	JKG	O
_	_	_	O
선발	선발	NNG	O
투수	투수	NNG	O
_	_	_	O
차우찬	차우찬	NNP	B-PER
이	이	JKS	O
_	_	_	O
던진	던지+ㄴ	VV+ETM	O
_	_	_	O
공	공	NNG	O
을	을	JKO	O
_	_	_	O
왼쪽	왼쪽	NNG	O
으로	으로	JKB	O
_	_	_	O
때려	때리+어	VV+EC	O
_	_	_	O
경기장	경기장	NNG	O
_	_	_	O
밖	밖	NNG	O
으로	으로	JKB	O
_	_	_	O
날려	날리+어	VV+EC	O
버	버리	VX	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 동아닷컴 디지털뉴스팀 기사제보 dnews@donga.com론다
## <동아닷컴 디지털뉴스팀:ORG> 기사제보 <dnews@donga.com:POH>론다
동아닷컴	동아닷컴	NNP	B-ORG
_	_	_	I-ORG
디지털	디지털	NNG	I-ORG
뉴스	뉴스	NNG	I-ORG
팀	팀	NNG	I-ORG
_	_	_	O
기사	기사	NNG	O
제보	제보	NNG	O
_	_	_	O
dnews	dnews	SL	B-POH
@	@	SW	I-POH
donga	donga	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
론다	론다	NNP	O

## 8
## 창당대회 아르바이트생부터 시작한 정치이지만 13년이 지났으면 생계를 고민하게 되지 않느냐는 질문이었다.
## 창당대회 아르바이트생부터 시작한 정치이지만 <13년:DAT>이 지났으면 생계를 고민하게 되지 않느냐는 질문이었다.
창당	창당	NNG	O
대회	대회	NNG	O
_	_	_	O
아르바이트	아르바이트	NNG	O
생	생	XSN	O
부터	부터	JX	O
_	_	_	O
시작한	시작하+ㄴ	VV+ETM	O
_	_	_	O
정치	정치	NNG	O
이	이	VCP	O
지만	지만	EC	O
_	_	_	O
13	13	SN	B-DAT
년	년	NNB	I-DAT
이	이	JKS	O
_	_	_	O
지났	지나+았	VV+EP	O
으면	으면	EC	O
_	_	_	O
생계	생계	NNG	O
를	를	JKO	O
_	_	_	O
고민하	고민하	VV	O
게	게	EC	O
_	_	_	O
되	되	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
느냐는	느냐는	ETM	O
_	_	_	O
질문	질문	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 박인비 반려견 위해 다음 경기 출전 포기한다
## <박인비:PER> 반려견 위해 다음 경기 출전 포기한다
박인비	박인비	NNP	B-PER
_	_	_	O
반려	반려	NNG	O
견	견	NNG	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
다음	다음	NNG	O
_	_	_	O
경기	경기	NNG	O
_	_	_	O
출전	출전	NNG	O
_	_	_	O
포기한다	포기하+ㄴ다	VV+EF	O

## 10
## LG전자, ‘스타일러스2 플러스’ 글로벌 출시…펜타입 5.7인치 대화면 스마트폰
## <LG전자:ORG>, ‘<스타일러스2 플러스:POH>’ 글로벌 출시…펜타입 <5.7인치:NOH> 대화면 스마트폰
LG	LG	SL	B-ORG
전자	전자	NNG	I-ORG
,	,	SP	O
_	_	_	O
‘	‘	SS	O
스타일러스	스타일러스	NNP	B-POH
2	2	SN	I-POH
_	_	_	I-POH
플러스	플러스	NNG	I-POH
’	’	SS	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
출시	출시	NNG	O
…	…	SE	O
펜	펜	NNG	O
타입	타입	NNG	O
_	_	_	O
5.7	5.7	SN	B-NOH
인치	인치	NNB	I-NOH
_	_	_	O
대화면	대화면	NNP	O
_	_	_	O
스마트	스마트	NNG	O
폰	폰	NNG	O

## 11
## 1일 서울의 최저기온이 영하 10도에 달할 정도로 한파가 몰려온 가운데 ‘겨울 장염’이 기승을 부리고 있다.
## <1일:DAT> <서울:LOC>의 최저기온이 <영하 10도:NOH>에 달할 정도로 한파가 몰려온 가운데 ‘겨울 장염’이 기승을 부리고 있다.
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
의	의	JKG	O
_	_	_	O
최저	최저	NNG	O
기온	기온	NNG	O
이	이	JKS	O
_	_	_	O
영하	영하	NNG	B-NOH
_	_	_	I-NOH
10	10	SN	I-NOH
도	도	NNB	I-NOH
에	에	JKB	O
_	_	_	O
달할	달하+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
한파	한파	NNG	O
가	가	JKS	O
_	_	_	O
몰려온	몰려오+ㄴ	VV+ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
‘	‘	SS	O
겨울	겨울	NNG	O
_	_	_	O
장염	장염	NNG	O
’	’	SS	O
이	이	JKS	O
_	_	_	O
기승	기승	NNG	O
을	을	JKO	O
_	_	_	O
부리	부리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 12
## 주부 김진아(36·강남구 역삼동)씨는 최근 초등학교 1학년 아들을 위해 3만원짜리 미니 드론을 구매했다.
## 주부 <김진아:PER>(<36:NOH>·<강남구:LOC> <역삼동:LOC>)씨는 최근 초등학교 <1학년:NOH> 아들을 위해 <3만원:MNY>짜리 미니 드론을 구매했다.
주부	주부	NNG	O
_	_	_	O
김진아	김진아	NNP	B-PER
(	(	SS	O
36	36	SN	B-NOH
·	·	SP	O
강남구	강남구	NNP	B-LOC
_	_	_	O
역삼동	역삼동	NNP	B-LOC
)	)	SS	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
초등학교	초등학교	NNG	O
_	_	_	O
1	1	SN	B-NOH
학년	학년	NNG	I-NOH
_	_	_	O
아들	아들	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
3	3	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
짜리	짜리	XSN	O
_	_	_	O
미니	미니	NNG	O
_	_	_	O
드론	드론	NNG	O
을	을	JKO	O
_	_	_	O
구매	구매하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

