## 1
## 김우진 선수를 검색하면 김태우가 자동검색어로 따라올 정도다.
## <김우진:PER> 선수를 검색하면 <김태우:PER>가 자동검색어로 따라올 정도다.
김우진	김우진	NNP	B-PER
## 분양 관계자는 “(가칭)천안 신부동 코오롱하늘채 지역주택조합 아파트는 지역주택조합의 합리적 분양가격으로 고객들의 호응이 높았다”며 “특히 삼성디스플레이천안사업장, 외국인전용산업단지 등 대규모 공단이 지속적으로 개발되며 배후수요가 탄탄하다는 점이 입소문을 타며 실수요자 위주로 방문객들의 발길이 이어졌다”고 설명했다.
## 분양 관계자는 “(가칭)<천안 신부동 코오롱하늘채 지역주택조합 아파트:LOC>는 지역주택조합의 합리적 분양가격으로 고객들의 호응이 높았다”며 “특히 <삼성디스플레이천안사업장:LOC>, <외국인전용산업단지:LOC> 등 대규모 공단이 지속적으로 개발되며 배후수요가 탄탄하다는 점이 입소문을 타며 실수요자 위주로 방문객들의 발길이 이어졌다”고 설명했다.
분양	분양	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
(	(	SS	O
가칭	가칭	NNG	O
)	)	SS	O
천안	천안	NNP	B-LOC
_	_	_	I-LOC
신부동	신부동	NNP	I-LOC
_	_	_	I-LOC
코오롱	코오롱	NNP	I-LOC
하늘채	하늘채	NNP	I-LOC
_	_	_	I-LOC
지역	지역	NNG	I-LOC
주택조합	주택조합	NNG	I-LOC
_	_	_	I-LOC
아파트	아파트	NNG	I-LOC
는	는	JX	O
_	_	_	O
지역	지역	NNG	O
주택조합	주택조합	NNG	O
의	의	JKG	O
_	_	_	O
합리적	합리적	NNG	O
_	_	_	O
분양	분양	NNG	O
가격	가격	NNG	O
으로	으로	JKB	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
호응	호응	NNG	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
특히	특히	MAG	O
_	_	_	O
삼성디스플레이	삼성디스플레이	NNP	B-LOC
천안	천안	NNP	I-LOC
사업장	사업장	NNG	I-LOC
,	,	SP	O
_	_	_	O
외국인	외국인	NNG	B-LOC
전용	전용	NNG	I-LOC
산업	산업	NNG	I-LOC
단지	단지	NNG	I-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
공단	공단	NNG	O
이	이	JKS	O
_	_	_	O
지속적	지속적	NNG	O
으로	으로	JKB	O
_	_	_	O
개발되	개발되	VV	O
며	며	EC	O
_	_	_	O
배후	배후	NNG	O
수요	수요	NNG	O
가	가	JKS	O
_	_	_	O
탄탄하	탄탄하	VA	O
다는	다는	ETM	O
_	_	_	O
점	점	NNG	O
이	이	JKS	O
_	_	_	O
입	입	NNG	O
소문	소문	NNG	O
을	을	JKO	O
_	_	_	O
타	타	VV	O
며	며	EC	O
_	_	_	O
실수요자	실수요자	NNG	O
_	_	_	O
위주	위주	NNG	O
로	로	JKB	O
_	_	_	O
방문객	방문객	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
발길	발길	NNG	O
이	이	JKS	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## (가칭)천안 신부동 코오롱하늘채 지역주택조합 아파트 주택전시관은 천안시 서북구 두정동 858번지에 마련되어 있다.
## (가칭)<천안 신부동 코오롱하늘채 지역주택조합 아파트 주택전시관:LOC>은 <천안시:LOC> <서북구:LOC> <두정동 858번지:LOC>에 마련되어 있다.
(	(	SS	O
가칭	가칭	NNG	O
)	)	SS	O
천안	천안	NNP	B-LOC
_	_	_	I-LOC
신부동	신부동	NNP	I-LOC
_	_	_	I-LOC
코오롱	코오롱	NNP	I-LOC
하늘채	하늘채	NNP	I-LOC
_	_	_	I-LOC
지역	지역	NNG	I-LOC
주택조합	주택조합	NNG	I-LOC
_	_	_	I-LOC
아파트	아파트	NNG	I-LOC
_	_	_	I-LOC
주택	주택	NNG	I-LOC
전시관	전시관	NNG	I-LOC
은	은	JX	O
_	_	_	O
천안시	천안시	NNP	B-LOC
_	_	_	O
서북구	서북구	NNP	B-LOC
_	_	_	O
두정동	두정동	NNP	B-LOC
_	_	_	I-LOC
858	858	SN	I-LOC
번지	번지	NNG	I-LOC
에	에	JKB	O
_	_	_	O
마련되	마련되	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 문의 041-905-2300온라인뉴스팀
## 문의 <041-905-2300:POH>온라인뉴스팀
문의	문의	NNG	O
_	_	_	O
041	041	SN	B-POH
-	-	SO	I-POH
905	905	SN	I-POH
-	-	SO	I-POH
2300	2300	SN	I-POH
온라인	온라인	NNG	O
뉴스	뉴스	NNG	O
팀	팀	NNG	O

