## 1
## 싶을 정도로 설탕을…”‘집밥 백선생’백종원이 이번에는 비빔국수 레시피를 공개하며 미식가들의 관심을 집중시켰다.
## 싶을 정도로 설탕을…”‘<집밥 백선생:POH>’<백종원:PER>이 이번에는 비빔국수 레시피를 공개하며 미식가들의 관심을 집중시켰다.
싶	싶	VA	O
_	_	_	O
2000	2000	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
후반	후반	NNG	O
부터	부터	JX	O
_	_	_	O
딱딱한	딱딱하+ㄴ	VA+ETM	O
_	_	_	O
인상	인상	NNG	O
을	을	JKO	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
양복	양복	NNG	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
‘	‘	SS	O
비즈니스	비즈니스	NNG	O
_	_	_	O
캐주얼	캐주얼	NNG	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
복장	복장	NNG	O
을	을	JKO	O
_	_	_	O
자율	자율	NNG	O
화	화	XSN	O
한	하+ㄴ	XSV+ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
최근	최근	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
출근	출근	NNG	O
과	과	JC	O
_	_	_	O
퇴근	퇴근	NNG	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
자유롭	자유롭	VA	O
게	게	EC	O
_	_	_	O
정할	정하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 우선 미국 증시가 예상만큼 좋지 않을 수 있다.
## 우선 <미국:ORG> 증시가 예상만큼 좋지 않을 수 있다.
우선	우선	MAG	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
증시	증시	NNG	O
가	가	JKS	O
_	_	_	O
예상	예상	NNG	O
만큼	만큼	NNB	O
_	_	_	O
좋	좋	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 컨소시엄 사업은 대기업과 사업주단체로 구성된 공동훈련센터를 통해 자체 훈련시설과 인력이 부족한 중소기업에 우수한 교육훈련 프로그램을 제공하는 것으로 중소기업의 기술 경쟁력 향상뿐만 아니라 대중소기업 상생협력 및 대기업 근로자와 중소기업 근로자 간 직업훈련 참여율의 이중구조 완화에도 기여하고 있다.
## 컨소시엄 사업은 대기업과 사업주단체로 구성된 공동훈련센터를 통해 자체 훈련시설과 인력이 부족한 중소기업에 우수한 교육훈련 프로그램을 제공하는 것으로 중소기업의 기술 경쟁력 향상뿐만 아니라 대중소기업 상생협력 및 대기업 근로자와 중소기업 근로자 간 직업훈련 참여율의 <이중:NOH>구조 완화에도 기여하고 있다.
컨소시엄	컨소시엄	NNG	O
_	_	_	O
사업	사업	NNG	O
은	은	JX	O
_	_	_	O
대기업	대기업	NNG	O
과	과	JC	O
_	_	_	O
사업주	사업주	NNG	O
단체	단체	NNG	O
로	로	JKB	O
_	_	_	O
구성된	구성되+ㄴ	VV+ETM	O
_	_	_	O
공동	공동	NNG	O
훈련	훈련	NNG	O
센터	센터	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
자체	자체	NNG	O
_	_	_	O
훈련	훈련	NNG	O
시설	시설	NNG	O
과	과	JC	O
_	_	_	O
인력	인력	NNG	O
이	이	JKS	O
_	_	_	O
부족한	부족하+ㄴ	VA+ETM	O
_	_	_	O
중소기업	중소기업	NNG	O
에	에	JKB	O
_	_	_	O
우수한	우수하+ㄴ	VA+ETM	O
_	_	_	O
교육	교육	NNG	O
훈련	훈련	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
제공하	제공하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
중소기업	중소기업	NNG	O
의	의	JKG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
경쟁력	경쟁력	NNG	O
_	_	_	O
향상	향상	NNG	O
뿐	뿐	NNB	O
만	만	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
대중	대중	NNG	O
소기업	소기업	NNG	O
_	_	_	O
상생	상생	NNG	O
협력	협력	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
대기업	대기업	NNG	O
_	_	_	O
근로자	근로자	NNG	O
와	와	JC	O
_	_	_	O
중소기업	중소기업	NNG	O
_	_	_	O
근로자	근로자	NNG	O
_	_	_	O
간	간	NNB	O
_	_	_	O
직업	직업	NNG	O
훈련	훈련	NNG	O
_	_	_	O
참여	참여	NNG	O
율	율	XSN	O
의	의	JKG	O
_	_	_	O
이중	이중	NNG	B-NOH
구조	구조	NNG	O
_	_	_	O
완화	완화	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
기여하	기여하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 14
## 지난 2015년 제2공항 건설계획 발표 이후 투자 수요가 늘었다.
## 지난 <2015년:DAT> <제2공항:NOH> 건설계획 발표 이후 투자 수요가 늘었다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2015	2015	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
제	제	XPN	B-NOH
2	2	SN	I-NOH
공항	공항	NNG	I-NOH
_	_	_	O
건설	건설	NNG	O
계획	계획	NNG	O
_	_	_	O
발표	발표	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
투자	투자	NNG	O
_	_	_	O
수요	수요	NNG	O
가	가	JKS	O
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## ‘김영한 비망록’은 고 김영한 전 청와대 민정수석이 남긴 기록으로, 청와대 재직 시절 김기춘 전 실장을 중심으로 한 수석비서관 회의 내용을 담고 있다.
## ‘<김영한:PER> 비망록’은 고 <김영한:PER> 전 <청와대:ORG> 민정수석이 남긴 기록으로, <청와대:ORG> 재직 시절 <김기춘:PER> 전 실장을 중심으로 한 수석비서관 회의 내용을 담고 있다.
‘	‘	SS	O
김영한	김영한	NNP	B-PER
_	_	_	O
비망록	비망록	NNG	O
’	’	SS	O
은	은	JX	O
_	_	_	O
고	고	MM	O
_	_	_	O
김영한	김영한	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
민정	민정	NNP	O
수석	수석	NNG	O
이	이	JKS	O
_	_	_	O
남긴	남기+ㄴ	VV+ETM	O
_	_	_	O
기록	기록	NNG	O
으로	으로	JKB	O
,	,	SP	O
_	_	_	O
청와대	청와대	NNP	B-ORG
_	_	_	O
재직	재직	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
김기춘	김기춘	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
실장	실장	NNG	O
을	을	JKO	O
_	_	_	O
중심	중심	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
수석	수석	NNG	O
비서관	비서관	NNG	O
_	_	_	O
회의	회의	NNG	O
_	_	_	O
내용	내용	NNG	O
을	을	JKO	O
_	_	_	O
담	담	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

