## 1
## 두 사람의 엇갈린 주장에 미궁 속으로 빠진 노부부의 죽음. 14일 오후 11시 방송되는 종편 채널A의 ‘모큐드라마 싸인’이 노부부의 죽음을 둘러싼 진실을 추적해 공개한다.
## <두 사람:NOH>의 엇갈린 주장에 미궁 속으로 빠진 노부부의 죽음. <14일:DAT> <오후 11시:TIM> 방송되는 종편 <채널A:ORG>의 ‘<모큐드라마 싸인:POH>’이 노부부의 죽음을 둘러싼 진실을 추적해 공개한다.
두	두	MM	B-NOH
## 국내 판매는 최근 출시한 ‘<K7:POH>’과 ‘<모하비:POH>’의 신차 효과로 전년 대비 <11.4%:PNT> 늘었다.
국내	국내	NNG	O
_	_	_	O
판매	판매	NNG	O
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
출시한	출시하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
K	K	SL	B-POH
7	7	SN	I-POH
’	’	SS	O
과	과	JC	O
_	_	_	O
‘	‘	SS	O
모하비	모하비	NNP	B-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
신차	신차	NNG	O
_	_	_	O
효과	효과	NNG	O
로	로	JKB	O
_	_	_	O
전년	전년	NNG	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
11.4	11.4	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
늘	늘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 최근 조사에서 미국의 스마트워치 소유자가 3%에 그치는 것으로 드러났다.
## 최근 조사에서 <미국:LOC>의 스마트워치 소유자가 <3%:PNT>에 그치는 것으로 드러났다.
최근	최근	NNG	O
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
미국	미국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
스마트	스마트	NNG	O
워치	워치	NNG	O
_	_	_	O
소유자	소유자	NNG	O
가	가	JKS	O
_	_	_	O
3	3	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
그치	그치	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 애플 워치나 삼성 기어가 시장에 나오기 무섭게 동난다고 착각하기 쉽지만 실제로 손목에 스마트워치를 찬 사람이 얼마나 되는지 주변을 둘러보라. 많지 않다.
## <애플 워치:POH>나 <삼성 기어:POH>가 시장에 나오기 무섭게 동난다고 착각하기 쉽지만 실제로 손목에 스마트워치를 찬 사람이 얼마나 되는지 주변을 둘러보라. 많지 않다.
애플	애플	NNP	B-POH
_	_	_	I-POH
워치	워치	NNG	I-POH
나	나	JC	O
_	_	_	O
삼성	삼성	NNP	B-POH
_	_	_	I-POH
기어가	기어가+아	VV+EC	O
_	_	_	O
시장	시장	NNG	O
에	에	JKB	O
_	_	_	O
나오	나오	VV	O
기	기	ETN	O
_	_	_	O
무섭	무섭	VA	O
게	게	EC	O
_	_	_	O
동난다고	동나+ㄴ다고	VV+EC	O
_	_	_	O
착각하	착각하	VV	O
기	기	ETN	O
_	_	_	O
쉽	쉽	VA	O
지만	지만	EC	O
_	_	_	O
실제로	실제로	MAG	O
_	_	_	O
손목	손목	NNG	O
에	에	JKB	O
_	_	_	O
스마트	스마트	NNG	O
워치	워치	NNG	O
를	를	JKO	O
_	_	_	O
찬	차+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKC	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
되	되	VV	O
는지	는지	EC	O
_	_	_	O
주변	주변	NNG	O
을	을	JKO	O
_	_	_	O
둘러보	둘러보	VV	O
라	라	EF	O
.	.	SF	O
_	_	_	O
많	많	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 신(新)이 붙은 이유는 장쩌민(江澤民) 집권 시절 주룽지, 후진타오(胡錦濤), 우방궈(吳邦國), 황쥐(黃菊), 우관정(吳官正) 등과 같은 칭화대 출신의 정치국 상무위원이 잇따라 배출되면서 대청(大淸)시대란 말을 낳았기 때문에 이와 구별하기 위해서다.
## 신(新)이 붙은 이유는 <장쩌민:PER>(<江澤民:PER>) 집권 시절 <주룽지:PER>, <후진타오:PER>(<胡錦濤:PER>), <우방궈:PER>(<吳邦國:PER>), <황쥐:PER>(<黃菊:PER>), <우관정:PER>(<吳官正:PER>) 등과 같은 <칭화대:ORG> 출신의 정치국 상무위원이 잇따라 배출되면서 대청(大淸)시대란 말을 낳았기 때문에 이와 구별하기 위해서다.
신	신	NNG	O
(	(	SS	O
新	新	SH	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
붙	붙	VV	O
은	은	ETM	O
_	_	_	O
이유	이유	NNG	O
는	는	JX	O
_	_	_	O
장쩌민	장쩌민	NNP	B-PER
(	(	SS	O
江澤民	江澤民	SH	B-PER
)	)	SS	O
_	_	_	O
집권	집권	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
주룽지	주룽지	NNP	B-PER
,	,	SP	O
_	_	_	O
후진타오	후진타오	NNP	B-PER
(	(	SS	O
胡錦濤	胡錦濤	SH	B-PER
)	)	SS	O
,	,	SP	O
_	_	_	O
우방궈	우방궈	NNP	B-PER
(	(	SS	O
吳邦國	吳邦國	SH	B-PER
)	)	SS	O
,	,	SP	O
_	_	_	O
황쥐	황쥐	NNP	B-PER
(	(	SS	O
黃菊	黃菊	SH	B-PER
)	)	SS	O
,	,	SP	O
_	_	_	O
우관정	우관정	NNP	B-PER
(	(	SS	O
吳官正	吳官正	SH	B-PER
)	)	SS	O
_	_	_	O
등	등	NNB	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
칭화대	칭화대	NNP	B-ORG
_	_	_	O
출신	출신	NNG	O
의	의	JKG	O
_	_	_	O
정치국	정치국	NNG	O
_	_	_	O
상무위원	상무위원	NNG	O
이	이	JKS	O
_	_	_	O
잇따	잇따르	VV	O
라	아	EC	O
_	_	_	O
배출되	배출되	VV	O
면서	면서	EC	O
_	_	_	O
대청	대청	NNG	O
(	(	SS	O
大淸	大淸	SH	O
)	)	SS	O
시대	시대+이	NNG+VCP	O
란	란	ETM	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
낳	낳	VV	O
았	았	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
이	이	NP	O
와	와	JKB	O
_	_	_	O
구별하	구별하	VV	O
기	기	ETN	O
_	_	_	O
위해서	위하+여서+이	VV+EC+VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 광주 동부경찰서는 31일 A 양을 영아유기 혐의로 불구속 입건했다.
## <광주 동부경찰서:ORG>는 <31일:DAT> <A:PER> 양을 영아유기 혐의로 불구속 입건했다.
광주	광주	NNP	B-ORG
_	_	_	I-ORG
동부	동부	NNG	I-ORG
경찰서	경찰서	NNG	I-ORG
는	는	JX	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
A	A	SL	B-PER
_	_	_	O
양	양	NNG	O
을	을	JKO	O
_	_	_	O
영아	영아	NNG	O
유기	유기	NNG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
불구속	불구속	NNG	O
_	_	_	O
입건	입건하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 그는 지난해 12월 쿠바와의 국교 정상화를 선언할 때 “정보의 자유로운 유통을 믿는다”며 “(그래서) 여행·교역과 정보의 유통을 위한 조치를 취한다”고 선언했다.
## 그는 지난해 <12월:DAT> <쿠바:ORG>와의 국교 정상화를 선언할 때 “정보의 자유로운 유통을 믿는다”며 “(그래서) 여행·교역과 정보의 유통을 위한 조치를 취한다”고 선언했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
12	12	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
쿠바	쿠바	NNP	B-ORG
와	와	JKB	O
의	의	JKG	O
_	_	_	O
국교	국교	NNG	O
_	_	_	O
정상화	정상화	NNG	O
를	를	JKO	O
_	_	_	O
선언할	선언하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
“	“	SS	O
정보	정보	NNG	O
의	의	JKG	O
_	_	_	O
자유로	자유롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
유통	유통	NNG	O
을	을	JKO	O
_	_	_	O
믿	믿	VV	O
는다	는다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
(	(	SS	O
그래서	그래서	MAJ	O
)	)	SS	O
_	_	_	O
여행	여행	NNG	O
·	·	SP	O
교역	교역	NNG	O
과	과	JC	O
_	_	_	O
정보	정보	NNG	O
의	의	JKG	O
_	_	_	O
유통	유통	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
조치	조치	NNG	O
를	를	JKO	O
_	_	_	O
취한다	취하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
선언	선언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이치로, 통산 1968점…왕정치 넘어 일본인 최다 득점
## <이치로:PER>, 통산 <1968점:NOH>…<왕정치:PER> 넘어 일본인 최다 득점
이치	이치	NNG	B-PER
로	로	JKB	I-PER
,	,	SP	O
_	_	_	O
통산	통산	NNG	O
_	_	_	O
1968	1968	SN	B-NOH
점	점	NNB	I-NOH
…	…	SE	O
왕정치	왕정치	NNP	B-PER
_	_	_	O
넘	넘	VV	O
어	어	EC	O
_	_	_	O
일본인	일본인	NNG	O
_	_	_	O
최다	최다	NNG	O
_	_	_	O
득점	득점	NNG	O

## 11
## 서울시의 서울연구데이터서비스 ‘사진으로 본 서울’(data.si.re.kr/seoulphoto)을 통해 확인할 수 있다.
## <서울시:LOC>의 서울연구데이터서비스 ‘<사진으로 본 서울:POH>’(<data.si.re.kr/seoulphoto:POH>)을 통해 확인할 수 있다.
서울시	서울시	NNP	B-LOC
의	의	JKG	O
_	_	_	O
서울	서울	NNP	O
연구	연구	NNG	O
데이터	데이터	NNG	O
서비스	서비스	NNG	O
_	_	_	O
‘	‘	SS	O
사진	사진	NNG	B-POH
으로	으로	JKB	I-POH
_	_	_	I-POH
본	보+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
서울	서울	NNP	I-POH
’	’	SS	O
(	(	SS	O
data	data	SL	B-POH
.	.	SF	I-POH
si	si	SL	I-POH
.	.	SF	I-POH
re	re	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
/	/	SP	I-POH
seoulphoto	seoulphoto	SL	I-POH
)	)	SS	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
확인할	확인하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 12
## 이 때문에 정상 착지지점을 1천2백∼1천3백m나 지나 착륙, 기체가 미끄러지면서 활주로를 이탈했다는 것이다.
## 이 때문에 정상 착지지점을 <1천2백:NOH>∼<1천3백m:NOH>나 지나 착륙, 기체가 미끄러지면서 활주로를 이탈했다는 것이다.
이	이	MM	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
정상	정상	NNG	O
_	_	_	O
착지	착지	NNG	O
지점	지점	NNG	O
을	을	JKO	O
_	_	_	O
1	1	SN	B-NOH
천	천	NR	I-NOH
2	2	SN	I-NOH
백	백	NR	I-NOH
∼	∼	SO	O
1	1	SN	B-NOH
천	천	NR	I-NOH
3	3	SN	I-NOH
백	백	NR	I-NOH
m	m	SL	I-NOH
나	나	JX	O
_	_	_	O
지나	지나+아	VV+EC	O
_	_	_	O
착륙	착륙	NNG	O
,	,	SP	O
_	_	_	O
기체	기체	NNG	O
가	가	JKS	O
_	_	_	O
미끄러지	미끄러지	VV	O
면서	면서	EC	O
_	_	_	O
활주로	활주로	NNG	O
를	를	JKO	O
_	_	_	O
이탈	이탈하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 김우빈은 “평소 스포츠에 관심이 많았다.
## <김우빈:PER>은 “평소 스포츠에 관심이 많았다.
김우빈	김우빈	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
평소	평소	NNG	O
_	_	_	O
스포츠	스포츠	NNG	O
에	에	JKB	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 센터페시아 상단 8인치 터치스크린 및 하단 버튼들 역시 동일 소재로 통일감을 유지했지만 역시 운전자가 익숙하게 작동하기까지 몇 번의 시행착오가 따른다.
## 센터페시아 상단 <8인치:NOH> 터치스크린 및 하단 버튼들 역시 동일 소재로 통일감을 유지했지만 역시 운전자가 익숙하게 작동하기까지 몇 번의 시행착오가 따른다.
센터페시아	센터페시아	NNG	O
_	_	_	O
상단	상단	NNG	O
_	_	_	O
8	8	SN	B-NOH
인치	인치	NNB	I-NOH
_	_	_	O
터치스크린	터치스크린	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
하단	하단	NNG	O
_	_	_	O
버튼	버튼	NNG	O
들	들	XSN	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
동일	동일	NNG	O
_	_	_	O
소재	소재	NNG	O
로	로	JKB	O
_	_	_	O
통일감	통일감	NNG	O
을	을	JKO	O
_	_	_	O
유지	유지하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
역시	역시	MAG	O
_	_	_	O
운전자	운전자	NNG	O
가	가	JKS	O
_	_	_	O
익숙하	익숙하	VA	O
게	게	EC	O
_	_	_	O
작동하	작동하	VV	O
기	기	ETN	O
까지	까지	JX	O
_	_	_	O
몇	몇	MM	O
_	_	_	O
번	번	NNB	O
의	의	JKG	O
_	_	_	O
시행착오	시행착오	NNG	O
가	가	JKS	O
_	_	_	O
따른다	따르+ㄴ다	VV+EF	O
.	.	SF	O

