## 1
## 통상 1월은 대출 비수기로 꼽힌다.
## 통상 <1월:DAT>은 대출 비수기로 꼽힌다.
통상	통상	NNG	O
_	_	_	O
수원	수원	NNP	B-LOC
,	,	SP	O
_	_	_	O
부산	부산	NNP	B-LOC
,	,	SP	O
_	_	_	O
대전	대전	NNP	B-LOC
,	,	SP	O
_	_	_	O
광주	광주	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
투어	투어	NNG	O
_	_	_	O
형식	형식	NNG	O
으로	으로	JKB	O
_	_	_	O
진행할	진행하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O
참석자	참석자	NNG	O
_	_	_	O
전원	전원	NNG	O
에게	에게	JKB	O
_	_	_	O
전국	전국	NNG	O
15	15	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
경매	경매	NNG	O
정보	정보	NNG	O
이용	이용	NNG	O
권	권	XSN	O
과	과	JC	O
_	_	_	O
추천	추천	NNG	O
도서	도서	NNG	O
_	_	_	O
1	1	SN	B-NOH
권	권	NNB	I-NOH
이	이	JKS	O
_	_	_	O
제공된다	제공되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 보고서는 2030년이면 이곳의 60세 이상 인구가 전체 선진국 도시 지출의 51%, 전 세계 도시 지출의 19%를 차지할 것으로 예측했다.
## 보고서는 <2030년:DAT>이면 이곳의 <60세:NOH> 이상 인구가 전체 선진국 도시 지출의 <51%:PNT>, 전 세계 도시 지출의 <19%:PNT>를 차지할 것으로 예측했다.
보고서	보고서	NNG	O
는	는	JX	O
_	_	_	O
2030	2030	SN	B-DAT
년	년	NNB	I-DAT
이	이	VCP	O
면	면	EC	O
_	_	_	O
이곳	이곳	NP	O
의	의	JKG	O
_	_	_	O
60	60	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
인구	인구	NNG	O
가	가	JKS	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
선진국	선진국	NNG	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
지출	지출	NNG	O
의	의	JKG	O
_	_	_	O
51	51	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
도시	도시	NNG	O
_	_	_	O
지출	지출	NNG	O
의	의	JKG	O
_	_	_	O
19	19	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
차지할	차지하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예측	예측하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 홍준표 ‘서문시장’ 발언에 박사모 발끈 “막말 말고 김진태에 양보하라”
## <홍준표:PER> ‘<서문시장:LOC>’ 발언에 <박사모:ORG> 발끈 “막말 말고 <김진태:PER>에 양보하라”
홍준표	홍준표	NNP	B-PER
_	_	_	O
‘	‘	SS	O
서문시장	서문시장	NNP	B-LOC
’	’	SS	O
_	_	_	O
발언	발언	NNG	O
에	에	JKB	O
_	_	_	O
박사모	박사모	NNP	B-ORG
_	_	_	O
발끈	발끈	MAG	O
_	_	_	O
“	“	SS	O
막말	막말	NNG	O
_	_	_	O
말	말	VV	O
고	고	EC	O
_	_	_	O
김진태	김진태	NNP	B-PER
에	에	JKB	O
_	_	_	O
양보하	양보하	VV	O
라	라	EF	O
”	”	SS	O

## 12
## 대한민국에선 사고도 있었다.
## <대한민국:LOC>에선 사고도 있었다.
대한민국	대한민국	NNP	B-LOC
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
사고	사고	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 일단 ‘내부자들’을 향한 분위기는 긍정적이다.
## 일단 ‘<내부자들:POH>’을 향한 분위기는 긍정적이다.
일단	일단	MAG	O
_	_	_	O
‘	‘	SS	O
내부	내부	NNG	B-POH
자	자	XSN	I-POH
들	들	XSN	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
향한	향하+ㄴ	VV+ETM	O
_	_	_	O
분위기	분위기	NNG	O
는	는	JX	O
_	_	_	O
긍정적	긍정적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 수원~광명 고속도로도 개통(2016년 4월)을 앞두고 있다.
## <수원~광명 고속도로:LOC>도 개통(<2016년 4월:DAT>)을 앞두고 있다.
수원	수원	NNP	B-LOC
~	~	SO	I-LOC
광명	광명	NNP	I-LOC
_	_	_	I-LOC
고속도로	고속도로	NNG	I-LOC
도	도	JX	O
_	_	_	O
개통	개통	NNG	O
(	(	SS	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
4	4	SN	I-DAT
월	월	NNB	I-DAT
)	)	SS	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 15
## 이정현 여우주연상, 눈물의 수상소감… “너무 작은 작품이라 상 받을지 몰랐다”
## <이정현:PER> 여우주연상, 눈물의 수상소감… “너무 작은 작품이라 상 받을지 몰랐다”
이정현	이정현	NNP	B-PER
_	_	_	O
여우	여우	NNG	O
주연	주연	NNG	O
상	상	NNG	O
,	,	SP	O
_	_	_	O
눈물	눈물	NNG	O
의	의	JKG	O
_	_	_	O
수상	수상	NNG	O
소감	소감	NNG	O
…	…	SE	O
_	_	_	O
“	“	SS	O
너무	너무	MAG	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
작품	작품	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
상	상	NNG	O
_	_	_	O
받	받	VV	O
을지	을지	EC	O
_	_	_	O
몰	모르	VV	O
랐	았	EP	O
다	다	EF	O
”	”	SS	O

