## 1
## 기초가 안 되었다는 거죠. 노벨상을 탈 거냐, 말 거냐, 탈 거면 언제 탈 거냐, 누가 탈 거냐, 거기에만 관심을 보이지 않습니까. 우리나라에서 노벨상에 가장 근접한 사람이 누구 누구라고 하는데 제가 보기엔 탈 사람이 없습니다.
## 기초가 안 되었다는 거죠. <노벨상:POH>을 탈 거냐, 말 거냐, 탈 거면 언제 탈 거냐, 누가 탈 거냐, 거기에만 관심을 보이지 않습니까. 우리나라에서 <노벨상:POH>에 가장 근접한 사람이 누구 누구라고 하는데 제가 보기엔 탈 사람이 없습니다.
기초	기초	NNG	O
이	이	JKS	O
_	_	_	O
누구	누구	NP	O
_	_	_	O
누구	누구+이	NP+VCP	O
라고	라고	EC	O
_	_	_	O
하	하	VX	O
는데	는데	EC	O
_	_	_	O
제	제	NP	O
가	가	JKS	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
탈	타+ㄹ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
습니다	습니다	EF	O
.	.	SF	O

## 2
## 하지만 안정적인 매출 곡선을 그리던 길무역도 1998년 외환위기를 피하지 못해 큰 어려움을 겪기도 했지만 그동안 수립한 세계 각 거래처들과의 독점계약 확대와 국내시장 점유율 신장으로 시장에 안착했고 더욱 공고한 신뢰를 쌓으며 성장하였다.
## 하지만 안정적인 매출 곡선을 그리던 <길무역:ORG>도 <1998년:DAT> 외환위기를 피하지 못해 큰 어려움을 겪기도 했지만 그동안 수립한 세계 각 거래처들과의 독점계약 확대와 국내시장 점유율 신장으로 시장에 안착했고 더욱 공고한 신뢰를 쌓으며 성장하였다.
하지만	하지만	MAJ	O
_	_	_	O
안정적	안정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
매출	매출	NNG	O
_	_	_	O
곡선	곡선	NNG	O
을	을	JKO	O
_	_	_	O
그리	그리	VV	O
던	던	ETM	O
_	_	_	O
길무역	길무역	NNP	B-ORG
도	도	JX	O
_	_	_	O
1998	1998	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
외환	외환	NNG	O
위기	위기	NNG	O
를	를	JKO	O
_	_	_	O
피하	피하	VV	O
지	지	EC	O
_	_	_	O
못해	못하+여	VX+EC	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
어려움	어려움	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
그동안	그동안	NNG	O
_	_	_	O
수립한	수립하+ㄴ	VV+ETM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
각	각	MM	O
_	_	_	O
거래처	거래처	NNG	O
들	들	XSN	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
독점	독점	NNG	O
계약	계약	NNG	O
_	_	_	O
확대	확대	NNG	O
와	와	JC	O
_	_	_	O
국내	국내	NNG	O
시장	시장	NNG	O
_	_	_	O
점유율	점유율	NNG	O
_	_	_	O
신장	신장	NNG	O
으로	으로	JKB	O
_	_	_	O
시장	시장	NNG	O
에	에	JKB	O
_	_	_	O
안착	안착하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
공고한	공고하+ㄴ	VA+ETM	O
_	_	_	O
신뢰	신뢰	NNG	O
를	를	JKO	O
_	_	_	O
쌓	쌓	VV	O
으며	으며	EC	O
_	_	_	O
성장하	성장하	VV	O
였	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## [생활체육 7330] 생활체육회, 팀 스포츠·여학생 프로그램 강화
## [<생활체육 7330:POH>] <생활체육회:ORG>, 팀 스포츠·여학생 프로그램 강화
[	[	SS	O
생활	생활	NNG	B-POH
체육	체육	NNG	I-POH
_	_	_	I-POH
7330	7330	SN	I-POH
]	]	SS	O
_	_	_	O
생활	생활	NNG	B-ORG
체육	체육	NNG	I-ORG
회	회	XSN	I-ORG
,	,	SP	O
_	_	_	O
팀	팀	NNG	O
_	_	_	O
스포츠	스포츠	NNG	O
·	·	SP	O
여학생	여학생	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
_	_	_	O
강화	강화	NNG	O

## 4
## FBI는 이날 빌 클린턴이 2001년 대통령 임기 마지막날 탈세 등의 비리로 해외에 도피해 있던 억만장자 마크 리치를 사면 대상에 포함시켜 수사에 나섰던 당시 기록을 FBI 트위터 계정에 올렸다고 알렸다.
## <FBI:ORG>는 이날 <빌 클린턴:PER>이 <2001년:DAT> 대통령 임기 마지막날 탈세 등의 비리로 해외에 도피해 있던 억만장자 <마크 리치:PER>를 사면 대상에 포함시켜 수사에 나섰던 당시 기록을 <FBI 트위터:POH> 계정에 올렸다고 알렸다.
FBI	FBI	SL	B-ORG
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
빌	빌	NNP	B-PER
_	_	_	I-PER
클린턴	클린턴	NNP	I-PER
이	이	JKS	O
_	_	_	O
2001	2001	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
임기	임기	NNG	O
_	_	_	O
마지막	마지막	NNG	O
날	날	NNG	O
_	_	_	O
탈세	탈세	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
비리	비리	NNG	O
로	로	JKB	O
_	_	_	O
해외	해외	NNG	O
에	에	JKB	O
_	_	_	O
도피해	도피하+여	VV+EC	O
_	_	_	O
있	있	VA	O
던	던	ETM	O
_	_	_	O
억만장자	억만장자	NNG	O
_	_	_	O
마크	마크	NNP	B-PER
_	_	_	I-PER
리치	리치	NNG	I-PER
를	를	JKO	O
_	_	_	O
사면	사면	NNG	O
_	_	_	O
대상	대상	NNG	O
에	에	JKB	O
_	_	_	O
포함	포함	NNG	O
시켜	시키+어	XSV+EC	O
_	_	_	O
수사	수사	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
던	던	ETM	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
기록	기록	NNG	O
을	을	JKO	O
_	_	_	O
FBI	FBI	SL	B-POH
_	_	_	I-POH
트위터	트위터	NNP	I-POH
_	_	_	O
계정	계정	NNG	O
에	에	JKB	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다고	다고	EC	O
_	_	_	O
알	알리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 협의회 총무인 김희창(35) 장흥삶한우 사장은 “지방이 많아 몸에 이롭지 못하면서 값은 비싼 거세수소 고기보다 우리 암소고기가 실속이 있다”고 강조했다.
## 협의회 총무인 <김희창:PER>(<35:NOH>) <장흥삶한우:ORG> 사장은 “지방이 많아 몸에 이롭지 못하면서 값은 비싼 거세수소 고기보다 우리 암소고기가 실속이 있다”고 강조했다.
협의회	협의회	NNG	O
_	_	_	O
총무	총무	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김희창	김희창	NNP	B-PER
(	(	SS	O
35	35	SN	B-NOH
)	)	SS	O
_	_	_	O
장흥	장흥	NNP	B-ORG
삶	삶	NNG	I-ORG
한우	한우	NNG	I-ORG
_	_	_	O
사장	사장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
지방	지방	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
아	아	EC	O
_	_	_	O
몸	몸	NNG	O
에	에	JKB	O
_	_	_	O
이롭	이롭	VA	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
면서	면서	EC	O
_	_	_	O
값	값	NNG	O
은	은	JX	O
_	_	_	O
비싼	비싸+ㄴ	VA+ETM	O
_	_	_	O
거세	거세	NNG	O
수소	수소	NNG	O
_	_	_	O
고기	고기	NNG	O
보다	보다	JKB	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
암소	암소	NNG	O
고기	고기	NNG	O
가	가	JKS	O
_	_	_	O
실속	실속	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
강조	강조하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 장흥한우는 1등급 이상 출현율이 70%를 훨씬 넘는 등 육질이 전국 한우 가운데 선두를 다투고 있다.
## <장흥한우:ORG>는 <1등급:NOH> 이상 출현율이 <70%:PNT>를 훨씬 넘는 등 육질이 전국 한우 가운데 선두를 다투고 있다.
장흥	장흥	NNP	B-ORG
한우	한우	NNG	I-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
등급	등급	NNG	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
출현	출현	NNG	O
율	율	XSN	O
이	이	JKS	O
_	_	_	O
70	70	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
훨씬	훨씬	MAG	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
육질	육질	NNG	O
이	이	JKS	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
한우	한우	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
선두	선두	NNG	O
를	를	JKO	O
_	_	_	O
다투	다투	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 살이 찐 사람이 정상 체중인 사람보다 핏속 카델리시딘 함량이 더 많았다.
## 살이 찐 사람이 정상 체중인 사람보다 핏속 <카델리시딘:POH> 함량이 더 많았다.
살	살	NNG	O
이	이	JKS	O
_	_	_	O
찐	찌+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
정상	정상	NNG	O
_	_	_	O
체중	체중	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
사람	사람	NNG	O
보다	보다	JKB	O
_	_	_	O
핏속	핏속	NNG	O
_	_	_	O
카	카	NNG	B-POH
델리시	델리시	NNP	I-POH
딘	딘	NNP	I-POH
_	_	_	O
함량	함량	NNG	O
이	이	JKS	O
_	_	_	O
더	더	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 예원의 출연분이 편집 없이 방영될 예정이다.
## <예원:PER>의 출연분이 편집 없이 방영될 예정이다.
예원	예원	NNG	B-PER
의	의	JKG	O
_	_	_	O
출연	출연	NNG	O
분	분	NNB	O
이	이	JKS	O
_	_	_	O
편집	편집	NNG	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
방영될	방영되+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 27일 동영상공유사이트 유튜브에는 MBC ‘띠동갑내기 과외하기’ 녹화 당시 이태임과 예원 사이에서 있었던 일로 추정되는 영상이 올라왔다.
## <27일:DAT> 동영상공유사이트 <유튜브:POH>에는 <MBC:ORG> ‘<띠동갑내기 과외하기:POH>’ 녹화 당시 <이태임:PER>과 <예원:PER> 사이에서 있었던 일로 추정되는 영상이 올라왔다.
27	27	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
동영상	동영상	NNG	O
공유	공유	NNG	O
사이트	사이트	NNG	O
_	_	_	O
유튜브	유튜브	NNP	B-POH
에	에	JKB	O
는	는	JX	O
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
‘	‘	SS	O
띠	띠	NNG	B-POH
동갑내기	동갑내기	NNG	I-POH
_	_	_	I-POH
과외	과외	NNG	I-POH
하	하	XSV	I-POH
기	기	ETN	I-POH
’	’	SS	O
_	_	_	O
녹화	녹화	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
이태임	이태임	NNP	B-PER
과	과	JC	O
_	_	_	O
예원	예원	NNG	B-PER
_	_	_	O
사이	사이	NNG	O
에서	에서	JKB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
일	일	NNG	O
로	로	JKB	O
_	_	_	O
추정되	추정되	VV	O
는	는	ETM	O
_	_	_	O
영상	영상	NNG	O
이	이	JKS	O
_	_	_	O
올라	올라오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 문제의 동영상이 공개된 후 예원이 출연 중인 MBC ‘우리 결혼했어요’ 시청자 게시판에는 예원의 하차를 요구하는 글들이 잇따라 게재됐다.
## 문제의 동영상이 공개된 후 <예원:PER>이 출연 중인 <MBC:ORG> ‘<우리 결혼했어요:POH>’ 시청자 게시판에는 <예원:PER>의 하차를 요구하는 글들이 잇따라 게재됐다.
문제	문제	NNG	O
의	의	JKG	O
_	_	_	O
동영상	동영상	NNG	O
이	이	JKS	O
_	_	_	O
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
예원이	예원이	NNP	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
‘	‘	SS	O
우리	우리	NP	B-POH
_	_	_	I-POH
결혼	결혼하	VV	I-POH
했	었	EP	I-POH
어요	어요	EF	I-POH
’	’	SS	O
_	_	_	O
시청자	시청자	NNG	O
_	_	_	O
게시판	게시판	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
예원	예원	NNG	B-PER
의	의	JKG	O
_	_	_	O
하차	하차	NNG	O
를	를	JKO	O
_	_	_	O
요구하	요구하	VV	O
는	는	ETM	O
_	_	_	O
글	글	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
잇따	잇따르	VV	O
라	아	EC	O
_	_	_	O
게재	게재되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 만인보의 내용이 고 씨 부친의 실화라고 확정된 것은 아니지만, 네티즌들은 그렇게 여겨진다며 전과 다른 태도를 보있고 있다.
## <만인보:POH>의 내용이 <고:PER> 씨 부친의 실화라고 확정된 것은 아니지만, 네티즌들은 그렇게 여겨진다며 전과 다른 태도를 보있고 있다.
만인보	만인보	NNP	B-POH
의	의	JKG	O
_	_	_	O
내용	내용	NNG	O
이	이	JKS	O
_	_	_	O
고	고	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
_	_	_	O
부친	부친	NNG	O
의	의	JKG	O
_	_	_	O
실화	실화+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
확정된	확정되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
아니	아니	VCN	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
여겨	여기+어	VV+EC	O
진다며	지+ㄴ다며	VX+EC	O
_	_	_	O
전	전	NNG	O
과	과	JKB	O
_	_	_	O
다른	다르+ㄴ	VA+ETM	O
_	_	_	O
태도	태도	NNG	O
를	를	JKO	O
_	_	_	O
보있	보이+었	VV+EP	O
고	고	JKQ	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 12
## 제주흑우는 조선왕조실록이나 탐라순력도 등의 옛 문헌에서 국가가 엄격히 사육 및 관리하며 진상품으로 공출하던 가축으로 기록하고 있다.
## <제주:LOC>흑우는 <조선왕조실록:POH>이나 <탐라순력도:POH> 등의 옛 문헌에서 국가가 엄격히 사육 및 관리하며 진상품으로 공출하던 가축으로 기록하고 있다.
제주	제주	NNP	B-LOC
흑	흑	NNG	O
우	울	VV	O
는	는	ETM	O
_	_	_	O
조선	조선	NNP	B-POH
왕조	왕조	NNG	I-POH
실록	실록	NNG	I-POH
이나	이나	JC	O
_	_	_	O
탐라	탐라	NNP	B-POH
순력	순력	NNG	I-POH
도	도	JX	I-POH
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
옛	옛	MM	O
_	_	_	O
문헌	문헌	NNG	O
에서	에서	JKB	O
_	_	_	O
국가	국가	NNG	O
가	가	JKS	O
_	_	_	O
엄격히	엄격히	MAG	O
_	_	_	O
사육	사육	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
관리하	관리하	VV	O
며	며	EC	O
_	_	_	O
진상품	진상품	NNG	O
으로	으로	JKB	O
_	_	_	O
공출하	공출하	VV	O
던	던	ETM	O
_	_	_	O
가축	가축	NNG	O
으로	으로	JKB	O
_	_	_	O
기록하	기록하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 13
## 경찰 관계자는 "박씨 등이 경찰 추적을 피하기 위해 1개월 단위로 대포폰을 바꾸고 관련 자료를 수시로 파기한 점 등으로 보아, 실제 피해자는 수백 명에 이르고 피해금액도 10억원에 이를 것으로 추정된다"며 "이들의 추가 범행을 조사하고 있다"고 말했다.
## 경찰 관계자는 "<박:PER>씨 등이 경찰 추적을 피하기 위해 <1개월:NOH> 단위로 대포폰을 바꾸고 관련 자료를 수시로 파기한 점 등으로 보아, 실제 피해자는 <수백 명:NOH>에 이르고 피해금액도 <10억원:MNY>에 이를 것으로 추정된다"며 "이들의 추가 범행을 조사하고 있다"고 말했다.
경찰	경찰	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
"	"	SS	O
박	박	NNP	B-PER
씨	씨	NNB	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
경찰	경찰	NNG	O
_	_	_	O
추적	추적	NNG	O
을	을	JKO	O
_	_	_	O
피하	피하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
1	1	SN	B-NOH
개월	개월	NNB	I-NOH
_	_	_	O
단위	단위	NNG	O
로	로	JKB	O
_	_	_	O
대포	대포	NNG	O
폰	폰	NNG	O
을	을	JKO	O
_	_	_	O
바꾸	바꾸	VV	O
고	고	EC	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
자료	자료	NNG	O
를	를	JKO	O
_	_	_	O
수시로	수시로	MAG	O
_	_	_	O
파기한	파기하+ㄴ	VV+ETM	O
_	_	_	O
점	점	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
보	보	VV	O
아	아	EC	O
,	,	SP	O
_	_	_	O
실제	실제	NNG	O
_	_	_	O
피해자	피해자	NNG	O
는	는	JX	O
_	_	_	O
수백	수백	NR	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
고	고	EC	O
_	_	_	O
피해	피해	NNG	O
금액	금액	NNG	O
도	도	JX	O
_	_	_	O
10	10	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
이를	이르+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
추정된다	추정되+ㄴ다	VV+EF	O
"	"	SS	O
며	며	EC	O
_	_	_	O
"	"	SS	O
이	이	NP	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
범행	범행	NNG	O
을	을	JKO	O
_	_	_	O
조사하	조사하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

