## 1
## 정구호 디자이너가 호텔 유니폼과 전체 아트 컨설팅을 담당했다.
## <정구호:PER> 디자이너가 호텔 유니폼과 전체 아트 컨설팅을 담당했다.
정구호	정구호	NNP	B-PER
## 지난달 <11일:DAT> <국회민생경제특위:ORG>에서 <윤관석:PER> 의원(<더불어민주당:ORG>)은 “임대인이 아니라 약자인 임차인을 중심에 놓고 생각해야 한다”면서 “전월세 상한제를 조속히 도입해 매달 높아지는 월세부터 잡아야 한다”고 말했다.
지난달	지난달	NNG	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	B-ORG
민생	민생	NNG	I-ORG
경제	경제	NNG	I-ORG
특위	특위	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
윤관석	윤관석	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
(	(	SS	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
“	“	SS	O
임대인	임대인	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
약자	약자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
임차인	임차인	NNG	O
을	을	JKO	O
_	_	_	O
중심	중심	NNG	O
에	에	JKB	O
_	_	_	O
놓	놓	VV	O
고	고	EC	O
_	_	_	O
생각해야	생각하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
전	전	NNG	O
월세	월세	NNG	O
_	_	_	O
상한	상한	NNG	O
제	제	XSN	O
를	를	JKO	O
_	_	_	O
조속히	조속히	MAG	O
_	_	_	O
도입해	도입하+여	VV+EC	O
_	_	_	O
매달	매달	MAG	O
_	_	_	O
높아지	높아지	VV	O
는	는	ETM	O
_	_	_	O
월세	월세	NNG	O
부터	부터	JX	O
_	_	_	O
잡	잡	VV	O
아야	아야	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## '할리우드 텐'을 포함해 324명은 블랙리스트에 올라 제대로 활동을 할 수 없게 됩니다.
## '<할리우드 텐:ORG>'을 포함해 <324명:NOH>은 블랙리스트에 올라 제대로 활동을 할 수 없게 됩니다.
'	'	SS	O
할리우드	할리우드	NNP	B-ORG
_	_	_	I-ORG
텐	텐	NNG	I-ORG
'	'	SS	O
을	을	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
324	324	SN	B-NOH
명	명	NNB	I-NOH
은	은	JX	O
_	_	_	O
블랙리스트	블랙리스트	NNG	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
게	게	EC	O
_	_	_	O
됩니다	되+ㅂ니다	VV+EF	O
.	.	SF	O

## 13
## 11번이나 이름을 바꾸가며 시나리오를 썼던 그는 로마의 휴일 대본에도 친구의 이름을 써야했습니다.
## <11번:NOH>이나 이름을 바꾸가며 시나리오를 썼던 그는 <로마의 휴일:POH> 대본에도 친구의 이름을 써야했습니다.
11	11	SN	B-NOH
번	번	NNB	I-NOH
이나	이나	JC	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
바꾸	바꾸+어	VV+EC	O
가	가	VX	O
며	며	EC	O
_	_	_	O
시나리오	시나리오	NNG	O
를	를	JKO	O
_	_	_	O
썼	+었	+EP	O
던	던	ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
로마	로마	NNP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
휴일	휴일	NNG	I-POH
_	_	_	O
대본	대본	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
친구	친구	NNG	O
의	의	JKG	O
_	_	_	O
이름	이름	NNG	O
을	을	JKO	O
_	_	_	O
써야	+어야+하	+EC+VX	O
했	였	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 14
## 초대형 창작 뮤지컬로 주목 받고 있는 ‘도리안 그레이’(프로듀서 백창주·연출 이지나)가 최초로 뮤지컬 넘버를 공개했다.
## 초대형 창작 뮤지컬로 주목 받고 있는 ‘<도리안 그레이:POH>’(프로듀서 <백창주:PER>·연출 <이지나:PER>)가 최초로 뮤지컬 넘버를 공개했다.
초대형	초대형	NNG	O
_	_	_	O
창작	창작	NNG	O
_	_	_	O
뮤지컬	뮤지컬	NNG	O
로	로	JKB	O
_	_	_	O
주목	주목	NNG	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
도리	도리	NNG	B-POH
안	안	NNG	I-POH
_	_	_	I-POH
그레이	그레이	NNP	I-POH
’	’	SS	O
(	(	SS	O
프로듀서	프로듀서	NNG	O
_	_	_	O
백창주	백창주	NNP	B-PER
·	·	SP	O
연출	연출	NNG	O
_	_	_	O
이지나	이지나	NNP	B-PER
)	)	SS	O
가	가	JKS	O
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
뮤지컬	뮤지컬	NNG	O
_	_	_	O
넘버	넘버	NNG	O
를	를	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

