## 1
## 레드닷 어워드는 미국의 'IDEA 디자인 어워드', 독일의 'iF 디자인 어워드'와 함께 세계 3대 디자인상 중 하나이며, JTBC가 이 디자인상에서 상을 받는 건 2013년 JTBC 브랜드 아이덴티티 본상 수상에 이어 두 번째다.
## <레드닷 어워드:POH>는 <미국:LOC>의 '<IDEA 디자인 어워드:POH>', <독일:LOC>의 '<iF 디자인 어워드:POH>'와 함께 세계 <3대:NOH> 디자인상 중 <하나:NOH>이며, <JTBC:ORG>가 이 디자인상에서 상을 받는 건 <2013년:DAT> <JTBC 브랜드 아이덴티티:ORG> 본상 수상에 이어 두 번째다.
레드	레드	NNG	B-POH
_	_	_	O
있	있	VX	O
고	고	EC	O
_	_	_	O
종교	종교	NNG	O
적	적	XSN	O
_	_	_	O
기부	기부	NNG	O
는	는	JX	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
기부	기부	NNG	O
액	액	XSN	O
의	의	JKG	O
_	_	_	O
14	14	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
정도	정도+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
보고서	보고서	NNG	O
는	는	JX	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 에이핑크, ‘핑크 메모리’로 8개월 만에 컴백 ‘기대감↑’
## <에이핑크:ORG>, ‘<핑크 메모리:POH>’로 <8개월:NOH> 만에 컴백 ‘기대감↑’
에이	에이	NNG	B-ORG
핑크	핑크	NNG	I-ORG
,	,	SP	O
_	_	_	O
‘	‘	SS	O
핑크	핑크	NNP	B-POH
_	_	_	I-POH
메모리	메모리	NNG	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
8	8	SN	B-NOH
개월	개월	NNB	I-NOH
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
컴백	컴백	NNG	O
_	_	_	O
‘	‘	SS	O
기대감	기대감	NNG	O
↑	↑	SW	O
’	’	SS	O

## 6
## 동부는 2002년 김주성(205cm)의 입단 이후 높이의 이점을 십분 활용해왔다.
## <동부:ORG>는 <2002년:DAT> <김주성:PER>(<205cm:NOH>)의 입단 이후 높이의 이점을 십분 활용해왔다.
동부	동부	NNP	B-ORG
는	는	JX	O
_	_	_	O
2002	2002	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
김주성	김주성	NNP	B-PER
(	(	SS	O
205	205	SN	B-NOH
cm	cm	SL	I-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
입단	입단	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
높이	높이	NNG	O
의	의	JKG	O
_	_	_	O
이점	이점	NNG	O
을	을	JKO	O
_	_	_	O
십분	십분	MAG	O
_	_	_	O
활용해	활용하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 퓨즈TV 측은 “엄청난 밸런스를 찾아내어 확고한 음악관을 구축했다”고 평했다.
## <퓨즈TV:ORG> 측은 “엄청난 밸런스를 찾아내어 확고한 음악관을 구축했다”고 평했다.
퓨즈	퓨즈	NNG	B-ORG
TV	TV	SL	I-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
“	“	SS	O
엄청난	엄청나+ㄴ	VA+ETM	O
_	_	_	O
밸런스	밸런스	NNG	O
를	를	JKO	O
_	_	_	O
찾아내	찾아내	VV	O
어	어	EC	O
_	_	_	O
확고한	확고하+ㄴ	VA+ETM	O
_	_	_	O
음악	음악	NNG	O
관	관	XSN	O
을	을	JKO	O
_	_	_	O
구축	구축하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
평	평하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 특히 한국 시장에 특화된 자율주행 기술 시험 및 연구를 진행해 보다
## 특히 <한국:LOC> 시장에 특화된 자율주행 기술 시험 및 연구를 진행해 보다
특히	특히	MAG	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
시장	시장	NNG	O
에	에	JKB	O
_	_	_	O
특화된	특화되+ㄴ	VV+ETM	O
_	_	_	O
자율	자율	NNG	O
주행	주행	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
시험	시험	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
연구	연구	NNG	O
를	를	JKO	O
_	_	_	O
진행해	진행하+여	VV+EC	O
_	_	_	O
보	보	VX	O
다	다	EF	O

## 9
## 카페에서 서강준을 만난 이국주는 “나 살 많이 빠진 거 같아?”라고 물었다.
## 카페에서 <서강준:PER>을 만난 <이국주:PER>는 “나 살 많이 빠진 거 같아?”라고 물었다.
카페	카페	NNG	O
에서	에서	JKB	O
_	_	_	O
서강준	서강준	NNP	B-PER
을	을	JKO	O
_	_	_	O
만난	만나+ㄴ	VV+ETM	O
_	_	_	O
이국주	이국주	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
나	나	NP	O
_	_	_	O
살	살	NNG	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
빠진	빠지+ㄴ	VV+ETM	O
_	_	_	O
거	것	NNB	O
_	_	_	O
같	같	VA	O
아	아	EF	O
?	?	SF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## ‘성매매 특별법’ 이전에는 ‘윤락행위 등 방지법’이 있었다.
## ‘<성매매 특별법:POH>’ 이전에는 ‘<윤락행위 등 방지법:POH>’이 있었다.
‘	‘	SS	O
성	성	NNG	B-POH
매매	매매	NNG	I-POH
_	_	_	I-POH
특별법	특별법	NNG	I-POH
’	’	SS	O
_	_	_	O
이전	이전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
윤락	윤락	NNG	B-POH
행위	행위	NNG	I-POH
_	_	_	I-POH
등	등	NNB	I-POH
_	_	_	I-POH
방지	방지	NNG	I-POH
법	법	NNG	I-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 그립 컨트롤 기능 추가한 ‘QM3 RE 시그니처’도 인기 QM3의 높은 실용성에 매력을 느끼면서도 보다 고급화된 모델을 원하는 소비자들을 위해 출시된 최상위 트림 QM3 RE 시그니처(2570만원)도 인기다.
## 그립 컨트롤 기능 추가한 ‘<QM3 RE 시그니처:POH>’도 인기 <QM3:POH>의 높은 실용성에 매력을 느끼면서도 보다 고급화된 모델을 원하는 소비자들을 위해 출시된 최상위 트림 <QM3 RE 시그니처:POH>(<2570만원:MNY>)도 인기다.
그립	그립	NNG	O
_	_	_	O
컨트롤	컨트롤	NNG	O
_	_	_	O
기능	기능	NNG	O
_	_	_	O
추가한	추가하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
QM	QM	SL	B-POH
3	3	SN	I-POH
_	_	_	I-POH
RE	RE	SL	I-POH
_	_	_	I-POH
시	시	NNG	I-POH
그니	그니	NP	I-POH
처	처	NNG	I-POH
’	’	SS	O
도	도	JX	O
_	_	_	O
인기	인기	NNG	O
_	_	_	O
QM	QM	SL	B-POH
3	3	SN	I-POH
의	의	JKG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
실용성	실용성	NNG	O
에	에	JKB	O
_	_	_	O
매력	매력	NNG	O
을	을	JKO	O
_	_	_	O
느끼	느끼	VV	O
면서	면서	EC	O
도	도	JX	O
_	_	_	O
보다	보다	MAG	O
_	_	_	O
고급화된	고급화되+ㄴ	VV+ETM	O
_	_	_	O
모델	모델	NNG	O
을	을	JKO	O
_	_	_	O
원하	원하	VV	O
는	는	ETM	O
_	_	_	O
소비자	소비자	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
출시된	출시되+ㄴ	VV+ETM	O
_	_	_	O
최	최	XPN	O
상위	상위	NNG	O
_	_	_	O
트림	트림	NNG	O
_	_	_	O
QM	QM	SL	B-POH
3	3	SN	I-POH
_	_	_	I-POH
RE	RE	SL	I-POH
_	_	_	I-POH
시	시	NNG	I-POH
그니	그니	NP	I-POH
처	처	NNG	I-POH
(	(	SS	O
2570	2570	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
도	도	JX	O
_	_	_	O
인기	인기+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 카이리 어빙(23)이 1차전에서 부상으로 빠진 뒤 홀로 팀을 이끌고 있다.
## <카이리 어빙:PER>(<23:NOH>)이 <1차전:NOH>에서 부상으로 빠진 뒤 홀로 팀을 이끌고 있다.
카	카	NNG	B-PER
이리	이리	MAG	I-PER
_	_	_	I-PER
어빙	어빙	NNP	I-PER
(	(	SS	O
23	23	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	I-NOH
에서	에서	JKB	O
_	_	_	O
부상	부상	NNG	O
으로	으로	JKB	O
_	_	_	O
빠진	빠지+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
홀로	홀로	MAG	O
_	_	_	O
팀	팀	NNG	O
을	을	JKO	O
_	_	_	O
이끌	이끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 13
## 따라서 12·12의 주역들도 그들이 이번 검찰의 처분에 대해 이를 법원의 최종 판단까지 끌고 가서 사건의 파장을 계속시키는 우를 범하지 말기 바라며 고소인측도 12·12가 유죄임을 증명받는 것에 비중을 둘때 그들의 정당함을 더욱 입증받게 될 것이다.
## 따라서 <12·12:POH>의 주역들도 그들이 이번 검찰의 처분에 대해 이를 법원의 최종 판단까지 끌고 가서 사건의 파장을 계속시키는 우를 범하지 말기 바라며 고소인측도 <12·12:POH>가 유죄임을 증명받는 것에 비중을 둘때 그들의 정당함을 더욱 입증받게 될 것이다.
따라서	따라서	MAJ	O
_	_	_	O
12	12	SN	B-POH
·	·	SP	I-POH
12	12	SN	I-POH
의	의	JKG	O
_	_	_	O
주역	주역	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
검찰	검찰	NNG	O
의	의	JKG	O
_	_	_	O
처분	처분	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
법원	법원	NNG	O
의	의	JKG	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
판단	판단	NNG	O
까지	까지	JX	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
사건	사건	NNG	O
의	의	JKG	O
_	_	_	O
파장	파장	NNG	O
을	을	JKO	O
_	_	_	O
계속	계속	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
우	우	NNG	O
를	를	JKO	O
_	_	_	O
범하	범하	VV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
기	기	ETN	O
_	_	_	O
바라	바라	VV	O
며	며	EC	O
_	_	_	O
고소인	고소인	NNG	O
측	측	NNB	O
도	도	JX	O
_	_	_	O
12	12	SN	B-POH
·	·	SP	I-POH
12	12	SN	I-POH
가	가	JKS	O
_	_	_	O
유죄	유죄	NNG	O
임	이+ㅁ	VCP+ETN	O
을	을	JKO	O
_	_	_	O
증명	증명	NNG	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
비중	비중	NNG	O
을	을	JKO	O
_	_	_	O
둘	두+ㄹ	VV+ETM	O
때	때	NNG	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
정당함	정당하+ㅁ	VA+ETN	O
을	을	JKO	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
입증	입증	NNG	O
받	받	VV	O
게	게	EC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 한쪽에 2kg이 넘는 모래주머니를 차고 걸어 다니면서 근력을 늘릴 계획이었다.
## <한쪽:NOH>에 <2kg:NOH>이 넘는 모래주머니를 차고 걸어 다니면서 근력을 늘릴 계획이었다.
한쪽	한쪽	NNG	B-NOH
에	에	JKB	O
_	_	_	O
2	2	SN	B-NOH
kg	kg	SL	I-NOH
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
모래주머니	모래주머니	NNG	O
를	를	JKO	O
_	_	_	O
차	차	VV	O
고	고	EC	O
_	_	_	O
걸	걷	VV	O
어	어	EC	O
_	_	_	O
다니	다니	VV	O
면서	면서	EC	O
_	_	_	O
근력	근력	NNG	O
을	을	JKO	O
_	_	_	O
늘릴	늘리+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

