## 1
## 논산의 한 중학교 폐교도 그런 사례 중 하나다.
## <논산:LOC>의 한 중학교 폐교도 그런 사례 중 하나다.
논산	논산	NNP	B-LOC
,	,	SP	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
경기	경기	NNG	O
가	가	JKS	O
_	_	_	O
종료	종료되	VV	O
됐	었	EP	O
고	고	JKQ	O
_	_	_	O
황재균	황재균	NNP	B-PER
은	은	JX	O
_	_	_	O
승리	승리	NNG	O
의	의	JKG	O
_	_	_	O
주역	주역	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 샌프란시스코는 이날 승리로 시범경기 전적 14승15패를 마크했다.
## <샌프란시스코:ORG>는 이날 승리로 시범경기 전적 <14승:NOH><15패:NOH>를 마크했다.
샌프란시스코	샌프란시스코	NNP	B-ORG
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
승리	승리	NNG	O
로	로	JKB	O
_	_	_	O
시범	시범	NNG	O
경기	경기	NNG	O
_	_	_	O
전적	전적	NNG	O
_	_	_	O
14	14	SN	B-NOH
승	승	NNB	I-NOH
15	15	SN	B-NOH
패	패	NNB	I-NOH
를	를	JKO	O
_	_	_	O
마크	마크하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## (서울=뉴스1)
## (<서울:LOC>=<뉴스1:ORG>)
(	(	SS	O
서울	서울	NNP	B-LOC
=	=	SW	O
뉴스	뉴스	NNG	B-ORG
1	1	SN	I-ORG
)	)	SS	O

## 9
## 8일 시흥시에 따르면 시민 A 씨(59)가 중동호흡기증후군(MERS·메르스) 재검사 결과 확진 판정을 받았다고 발표했다.
## <8일:DAT> <시흥시:LOC>에 따르면 시민 <A:PER> 씨(<59:NOH>)가 <중동호흡기증후군:POH>(<MERS:POH>·<메르스:POH>) 재검사 결과 확진 판정을 받았다고 발표했다.
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
시흥시	시흥시	NNP	B-LOC
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
시민	시민	NNG	O
_	_	_	O
A	A	SL	B-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
59	59	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
중동	중동	NNP	B-POH
호흡기	호흡기	NNG	I-POH
증후군	증후군	NNG	I-POH
(	(	SS	O
MERS	MERS	SL	B-POH
·	·	SP	O
메르스	메르스	NNG	B-POH
)	)	SS	O
_	_	_	O
재검사	재검사	NNG	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
확진	확진	NNG	O
_	_	_	O
판정	판정	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다고	다고	EC	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 김주하 “뉴스, 요리한 후 맛 좋은 뉴스 드릴 것”
## <김주하:PER> “뉴스, 요리한 후 맛 좋은 뉴스 드릴 것”
김주하	김주하	NNP	B-PER
_	_	_	O
“	“	SS	O
뉴스	뉴스	NNG	O
,	,	SP	O
_	_	_	O
요리한	요리하+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
맛	맛	NNG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
뉴스	뉴스	NNG	O
_	_	_	O
드릴	드리+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O

## 11
## 조 추첨 뒤 한국이 뛸 경기장을 둘러보고 귀국한 신 감독은 독일과의 경기에 총력을 기울이겠다고 선언했다.
## 조 추첨 뒤 <한국:ORG>이 뛸 경기장을 둘러보고 귀국한 <신:PER> 감독은 <독일:ORG>과의 경기에 총력을 기울이겠다고 선언했다.
조	조	NNG	O
_	_	_	O
추첨	추첨	NNG	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
뛸	뛰+ㄹ	VV+ETM	O
_	_	_	O
경기장	경기장	NNG	O
을	을	JKO	O
_	_	_	O
둘러보	둘러보	VV	O
고	고	EC	O
_	_	_	O
귀국한	귀국하+ㄴ	VV+ETM	O
_	_	_	O
신	신	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
독일	독일	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
경기	경기	NNG	O
에	에	JKB	O
_	_	_	O
총력	총력	NNG	O
을	을	JKO	O
_	_	_	O
기울이	기울이	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
선언	선언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 로드FC가 중국에서 격투기 서바이벌 프로그램인 ‘로드맨’을 촬영 중인 가운데 아오르꺼러와 이예지의 핑크빛 포즈가 화제가 되고 있다.
## <로드FC:ORG>가 <중국:LOC>에서 격투기 서바이벌 프로그램인 ‘<로드맨:POH>’을 촬영 중인 가운데 <아오르꺼러:PER>와 <이예지:PER>의 핑크빛 포즈가 화제가 되고 있다.
로드	로드	NNP	B-ORG
FC	FC	SL	I-ORG
가	가	JKS	O
_	_	_	O
중국	중국	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
격투기	격투기	NNG	O
_	_	_	O
서바이벌	서바이벌	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
로드맨	로드맨	NNP	B-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
촬영	촬영	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
아	아	XSN	B-PER
오르	오르	VV	I-PER
꺼	꺼우르	VV	I-PER
러	어+오	EC+VV	I-PER
와	아	EC	O
_	_	_	O
이예지	이예지	NNP	B-PER
의	의	JKG	O
_	_	_	O
핑크	핑크	NNG	O
빛	빛	NNG	O
_	_	_	O
포즈	포즈	NNG	O
가	가	JKS	O
_	_	_	O
화제	화제	NNG	O
가	가	JKC	O
_	_	_	O
되	되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 13
## ‘로드맨’ 제작진이 공개한 화제의 사진 중의 하나는 ‘케이지의 악동’ 아오르꺼러와 이예지가 나란히 화단에서 포즈를 취했다.
## ‘<로드맨:POH>’ 제작진이 공개한 화제의 사진 중의 하나는 ‘케이지의 악동’ <아오르꺼러:PER>와 <이예지:PER>가 나란히 화단에서 포즈를 취했다.
‘	‘	SS	O
로드맨	로드맨	NNP	B-POH
’	’	SS	O
_	_	_	O
제작진	제작진	NNG	O
이	이	JKS	O
_	_	_	O
공개한	공개하+ㄴ	VV+ETM	O
_	_	_	O
화제	화제	NNG	O
의	의	JKG	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
중	중	NNB	O
의	의	JKG	O
_	_	_	O
하나	하나	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
케이지	케이지	NNP	O
의	의	JKG	O
_	_	_	O
악동	악동	NNG	O
’	’	SS	O
_	_	_	O
아	아	XSN	B-PER
오르	오르	VV	I-PER
꺼	꺼우르	VV	I-PER
러	어+오	EC+VV	I-PER
와	아	EC	O
_	_	_	O
이예지	이예지	NNP	B-PER
가	가	JKS	O
_	_	_	O
나란히	나란히	MAG	O
_	_	_	O
화단	화단	NNG	O
에서	에서	JKB	O
_	_	_	O
포즈	포즈	NNG	O
를	를	JKO	O
_	_	_	O
취	취하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

