## 1
## 배지영 기자 사진=서보형 객원기자간장 A to Z TIP ① 발암물질 걱정없는 ‘집간장’ 만드는 법＜준비물＞ 메주 1말(8㎏), 끓여 식힌 물 3말(54ℓ), 천일염 9되(7.2㎏), 참숯(백탄), 건고추·대추 두어개, 백탄으로 잘 소독한 항아리 1. 물 3말에 천일염 9되를 잘 섞어 투명하게 만든다.
## <배지영:PER> 기자 사진=<서보형:PER> 객원기자간장 A to Z TIP ① 발암물질 걱정없는 ‘집간장’ 만드는 법＜준비물＞ 메주 <1말:NOH>(<8㎏:NOH>), 끓여 식힌 물 <3말:NOH>(<54ℓ:NOH>), 천일염 <9되:NOH>(<7.2㎏:NOH>), 참숯(백탄), 건고추·대추 두어개, 백탄으로 잘 소독한 항아리 <1.:NOH> 물 <3말:NOH>에 천일염 <9되:NOH>를 잘 섞어 투명하게 만든다.
배지영	배지영	NNP	B-PER
를	를	JKO	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
섞	섞	VV	O
어	어	EC	O
_	_	_	O
투명하	투명하	VA	O
게	게	EC	O
_	_	_	O
만든다	만들+ㄴ다	VV+EF	O
.	.	SF	O

## 2
## 오송역은 경부고속철도 2단계에 건설한 현재 역을 그대로 이용하며 공주역은 새로 지었다.
## <오송역:LOC>은 <경부고속철도:LOC> <2단계:NOH>에 건설한 현재 역을 그대로 이용하며 <공주역:LOC>은 새로 지었다.
오송역	오송역	NNP	B-LOC
은	은	JX	O
_	_	_	O
경부고속철도	경부고속철도	NNP	B-LOC
_	_	_	O
2	2	SN	B-NOH
단계	단계	NNG	I-NOH
에	에	JKB	O
_	_	_	O
건설한	건설하+ㄴ	VV+ETM	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
역	역	NNG	O
을	을	JKO	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
이용하	이용하	VV	O
며	며	EC	O
_	_	_	O
공주	공주	NNG	B-LOC
역	역	NNG	I-LOC
은	은	JX	O
_	_	_	O
새로	새로	MAG	O
_	_	_	O
지	짓	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 박재범은 송민호의 무대가 시작되자 마자 탈락 버튼을 눌렀다.
## <박재범:PER>은 <송민호:PER>의 무대가 시작되자 마자 탈락 버튼을 눌렀다.
박재범	박재범	NNP	B-PER
은	은	JX	O
_	_	_	O
송민호	송민호	NNP	B-PER
의	의	JKG	O
_	_	_	O
무대	무대	NNG	O
가	가	JKS	O
_	_	_	O
시작되	시작되	VV	O
자	자	EC	O
_	_	_	O
마	말	VX	O
자	자	EC	O
_	_	_	O
탈락	탈락	NNG	O
_	_	_	O
버튼	버튼	NNG	O
을	을	JKO	O
_	_	_	O
눌	누르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 채취에 반대하는 누군가의 압력이 들어온 것. 그는 수많은 현지 관계자들을 이 프로젝트에 끌어들이는 방식으로 뼛조각 8점을 얻는 데 성공한다.
## 채취에 반대하는 누군가의 압력이 들어온 것. 그는 수많은 현지 관계자들을 이 프로젝트에 끌어들이는 방식으로 뼛조각 <8점:NOH>을 얻는 데 성공한다.
채취	채취	NNG	O
에	에	JKB	O
_	_	_	O
반대하	반대하	VV	O
는	는	ETM	O
_	_	_	O
누군가	누구+이+ㄴ가	NP+VCP+EC	O
의	의	JKG	O
_	_	_	O
압력	압력	NNG	O
이	이	JKS	O
_	_	_	O
들어온	들어오+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
수많	수많	VA	O
은	은	ETM	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
관계자	관계자	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
이	이	MM	O
_	_	_	O
프로젝트	프로젝트	NNG	O
에	에	JKB	O
_	_	_	O
끌어들이	끌어들이	VV	O
는	는	ETM	O
_	_	_	O
방식	방식	NNG	O
으로	으로	JKB	O
_	_	_	O
뼛조각	뼛조각	NNG	O
_	_	_	O
8	8	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
성공한다	성공하+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 장욱진은 “나는 심플하다.
## <장욱진:PER>은 “나는 심플하다.
장욱진	장욱진	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
나	나	NP	O
는	는	JX	O
_	_	_	O
심플하	심플하	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 중국이 TPA 자급률을 2013년 60%에서 올해 95% 안팎까지 올렸기 때문이다.
## <중국:ORG>이 <TPA:POH> 자급률을 <2013년:DAT> <60%:PNT>에서 올해 <95%:PNT> 안팎까지 올렸기 때문이다.
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
TPA	TPA	SL	B-POH
_	_	_	O
자급률	자급률	NNG	O
을	을	JKO	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
60	60	SN	B-PNT
%	%	SW	I-PNT
에서	에서	JKB	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
95	95	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
안팎	안팎	NNG	O
까지	까지	JX	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 『엠마 크뢰벨이 본 대한제국 황실 이야기』 중에서. ※김중기 기자의 B사이드는 팬의 입장에서 쓴 대중음악 이야기입니다.
## 『<엠마 크뢰벨이 본 대한제국 황실 이야기:POH>』 중에서. ※<김중기:PER> 기자의 <B사이드:POH>는 팬의 입장에서 쓴 대중음악 이야기입니다.
『	『	SS	O
엠마	엠마	NNP	B-POH
_	_	_	I-POH
크뢰벨	크뢰벨	NNG	I-POH
이	이	JKS	I-POH
_	_	_	I-POH
본	보+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
대한	대한	NNP	I-POH
제국	제국	NNG	I-POH
_	_	_	I-POH
황실	황실	NNG	I-POH
_	_	_	I-POH
이야기	이야기	NNG	I-POH
』	』	SS	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
.	.	SF	O
_	_	_	O
※	※	SW	O
김중기	김중기	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
의	의	JKG	O
_	_	_	O
B	B	SL	B-POH
사이드	사이드	NNP	I-POH
는	는	JX	O
_	_	_	O
팬	팬	NNG	O
의	의	JKG	O
_	_	_	O
입장	입장	NNG	O
에서	에서	JKB	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
대중	대중	NNG	O
음악	음악	NNG	O
_	_	_	O
이야기	이야기	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 8
## 자세한 사항은 BMW코리아 고객지원센터(080-269-2200)로 문의하면 된다.
## 자세한 사항은 <BMW코리아:ORG> 고객지원센터(<080-269-2200:POH>)로 문의하면 된다.
자세한	자세하+ㄴ	VA+ETM	O
_	_	_	O
사항	사항	NNG	O
은	은	JX	O
_	_	_	O
BMW	BMW	SL	B-ORG
코리아	코리아	NNP	I-ORG
_	_	_	O
고객	고객	NNG	O
지원	지원	NNG	O
센터	센터	NNG	O
(	(	SS	O
080	080	SN	B-POH
-	-	SO	I-POH
269	269	SN	I-POH
-	-	SO	I-POH
2200	2200	SN	I-POH
)	)	SS	O
로	로	JKB	O
_	_	_	O
문의하	문의하	VV	O
면	면	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 정부는 88올림픽을 앞두고 면세점 시장을 확 풀었다.
## <정부:ORG>는 <88:DAT>올림픽을 앞두고 면세점 시장을 확 풀었다.
정부	정부	NNG	B-ORG
는	는	JX	O
_	_	_	O
88	88	SN	B-DAT
올림픽	올림픽	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
면세점	면세점	NNG	O
_	_	_	O
시장	시장	NNG	O
을	을	JKO	O
_	_	_	O
확	확	MAG	O
_	_	_	O
풀	풀	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 북부 지역 댐 건설과 남부 페르시아 만의 해수담수화 사업에 관심이 매우 크다.
## 북부 지역 댐 건설과 <남부 페르시아 만:LOC>의 해수담수화 사업에 관심이 매우 크다.
북부	북부	NNG	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
댐	댐	NNG	O
_	_	_	O
건설	건설	NNG	O
과	과	JC	O
_	_	_	O
남부	남부	NNG	B-LOC
_	_	_	I-LOC
페르시아	페르시아	NNG	I-LOC
_	_	_	I-LOC
만	만	NNG	I-LOC
의	의	JKG	O
_	_	_	O
해수	해수	NNG	O
담수화	담수화	NNG	O
_	_	_	O
사업	사업	NNG	O
에	에	JKB	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
매우	매우	MAG	O
_	_	_	O
크	크	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 알펜시아는 매월 다양한 분야의 명사들을 초청해 토크콘서트를 진행할 계획이다.
## <알펜시아:LOC>는 매월 다양한 분야의 명사들을 초청해 토크콘서트를 진행할 계획이다.
알펜시아	알펜시아	NNP	B-LOC
는	는	JX	O
_	_	_	O
매월	매월	MAG	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
분야	분야	NNG	O
의	의	JKG	O
_	_	_	O
명사	명사	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
초청해	초청하+여	VV+EC	O
_	_	_	O
토크	토크	NNG	O
콘서트	콘서트	NNG	O
를	를	JKO	O
_	_	_	O
진행할	진행하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 정형돈 폐렴으로 입원, 출연 방송 차질?…소속사 “이번 주 촬영 일정은 소화 못 해”
## <정형돈:PER> 폐렴으로 입원, 출연 방송 차질?…소속사 “이번 주 촬영 일정은 소화 못 해”
정형돈	정형돈	NNP	B-PER
_	_	_	O
폐렴	폐렴	NNG	O
으로	으로	JKB	O
_	_	_	O
입원	입원	NNG	O
,	,	SP	O
_	_	_	O
출연	출연	NNG	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
차질	차질	NNG	O
?	?	SF	O
…	…	SE	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
“	“	SS	O
이번	이번	NNG	O
_	_	_	O
주	주	NNG	O
_	_	_	O
촬영	촬영	NNG	O
_	_	_	O
일정	일정	NNG	O
은	은	JX	O
_	_	_	O
소화	소화	NNG	O
_	_	_	O
못	못	MAG	O
_	_	_	O
해	해	NNG	O
”	”	SS	O

## 13
## 라디오스타 박효주·이미도·장소연·하재숙, 마음도 훔친 신스틸러? ‘연애 中’지난 8일 방송된 MBC ‘황금어장-라디오스타’는 신스틸러 특집으로 꾸며져 박효주, 장소연, 하재숙, 이미도가 출연해 입담을 뽐냈다.
## <라디오스타:POH> <박효주:PER>·<이미도:PER>·<장소연:PER>·<하재숙:PER>, 마음도 훔친 신스틸러? ‘연애 中’지난 <8일:DAT> 방송된 <MBC:ORG> ‘<황금어장-라디오스타:POH>’는 신스틸러 특집으로 꾸며져 <박효주:PER>, <장소연:PER>, <하재숙:PER>, <이미도:PER>가 출연해 입담을 뽐냈다.
라디오스타	라디오스타	NNP	B-POH
_	_	_	O
박효주	박효주	NNP	B-PER
·	·	SP	O
이미도	이미도	NNP	B-PER
·	·	SP	O
장소연	장소연	NNP	B-PER
·	·	SP	O
하재숙	하재숙	NNP	B-PER
,	,	SP	O
_	_	_	O
마음	마음	NNG	O
도	도	JX	O
_	_	_	O
훔친	훔치+ㄴ	VV+ETM	O
_	_	_	O
신	신	NNG	O
스틸러	스틸러	NNP	O
?	?	SF	O
_	_	_	O
‘	‘	SS	O
연애	연애	NNG	O
_	_	_	O
中	中	SH	O
’	’	SS	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
‘	‘	SS	O
황금	황금	NNG	B-POH
어장	어장	NNG	I-POH
-	-	SO	I-POH
라디오스타	라디오스타	NNP	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
신	신	NNG	O
스틸러	스틸러	NNP	O
_	_	_	O
특집	특집	NNG	O
으로	으로	JKB	O
_	_	_	O
꾸며	꾸미+어	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
박효주	박효주	NNP	B-PER
,	,	SP	O
_	_	_	O
장소연	장소연	NNP	B-PER
,	,	SP	O
_	_	_	O
하재숙	하재숙	NNP	B-PER
,	,	SP	O
_	_	_	O
이미도	이미도	NNP	B-PER
가	가	JKS	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
입담	입담	NNG	O
을	을	JKO	O
_	_	_	O
뽐냈	뽐내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 14
## 네 사람은 이날 방송에서 열애 사실을 공개하기도 했다.
## <네 사람:NOH>은 이날 방송에서 열애 사실을 공개하기도 했다.
네	네	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
열애	열애	NNG	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
공개하	공개하	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

